market,time,open,high,low,close,volume
PHA-EUR,1741132800000,0.12221,0.128,0.11974,0.12088,1069162.09120742
PHA-EUR,1741046400000,0.128,0.12849,0.11332,0.12374,682965.40172545
PHA-EUR,1740960000000,0.1475,0.15406,0.12614,0.12922,1106811.05653516
PHA-EUR,1740873600000,0.1402,0.1565,0.1367,0.15456,1104277.41484532
PHA-EUR,1740787200000,0.146,0.14737,0.13677,0.13976,536022.29209256
PHA-EUR,1740700800000,0.14523,0.15047,0.13533,0.14815,700901.27019193
PHA-EUR,1740614400000,0.14068,0.15047,0.14058,0.14518,517369.5951641
PHA-EUR,1740528000000,0.13737,0.14305,0.13447,0.14076,759193.22085101
PHA-EUR,1740441600000,0.13486,0.13941,0.12445,0.13765,1433187.77902635
PHA-EUR,1740355200000,0.15517,0.15517,0.13175,0.13447,793704.37865355
PHA-EUR,1740268800000,0.16224,0.16257,0.152,0.15522,291851.47657434
PHA-EUR,1740182400000,0.15369,0.16322,0.1527,0.16205,395839.09842743
PHA-EUR,1740096000000,0.15872,0.16924,0.15229,0.15465,2163015.86007762
PHA-EUR,1740009600000,0.15837,0.16053,0.15268,0.1589,768836.83451053
PHA-EUR,1739923200000,0.1538,0.1642,0.1538,0.15876,826407.69459613
PHA-EUR,1739836800000,0.16315,0.16424,0.14829,0.15336,663092.41462902
PHA-EUR,1739750400000,0.16731,0.1715,0.15894,0.16064,1782422.89842702
PHA-EUR,1739664000000,0.16641,0.17204,0.16308,0.16628,1113748.80549577
PHA-EUR,1739577600000,0.17362,0.1775,0.16134,0.16654,1847352.36151625
PHA-EUR,1739491200000,0.16081,0.1953,0.15962,0.17388,4226161.45765404
PHA-EUR,1739404800000,0.16531,0.17051,0.15579,0.16126,1038241.15015932
PHA-EUR,1739318400000,0.16259,0.17019,0.15094,0.166,1718015.00763471
PHA-EUR,1739232000000,0.16462,0.1793,0.15935,0.16298,1817582.00202273
PHA-EUR,1739145600000,0.15418,0.17433,0.14916,0.16412,4208998.26289208
PHA-EUR,1739059200000,0.15155,0.15809,0.14543,0.15416,1268035.84499108
PHA-EUR,1738972800000,0.14152,0.15279,0.1412,0.15187,572959.39496923
PHA-EUR,1738886400000,0.1463,0.15898,0.13844,0.14213,1033203.39582135
PHA-EUR,1738800000000,0.1589,0.16053,0.14271,0.14456,2144252.14170643
PHA-EUR,1738713600000,0.14977,0.16954,0.14896,0.15787,5699317.55859842
PHA-EUR,1738627200000,0.16233,0.16379,0.14335,0.14998,947148.39825766
PHA-EUR,1738540800000,0.15297,0.16379,0.11332,0.16184,3936840.70370325
PHA-EUR,1738454400000,0.16819,0.1712,0.143,0.15216,2048298.30423485
PHA-EUR,1738368000000,0.19411,0.19788,0.16615,0.16987,2486672.19812288
PHA-EUR,1738281600000,0.19109,0.215,0.18856,0.19498,3027594.40357706
PHA-EUR,1738195200000,0.18533,0.19899,0.18296,0.19155,2669789.97091136
PHA-EUR,1738108800000,0.17638,0.195,0.17399,0.18469,2296380.76013573
PHA-EUR,1738022400000,0.205,0.20645,0.17491,0.17735,2510965.67439321
PHA-EUR,1737936000000,0.20058,0.20897,0.1796,0.20597,3907857.77782423
PHA-EUR,1737849600000,0.2113,0.22058,0.20027,0.20048,2692130.64027127
PHA-EUR,1737763200000,0.2213,0.2213,0.2077,0.21274,1833667.2694644
PHA-EUR,1737676800000,0.23451,0.24318,0.22107,0.2224,1405490.98742538
PHA-EUR,1737590400000,0.24085,0.24636,0.22567,0.23426,3198461.36492326
PHA-EUR,1737504000000,0.24296,0.2647,0.23788,0.24165,4861507.68240016
PHA-EUR,1737417600000,0.24224,0.2525,0.22375,0.24338,3598893.4550223
PHA-EUR,1737331200000,0.24587,0.27,0.2326,0.24143,3730960.44316861
PHA-EUR,1737244800000,0.29458,0.2953,0.24217,0.24625,6303335.3791375
PHA-EUR,1737158400000,0.3638,0.37387,0.28801,0.29439,5961546.64122974
PHA-EUR,1737072000000,0.36081,0.37373,0.34144,0.36157,8657072.44767701
PHA-EUR,1736985600000,0.33812,0.395,0.33293,0.36049,22022059.44818268
PHA-EUR,1736899200000,0.2759,0.348,0.25934,0.33883,13188781.48743079
PHA-EUR,1736812800000,0.26805,0.27915,0.26,0.27668,2486646.18076121
PHA-EUR,1736726400000,0.28269,0.28666,0.24428,0.26898,5388571.66137424
PHA-EUR,1736640000000,0.30535,0.30771,0.276,0.28338,3573697.40989662
PHA-EUR,1736553600000,0.32488,0.32519,0.30252,0.30565,3970800.49335337
PHA-EUR,1736467200000,0.29413,0.335,0.29134,0.32503,8282416.34347411
PHA-EUR,1736380800000,0.31061,0.31336,0.281,0.29333,5891367.0729223
PHA-EUR,1736294400000,0.30271,0.35409,0.29845,0.31161,15435600.04244896
PHA-EUR,1736208000000,0.35081,0.35259,0.301,0.30286,7947553.40276877
PHA-EUR,1736121600000,0.3464,0.36808,0.33919,0.35079,13460070.7312266
PHA-EUR,1736035200000,0.33887,0.3725,0.33018,0.34672,21176041.82946507
PHA-EUR,1735948800000,0.33942,0.38416,0.2923,0.33826,39200119.52805843
PHA-EUR,1735862400000,0.32751,0.34826,0.3063,0.33942,21439640.74087204
PHA-EUR,1735776000000,0.3478,0.3836,0.32296,0.32776,30647610.41867453
PHA-EUR,1735689600000,0.37978,0.41528,0.33674,0.34754,25371984.32805511
PHA-EUR,1735603200000,0.39486,0.42823,0.3411,0.3797,27147203.82718447
PHA-EUR,1735516800000,0.47016,0.56,0.38469,0.39508,44019392.10977379
PHA-EUR,1735430400000,0.41738,0.50837,0.39696,0.47029,46822882.27826507
PHA-EUR,1735344000000,0.47742,0.57721,0.3749,0.41719,72463874.74071778
PHA-EUR,1735257600000,0.23345,0.53434,0.22501,0.47877,102624558.27004112
PHA-EUR,1735171200000,0.27017,0.30631,0.22115,0.23324,35093274.82632915
PHA-EUR,1735084800000,0.19287,0.28204,0.1875,0.2715,49075761.64616674
PHA-EUR,1734998400000,0.1224,0.225,0.12201,0.19271,60061658.09043011
PHA-EUR,1734912000000,0.1124,0.124,0.10975,0.12239,560575.61050753
PHA-EUR,1734825600000,0.11307,0.1205,0.11033,0.11299,555438.18234867
PHA-EUR,1734739200000,0.12066,0.12701,0.11132,0.1133,1267654.91992052
PHA-EUR,1734652800000,0.12023,0.12362,0.10515,0.12066,1642535.07284767
PHA-EUR,1734566400000,0.13431,0.13625,0.1155,0.11972,1297542.82629906
PHA-EUR,1734480000000,0.14702,0.14756,0.13264,0.13451,1608180.7996559
PHA-EUR,1734393600000,0.155,0.15724,0.145,0.14652,1140352.84998864
PHA-EUR,1734307200000,0.15998,0.16346,0.1505,0.15538,771656.40435611
PHA-EUR,1734220800000,0.155,0.16161,0.14964,0.16106,1304996.02846768
PHA-EUR,1734134400000,0.16492,0.16643,0.15196,0.15563,1203074.72873554
PHA-EUR,1734048000000,0.16973,0.1701,0.15998,0.16394,1548747.26988707
PHA-EUR,1733961600000,0.16186,0.17249,0.16186,0.16976,1155617.4007612
PHA-EUR,1733875200000,0.15198,0.16822,0.14746,0.16186,940542.31090074
PHA-EUR,1733788800000,0.15757,0.16471,0.14262,0.15116,1397055.26809402
PHA-EUR,1733702400000,0.18692,0.18762,0.14344,0.16006,3080482.70372512
PHA-EUR,1733616000000,0.17369,0.18779,0.17017,0.18738,2445879.94585138
PHA-EUR,1733529600000,0.17978,0.18062,0.1727,0.17413,1104942.49673372
PHA-EUR,1733443200000,0.16963,0.18252,0.1678,0.17994,2603758.5323639
PHA-EUR,1733356800000,0.17321,0.18321,0.16546,0.16955,2634373.64945465
PHA-EUR,1733270400000,0.17337,0.1816,0.1695,0.1752,2973914.04192349
PHA-EUR,1733184000000,0.16198,0.17484,0.15115,0.17297,6397965.25458583
PHA-EUR,1733097600000,0.15956,0.16277,0.14835,0.16277,4401498.64468249
PHA-EUR,1733011200000,0.16478,0.16667,0.15691,0.15917,2365944.35528706
PHA-EUR,1732924800000,0.15959,0.16967,0.15681,0.16481,3274829.25879414
PHA-EUR,1732838400000,0.15481,0.1637,0.14911,0.16079,2318515.46508003
PHA-EUR,1732752000000,0.1492,0.156,0.14226,0.155,2077335.44495807
PHA-EUR,1732665600000,0.1375,0.15069,0.1355,0.14935,3129912.41315805
PHA-EUR,1732579200000,0.13305,0.13901,0.12702,0.13685,2772854.30224909
PHA-EUR,1732492800000,0.13638,0.143,0.129,0.13259,4631229.84784437
PHA-EUR,1732406400000,0.1392,0.14585,0.12457,0.13654,4029245.27018985
PHA-EUR,1732320000000,0.12365,0.14145,0.12,0.13986,7721146.91697896
PHA-EUR,1732233600000,0.11874,0.12846,0.11686,0.1242,2887527.38681204
PHA-EUR,1732147200000,0.11314,0.11929,0.11,0.11876,2902209.14846902
PHA-EUR,1732060800000,0.11842,0.12057,0.11001,0.11381,1364313.13383842
PHA-EUR,1731974400000,0.12414,0.12428,0.11516,0.11846,2139182.44680275
PHA-EUR,1731888000000,0.11275,0.12966,0.10633,0.12407,6504524.01871161
