market,time,open,high,low,close,volume
PIXEL-EUR,1741132800000,0.04348,0.04521,0.043007,0.043217,213995.43743306
PIXEL-EUR,1741046400000,0.046071,0.04749,0.039682,0.042915,3682560.41793403
PIXEL-EUR,1740960000000,0.055228,0.056718,0.045616,0.045803,509609.28063906
PIXEL-EUR,1740873600000,0.051434,0.056715,0.050807,0.056531,691908.42135636
PIXEL-EUR,1740787200000,0.053481,0.053578,0.050396,0.052089,167733.81594465
PIXEL-EUR,1740700800000,0.05276,0.054412,0.048299,0.053923,1169073.95996138
PIXEL-EUR,1740614400000,0.052851,0.054241,0.051681,0.052948,6294755.65287333
PIXEL-EUR,1740528000000,0.051119,0.052412,0.049452,0.051891,1785532.36765192
PIXEL-EUR,1740441600000,0.050412,0.051525,0.046,0.050965,1278374.65057059
PIXEL-EUR,1740355200000,0.059151,0.059151,0.04996,0.05008,618285.34916342
PIXEL-EUR,1740268800000,0.062547,0.062806,0.059548,0.060228,235350.24186954
PIXEL-EUR,1740182400000,0.059614,0.063142,0.059373,0.063082,141880.81382256
PIXEL-EUR,1740096000000,0.060612,0.065601,0.058529,0.059276,320245.7241941
PIXEL-EUR,1740009600000,0.057648,0.060215,0.057337,0.060215,406870.55932714
PIXEL-EUR,1739923200000,0.056339,0.058119,0.055446,0.057781,62426.76215683
PIXEL-EUR,1739836800000,0.059894,0.059894,0.053499,0.056183,174013.21961724
PIXEL-EUR,1739750400000,0.063667,0.064059,0.059829,0.060676,30658.92859635
PIXEL-EUR,1739664000000,0.063545,0.065391,0.061508,0.062937,88515.85522751
PIXEL-EUR,1739577600000,0.067518,0.067518,0.062635,0.063739,102911.79913553
PIXEL-EUR,1739491200000,0.065445,0.069085,0.065445,0.067032,47101.11829507
PIXEL-EUR,1739404800000,0.068532,0.069381,0.064245,0.065724,313493.7386416
PIXEL-EUR,1739318400000,0.063173,0.069757,0.061966,0.068838,997213.06067001
PIXEL-EUR,1739232000000,0.06661,0.067909,0.062012,0.063049,119315.47249221
PIXEL-EUR,1739145600000,0.064068,0.066462,0.060503,0.065958,847760.66005661
PIXEL-EUR,1739059200000,0.065539,0.066993,0.059447,0.061915,232379.54693335
PIXEL-EUR,1738972800000,0.062569,0.06672,0.061122,0.065729,1470411.87730044
