market,time,open,high,low,close,volume
PLUME-EUR,1741132800000,0.12817,0.14567,0.12756,0.13969,2554093.35451991
PLUME-EUR,1741046400000,0.12576,0.13328,0.12115,0.1262,1443343.70140837
PLUME-EUR,1740960000000,0.14215,0.14793,0.12257,0.12345,2095913.55325109
PLUME-EUR,1740873600000,0.14182,0.15622,0.13925,0.14198,4450798.55342552
PLUME-EUR,1740787200000,0.138,0.14651,0.13565,0.14293,1516929.08115039
PLUME-EUR,1740700800000,0.14083,0.14728,0.12447,0.13754,2699331.87982607
PLUME-EUR,1740614400000,0.12569,0.14122,0.12569,0.14067,3076227.34813272
PLUME-EUR,1740528000000,0.12235,0.12972,0.11906,0.12569,1604638.71066185
PLUME-EUR,1740441600000,0.1219,0.12415,0.10754,0.12141,1815622.15490937
PLUME-EUR,1740355200000,0.13568,0.13616,0.12021,0.12253,1939077.03349916
PLUME-EUR,1740268800000,0.1413,0.14746,0.134,0.13468,2420785.52796587
PLUME-EUR,1740182400000,0.13748,0.14114,0.12995,0.14038,1904347.22251143
PLUME-EUR,1740096000000,0.1356,0.15455,0.1239,0.13673,8574057.60770829
PLUME-EUR,1740009600000,0.14715,0.14715,0.132,0.13587,3546780.60924948
PLUME-EUR,1739923200000,0.13636,0.14784,0.13439,0.14711,4513714.72074689
PLUME-EUR,1739836800000,0.12037,0.14515,0.1196,0.13582,18575419.70021955
