market,time,open,high,low,close,volume
PNUT-EUR,1741132800000,0.19714,0.20113,0.17877,0.18782,5191297.466751
PNUT-EUR,1741046400000,0.19327,0.22043,0.17,0.20559,10867906.546396
PNUT-EUR,1740960000000,0.22847,0.23882,0.18431,0.18779,6774382.264986
PNUT-EUR,1740873600000,0.22165,0.2486,0.21446,0.22998,9041395.575103
PNUT-EUR,1740787200000,0.24048,0.25571,0.20724,0.22682,8903491.914843
PNUT-EUR,1740700800000,0.17876,0.29767,0.17155,0.25201,23074495.846048
PNUT-EUR,1740614400000,0.19847,0.20619,0.16972,0.17859,4803725.435684
PNUT-EUR,1740528000000,0.16625,0.2142,0.1648,0.19853,10718478.925519
PNUT-EUR,1740441600000,0.14353,0.177,0.136,0.16637,10487549.667712
PNUT-EUR,1740355200000,0.17125,0.17376,0.13681,0.14269,3080855.243989
PNUT-EUR,1740268800000,0.21033,0.21072,0.16644,0.1709,12541132.405328
PNUT-EUR,1740182400000,0.14091,0.23897,0.14091,0.20994,32221656.64666401
PNUT-EUR,1740096000000,0.13837,0.15196,0.13522,0.13873,2138216.037053
PNUT-EUR,1740009600000,0.13564,0.13805,0.1308,0.13741,694114.740922
PNUT-EUR,1739923200000,0.13603,0.13985,0.13114,0.13292,554903.393134
PNUT-EUR,1739836800000,0.14413,0.14431,0.12751,0.13714,850059.107579
PNUT-EUR,1739750400000,0.1449,0.14692,0.135,0.14268,566526.233255
PNUT-EUR,1739664000000,0.14765,0.14997,0.14188,0.14415,813653.042156
PNUT-EUR,1739577600000,0.17275,0.17483,0.14647,0.14784,2282574.312358
PNUT-EUR,1739491200000,0.14234,0.19422,0.142,0.17476,6025433.860939
PNUT-EUR,1739404800000,0.14881,0.155,0.13896,0.13947,663052.424057
PNUT-EUR,1739318400000,0.15602,0.15694,0.13426,0.14725,3058425.073378
PNUT-EUR,1739232000000,0.16478,0.17352,0.14801,0.15711,5119740.518177
PNUT-EUR,1739145600000,0.16413,0.169,0.15565,0.16412,439667.912277
PNUT-EUR,1739059200000,0.16891,0.1758,0.15306,0.16099,358208.742588
PNUT-EUR,1738972800000,0.14916,0.17542,0.14916,0.16944,1052168.011997
