market,time,open,high,low,close,volume
POLS-EUR,1741132800000,0.26554,0.26791,0.24695,0.25075,135906.77026551
POLS-EUR,1741046400000,0.25,0.287,0.24281,0.25556,619113.54095865
POLS-EUR,1740960000000,0.24801,0.289,0.24187,0.2461,719214.27645026
POLS-EUR,1740873600000,0.2927,0.30785,0.25362,0.27643,2061364.54538359
POLS-EUR,1740787200000,0.28998,0.36921,0.2284,0.3207,6972148.92112854
POLS-EUR,1740700800000,0.23448,0.23448,0.20848,0.22981,153649.55927983
POLS-EUR,1740614400000,0.23779,0.24348,0.23415,0.24348,29369.57549662
POLS-EUR,1740528000000,0.23598,0.24387,0.22776,0.23458,110423.70285671
POLS-EUR,1740441600000,0.2417,0.25531,0.22655,0.23846,208737.30691155
POLS-EUR,1740355200000,0.26839,0.26839,0.23912,0.24034,90685.70771432
POLS-EUR,1740268800000,0.27379,0.27769,0.26846,0.27003,48148.84065539
POLS-EUR,1740182400000,0.26705,0.27552,0.2667,0.27409,106834.2531256
POLS-EUR,1740096000000,0.29357,0.3,0.26565,0.26565,636374.52767588
POLS-EUR,1740009600000,0.35919,0.38,0.27574,0.29311,586388.4958329
POLS-EUR,1739923200000,0.27061,0.36118,0.27,0.35891,213288.80404837
POLS-EUR,1739836800000,0.28955,0.29083,0.26682,0.27,63178.10012141
POLS-EUR,1739750400000,0.28,0.30088,0.27799,0.29048,69940.50187806
POLS-EUR,1739664000000,0.28303,0.28699,0.2773,0.2773,17787.90259436
POLS-EUR,1739577600000,0.29215,0.29215,0.28201,0.2824,18273.58098704
POLS-EUR,1739491200000,0.2874,0.30065,0.28342,0.28737,78251.47205397
POLS-EUR,1739404800000,0.30281,0.33129,0.28723,0.28795,73154.72992988
POLS-EUR,1739318400000,0.29374,0.30658,0.28102,0.30107,57859.29629988
POLS-EUR,1739232000000,0.32106,0.32933,0.286,0.2934,276498.07336681
POLS-EUR,1739145600000,0.27493,0.36514,0.27131,0.32489,1317981.07779947
POLS-EUR,1739059200000,0.28268,0.28689,0.27017,0.27621,52686.05545483
POLS-EUR,1738972800000,0.28327,0.28652,0.272,0.28168,69696.62222679
POLS-EUR,1738886400000,0.28745,0.29528,0.28203,0.28396,130715.07638673
POLS-EUR,1738800000000,0.31185,0.32633,0.28716,0.29428,102476.20031178
POLS-EUR,1738713600000,0.31592,0.32956,0.30421,0.30619,335028.32244805
POLS-EUR,1738627200000,0.30929,0.37172,0.30045,0.31592,688386.37011443
POLS-EUR,1738540800000,0.28225,0.325,0.25513,0.31231,122125.42715149
POLS-EUR,1738454400000,0.34758,0.35299,0.28596,0.28931,225603.02590849
POLS-EUR,1738368000000,0.40606,0.41923,0.34388,0.34889,505107.20039381
