market,time,open,high,low,close,volume
POLYX-EUR,1741132800000,0.13916,0.14129,0.1349,0.13493,28282.563398
POLYX-EUR,1741046400000,0.13681,0.13893,0.12853,0.13707,88463.665434
POLYX-EUR,1740960000000,0.16077,0.1684,0.14277,0.14318,132859.4372
POLYX-EUR,1740873600000,0.15814,0.17091,0.15606,0.16981,68784.014347
POLYX-EUR,1740787200000,0.15562,0.1586,0.1517,0.15599,59571.079231
POLYX-EUR,1740700800000,0.15096,0.15779,0.1446,0.15632,212742.818986
POLYX-EUR,1740614400000,0.15173,0.16159,0.15173,0.15439,2168706.11905
POLYX-EUR,1740528000000,0.15232,0.15462,0.14618,0.1533,39403.091615
POLYX-EUR,1740441600000,0.15383,0.15657,0.1455,0.15489,83814.807095
POLYX-EUR,1740355200000,0.17304,0.17304,0.15519,0.15519,158654.10789
POLYX-EUR,1740268800000,0.17161,0.17651,0.17099,0.17189,169055.104474
POLYX-EUR,1740182400000,0.16569,0.17414,0.16569,0.173,35026.373302
POLYX-EUR,1740096000000,0.16956,0.17728,0.1656,0.16573,35050.557556
POLYX-EUR,1740009600000,0.16749,0.17147,0.16723,0.17117,27979.296025
POLYX-EUR,1739923200000,0.16224,0.17068,0.16224,0.16454,333151.770759
POLYX-EUR,1739836800000,0.17234,0.17588,0.15516,0.16002,181546.505684
POLYX-EUR,1739750400000,0.17893,0.19332,0.16392,0.17181,1084436.630462
POLYX-EUR,1739664000000,0.174,0.19221,0.17358,0.1795,709600.666649
POLYX-EUR,1739577600000,0.17775,0.1779,0.17196,0.17359,18063.498546
POLYX-EUR,1739491200000,0.17759,0.1818,0.17636,0.17835,173243.409347
POLYX-EUR,1739404800000,0.18367,0.18387,0.1732,0.17556,63697.64289
POLYX-EUR,1739318400000,0.17162,0.18658,0.17022,0.18294,291663.137701
POLYX-EUR,1739232000000,0.17815,0.18356,0.16961,0.17292,75763.308897
POLYX-EUR,1739145600000,0.17418,0.18234,0.16856,0.17416,153106.580967
POLYX-EUR,1739059200000,0.17168,0.17731,0.16578,0.17164,124089.517252
POLYX-EUR,1738972800000,0.16425,0.17105,0.1617,0.17105,50689.259858
POLYX-EUR,1738886400000,0.16207,0.17416,0.16021,0.16227,150742.053344
POLYX-EUR,1738800000000,0.17002,0.17518,0.16055,0.16055,106265.199423
POLYX-EUR,1738713600000,0.17046,0.17383,0.16566,0.17061,37673.970365
POLYX-EUR,1738627200000,0.17879,0.17914,0.16463,0.17057,160464.13281
POLYX-EUR,1738540800000,0.17648,0.18393,0.13756,0.18269,856445.241589
POLYX-EUR,1738454400000,0.20201,0.20638,0.172,0.17603,443750.788111
POLYX-EUR,1738368000000,0.22403,0.22403,0.2048,0.20599,17649.976537
POLYX-EUR,1738281600000,0.22142,0.22875,0.21897,0.2214,31569.236988
POLYX-EUR,1738195200000,0.2156,0.22819,0.2156,0.22413,9425.173134
POLYX-EUR,1738108800000,0.21456,0.21957,0.21055,0.21686,50482.658674
POLYX-EUR,1738022400000,0.2242,0.22755,0.2113,0.21145,56893.258969
POLYX-EUR,1737936000000,0.2337,0.2337,0.20962,0.22401,62194.792878
POLYX-EUR,1737849600000,0.239,0.25688,0.23761,0.23764,423063.21028
POLYX-EUR,1737763200000,0.23062,0.23843,0.22777,0.23784,81677.290137
POLYX-EUR,1737676800000,0.23634,0.24406,0.231,0.231,23089.278447
POLYX-EUR,1737590400000,0.23578,0.24132,0.22832,0.23003,90226.22177
POLYX-EUR,1737504000000,0.24461,0.24538,0.23768,0.23789,77884.81799
POLYX-EUR,1737417600000,0.23867,0.25336,0.234,0.24756,134083.244465
POLYX-EUR,1737331200000,0.23976,0.2645,0.23582,0.24348,536375.071331
POLYX-EUR,1737244800000,0.26664,0.26861,0.24,0.24236,279546.433311
POLYX-EUR,1737158400000,0.28,0.2831,0.25941,0.26791,47725.887726
POLYX-EUR,1737072000000,0.26582,0.28349,0.26582,0.28002,68928.363783
POLYX-EUR,1736985600000,0.2734,0.27461,0.2627,0.26673,53662.985474
POLYX-EUR,1736899200000,0.26491,0.27325,0.25302,0.27324,120739.251437
POLYX-EUR,1736812800000,0.25233,0.2643,0.24935,0.26188,17293.143969
POLYX-EUR,1736726400000,0.2667,0.27544,0.237,0.25321,242372.990085
POLYX-EUR,1736640000000,0.27741,0.28504,0.26687,0.26834,50125.45515
POLYX-EUR,1736553600000,0.27735,0.28715,0.27197,0.27582,14982.608764
