market,time,open,high,low,close,volume
PORTAL-EUR,1741132800000,0.10703,0.11167,0.10363,0.10981,544994.54462576
PORTAL-EUR,1741046400000,0.11013,0.11329,0.09752,0.10386,685253.63867523
PORTAL-EUR,1740960000000,0.13624,0.13624,0.1119,0.12318,399026.51943886
PORTAL-EUR,1740873600000,0.12562,0.13783,0.12371,0.13783,266408.68847337
PORTAL-EUR,1740787200000,0.1288,0.12893,0.12184,0.12401,131130.32073274
PORTAL-EUR,1740700800000,0.128,0.13178,0.11974,0.12956,554565.82142147
PORTAL-EUR,1740614400000,0.12823,0.13118,0.12457,0.12576,124761.75419361
PORTAL-EUR,1740528000000,0.11829,0.1306,0.11763,0.12697,341564.7559202
PORTAL-EUR,1740441600000,0.11191,0.12047,0.10719,0.11879,496455.93189003
PORTAL-EUR,1740355200000,0.12856,0.12856,0.1107,0.1145,207835.34394905
PORTAL-EUR,1740268800000,0.138,0.13872,0.13177,0.13204,44430.63566611
PORTAL-EUR,1740182400000,0.13103,0.13916,0.13047,0.13916,142514.40299103
PORTAL-EUR,1740096000000,0.13897,0.14498,0.12984,0.13163,92069.96730408
PORTAL-EUR,1740009600000,0.13245,0.13683,0.13175,0.13683,152943.55955544
PORTAL-EUR,1739923200000,0.12822,0.13413,0.1275,0.13182,83927.78900096
PORTAL-EUR,1739836800000,0.13519,0.13519,0.1228,0.12833,88010.9955252
PORTAL-EUR,1739750400000,0.13704,0.14377,0.13252,0.1358,23851.73996989
PORTAL-EUR,1739664000000,0.13844,0.14362,0.13614,0.13724,97055.70361701
PORTAL-EUR,1739577600000,0.14329,0.14494,0.13752,0.13772,61814.12192513
PORTAL-EUR,1739491200000,0.14154,0.14896,0.1403,0.1431,110236.09951962
PORTAL-EUR,1739404800000,0.1464,0.15046,0.13818,0.13974,116468.24446208
PORTAL-EUR,1739318400000,0.13567,0.14999,0.13042,0.14807,922905.23079407
PORTAL-EUR,1739232000000,0.13341,0.14134,0.12918,0.13227,72259.62424511
PORTAL-EUR,1739145600000,0.12855,0.14021,0.12188,0.13336,113613.28286813
PORTAL-EUR,1739059200000,0.13192,0.13524,0.11905,0.12529,116784.39550115
PORTAL-EUR,1738972800000,0.12549,0.13434,0.12291,0.13291,142436.42353263
PORTAL-EUR,1738886400000,0.12624,0.13526,0.11895,0.12473,546472.59711086
PORTAL-EUR,1738800000000,0.13351,0.13351,0.12086,0.12299,165423.98617351
PORTAL-EUR,1738713600000,0.13501,0.13779,0.1294,0.1319,532021.32735054
PORTAL-EUR,1738627200000,0.15086,0.15087,0.13097,0.13516,561767.67974259
PORTAL-EUR,1738540800000,0.14565,0.1521,0.10485,0.1491,1852818.79904915
PORTAL-EUR,1738454400000,0.17818,0.18146,0.14151,0.14815,878736.09601148
PORTAL-EUR,1738368000000,0.20463,0.20612,0.17665,0.17766,105976.97977084
PORTAL-EUR,1738281600000,0.19709,0.21072,0.19341,0.20396,184008.26610397
PORTAL-EUR,1738195200000,0.18853,0.19773,0.18853,0.19647,95220.04814634
PORTAL-EUR,1738108800000,0.17693,0.19444,0.17664,0.18874,296503.48727711
PORTAL-EUR,1738022400000,0.20348,0.20422,0.17507,0.17769,150623.63546013
PORTAL-EUR,1737936000000,0.205,0.20558,0.1775,0.20078,317057.6872554
PORTAL-EUR,1737849600000,0.21241,0.2192,0.20611,0.207,297880.86023563
PORTAL-EUR,1737763200000,0.2105,0.21507,0.20332,0.21073,130377.50715181
PORTAL-EUR,1737676800000,0.22271,0.22833,0.21184,0.21292,97678.45472415
PORTAL-EUR,1737590400000,0.22913,0.23061,0.21692,0.21904,370182.61465026
PORTAL-EUR,1737504000000,0.23631,0.23933,0.22961,0.23022,129414.27703441
PORTAL-EUR,1737417600000,0.22712,0.24156,0.21773,0.23611,235153.34057948
PORTAL-EUR,1737331200000,0.23211,0.25225,0.21481,0.23167,901409.8799979
PORTAL-EUR,1737244800000,0.25853,0.2653,0.22811,0.23178,781042.0913826
PORTAL-EUR,1737158400000,0.29151,0.29465,0.25302,0.25911,186619.400066
PORTAL-EUR,1737072000000,0.26902,0.29632,0.26785,0.2938,151108.59684465
PORTAL-EUR,1736985600000,0.28012,0.28012,0.26592,0.26592,282828.98141785
PORTAL-EUR,1736899200000,0.2601,0.28322,0.25013,0.28233,436251.11703206
PORTAL-EUR,1736812800000,0.24381,0.26481,0.24381,0.26332,138574.4500407
PORTAL-EUR,1736726400000,0.26075,0.26836,0.22696,0.24368,574530.10835277
PORTAL-EUR,1736640000000,0.26615,0.26767,0.25642,0.25796,39929.36234978
PORTAL-EUR,1736553600000,0.27,0.27413,0.26112,0.26832,74341.82672804
PORTAL-EUR,1736467200000,0.26444,0.27703,0.26342,0.27324,318874.56180451
PORTAL-EUR,1736380800000,0.28412,0.28412,0.25741,0.26258,191829.65159391
PORTAL-EUR,1736294400000,0.29911,0.30163,0.263,0.28252,152854.76665619
PORTAL-EUR,1736208000000,0.33973,0.33973,0.29896,0.29896,210747.67639064
PORTAL-EUR,1736121600000,0.34222,0.36037,0.33739,0.33943,175766.91231411
PORTAL-EUR,1736035200000,0.3417,0.34616,0.33395,0.3424,97195.12644588
PORTAL-EUR,1735948800000,0.34414,0.35133,0.33856,0.34637,122675.62732251
PORTAL-EUR,1735862400000,0.31749,0.34543,0.31619,0.34118,138830.99546228
PORTAL-EUR,1735776000000,0.30275,0.33103,0.30266,0.31982,176392.61303241
PORTAL-EUR,1735689600000,0.29531,0.30599,0.28739,0.30411,166711.60003159
PORTAL-EUR,1735603200000,0.29539,0.30634,0.28661,0.2935,106343.293045
PORTAL-EUR,1735516800000,0.29781,0.30937,0.29053,0.29671,88479.7964369
PORTAL-EUR,1735430400000,0.30944,0.31133,0.296,0.29917,40379.51186099
PORTAL-EUR,1735344000000,0.30401,0.3189,0.29859,0.31243,72409.02189421
PORTAL-EUR,1735257600000,0.29647,0.32188,0.29417,0.30317,174280.17471178
PORTAL-EUR,1735171200000,0.31735,0.32041,0.28886,0.29326,211585.88107289
PORTAL-EUR,1735084800000,0.32645,0.32931,0.31208,0.31791,124276.91844491
PORTAL-EUR,1734998400000,0.31351,0.33203,0.30566,0.3266,107808.85908319
PORTAL-EUR,1734912000000,0.28722,0.32025,0.28291,0.31591,223276.09320128
PORTAL-EUR,1734825600000,0.29852,0.30119,0.27956,0.28875,180027.39146881
PORTAL-EUR,1734739200000,0.32529,0.34516,0.29122,0.29253,83975.82425168
PORTAL-EUR,1734652800000,0.30304,0.32574,0.26754,0.32325,752155.5298383
PORTAL-EUR,1734566400000,0.33678,0.34533,0.2932,0.30578,649681.69974936
PORTAL-EUR,1734480000000,0.37621,0.37747,0.32855,0.35061,367999.9496969
PORTAL-EUR,1734393600000,0.40486,0.40714,0.37098,0.3732,367641.78475889
PORTAL-EUR,1734307200000,0.43083,0.44075,0.4,0.41,147472.1489951
PORTAL-EUR,1734220800000,0.41793,0.43031,0.39878,0.4275,171933.9351778
PORTAL-EUR,1734134400000,0.45675,0.4603,0.40906,0.41875,133982.66769944
PORTAL-EUR,1734048000000,0.46552,0.47162,0.44741,0.45574,249375.8764763
PORTAL-EUR,1733961600000,0.46836,0.49121,0.45635,0.46542,339619.5018984
PORTAL-EUR,1733875200000,0.41275,0.47613,0.40302,0.46825,306390.07605529
PORTAL-EUR,1733788800000,0.42076,0.44406,0.38013,0.42092,518278.14328049
PORTAL-EUR,1733702400000,0.53297,0.53297,0.3566,0.42828,1274447.06932766
PORTAL-EUR,1733616000000,0.53829,0.5403,0.515,0.53438,130125.84114563
PORTAL-EUR,1733529600000,0.53142,0.55126,0.51118,0.54018,404944.56852673
PORTAL-EUR,1733443200000,0.49219,0.55833,0.49001,0.52718,979434.85111352
PORTAL-EUR,1733356800000,0.47514,0.52,0.45162,0.49304,647864.87436999
PORTAL-EUR,1733270400000,0.48355,0.50805,0.46999,0.47611,591473.68754266
PORTAL-EUR,1733184000000,0.4373,0.4929,0.42013,0.48818,977351.45935875
PORTAL-EUR,1733097600000,0.42152,0.44016,0.38501,0.43936,709178.05603605
PORTAL-EUR,1733011200000,0.40263,0.43303,0.39041,0.42111,668261.3526089
PORTAL-EUR,1732924800000,0.39178,0.41311,0.388,0.40587,355448.5165096
PORTAL-EUR,1732838400000,0.37843,0.39923,0.36482,0.39331,191550.97688249
PORTAL-EUR,1732752000000,0.37504,0.39711,0.36561,0.3851,328807.6490991
PORTAL-EUR,1732665600000,0.3481,0.37959,0.34563,0.37932,164479.52204418
PORTAL-EUR,1732579200000,0.36438,0.3681,0.32627,0.35234,255267.67773261
PORTAL-EUR,1732492800000,0.38479,0.38479,0.34312,0.36266,541337.50339958
PORTAL-EUR,1732406400000,0.34119,0.39043,0.32735,0.38556,731401.91505914
PORTAL-EUR,1732320000000,0.3071,0.34391,0.30553,0.33746,505307.14019724
PORTAL-EUR,1732233600000,0.2979,0.30808,0.28368,0.30808,273200.79290767
PORTAL-EUR,1732147200000,0.27105,0.30105,0.258,0.2963,546804.54030115
PORTAL-EUR,1732060800000,0.2901,0.29071,0.26418,0.27261,730058.92955689
PORTAL-EUR,1731974400000,0.30414,0.30895,0.28404,0.29223,152834.44446235
PORTAL-EUR,1731888000000,0.29762,0.31589,0.29573,0.31189,266478.81682742
PORTAL-EUR,1731801600000,0.32746,0.32759,0.29156,0.29875,244125.5732661
