market,time,open,high,low,close,volume
PUFFER-EUR,1741132800000,0.2567,0.26116,0.24599,0.24681,17373.97791691
PUFFER-EUR,1741046400000,0.2585,0.27282,0.23546,0.25724,10796.17487027
PUFFER-EUR,1740960000000,0.31926,0.33416,0.27912,0.28419,10746.45099569
PUFFER-EUR,1740873600000,0.31041,0.34102,0.30711,0.33658,1731.96467229
PUFFER-EUR,1740787200000,0.31316,0.31662,0.30364,0.30811,10885.07149952
PUFFER-EUR,1740700800000,0.31425,0.32033,0.29422,0.32033,3633.87837801
PUFFER-EUR,1740614400000,0.32609,0.32609,0.31129,0.31776,5328.8091781
PUFFER-EUR,1740528000000,0.31574,0.32235,0.3,0.32235,7129.86435186
PUFFER-EUR,1740441600000,0.31208,0.32183,0.28876,0.32183,5758.9341721
PUFFER-EUR,1740355200000,0.35625,0.35625,0.31675,0.31675,44420.30377993
PUFFER-EUR,1740268800000,0.36131,0.37859,0.3565,0.36258,6136.92694557
PUFFER-EUR,1740182400000,0.35461,0.38224,0.35345,0.36608,71663.56390932
PUFFER-EUR,1740096000000,0.39135,0.40877,0.34443,0.35747,196302.5864694
PUFFER-EUR,1740009600000,0.36953,0.39796,0.36839,0.38726,94134.92296978
PUFFER-EUR,1739923200000,0.3657,0.37058,0.35744,0.36428,17952.25392534
PUFFER-EUR,1739836800000,0.37057,0.3798,0.35,0.36263,31370.49161209
PUFFER-EUR,1739750400000,0.39797,0.39901,0.37087,0.37667,13281.44663995
PUFFER-EUR,1739664000000,0.40006,0.4019,0.39462,0.40069,3656.18704933
PUFFER-EUR,1739577600000,0.40739,0.40739,0.39754,0.39754,131.9729438
PUFFER-EUR,1739491200000,0.4,0.41653,0.39868,0.41332,3916.87555966
PUFFER-EUR,1739404800000,0.41466,0.42269,0.39246,0.39441,4307.03952038
PUFFER-EUR,1739318400000,0.40928,0.41811,0.39531,0.41766,11345.87070394
PUFFER-EUR,1739232000000,0.40943,0.4289,0.39567,0.39567,15425.13099297
PUFFER-EUR,1739145600000,0.39633,0.3982,0.37949,0.3966,4244.08335509
PUFFER-EUR,1739059200000,0.39897,0.40547,0.37,0.37915,34080.6976815
PUFFER-EUR,1738972800000,0.41283,0.41283,0.37223,0.39725,238593.95861368
PUFFER-EUR,1738886400000,0.43339,0.44625,0.41501,0.41501,76855.60711654
PUFFER-EUR,1738800000000,0.44616,0.47518,0.42098,0.42329,111414.69013094
PUFFER-EUR,1738713600000,0.43788,0.47419,0.43054,0.43054,68638.50837817
PUFFER-EUR,1738627200000,0.43926,0.46945,0.41638,0.42914,142137.09064002
PUFFER-EUR,1738540800000,0.4192,0.45103,0.35196,0.45103,96049.77091649
PUFFER-EUR,1738454400000,0.47962,0.49452,0.42621,0.43399,35512.90948216
PUFFER-EUR,1738368000000,0.53742,0.54362,0.49377,0.49465,19063.92844533
PUFFER-EUR,1738281600000,0.55006,0.57937,0.53419,0.54956,9081.48235967
PUFFER-EUR,1738195200000,0.54719,0.58467,0.54719,0.57234,47064.02450239
PUFFER-EUR,1738108800000,0.5014,0.5534,0.5014,0.54136,74913.74208897
PUFFER-EUR,1738022400000,0.52612,0.54878,0.48848,0.48848,105332.58863455
PUFFER-EUR,1737936000000,0.50541,0.51798,0.46294,0.51581,47188.41411177
PUFFER-EUR,1737849600000,0.53152,0.54885,0.51232,0.51232,30225.76456713
