market,time,open,high,low,close,volume
PYR-EUR,1741132800000,1.5229,1.5436,1.488,1.5387,25715.49819783
PYR-EUR,1741046400000,1.5153,1.5914,1.4611,1.5391,13773.82722192
PYR-EUR,1740960000000,1.8469,1.8726,1.5551,1.5856,39492.71838516
PYR-EUR,1740873600000,1.7077,1.8889,1.6807,1.8889,14498.54085642
PYR-EUR,1740787200000,1.6943,1.7388,1.673,1.7063,3694.91616756
PYR-EUR,1740700800000,1.7871,1.7871,1.6516,1.7304,7644.2518834
PYR-EUR,1740614400000,1.7504,1.8035,1.7401,1.7672,40436.27771516
PYR-EUR,1740528000000,1.7186,1.778,1.6692,1.7584,14534.25851848
PYR-EUR,1740441600000,1.7284,1.741,1.5939,1.7233,23484.38087023
PYR-EUR,1740355200000,1.9549,1.9549,1.6952,1.7274,27842.15050261
PYR-EUR,1740268800000,1.957,2.0548,1.9099,1.9374,12520.89279421
PYR-EUR,1740182400000,1.9136,1.9599,1.9136,1.9414,3078.94880472
PYR-EUR,1740096000000,1.9334,2.0432,1.839,1.9021,32697.31896468
PYR-EUR,1740009600000,1.7886,1.9769,1.7886,1.9495,13464.41309498
PYR-EUR,1739923200000,1.8073,1.8568,1.7636,1.7887,23511.18769618
PYR-EUR,1739836800000,1.858,1.858,1.7382,1.7838,8036.70153111
PYR-EUR,1739750400000,1.926,1.9656,1.8636,1.8992,6515.74563949
PYR-EUR,1739664000000,1.9107,1.9511,1.8844,1.9213,6979.77028428
PYR-EUR,1739577600000,1.9827,1.9827,1.9006,1.9164,3168.5243864
PYR-EUR,1739491200000,1.9745,2.0637,1.9524,1.976,34286.09942673
PYR-EUR,1739404800000,1.9676,1.9934,1.9107,1.9918,11037.3094528
PYR-EUR,1739318400000,1.8575,1.9922,1.8226,1.9918,2951.14913557
PYR-EUR,1739232000000,1.938,1.9918,1.8697,1.8969,14126.65189275
PYR-EUR,1739145600000,1.9027,1.936,1.8264,1.9012,4276.36468915
PYR-EUR,1739059200000,1.9399,1.9841,1.7986,1.8543,4619.58232119
PYR-EUR,1738972800000,1.8192,1.9506,1.786,1.9203,22878.16651944
PYR-EUR,1738886400000,1.8543,1.9248,1.7471,1.797,19019.61874872
PYR-EUR,1738800000000,1.9629,1.9639,1.7957,1.8051,16545.00010468
PYR-EUR,1738713600000,1.9756,2.0416,1.91,1.9359,13852.19796929
PYR-EUR,1738627200000,2.0726,2.08,1.886,2.008,9099.09642273
PYR-EUR,1738540800000,2.0915,2.1098,1.5584,2.0918,57393.27236178
PYR-EUR,1738454400000,2.4748,2.4748,1.9745,2.1009,33713.15858385
PYR-EUR,1738368000000,2.6289,2.6289,2.4082,2.4207,8940.70404895
PYR-EUR,1738281600000,2.7043,2.8289,2.5949,2.6081,6817.39515587
PYR-EUR,1738195200000,2.6255,2.7541,2.59,2.7338,29139.04371387
PYR-EUR,1738108800000,2.5277,2.7024,2.5277,2.6351,15860.02736893
PYR-EUR,1738022400000,2.759,2.8465,2.5094,2.5331,24261.64958303
PYR-EUR,1737936000000,2.4704,2.8522,2.399,2.7477,164285.04312585
PYR-EUR,1737849600000,2.6628,2.79,2.4558,2.4704,87237.50419255
PYR-EUR,1737763200000,2.63,2.8756,2.4728,2.676,75930.58656825
PYR-EUR,1737676800000,2.8957,2.9761,2.6478,2.6586,59603.73298461
PYR-EUR,1737590400000,2.5822,3.0872,2.5384,2.9065,447247.57263182
PYR-EUR,1737504000000,2.6331,2.6602,2.5428,2.6307,44775.20245389
PYR-EUR,1737417600000,2.4999,2.6814,2.44,2.598,60881.50706189
PYR-EUR,1737331200000,2.5539,2.8141,2.4549,2.5076,72325.23808596
PYR-EUR,1737244800000,2.8474,2.8721,2.529,2.5753,53120.66169027
PYR-EUR,1737158400000,3.0803,3.0932,2.7437,2.8656,47654.05367442
PYR-EUR,1737072000000,2.7587,3.531,2.7587,3.117,177885.24209673
PYR-EUR,1736985600000,2.7764,2.8133,2.6645,2.7355,25165.4549249
PYR-EUR,1736899200000,2.6302,2.7859,2.535,2.7806,30410.29017033
PYR-EUR,1736812800000,2.6473,2.6793,2.5966,2.6267,11880.61553429
PYR-EUR,1736726400000,2.7588,2.763,2.4136,2.6248,55793.49218411
PYR-EUR,1736640000000,2.7413,2.7843,2.6933,2.6933,8899.96703893
PYR-EUR,1736553600000,2.7399,2.7447,2.68,2.7435,3303.36088885
PYR-EUR,1736467200000,2.7356,2.7977,2.6768,2.7491,8201.77797355
PYR-EUR,1736380800000,2.8099,2.8596,2.676,2.7238,12849.09452535
PYR-EUR,1736294400000,2.9532,2.99,2.7191,2.8054,28679.44027581
PYR-EUR,1736208000000,3.3217,3.5062,2.9579,2.9763,41576.23357889
PYR-EUR,1736121600000,3.1868,3.3659,3.1521,3.338,23616.14762427
PYR-EUR,1736035200000,3.1807,3.22,3.1379,3.1734,3804.53080154
PYR-EUR,1735948800000,3.192,3.2372,3.1157,3.1757,11139.0673017
PYR-EUR,1735862400000,3.0688,3.253,2.9927,3.2524,5749.39375061
PYR-EUR,1735776000000,3.0119,3.0964,2.99,3.0618,22281.38369408
PYR-EUR,1735689600000,2.9294,3.0059,2.83,2.9948,21259.7013257
PYR-EUR,1735603200000,2.9291,3.0819,2.88,2.94,35960.73403462
PYR-EUR,1735516800000,3.0014,3.09,2.8866,2.9453,45135.78348726
PYR-EUR,1735430400000,3.1625,3.1838,2.9724,3.0043,9596.58574026
PYR-EUR,1735344000000,3.1326,3.2246,3.07,3.171,12732.86952011
PYR-EUR,1735257600000,3.122,3.2336,3.056,3.1532,6843.01858854
PYR-EUR,1735171200000,3.2458,3.2571,2.995,3.0171,3585.1379236
