market,time,open,high,low,close,volume
PYTH-EUR,1741219200000,0.1732,0.1732,0.1732,0.1732,51.833464
PYTH-EUR,1741132800000,0.16836,0.17491,0.16385,0.166,1692366.273035
PYTH-EUR,1741046400000,0.17404,0.17442,0.15465,0.15971,1055299.23329
PYTH-EUR,1740960000000,0.19726,0.21233,0.172,0.17641,1412568.084558
PYTH-EUR,1740873600000,0.19649,0.21655,0.19133,0.21252,6208583.921899
PYTH-EUR,1740787200000,0.20144,0.20397,0.19051,0.19229,1569316.742286
PYTH-EUR,1740700800000,0.20264,0.20437,0.182,0.20134,926548.72225
PYTH-EUR,1740614400000,0.20202,0.21104,0.1982,0.202,2005375.158693
PYTH-EUR,1740528000000,0.19878,0.20633,0.19101,0.20156,784664.635032
PYTH-EUR,1740441600000,0.19775,0.20386,0.18005,0.19855,6488539.033097
PYTH-EUR,1740355200000,0.23522,0.23831,0.19468,0.19667,2330310.276664
PYTH-EUR,1740268800000,0.22768,0.23654,0.22445,0.23526,1881332.77336
PYTH-EUR,1740182400000,0.22268,0.23971,0.22167,0.22869,2443666.569513
PYTH-EUR,1740096000000,0.23199,0.2441,0.21836,0.2232,4269787.293961
PYTH-EUR,1740009600000,0.20433,0.25175,0.2043,0.23078,5496001.071864
PYTH-EUR,1739923200000,0.20185,0.20882,0.19188,0.20344,2429265.869948
PYTH-EUR,1739836800000,0.19726,0.21576,0.18771,0.2026,3896577.789554
PYTH-EUR,1739750400000,0.2,0.21,0.19412,0.20032,340384.408388
PYTH-EUR,1739664000000,0.20363,0.20805,0.19701,0.20136,298487.989361
PYTH-EUR,1739577600000,0.22146,0.22146,0.20166,0.20355,467855.268367
PYTH-EUR,1739491200000,0.19536,0.238,0.19526,0.22198,1856630.800649
PYTH-EUR,1739404800000,0.20449,0.207,0.19287,0.19544,276463.56541
PYTH-EUR,1739318400000,0.19275,0.20789,0.18691,0.20416,523335.602035
PYTH-EUR,1739232000000,0.19477,0.20902,0.19,0.19337,310646.860969
PYTH-EUR,1739145600000,0.18982,0.19845,0.18362,0.19457,196579.745304
PYTH-EUR,1739059200000,0.18438,0.19718,0.18049,0.18925,303150.895829
PYTH-EUR,1738972800000,0.17199,0.18432,0.16881,0.18432,481772.298695
PYTH-EUR,1738886400000,0.17731,0.18692,0.16633,0.17191,552701.29784
PYTH-EUR,1738800000000,0.19053,0.19543,0.17439,0.17439,406365.52165
PYTH-EUR,1738713600000,0.197,0.20165,0.1875,0.19002,377957.831152
PYTH-EUR,1738627200000,0.21821,0.22043,0.19086,0.19791,299610.660888
PYTH-EUR,1738540800000,0.21758,0.22043,0.1601,0.21757,1839469.796846
PYTH-EUR,1738454400000,0.24771,0.25277,0.21,0.21774,650566.100787
PYTH-EUR,1738368000000,0.27447,0.27781,0.24659,0.24891,565040.636707
PYTH-EUR,1738281600000,0.27632,0.28584,0.27296,0.27497,261165.180721
PYTH-EUR,1738195200000,0.26395,0.27956,0.26059,0.27728,135677.129142
PYTH-EUR,1738108800000,0.25547,0.2721,0.254,0.265,388014.150679
PYTH-EUR,1738022400000,0.27893,0.2821,0.255,0.25649,359389.805772
PYTH-EUR,1737936000000,0.29,0.29,0.26,0.27784,347495.837015
PYTH-EUR,1737849600000,0.30129,0.31073,0.2907,0.2907,221347.167886
PYTH-EUR,1737763200000,0.29557,0.30721,0.29086,0.3033,139762.299141
PYTH-EUR,1737676800000,0.30675,0.31361,0.29407,0.29485,226784.538697
PYTH-EUR,1737590400000,0.31107,0.31107,0.293,0.30788,244452.897783
PYTH-EUR,1737504000000,0.30843,0.32117,0.30313,0.31187,515680.050987
PYTH-EUR,1737417600000,0.29698,0.31922,0.285,0.30676,545347.703932
PYTH-EUR,1737331200000,0.3103,0.33479,0.29355,0.30145,1225219.447991
PYTH-EUR,1737244800000,0.34512,0.35935,0.30608,0.30947,1179328.852468
PYTH-EUR,1737158400000,0.34732,0.36,0.32424,0.34701,770135.753353
PYTH-EUR,1737072000000,0.32602,0.35019,0.32602,0.3472,232213.125401
PYTH-EUR,1736985600000,0.33431,0.33561,0.31846,0.32532,394399.88395
PYTH-EUR,1736899200000,0.31441,0.33351,0.30409,0.33351,501299.651502
PYTH-EUR,1736812800000,0.30301,0.31689,0.30301,0.31397,1259861.887581
PYTH-EUR,1736726400000,0.31838,0.32445,0.28187,0.30404,489056.357087
PYTH-EUR,1736640000000,0.3202,0.32818,0.31475,0.31898,223050.341361
PYTH-EUR,1736553600000,0.32211,0.32638,0.31621,0.31979,1149984.450462
PYTH-EUR,1736467200000,0.31939,0.33066,0.31348,0.32322,419476.768311
PYTH-EUR,1736380800000,0.3295,0.3313,0.31023,0.31844,423248.228718
