market,time,open,high,low,close,volume
QTUM-EUR,1741132800000,2.1555,2.2325,2.1377,2.1846,5933.12683413
QTUM-EUR,1741046400000,2.1135,2.2324,2.0719,2.165,11431.11720821
QTUM-EUR,1740960000000,2.5192,2.6072,2.158,2.1924,16045.77637089
QTUM-EUR,1740873600000,2.4246,2.6235,2.4025,2.5459,19024.4952657
QTUM-EUR,1740787200000,2.4398,2.466,2.3776,2.4372,831.61613743
QTUM-EUR,1740700800000,2.4936,2.4936,2.2463,2.4532,18718.00391712
QTUM-EUR,1740614400000,2.4855,2.5203,2.4227,2.478,6889.96912564
QTUM-EUR,1740528000000,2.5011,2.5158,2.3453,2.4543,6148.21073173
QTUM-EUR,1740441600000,2.54,2.5865,2.3782,2.5054,28583.29435634
QTUM-EUR,1740355200000,2.8711,2.8711,2.5,2.509,11825.10595246
QTUM-EUR,1740268800000,2.9145,2.9171,2.8238,2.845,2642.68899793
QTUM-EUR,1740182400000,2.9382,2.9611,2.85,2.9371,5449.77630587
QTUM-EUR,1740096000000,3.0744,3.1784,2.8961,2.9342,17120.0226417
QTUM-EUR,1740009600000,3.1022,3.1698,3.0721,3.1208,8334.77526756
QTUM-EUR,1739923200000,2.9455,3.2071,2.9455,3.1218,29501.84723182
QTUM-EUR,1739836800000,3.1569,3.3498,2.9071,2.969,27764.39652871
QTUM-EUR,1739750400000,3.0445,3.2066,3.0246,3.1293,17884.47303134
QTUM-EUR,1739664000000,3.1196,3.1196,3.0304,3.0618,4378.95228691
QTUM-EUR,1739577600000,3.2189,3.385,3.1054,3.1228,42926.02487667
QTUM-EUR,1739491200000,3.1413,3.2859,3.109,3.1709,16182.44140829
QTUM-EUR,1739404800000,3.2237,3.315,3.0864,3.1302,45754.30071609
QTUM-EUR,1739318400000,3.1238,3.9361,3,3.2305,141131.624793
QTUM-EUR,1739232000000,2.9174,3.5224,2.8599,3.1477,347322.92712416
QTUM-EUR,1739145600000,2.705,2.9631,2.648,2.9154,43919.31995052
QTUM-EUR,1739059200000,2.8942,2.9713,2.6414,2.6993,34725.0848808
QTUM-EUR,1738972800000,3.0297,3.081,2.85,2.9166,83023.72956048
QTUM-EUR,1738886400000,3.1653,3.2218,2.9699,3.0395,101035.1995199
QTUM-EUR,1738800000000,3.1224,3.6006,3.0638,3.1712,257993.99840913
QTUM-EUR,1738713600000,3.3678,3.5576,2.9964,3.0986,98511.59949941
QTUM-EUR,1738627200000,3.0236,3.6078,3.0236,3.3668,413553.92640232
QTUM-EUR,1738540800000,2.9578,3.1,2.2147,2.9891,223852.89082974
QTUM-EUR,1738454400000,3.6499,3.9621,2.8491,2.9653,141501.44451366
QTUM-EUR,1738368000000,3.45,4.7946,3.2566,3.6588,970944.63707715
QTUM-EUR,1738281600000,2.7844,3.9432,2.72,3.4192,674650.32944062
QTUM-EUR,1738195200000,2.684,2.819,2.684,2.7749,3715.41470017
QTUM-EUR,1738108800000,2.6107,2.6991,2.5967,2.6435,1866.91333044
QTUM-EUR,1738022400000,2.7284,2.7331,2.5812,2.5812,6312.27286178
QTUM-EUR,1737936000000,2.7298,2.7312,2.5105,2.7006,10475.38080941
QTUM-EUR,1737849600000,2.8264,2.858,2.7374,2.7374,1380.20966574
QTUM-EUR,1737763200000,2.7308,2.8194,2.7,2.7986,921.53193638
QTUM-EUR,1737676800000,2.7581,2.8644,2.745,2.745,6601.24639056
QTUM-EUR,1737590400000,2.8338,2.8545,2.7447,2.8212,6906.2550383
QTUM-EUR,1737504000000,2.961,2.961,2.821,2.8435,4671.66426983
QTUM-EUR,1737417600000,2.85,3.046,2.8,2.9468,24875.10473181
QTUM-EUR,1737331200000,2.8797,3.1737,2.8166,2.9109,30713.74961681
QTUM-EUR,1737244800000,3.1277,3.1924,2.8756,2.9182,24126.85678904
QTUM-EUR,1737158400000,3.4226,3.4226,3.152,3.1834,3257.89892563
QTUM-EUR,1737072000000,3.3182,3.4461,3.2839,3.4101,11426.54585728
QTUM-EUR,1736985600000,3.2678,3.3104,3.1639,3.267,3454.93469287
QTUM-EUR,1736899200000,3.1009,3.2786,3.0182,3.2786,5848.24056335
QTUM-EUR,1736812800000,2.9881,3.1173,2.9881,3.1058,918.13067476
QTUM-EUR,1736726400000,3.0907,3.2237,2.8669,3.0115,17124.1482804
QTUM-EUR,1736640000000,3.1848,3.1848,3.0599,3.0911,966.52981322
QTUM-EUR,1736553600000,3.1881,3.2602,3.1312,3.2005,2622.42132828
QTUM-EUR,1736467200000,3.091,3.2771,3.0256,3.2376,4046.24598675
QTUM-EUR,1736380800000,2.9901,3.1332,2.9901,3.0783,9015.48305685
QTUM-EUR,1736294400000,3.0769,3.1147,2.86,3.0141,3087.81253761
QTUM-EUR,1736208000000,3.4012,3.4167,3.0949,3.0949,16086.75254464
QTUM-EUR,1736121600000,3.3383,3.4901,3.3383,3.417,4777.10873908
QTUM-EUR,1736035200000,3.3303,3.3993,3.3,3.3726,4087.14161524
QTUM-EUR,1735948800000,3.359,3.3813,3.3008,3.3122,2431.50003655
QTUM-EUR,1735862400000,3.1234,3.354,3.0964,3.3377,3847.98559834
QTUM-EUR,1735776000000,3.0598,3.1611,3.0336,3.1259,1780.46928122
QTUM-EUR,1735689600000,2.9182,3.0397,2.8588,3.0258,1943.44973205
QTUM-EUR,1735603200000,2.8788,3.0037,2.8669,2.9202,2528.50095515
QTUM-EUR,1735516800000,2.984,3.0635,2.8745,2.9357,1439.46293348
QTUM-EUR,1735430400000,3.1235,3.1235,2.9727,2.9727,1124.00048075
QTUM-EUR,1735344000000,2.9875,3.1475,2.9875,3.1314,2005.05101968
QTUM-EUR,1735257600000,2.9621,3.0956,2.9616,2.9616,1951.7611608
QTUM-EUR,1735171200000,3.1932,3.1932,2.9648,2.9759,968.48830123
QTUM-EUR,1735084800000,3.2661,3.317,3.1425,3.1651,1356.11687763
QTUM-EUR,1734998400000,3.1174,3.3191,3.0687,3.2644,1662.17274832
QTUM-EUR,1734912000000,2.9168,3.1743,2.8684,3.1162,2462.36302323
QTUM-EUR,1734825600000,2.8944,3.0245,2.86,2.9231,1583.37940677
QTUM-EUR,1734739200000,3.0467,3.1987,2.8709,2.8764,2051.40692988
QTUM-EUR,1734652800000,2.8933,3.0513,2.5562,3.0369,50110.27508023
QTUM-EUR,1734566400000,3.22,3.22,2.8168,2.945,31077.3374505
QTUM-EUR,1734480000000,3.5529,3.5609,3.2149,3.2574,14054.91157831
QTUM-EUR,1734393600000,3.6083,3.7474,3.5016,3.5457,11240.38606681
QTUM-EUR,1734307200000,3.8427,3.9047,3.6297,3.71,8152.03873958
QTUM-EUR,1734220800000,3.7296,3.8471,3.6474,3.8324,5283.40061079
QTUM-EUR,1734134400000,3.9299,3.9299,3.6714,3.7436,7051.14781996
QTUM-EUR,1734048000000,3.8981,4.0018,3.8467,3.9062,5919.00850097
QTUM-EUR,1733961600000,3.967,4.1635,3.9182,3.9752,9985.30846306
QTUM-EUR,1733875200000,3.7036,4.0017,3.5629,3.974,5633.6137378
QTUM-EUR,1733788800000,3.751,3.8577,3.3505,3.713,21896.03274036
QTUM-EUR,1733702400000,4.7439,4.7439,3.1866,3.8259,38166.39748387
QTUM-EUR,1733616000000,4.5361,4.7652,4.486,4.7164,6078.44942708
QTUM-EUR,1733529600000,4.5215,4.7059,4.5179,4.5773,6409.06573994
QTUM-EUR,1733443200000,4.4939,4.7262,4.28,4.5552,21624.05349849
QTUM-EUR,1733356800000,4.7315,4.7433,4.3865,4.5154,58108.96408037
QTUM-EUR,1733270400000,5.4494,5.4494,4.622,4.7851,71798.37259334
QTUM-EUR,1733184000000,4.052,5.4638,3.893,5.4638,90827.70411002
QTUM-EUR,1733097600000,3.83,4.1518,3.6252,4.0534,36424.65393963
QTUM-EUR,1733011200000,3.6748,3.8299,3.5847,3.8207,20564.29436919
QTUM-EUR,1732924800000,3.6642,3.7642,3.6119,3.706,8426.71509977
QTUM-EUR,1732838400000,3.436,3.7101,3.4016,3.7101,5653.19679586
QTUM-EUR,1732752000000,3.5765,3.5881,3.415,3.4933,5241.20123907
QTUM-EUR,1732665600000,3.4019,3.5402,3.3533,3.5402,4306.37832167
QTUM-EUR,1732579200000,3.4143,3.5528,3.1853,3.3589,15664.50129436
QTUM-EUR,1732492800000,3.5513,3.6965,3.3473,3.4027,9865.76539743
QTUM-EUR,1732406400000,3.5804,3.7957,3.2746,3.5715,30030.9151041
QTUM-EUR,1732320000000,3.3427,3.7102,3.3252,3.5387,26106.22077865
QTUM-EUR,1732233600000,3.14,3.3545,3.0837,3.3479,40878.6712087
QTUM-EUR,1732147200000,2.8222,3.15,2.7275,3.1143,46543.56833788
QTUM-EUR,1732060800000,2.8928,2.9583,2.7646,2.8384,10584.40455401
QTUM-EUR,1731974400000,3.0222,3.1274,2.868,2.9124,3534.62866684
QTUM-EUR,1731888000000,2.819,3.1119,2.819,3.0494,23068.38690337
QTUM-EUR,1731801600000,3.0453,3.0663,2.73,2.775,17459.25233632
QTUM-EUR,1731715200000,2.7438,3.0466,2.689,3.0384,28476.39763676
QTUM-EUR,1731628800000,2.5799,2.7224,2.4884,2.7081,38629.05559506
QTUM-EUR,1731542400000,2.47,2.8401,2.47,2.531,58978.95940567
QTUM-EUR,1731456000000,2.563,2.58,2.3544,2.4304,20276.8955339
QTUM-EUR,1731369600000,2.5987,2.6895,2.3456,2.554,188759.02654418
QTUM-EUR,1731283200000,2.4491,2.7208,2.4491,2.6438,96209.55691121
QTUM-EUR,1731196800000,2.3288,2.5671,2.3038,2.4132,30999.70343419
QTUM-EUR,1731110400000,2.2472,2.3376,2.2382,2.3376,5585.27995229
QTUM-EUR,1731024000000,2.2441,2.2905,2.2112,2.2797,9203.76407066
QTUM-EUR,1730937600000,2.2219,2.2451,2.1675,2.235,6471.37745964
QTUM-EUR,1730851200000,2.106,2.2001,2.106,2.2001,17705.31710836
QTUM-EUR,1730764800000,1.9493,2.0289,1.9493,2.0105,486.29222835
QTUM-EUR,1730678400000,1.9627,1.975,1.8938,1.9238,1296.34482915
QTUM-EUR,1730592000000,1.988,2.0032,1.9341,1.9847,12300.81933833
QTUM-EUR,1730505600000,2.0545,2.0545,2.0088,2.0225,3226.04248147
QTUM-EUR,1730419200000,2.0205,2.0716,2,2.0395,539.05042901
QTUM-EUR,1730332800000,2.1695,2.1695,2.03,2.0481,5179.08953079
QTUM-EUR,1730246400000,2.2119,2.2333,2.181,2.1834,6188.7747335
QTUM-EUR,1730160000000,2.1269,2.2284,2.1269,2.2161,2349.276787
QTUM-EUR,1730073600000,2.0903,2.1123,2.0324,2.1101,1092.69851547
QTUM-EUR,1729987200000,2.0755,2.104,2.0644,2.0905,807.05029071
QTUM-EUR,1729900800000,2.0708,2.0876,2.0248,2.0541,1074.58232036
QTUM-EUR,1729814400000,2.1944,2.2126,1.9972,2.0428,6728.54706971
QTUM-EUR,1729728000000,2.2238,2.2468,2.159,2.2223,3840.04649286
QTUM-EUR,1729641600000,2.291,2.291,2.187,2.2083,4607.03632744
QTUM-EUR,1729555200000,2.3482,2.3483,2.28,2.296,1440.11189403
QTUM-EUR,1729468800000,2.4295,2.4331,2.3466,2.3634,828.79164334
QTUM-EUR,1729382400000,2.3329,2.4321,2.3274,2.4321,1007.79286541
QTUM-EUR,1729296000000,2.36,2.3755,2.3305,2.345,2954.81548574
QTUM-EUR,1729209600000,2.3,2.3338,2.2924,2.3259,2633.42012982
QTUM-EUR,1729123200000,2.3143,2.3143,2.247,2.2606,2982.20492394
QTUM-EUR,1729036800000,2.3376,2.3566,2.3118,2.327,1300.12085478
QTUM-EUR,1728950400000,2.3916,2.3916,2.298,2.3355,821.25678699
QTUM-EUR,1728864000000,2.2597,2.3907,2.2338,2.3763,14047.73570195
QTUM-EUR,1728777600000,2.2923,2.3062,2.2135,2.228,2174.53504093
QTUM-EUR,1728691200000,2.302,2.3525,2.2962,2.3183,5802.79737549
QTUM-EUR,1728604800000,2.1734,2.2821,2.1734,2.2821,531.22144505
QTUM-EUR,1728518400000,2.1191,2.1651,2.1169,2.1651,999.09060244
QTUM-EUR,1728432000000,2.2169,2.2169,2.1245,2.1245,1437.98320654
QTUM-EUR,1728345600000,2.2906,2.3099,2.2027,2.2145,2007.09087816
QTUM-EUR,1728259200000,2.2616,2.2803,2.2298,2.2682,605.26842068
QTUM-EUR,1728172800000,2.1795,2.2175,2.1774,2.2141,635.69151472
QTUM-EUR,1728086400000,2.1683,2.2024,2.1423,2.1666,2209.03447346
QTUM-EUR,1728000000000,2.1205,2.1722,2.1056,2.168,5083.43548515
QTUM-EUR,1727913600000,2.1579,2.1579,2.0595,2.0961,2339.29558687
QTUM-EUR,1727827200000,2.2394,2.2783,2.1183,2.1183,1424.64272874
QTUM-EUR,1727740800000,2.3059,2.4498,2.1203,2.1655,5694.46370095
QTUM-EUR,1727654400000,2.3859,2.5,2.3198,2.3198,10627.4574004
QTUM-EUR,1727568000000,2.3722,2.4025,2.3428,2.3779,840.66395796
QTUM-EUR,1727481600000,2.4216,2.4399,2.3471,2.3694,6503.03538208
QTUM-EUR,1727395200000,2.37,2.4413,2.37,2.4316,4485.01883478
QTUM-EUR,1727308800000,2.245,2.37,2.24,2.3601,3897.94122045
QTUM-EUR,1727222400000,2.321,2.321,2.2669,2.2688,2568.76933801
QTUM-EUR,1727136000000,2.2776,2.3474,2.2461,2.3014,2259.13957166
QTUM-EUR,1727049600000,2.2421,2.2789,2.2312,2.2695,1687.27323449
QTUM-EUR,1726963200000,2.2372,2.2429,2.1672,2.2067,6122.75041131
QTUM-EUR,1726876800000,2.1962,2.2928,2.1962,2.2654,11840.40662714
QTUM-EUR,1726790400000,2.1532,2.2285,2.1532,2.1877,5424.05778269
QTUM-EUR,1726704000000,2.087,2.1694,2.0741,2.1493,5296.95803571
QTUM-EUR,1726617600000,2.0289,2.0628,1.9829,2.0628,452.39459291
QTUM-EUR,1726531200000,1.9503,2.0379,1.9503,2.0275,1257.29056509
QTUM-EUR,1726444800000,1.9874,2.0069,1.9528,1.9575,2075.88443323
QTUM-EUR,1726358400000,2.0894,2.0935,1.977,1.9895,775.33470506
QTUM-EUR,1726272000000,2.0827,2.1081,2.067,2.0756,732.6985035
QTUM-EUR,1726185600000,2.0343,2.0825,2.033,2.0824,573.34990969
QTUM-EUR,1726099200000,2.035,2.0686,2.035,2.0428,642.2713672
QTUM-EUR,1726012800000,1.9918,2.0286,1.9918,2.0165,399.32718092
QTUM-EUR,1725926400000,2.0196,2.0647,2.0196,2.0494,917.81719165
QTUM-EUR,1725840000000,1.9784,2.0734,1.9661,2.0734,1530.82516272
QTUM-EUR,1725753600000,1.923,1.9665,1.9099,1.9665,623.28540431
QTUM-EUR,1725667200000,1.8926,1.9248,1.8892,1.8892,308.0115311
QTUM-EUR,1725580800000,1.9623,1.9624,1.8271,1.8684,5275.30698861
