market,time,open,high,low,close,volume
RDNT-EUR,1741132800000,0.025505,0.026994,0.025378,0.026419,1258215.04201553
RDNT-EUR,1741046400000,0.026039,0.026111,0.023825,0.02566,2230846.20550361
RDNT-EUR,1740960000000,0.028923,0.030763,0.025,0.02535,371167.83166826
RDNT-EUR,1740873600000,0.02862,0.03074,0.027922,0.030655,376657.11734317
RDNT-EUR,1740787200000,0.028062,0.028597,0.027375,0.027554,63898.44986734
RDNT-EUR,1740700800000,0.027281,0.02899,0.026327,0.028479,1347010.77547926
RDNT-EUR,1740614400000,0.028125,0.029139,0.028079,0.028497,11697309.83967884
RDNT-EUR,1740528000000,0.028226,0.028547,0.026776,0.028127,333767.22481199
RDNT-EUR,1740441600000,0.026938,0.028629,0.025805,0.028357,565588.86661404
RDNT-EUR,1740355200000,0.030815,0.030859,0.026679,0.027593,880558.96647488
RDNT-EUR,1740268800000,0.032573,0.032696,0.030974,0.031457,196301.05145349
RDNT-EUR,1740182400000,0.031515,0.033282,0.031515,0.032793,577521.7946184
RDNT-EUR,1740096000000,0.031001,0.035743,0.031001,0.03158,2468035.41244005
RDNT-EUR,1740009600000,0.029877,0.04,0.029877,0.030902,12313460.36623849
RDNT-EUR,1739923200000,0.028481,0.029331,0.028463,0.029028,16656.33633296
RDNT-EUR,1739836800000,0.029289,0.029289,0.027338,0.028353,35686.58681288
RDNT-EUR,1739750400000,0.030882,0.031184,0.029134,0.030133,20826.85534724
RDNT-EUR,1739664000000,0.030765,0.031893,0.030524,0.030655,270107.44804171
RDNT-EUR,1739577600000,0.032454,0.032454,0.030508,0.030751,348291.69384443
RDNT-EUR,1739491200000,0.030941,0.033056,0.030941,0.03244,484370.41857348
RDNT-EUR,1739404800000,0.033168,0.033168,0.030531,0.030762,23171.72650882
RDNT-EUR,1739318400000,0.0307,0.032995,0.029348,0.032662,816853.94722077
RDNT-EUR,1739232000000,0.031669,0.03272,0.029983,0.030423,79024.2267694
RDNT-EUR,1739145600000,0.030237,0.031061,0.028873,0.03097,19121.5329405
RDNT-EUR,1739059200000,0.030798,0.031553,0.028392,0.029154,22127.29574416
RDNT-EUR,1738972800000,0.029389,0.031058,0.029012,0.030978,107072.83321326
RDNT-EUR,1738886400000,0.028626,0.031443,0.028359,0.029225,181627.75905242
RDNT-EUR,1738800000000,0.030581,0.031224,0.027835,0.027941,110394.11722889
RDNT-EUR,1738713600000,0.031638,0.031638,0.030078,0.030236,90521.85570237
RDNT-EUR,1738627200000,0.033107,0.033133,0.029692,0.031092,328567.11966126
