market,time,open,high,low,close,volume
RENDER-EUR,1741132800000,3.3253,3.55,3.272,3.4345,227590.0680293
RENDER-EUR,1741046400000,3.4995,3.5492,3.0912,3.3729,446358.99102016
RENDER-EUR,1740960000000,4.227,4.3075,3.5292,3.6158,268617.44460964
RENDER-EUR,1740873600000,3.678,4.3025,3.5889,4.274,275815.24137043
RENDER-EUR,1740787200000,3.6967,3.737,3.54,3.7083,154904.25604505
RENDER-EUR,1740700800000,3.5889,3.7213,3.293,3.6863,218049.23921795
RENDER-EUR,1740614400000,3.5836,3.7243,3.4852,3.5896,187732.389564
RENDER-EUR,1740528000000,3.4807,3.6842,3.3995,3.566,307756.9092574
RENDER-EUR,1740441600000,3.4779,3.5595,3.2,3.4813,522699.96603937
RENDER-EUR,1740355200000,3.9801,4.0091,3.43,3.4786,351395.02803857
RENDER-EUR,1740268800000,4.0905,4.1123,3.9158,3.9825,105931.77445249
RENDER-EUR,1740182400000,3.974,4.1911,3.9614,4.0841,122746.68223201
RENDER-EUR,1740096000000,4.2399,4.4248,3.8717,3.9849,205682.96161448
RENDER-EUR,1740009600000,4.069,4.2469,4.0314,4.2466,139570.46968623
RENDER-EUR,1739923200000,4.002,4.1133,3.9065,4.0699,111143.20890281
RENDER-EUR,1739836800000,4.1793,4.1889,3.7926,3.9854,230032.40540231
RENDER-EUR,1739750400000,4.2812,4.472,4.08,4.1789,146844.68204917
RENDER-EUR,1739664000000,4.3711,4.3888,4.25,4.2719,89608.96026765
RENDER-EUR,1739577600000,4.4798,4.6014,4.31,4.3642,63156.50774154
RENDER-EUR,1739491200000,4.3071,4.6001,4.304,4.5102,154609.385123
RENDER-EUR,1739404800000,4.466,4.5406,4.1974,4.3012,110270.47400584
RENDER-EUR,1739318400000,4.3128,4.5441,4.0711,4.4756,276168.75244591
RENDER-EUR,1739232000000,4.3301,4.6318,4.21,4.3009,278594.94460583
RENDER-EUR,1739145600000,4.1208,4.3886,3.98,4.3238,184396.13157622
RENDER-EUR,1739059200000,4.1325,4.2937,3.9019,4.1187,182192.32425781
RENDER-EUR,1738972800000,3.9905,4.1656,3.8874,4.133,98837.75694709
RENDER-EUR,1738886400000,4.0385,4.3953,3.872,4.0043,190851.15441226
RENDER-EUR,1738800000000,4.3161,4.4752,3.9936,4.0426,230698.89775943
RENDER-EUR,1738713600000,4.442,4.5677,4.2453,4.2899,142607.85688622
RENDER-EUR,1738627200000,4.8911,4.9128,4.3048,4.4574,324375.12249058
RENDER-EUR,1738540800000,4.593,5.0559,3.4503,4.8847,664044.97628958
RENDER-EUR,1738454400000,5.1996,5.3012,4.3063,4.5916,512497.51720153
RENDER-EUR,1738368000000,5.6414,5.8099,5.15,5.204,229180.00760164
RENDER-EUR,1738281600000,5.6603,5.9608,5.5493,5.6414,261136.71148673
RENDER-EUR,1738195200000,5.2573,5.7927,5.1977,5.6547,267475.75447734
RENDER-EUR,1738108800000,5.3074,5.7268,5.1047,5.2528,279646.97059461
RENDER-EUR,1738022400000,5.9734,6.0575,5.2359,5.3209,268983.85091277
RENDER-EUR,1737936000000,6.4209,6.4725,5.5342,5.9695,498065.21521875
RENDER-EUR,1737849600000,6.64,6.8351,6.4342,6.4342,63136.40882539
RENDER-EUR,1737763200000,6.5383,6.72,6.4088,6.646,63552.53626008
RENDER-EUR,1737676800000,6.8062,6.94,6.4962,6.5567,118681.03543907
RENDER-EUR,1737590400000,6.7717,6.8501,6.472,6.7799,185845.9526894
RENDER-EUR,1737504000000,6.9731,7.079,6.7308,6.7718,172715.59898594
RENDER-EUR,1737417600000,6.4447,7.0829,6.2071,6.9566,252993.39725769
RENDER-EUR,1737331200000,6.5164,7.311,6.251,6.454,379511.3069089
RENDER-EUR,1737244800000,7.2443,7.3481,6.3783,6.508,310569.97327101
RENDER-EUR,1737158400000,7.7455,7.97,7.09,7.2546,161491.90499631
RENDER-EUR,1737072000000,7.2674,7.8157,7.2283,7.7338,156687.93891491
RENDER-EUR,1736985600000,7.458,7.4798,7.0637,7.2604,141496.48363111
RENDER-EUR,1736899200000,6.8391,7.4494,6.56,7.4494,202002.11841654
RENDER-EUR,1736812800000,6.7739,7.0985,6.7153,6.8133,179526.99824539
RENDER-EUR,1736726400000,6.9366,7.1352,6.251,6.7916,265070.35197653
RENDER-EUR,1736640000000,7.1563,7.1869,6.842,6.9499,62469.88480612
RENDER-EUR,1736553600000,7.1431,7.35,6.9058,7.1687,126164.73428096
RENDER-EUR,1736467200000,6.8566,7.5287,6.852,7.111,263075.16181895
RENDER-EUR,1736380800000,7.3262,7.4184,6.6987,6.8347,241992.86596366
RENDER-EUR,1736294400000,7.8371,7.9765,6.9043,7.3538,313513.36084846
RENDER-EUR,1736208000000,8.5822,8.5947,7.7723,7.8363,279893.38339394
RENDER-EUR,1736121600000,8.0369,8.6857,7.85,8.5846,354559.66299118
RENDER-EUR,1736035200000,7.8334,8.2023,7.6871,8.0325,135646.9861578
RENDER-EUR,1735948800000,7.8313,8.0014,7.69,7.8225,146861.87763426
RENDER-EUR,1735862400000,7.4363,7.9078,7.2667,7.816,211616.04724733
RENDER-EUR,1735776000000,6.9376,7.625,6.9056,7.4258,191442.51911146
RENDER-EUR,1735689600000,6.5474,7.0066,6.403,6.9228,79995.14314728
RENDER-EUR,1735603200000,6.559,6.8551,6.4097,6.5496,123351.67276121
RENDER-EUR,1735516800000,6.5221,6.7935,6.3641,6.5587,148204.00971187
RENDER-EUR,1735430400000,6.8629,6.8682,6.4552,6.5557,90771.02157427
RENDER-EUR,1735344000000,6.7198,6.9114,6.5495,6.8525,84924.975895
RENDER-EUR,1735257600000,6.8488,7.229,6.67,6.708,124742.40869846
RENDER-EUR,1735171200000,7.3,7.3578,6.7253,6.8299,128444.13891267
RENDER-EUR,1735084800000,7.5135,7.5321,7.1415,7.2643,155998.76215321
RENDER-EUR,1734998400000,7.352,7.6898,7.2228,7.5223,214114.18062228
RENDER-EUR,1734912000000,6.7444,7.4564,6.57,7.3505,250299.664921
RENDER-EUR,1734825600000,6.8364,7.0793,6.5451,6.7416,110127.40566689
RENDER-EUR,1734739200000,7.0714,7.7535,6.6983,6.8189,234669.26488419
RENDER-EUR,1734652800000,7.0068,7.24,5.8435,7.0804,587793.52315091
RENDER-EUR,1734566400000,7.5126,7.7082,6.6104,6.989,338686.24757762
RENDER-EUR,1734480000000,8.145,8.1811,7.3879,7.5324,241300.7643744
RENDER-EUR,1734393600000,8.4602,8.6184,8.0298,8.1219,209207.26684909
RENDER-EUR,1734307200000,8.8737,9.173,8.3714,8.4557,279289.2273549
RENDER-EUR,1734220800000,8.6115,8.9061,8.4062,8.8277,109709.81445148
RENDER-EUR,1734134400000,8.9598,9.0631,8.3868,8.6383,126288.79203459
RENDER-EUR,1734048000000,9.0841,9.1875,8.6949,8.9656,148639.32657521
RENDER-EUR,1733961600000,9.1424,9.6,8.9456,9.0499,184937.81651087
RENDER-EUR,1733875200000,8.2926,9.5177,7.9651,9.1521,302078.60706992
RENDER-EUR,1733788800000,8.4526,8.6289,7.6794,8.2877,482738.78211201
RENDER-EUR,1733702400000,9.7177,9.7177,7.345,8.4651,574076.25504054
RENDER-EUR,1733616000000,9.706,9.9348,9.4217,9.7189,175973.085228
RENDER-EUR,1733529600000,9.9261,9.9999,9.6255,9.7138,173129.17972666
RENDER-EUR,1733443200000,9.5477,10.429,9.3,9.9203,658126.78795293
RENDER-EUR,1733356800000,8.2308,11.223,7.8,9.5511,1508865.83750455
RENDER-EUR,1733270400000,8.506,8.6769,8.0453,8.255,496166.34013883
RENDER-EUR,1733184000000,8.353,8.84,7.7968,8.4897,735378.06460977
RENDER-EUR,1733097600000,8.2663,8.3819,7.662,8.3375,594925.5332022
RENDER-EUR,1733011200000,8.3569,8.4551,8.1401,8.2636,219519.11211208
RENDER-EUR,1732924800000,8.2538,8.6383,8.1657,8.3914,243313.9506727
RENDER-EUR,1732838400000,8.0908,8.5186,7.92,8.2539,307695.71602808
RENDER-EUR,1732752000000,7.5005,8.3359,7.49,8.09,582750.13443033
RENDER-EUR,1732665600000,7.0719,7.5636,6.9962,7.4911,286470.2191651
RENDER-EUR,1732579200000,7.1837,7.4074,6.74,7.0993,447218.9930771
RENDER-EUR,1732492800000,7.6757,7.9083,6.9963,7.1713,542530.28458854
RENDER-EUR,1732406400000,7.3143,7.76,6.9,7.6665,611499.98957133
RENDER-EUR,1732320000000,7.2656,7.87,7.1519,7.3204,703833.28865752
RENDER-EUR,1732233600000,6.99,7.2591,6.6712,7.2591,677445.79591395
RENDER-EUR,1732147200000,6.9554,7.2489,6.6936,6.9951,1133662.99377407
RENDER-EUR,1732060800000,7.441,7.7698,6.9344,6.9585,658144.62855498
RENDER-EUR,1731974400000,7.2251,7.8417,6.9903,7.435,730316.82389012
RENDER-EUR,1731888000000,6.6895,7.6622,6.6641,7.244,805237.7720293
RENDER-EUR,1731801600000,6.6347,6.9454,6.27,6.7018,536218.94095946
RENDER-EUR,1731715200000,6.5472,7.054,6.3886,6.6593,451586.14173722
RENDER-EUR,1731628800000,6.2139,6.7777,6.0482,6.5499,422851.29344734
RENDER-EUR,1731542400000,6.5835,6.8648,6.164,6.2413,494137.83635332
RENDER-EUR,1731456000000,6.75,7.0672,5.9684,6.6048,1071384.10415223
RENDER-EUR,1731369600000,6.4466,7.1086,5.8502,6.7585,1882014.4692289
RENDER-EUR,1731283200000,5.2352,6.5973,5.2345,6.4461,1290058.91678909
RENDER-EUR,1731196800000,4.9569,5.5488,4.8739,5.2429,754701.27342464
RENDER-EUR,1731110400000,4.6549,5.06,4.5408,4.9532,228772.36545713
RENDER-EUR,1731024000000,4.69,4.756,4.4842,4.6434,254405.30845123
RENDER-EUR,1730937600000,4.6912,4.8867,4.5557,4.6585,252982.24599755
RENDER-EUR,1730851200000,4.0494,4.7903,4.0494,4.7079,427551.67137078
RENDER-EUR,1730764800000,3.8916,4.1688,3.8916,4.0441,107524.1881315
RENDER-EUR,1730678400000,4.0883,4.1425,3.7863,3.8827,160916.42719036
RENDER-EUR,1730592000000,4.2539,4.2648,3.88,4.0961,228659.34374309
RENDER-EUR,1730505600000,4.342,4.3736,4.1883,4.2495,56422.99791452
RENDER-EUR,1730419200000,4.3909,4.5633,4.2672,4.3394,114123.90640316
RENDER-EUR,1730332800000,4.5943,4.6022,4.2879,4.3954,146272.95430349
RENDER-EUR,1730246400000,4.7454,4.7486,4.5581,4.5828,109972.0551638
RENDER-EUR,1730160000000,4.5387,4.8014,4.5315,4.7484,333266.24409182
RENDER-EUR,1730073600000,4.5094,4.6102,4.2847,4.5328,128729.02512454
RENDER-EUR,1729987200000,4.4443,4.5772,4.4206,4.5083,79961.60091705
RENDER-EUR,1729900800000,4.2621,4.5269,4.21,4.4413,122146.81391483
RENDER-EUR,1729814400000,4.8189,4.8262,4.132,4.2874,217581.73091572
RENDER-EUR,1729728000000,4.7267,4.8743,4.6634,4.7961,187436.93389357
RENDER-EUR,1729641600000,4.8348,4.8348,4.56,4.7291,148042.62690626
RENDER-EUR,1729555200000,4.8512,4.9216,4.714,4.8056,157774.8544365
RENDER-EUR,1729468800000,5.0783,5.1377,4.794,4.8384,219133.4776975
RENDER-EUR,1729382400000,4.9333,5.1025,4.8375,5.0603,199717.90647292
RENDER-EUR,1729296000000,4.974,5.0371,4.8605,4.9272,119127.94242575
RENDER-EUR,1729209600000,4.8033,5.0135,4.7815,4.9739,185918.15165725
RENDER-EUR,1729123200000,4.9528,4.9864,4.7148,4.8129,221798.00245149
RENDER-EUR,1729036800000,5.009,5.1011,4.8429,4.939,279537.76846828
RENDER-EUR,1728950400000,5.1195,5.2953,4.8974,5.033,409847.16151668
RENDER-EUR,1728864000000,4.9385,5.2429,4.8803,5.1101,577764.50836642
RENDER-EUR,1728777600000,4.9771,5.0009,4.732,4.9263,186058.28450924
RENDER-EUR,1728691200000,4.9327,5.1476,4.9154,4.9736,204877.14753147
RENDER-EUR,1728604800000,4.6525,4.9696,4.6221,4.9314,226124.31773268
RENDER-EUR,1728518400000,4.6348,4.7542,4.49,4.6427,258391.38912395
RENDER-EUR,1728432000000,4.8915,4.9435,4.554,4.6273,292969.08351545
RENDER-EUR,1728345600000,4.7845,4.8907,4.6943,4.8748,254534.34263715
RENDER-EUR,1728259200000,4.9505,5.1633,4.7748,4.7748,553072.11826961
RENDER-EUR,1728172800000,4.9573,5.1237,4.8322,4.9512,386321.94600587
RENDER-EUR,1728086400000,5.1977,5.27,4.8774,4.9591,282936.33340613
RENDER-EUR,1728000000000,4.7607,5.3673,4.7319,5.1758,399607.13902097
RENDER-EUR,1727913600000,4.9127,5.0964,4.5664,4.7595,353839.80219776
RENDER-EUR,1727827200000,5.2364,5.4737,4.848,4.9194,506168.84995785
RENDER-EUR,1727740800000,5.7859,6.0539,5.046,5.2539,745458.19462952
RENDER-EUR,1727654400000,5.9355,6.0848,5.68,5.7913,286581.15964735
RENDER-EUR,1727568000000,5.8446,6.1,5.68,5.9756,173493.12484487
RENDER-EUR,1727481600000,6,6.0765,5.7178,5.8532,175015.30792115
RENDER-EUR,1727395200000,5.6669,6.1154,5.6262,5.9976,268672.57053383
RENDER-EUR,1727308800000,5.3184,5.8166,5.2412,5.6567,333623.69401053
RENDER-EUR,1727222400000,5.6094,5.6399,5.2928,5.3151,231595.23787803
RENDER-EUR,1727136000000,5.6028,5.6455,5.3424,5.5949,245940.79445169
RENDER-EUR,1727049600000,5.0323,5.674,4.9277,5.5885,552145.19359467
RENDER-EUR,1726963200000,5.0427,5.14,4.8331,5.0353,377527.29097267
RENDER-EUR,1726876800000,4.7309,5.0464,4.6252,5.0207,194746.62756206
RENDER-EUR,1726790400000,4.5987,4.8656,4.5185,4.7145,258960.83691572
RENDER-EUR,1726704000000,4.4969,4.7296,4.4867,4.5945,304280.46204441
RENDER-EUR,1726617600000,4.2886,4.49,4.1357,4.4876,224826.85100138
RENDER-EUR,1726531200000,4.2653,4.4623,4.1898,4.289,358622.9088703
RENDER-EUR,1726444800000,4.45,4.4967,4.203,4.2645,146631.4347886
RENDER-EUR,1726358400000,4.7241,4.7905,4.429,4.4676,125953.60556252
RENDER-EUR,1726272000000,4.7338,4.8549,4.6823,4.7268,149532.22389978
RENDER-EUR,1726185600000,4.7406,4.7908,4.5139,4.7237,276402.62902226
RENDER-EUR,1726099200000,4.6452,4.834,4.6191,4.7398,379871.17550052
RENDER-EUR,1726012800000,4.7783,4.7919,4.3823,4.6356,359968.67334081
RENDER-EUR,1725926400000,4.6841,4.8417,4.5344,4.7842,375669.44097427
RENDER-EUR,1725840000000,4.4096,4.7596,4.3357,4.6838,384646.34093062
RENDER-EUR,1725753600000,4.2678,4.4544,4.2673,4.3897,189953.55471004
RENDER-EUR,1725667200000,4.2355,4.4224,4.2218,4.2626,174306.13113899
RENDER-EUR,1725580800000,4.209,4.4485,4.016,4.232,365468.7375303
RENDER-EUR,1725494400000,4.447,4.4788,4.1703,4.2112,226848.03009784
RENDER-EUR,1725408000000,4.2682,4.5551,4.1174,4.444,312336.84718521
RENDER-EUR,1725321600000,4.5939,4.7,4.2551,4.2634,224484.69918407
RENDER-EUR,1725235200000,4.36,4.6531,4.3288,4.5955,237260.83443141
RENDER-EUR,1725148800000,4.5255,4.6702,4.369,4.3844,314008.63957262
RENDER-EUR,1725062400000,4.7483,4.8214,4.4886,4.5299,116683.99077124
RENDER-EUR,1724976000000,4.7203,4.8001,4.44,4.7577,235798.54880313
RENDER-EUR,1724889600000,4.9868,5.25,4.6789,4.7287,512588.49127012
RENDER-EUR,1724803200000,5.1214,5.5256,4.9123,4.9689,784245.39727485
RENDER-EUR,1724716800000,5.5202,6,5,5.1433,544373.51919986
RENDER-EUR,1724630400000,5.6474,5.7421,5.3355,5.5173,296407.36263803
RENDER-EUR,1724544000000,5.531,5.7994,5.4436,5.6493,496479.10808483
RENDER-EUR,1724457600000,5.014,5.6835,4.8675,5.5362,572223.87218743
RENDER-EUR,1724371200000,4.5483,5.1449,4.5442,4.9991,425929.67978415
RENDER-EUR,1724284800000,4.2834,4.5868,4.2301,4.5406,288922.42560695
RENDER-EUR,1724198400000,4.0496,4.3455,3.9663,4.2849,213757.06772288
RENDER-EUR,1724112000000,4.1581,4.2487,3.9438,4.0407,287185.97304651
RENDER-EUR,1724025600000,4.0868,4.1602,3.8916,4.1602,157446.18908696
