market,time,open,high,low,close,volume
REQ-EUR,1741132800000,0.11121,0.11499,0.10289,0.10459,767872.90347276
REQ-EUR,1741046400000,0.10568,0.12183,0.10324,0.11364,6512822.31187918
REQ-EUR,1740960000000,0.10782,0.10933,0.10175,0.10467,233520.13456383
REQ-EUR,1740873600000,0.11029,0.11746,0.1047,0.1094,1029038.62871251
REQ-EUR,1740787200000,0.10417,0.11284,0.10318,0.11014,538404.5935893
REQ-EUR,1740700800000,0.10566,0.1081,0.10341,0.10482,396675.09048525
REQ-EUR,1740614400000,0.1043,0.10697,0.10352,0.10571,202060.20434405
REQ-EUR,1740528000000,0.1004,0.10626,0.1,0.10298,331952.95525613
REQ-EUR,1740441600000,0.10246,0.10695,0.096,0.099956,1001801.92636561
REQ-EUR,1740355200000,0.10167,0.11128,0.097089,0.09929,2929541.5070776
REQ-EUR,1740268800000,0.099138,0.10529,0.097041,0.10319,1105210.32552266
REQ-EUR,1740182400000,0.098272,0.12375,0.096077,0.098499,7294792.40132061
REQ-EUR,1740096000000,0.094956,0.098999,0.094956,0.098008,275500.30936039
REQ-EUR,1740009600000,0.092733,0.094956,0.092733,0.094945,26104.9994269
REQ-EUR,1739923200000,0.092828,0.093443,0.092214,0.092719,12839.83554288
REQ-EUR,1739836800000,0.094386,0.094492,0.090331,0.091572,169598.18052417
REQ-EUR,1739750400000,0.094794,0.0978,0.09375,0.094876,20745.11305406
REQ-EUR,1739664000000,0.093786,0.097029,0.093786,0.094786,63415.20890539
REQ-EUR,1739577600000,0.094879,0.096107,0.094364,0.094364,203984.52814803
REQ-EUR,1739491200000,0.0939,0.096516,0.0938,0.095705,301715.67842444
REQ-EUR,1739404800000,0.092945,0.094617,0.091682,0.093978,65539.11137654
REQ-EUR,1739318400000,0.090106,0.094301,0.087687,0.093098,1499744.12233752
REQ-EUR,1739232000000,0.0918,0.095089,0.088246,0.089552,270386.95766293
REQ-EUR,1739145600000,0.089518,0.091893,0.089518,0.090908,78557.74861621
REQ-EUR,1739059200000,0.089888,0.0928,0.088182,0.090327,439733.07503683
REQ-EUR,1738972800000,0.089257,0.09218,0.086245,0.090056,602290.45599632
REQ-EUR,1738886400000,0.083618,0.090236,0.083,0.089734,235348.50871636
REQ-EUR,1738800000000,0.087948,0.088223,0.082016,0.082582,221789.64723933
REQ-EUR,1738713600000,0.085299,0.090422,0.083865,0.087824,118241.05037115
REQ-EUR,1738627200000,0.090655,0.091103,0.081793,0.084804,388746.96373005
REQ-EUR,1738540800000,0.094921,0.094921,0.077,0.091138,3890699.47549763
REQ-EUR,1738454400000,0.11196,0.139,0.093907,0.098168,6553954.33111166
