market,time,open,high,low,close,volume
RLC-EUR,1741132800000,1.1758,1.2044,1.1423,1.1712,70661.82990614
RLC-EUR,1741046400000,0.98088,1.2213,0.95,1.1764,420112.45050587
RLC-EUR,1740960000000,1.2298,1.2298,1.0427,1.0503,67671.61184376
RLC-EUR,1740873600000,1.16,1.2468,1.1366,1.2275,60726.12451331
RLC-EUR,1740787200000,1.165,1.176,1.1068,1.1488,47653.84649028
RLC-EUR,1740700800000,1.1622,1.1896,1.0582,1.17,108528.17616227
RLC-EUR,1740614400000,1.1485,1.2045,1.1293,1.1584,286542.40348806
RLC-EUR,1740528000000,1.1169,1.1552,1.0688,1.1305,65370.29160447
RLC-EUR,1740441600000,1.1533,1.1533,1.0676,1.135,155599.72526545
RLC-EUR,1740355200000,1.2517,1.2618,1.1152,1.1548,109811.34526288
RLC-EUR,1740268800000,1.265,1.2828,1.205,1.2466,47588.86755266
RLC-EUR,1740182400000,1.1982,1.2872,1.181,1.27,47096.33149431
RLC-EUR,1740096000000,1.24,1.3328,1.19,1.2051,55579.49979779
RLC-EUR,1740009600000,1.25,1.2821,1.24,1.2534,41491.38764086
RLC-EUR,1739923200000,1.1836,1.29,1.1836,1.2549,75828.65771696
RLC-EUR,1739836800000,1.2,1.2095,1.1168,1.1935,119829.87382188
RLC-EUR,1739750400000,1.248,1.265,1.1894,1.2005,66360.84927807
RLC-EUR,1739664000000,1.2217,1.2922,1.2217,1.2544,71565.29885857
RLC-EUR,1739577600000,1.2764,1.2872,1.2025,1.2227,11752.35704383
RLC-EUR,1739491200000,1.2588,1.3185,1.242,1.2851,57377.31888761
RLC-EUR,1739404800000,1.3379,1.35,1.248,1.272,18436.65287897
RLC-EUR,1739318400000,1.2614,1.3379,1.1999,1.3224,58661.54768598
RLC-EUR,1739232000000,1.2939,1.3632,1.245,1.2734,52443.50363068
RLC-EUR,1739145600000,1.2993,1.3328,1.2446,1.2817,94951.54457271
RLC-EUR,1739059200000,1.26,1.4411,1.2407,1.2968,441853.82343429
RLC-EUR,1738972800000,1.165,1.3167,1.1593,1.2645,86404.79531444
RLC-EUR,1738886400000,1.1557,1.2615,1.1314,1.1654,91284.32966385
RLC-EUR,1738800000000,1.232,1.2353,1.1182,1.1484,141003.13151499
RLC-EUR,1738713600000,1.2674,1.2839,1.2087,1.2269,99544.09546325
RLC-EUR,1738627200000,1.4248,1.4248,1.2276,1.2674,113270.66737517
RLC-EUR,1738540800000,1.3264,1.4456,1.0573,1.4375,465114.85442868
