market,time,open,high,low,close,volume
RPL-EUR,1741132800000,5.6036,5.7086,5.4606,5.4606,6945.20320298
RPL-EUR,1741046400000,5,5.5921,4.9817,5.5497,7479.14023011
RPL-EUR,1740960000000,6.1828,6.43,5.3275,5.4765,8312.87137717
RPL-EUR,1740873600000,6.1432,6.5712,5.9572,6.5215,6710.48176822
RPL-EUR,1740787200000,6.1181,6.287,5.9196,5.97,2344.80636689
RPL-EUR,1740700800000,6.001,6.333,5.812,6.3025,5036.88568531
RPL-EUR,1740614400000,6.2026,6.3843,5.9816,6.0934,6323.93903262
RPL-EUR,1740528000000,6.0961,6.268,5.9124,6.2179,5601.39421643
RPL-EUR,1740441600000,6.1301,6.2268,5.6907,6.1254,5605.83991242
RPL-EUR,1740355200000,6.59,6.59,5.95,6.07,8650.29920396
RPL-EUR,1740268800000,6.8127,6.9448,6.5811,6.693,1964.26587641
RPL-EUR,1740182400000,6.5727,6.9494,6.4852,6.9284,2649.32436484
RPL-EUR,1740096000000,7.155,7.25,6.4757,6.5147,9142.17064738
RPL-EUR,1740009600000,7.0287,7.2512,7.0168,7.1314,6193.3000122
RPL-EUR,1739923200000,6.8708,7.1235,6.8549,7.0356,3440.87597808
RPL-EUR,1739836800000,7.457,7.457,6.6843,6.9812,6661.48377154
RPL-EUR,1739750400000,7.4219,8.0044,7.2422,7.4514,7015.85298832
RPL-EUR,1739664000000,7.41,7.6034,7.3096,7.3853,8249.89819345
RPL-EUR,1739577600000,7.7431,7.7473,7.371,7.406,4231.67406626
RPL-EUR,1739491200000,7.9997,8.2,7.5749,7.6998,17689.25618827
RPL-EUR,1739404800000,8.902,9.0608,7.6386,7.9619,41082.14228975
RPL-EUR,1739318400000,8.806,9.3446,8.132,8.8719,112298.62376913
RPL-EUR,1739232000000,8.0937,11.714,8.0793,8.8662,279204.51760496
RPL-EUR,1739145600000,7.7337,8.1625,7.1861,8.1529,52156.28273918
RPL-EUR,1739059200000,6.0456,8.7439,6.0419,7.8299,338460.6618921
RPL-EUR,1738972800000,5.61,5.99,5.4743,5.99,1183.10347594
RPL-EUR,1738886400000,5.59,5.9775,5.3409,5.5204,5648.01681002
RPL-EUR,1738800000000,5.8929,6.0148,5.5,5.5259,2891.36563458
RPL-EUR,1738713600000,6.0631,6.1962,5.8208,5.8672,2635.15074046
RPL-EUR,1738627200000,6.3804,6.394,5.8776,6.0956,3410.0488888
RPL-EUR,1738540800000,6.4525,6.5159,5.0542,6.4075,29959.65530476
RPL-EUR,1738454400000,7.5722,7.5722,6.1532,6.4289,7094.07834783
RPL-EUR,1738368000000,8.1903,8.1903,7.378,7.4535,2342.06778985
RPL-EUR,1738281600000,8.1099,8.5583,7.9297,8.1375,14001.89428794
RPL-EUR,1738195200000,7.7378,8.1713,7.7378,8.126,3879.23134682
RPL-EUR,1738108800000,7.4041,7.838,7.3781,7.7098,1349.30332577
RPL-EUR,1738022400000,8.167,8.402,7.3416,7.4179,2740.26420069
RPL-EUR,1737936000000,8.3443,8.3443,7.6415,8.184,4314.47101571
RPL-EUR,1737849600000,8.6167,8.8097,8.4647,8.4647,4529.19789608
RPL-EUR,1737763200000,8.366,8.629,8.366,8.6097,768.84384899
RPL-EUR,1737676800000,8.7954,9.0666,8.447,8.501,4252.03006461
RPL-EUR,1737590400000,8.7178,8.7951,8.3967,8.7189,2237.77655081
RPL-EUR,1737504000000,9.1272,9.166,8.7803,8.7803,2871.15629336
RPL-EUR,1737417600000,8.9594,9.3775,8.52,9.249,14393.48894377
RPL-EUR,1737331200000,8.9054,9.8507,8.691,8.9926,4455.01599189
RPL-EUR,1737244800000,10.004,10.102,9,9.1034,9193.75930047
RPL-EUR,1737158400000,10.89,10.89,9.774,10.069,4935.01687223
RPL-EUR,1737072000000,10.253,10.947,10.253,10.864,2539.03912376
RPL-EUR,1736985600000,10.519,10.519,10.071,10.221,3541.97706872
RPL-EUR,1736899200000,9.94,10.524,9.6788,10.524,4619.23830726
RPL-EUR,1736812800000,9.8648,9.9805,9.6852,9.939,2946.59612414
RPL-EUR,1736726400000,10.126,10.197,9.1624,9.7563,3015.77051533
RPL-EUR,1736640000000,10.183,10.294,9.963,9.9991,1875.39913826
RPL-EUR,1736553600000,10.29,10.404,10.134,10.186,534.59804914
RPL-EUR,1736467200000,10.189,10.506,10.001,10.255,3337.78277071
RPL-EUR,1736380800000,10.48,10.48,9.8483,10.138,2846.35926692
RPL-EUR,1736294400000,10.631,10.631,9.88,10.506,4597.7865255
RPL-EUR,1736208000000,11.762,11.84,10.734,10.752,6963.31049729
RPL-EUR,1736121600000,12.05,12.397,11.851,11.905,33027.59988267
RPL-EUR,1736035200000,12,12.05,11.723,12.05,4743.18124136
RPL-EUR,1735948800000,11.98,12.265,11.889,12.077,21357.86768225
RPL-EUR,1735862400000,11.643,12.052,11.245,11.946,4915.87077637
RPL-EUR,1735776000000,11.442,11.852,11.407,11.45,3169.8071413
RPL-EUR,1735689600000,10.948,11.243,10.598,11.225,2898.95889618
RPL-EUR,1735603200000,11.009,11.5,11.009,11.081,2120.12435871
RPL-EUR,1735516800000,11.225,11.612,10.951,11.212,1913.28415873
RPL-EUR,1735430400000,11.657,11.841,11.158,11.239,2113.03557329
RPL-EUR,1735344000000,11.321,11.751,11.169,11.679,3710.22223223
RPL-EUR,1735257600000,10.86,11.701,10.86,11.304,2203.58956579
RPL-EUR,1735171200000,11.822,11.822,10.726,10.851,2869.57176058
RPL-EUR,1735084800000,12.03,12.18,11.507,11.666,5045.25608013
RPL-EUR,1734998400000,11.659,12.118,11.327,12.066,8449.37911692
RPL-EUR,1734912000000,10.457,11.786,10.29,11.68,1256.81526432
RPL-EUR,1734825600000,10.66,10.993,10.355,10.587,769.03593231
RPL-EUR,1734739200000,11.458,12.03,10.581,10.624,2700.35346738
RPL-EUR,1734652800000,11.398,11.572,9.7271,11.413,15063.70489829
RPL-EUR,1734566400000,12.379,12.877,11.056,11.62,15717.04560712
RPL-EUR,1734480000000,13.493,13.493,12.276,12.357,5654.96350278
RPL-EUR,1734393600000,13.984,14.738,13.244,13.345,4407.1708413
RPL-EUR,1734307200000,14.549,15.403,13.585,14.211,5163.13121783
RPL-EUR,1734220800000,14.09,14.511,13.686,14.455,2363.91824489
RPL-EUR,1734134400000,15.336,15.726,13.805,14.163,3110.70258535
RPL-EUR,1734048000000,14.973,15.175,14.256,15.175,4489.93492674
RPL-EUR,1733961600000,13.453,15.307,13.453,14.972,18104.0445217
RPL-EUR,1733875200000,12.704,13.72,12.254,13.473,4527.13112053
RPL-EUR,1733788800000,12.988,13.432,11.536,12.645,16424.31593227
RPL-EUR,1733702400000,16.15,16.196,11.422,13.275,23308.79628281
RPL-EUR,1733616000000,16.04,16.271,15.596,16.225,6117.29277728
RPL-EUR,1733529600000,16.775,16.778,15.729,16.001,6993.36485222
RPL-EUR,1733443200000,16.082,17.4,15.689,16.565,8963.14588526
RPL-EUR,1733356800000,16.519,17,15.571,16.042,15202.08696573
RPL-EUR,1733270400000,15.529,18.972,15.19,16.719,82904.13514589
RPL-EUR,1733184000000,13.55,15.761,13.363,15.588,36653.28728208
RPL-EUR,1733097600000,13.807,14.154,12.471,13.612,11155.35077031
RPL-EUR,1733011200000,14.101,14.101,13.161,13.698,9095.54282463
RPL-EUR,1732924800000,13.171,14.124,13.117,14.01,16253.22548617
RPL-EUR,1732838400000,13.338,13.553,12.81,13.192,7566.49099528
RPL-EUR,1732752000000,13.204,13.526,12.566,13.399,12033.8399724
RPL-EUR,1732665600000,12.678,14,12.313,13.269,11384.39160815
RPL-EUR,1732579200000,12.374,13.8,11.798,12.762,51893.33405341
RPL-EUR,1732492800000,11.334,13.39,10.986,12.522,27057.21264683
RPL-EUR,1732406400000,11.136,11.85,10.541,11.378,8282.62449589
RPL-EUR,1732320000000,9.8978,11.256,9.7565,11.152,9301.70059508
RPL-EUR,1732233600000,9.7263,9.8701,9.4727,9.7389,4774.99130405
RPL-EUR,1732147200000,8.83,9.8239,8.6907,9.7672,13803.00564038
RPL-EUR,1732060800000,9.2818,9.5188,8.8053,8.8751,4118.55817375
RPL-EUR,1731974400000,9.8137,9.8708,9.1406,9.3152,3239.37455067
RPL-EUR,1731888000000,9.4573,9.8686,9.2,9.8686,6159.86267105
RPL-EUR,1731801600000,9.73,9.8977,9.2696,9.4212,5513.48619102
RPL-EUR,1731715200000,9.5709,9.7159,9.1319,9.6459,4209.35971709
RPL-EUR,1731628800000,9.2432,9.5949,8.8762,9.5513,18688.55564582
RPL-EUR,1731542400000,9.8201,10.192,9.1926,9.2985,5542.8153891
RPL-EUR,1731456000000,10.434,10.534,9.5182,9.8321,6312.92016717
RPL-EUR,1731369600000,11.22,11.445,9.8323,10.486,14089.79460552
RPL-EUR,1731283200000,11.271,11.563,10.711,11.223,16739.90551688
RPL-EUR,1731196800000,10.402,11.787,10.27,11.301,16389.62272903
RPL-EUR,1731110400000,10.019,11.41,9.8634,10.45,15989.86648446
RPL-EUR,1731024000000,9.598,10.142,9.5277,9.9637,2812.27976042
RPL-EUR,1730937600000,9.5288,9.941,9.3,9.5467,3842.85755642
RPL-EUR,1730851200000,8.29,9.6393,8.29,9.529,14278.42152836
RPL-EUR,1730764800000,8.2807,8.3199,7.8317,8.1231,8231.83857174
RPL-EUR,1730678400000,8.632,8.6979,7.9575,8.171,6836.64514808
RPL-EUR,1730592000000,8.8668,8.8668,8.42,8.7149,3955.21788029
RPL-EUR,1730505600000,9.2077,9.2274,8.9,8.9719,406.72771282
RPL-EUR,1730419200000,9.3049,9.6581,9.1181,9.2482,758.2120481
RPL-EUR,1730332800000,9.9031,9.9031,9.285,9.3657,1074.50153859
RPL-EUR,1730246400000,10.166,10.275,9.9644,10.03,1229.80007807
RPL-EUR,1730160000000,9.786,10.306,9.786,10.119,1373.96751936
RPL-EUR,1730073600000,9.6756,9.8,9.3734,9.6839,365.32954671
