market,time,open,high,low,close,volume
S-EUR,1741132800000,0.51925,0.57302,0.50973,0.553,3497755.01105957
S-EUR,1741046400000,0.52047,0.57183,0.4689,0.52971,5538342.36207163
S-EUR,1740960000000,0.71786,0.71786,0.56087,0.56555,3036205.54002279
S-EUR,1740873600000,0.70627,0.75381,0.66813,0.72232,5349302.95803838
S-EUR,1740787200000,0.70915,0.73195,0.64395,0.69725,1952425.82069378
S-EUR,1740700800000,0.66773,0.66773,0.5925,0.65121,3044924.41183381
S-EUR,1740614400000,0.69467,0.71406,0.65753,0.66923,1581558.97401598
S-EUR,1740528000000,0.72531,0.73076,0.637,0.69416,3890222.8459915
S-EUR,1740441600000,0.76994,0.78085,0.64456,0.72629,6854889.85016676
S-EUR,1740355200000,0.81261,0.87258,0.75627,0.76996,4694517.04287083
S-EUR,1740268800000,0.76878,0.82098,0.763,0.8115,1664761.33943459
S-EUR,1740182400000,0.81693,0.87519,0.7519,0.76911,3424314.52169754
S-EUR,1740096000000,0.82739,0.94201,0.78905,0.82098,10005392.05826348
S-EUR,1740009600000,0.68173,0.85633,0.66692,0.82408,8084529.71612344
S-EUR,1739923200000,0.57165,0.70817,0.56643,0.68162,7793756.33995387
S-EUR,1739836800000,0.57909,0.6014,0.54167,0.57058,3216075.22723483
S-EUR,1739750400000,0.50494,0.59677,0.50494,0.58096,5009364.87989576
S-EUR,1739664000000,0.49092,0.51341,0.48453,0.50539,834581.23725351
S-EUR,1739577600000,0.52299,0.53437,0.48564,0.48911,730705.95439793
S-EUR,1739491200000,0.51078,0.53274,0.50729,0.52376,1342711.82463892
S-EUR,1739404800000,0.53523,0.56502,0.50673,0.50993,3446734.43453257
S-EUR,1739318400000,0.43804,0.54195,0.43511,0.5361,5731802.76556593
S-EUR,1739232000000,0.42299,0.46491,0.42299,0.4375,2982652.84746867
S-EUR,1739145600000,0.39796,0.43354,0.38668,0.42346,1874070.42773083
S-EUR,1739059200000,0.39883,0.40504,0.38277,0.39665,1448387.6058392
S-EUR,1738972800000,0.38378,0.40481,0.36375,0.40019,1513454.090601
S-EUR,1738886400000,0.4116,0.43308,0.37092,0.38296,1824978.78407999
S-EUR,1738800000000,0.42354,0.46028,0.40511,0.40788,3294666.85822468
S-EUR,1738713600000,0.42166,0.44045,0.40808,0.42262,1562730.45574533
S-EUR,1738627200000,0.45822,0.45937,0.40106,0.42108,3337960.90100809
S-EUR,1738540800000,0.44767,0.4657,0.31001,0.45534,4812720.58149254
S-EUR,1738454400000,0.47533,0.49874,0.41841,0.44702,2668761.22813864
S-EUR,1738368000000,0.54552,0.55074,0.47133,0.47475,1594145.01061368
S-EUR,1738281600000,0.499,0.578,0.48396,0.54521,4227273.22930131
S-EUR,1738195200000,0.46822,0.515,0.46626,0.49796,1445077.69501299
S-EUR,1738108800000,0.42132,0.47961,0.42083,0.46755,1600656.2950814
S-EUR,1738022400000,0.47406,0.47406,0.41747,0.42197,1803305.44064768
S-EUR,1737936000000,0.49201,0.49839,0.43705,0.47196,2578534.76446749
S-EUR,1737849600000,0.512,0.53006,0.49,0.49322,874795.12665535
S-EUR,1737763200000,0.51106,0.52162,0.50036,0.512,652246.62796817
S-EUR,1737676800000,0.5584,0.5584,0.50323,0.5109,1514069.34571921
S-EUR,1737590400000,0.56902,0.5817,0.54174,0.55754,1304520.86784671
S-EUR,1737504000000,0.58072,0.62868,0.565,0.57067,3088537.80113384
S-EUR,1737417600000,0.49813,0.61293,0.48174,0.58259,5566505.99083195
S-EUR,1737331200000,0.54925,0.582,0.4898,0.49713,4127755.33512458
S-EUR,1737244800000,0.66037,0.66343,0.53444,0.5494,6651281.4461029
S-EUR,1737158400000,0.75732,0.76461,0.64,0.66037,3688708.93224423
S-EUR,1737072000000,0.77204,0.8,0.72,0.75775,2809742.414393
