market,time,open,high,low,close,volume
SAGA-EUR,1741132800000,0.38129,0.39851,0.37214,0.37943,37719.51460554
SAGA-EUR,1741046400000,0.39928,0.42147,0.35221,0.3866,125471.7352028
SAGA-EUR,1740960000000,0.52133,0.54128,0.39986,0.40745,297538.63150729
SAGA-EUR,1740873600000,0.52877,0.5474,0.48668,0.51737,84779.26937345
SAGA-EUR,1740787200000,0.5126,0.51783,0.48893,0.49349,39955.36616999
SAGA-EUR,1740700800000,0.49656,0.53094,0.46926,0.52392,46912.72859299
SAGA-EUR,1740614400000,0.50475,0.54136,0.50283,0.50476,231984.23022642
SAGA-EUR,1740528000000,0.50098,0.51886,0.481,0.51226,84866.51000673
SAGA-EUR,1740441600000,0.4856,0.51269,0.46156,0.50408,93674.84838117
SAGA-EUR,1740355200000,0.59993,0.59993,0.48492,0.49039,67626.42428184
SAGA-EUR,1740268800000,0.61898,0.6255,0.60036,0.60741,19649.55915363
SAGA-EUR,1740182400000,0.61163,0.63484,0.59514,0.62975,58925.56135619
SAGA-EUR,1740096000000,0.61525,0.6542,0.59048,0.59459,39955.96591785
SAGA-EUR,1740009600000,0.58561,0.63364,0.58561,0.60677,75069.24003654
SAGA-EUR,1739923200000,0.56389,0.58241,0.56223,0.57613,12761.19832802
SAGA-EUR,1739836800000,0.61268,0.61268,0.53329,0.57024,25661.05477734
SAGA-EUR,1739750400000,0.67008,0.67366,0.59225,0.61025,47753.79108199
SAGA-EUR,1739664000000,0.66726,0.67811,0.64844,0.66044,5914.75093077
SAGA-EUR,1739577600000,0.715,0.715,0.66181,0.66693,18675.2710659
SAGA-EUR,1739491200000,0.67213,0.73127,0.67213,0.70844,13583.86690408
SAGA-EUR,1739404800000,0.71747,0.72485,0.67016,0.67646,13859.25167082
SAGA-EUR,1739318400000,0.70026,0.71868,0.66062,0.71868,55099.80464496
SAGA-EUR,1739232000000,0.69714,0.74367,0.6813,0.69015,17833.35977211
SAGA-EUR,1739145600000,0.69013,0.7036,0.64601,0.69757,17256.87174018
SAGA-EUR,1739059200000,0.68659,0.70947,0.64651,0.67786,15679.05283368
SAGA-EUR,1738972800000,0.6584,0.69906,0.65297,0.69647,8042.27312858
SAGA-EUR,1738886400000,0.67244,0.71197,0.62544,0.64036,29493.56924796
SAGA-EUR,1738800000000,0.69229,0.71068,0.6391,0.6391,28441.55210013
SAGA-EUR,1738713600000,0.74418,0.75282,0.68913,0.6962,83106.02083144
SAGA-EUR,1738627200000,0.8016,0.8016,0.71246,0.73862,115729.33554904
SAGA-EUR,1738540800000,0.80206,0.82804,0.60012,0.82398,333555.93821557
SAGA-EUR,1738454400000,0.99737,1.0031,0.76538,0.82201,45265.05142064
SAGA-EUR,1738368000000,1.1243,1.1498,0.985,0.985,34522.33779295
SAGA-EUR,1738281600000,1.0973,1.1826,1.0786,1.1208,38466.81246855
SAGA-EUR,1738195200000,1.0654,1.1206,1.0654,1.1029,40828.94605234
SAGA-EUR,1738108800000,0.97098,1.0822,0.96,1.0662,16407.31564072
SAGA-EUR,1738022400000,1.0932,1.0966,0.96718,0.9828,4698.12747997
SAGA-EUR,1737936000000,1.0869,1.1089,0.98215,1.0739,29827.76459345
SAGA-EUR,1737849600000,1.1442,1.1923,1.1431,1.1584,5245.77147466
SAGA-EUR,1737763200000,1.1025,1.1656,1.0921,1.1596,11857.06533485
SAGA-EUR,1737676800000,1.1577,1.2441,1.113,1.1266,83237.5758088
SAGA-EUR,1737590400000,1.2,1.2,1.1216,1.1686,84094.40500791
SAGA-EUR,1737504000000,1.2662,1.283,1.2162,1.2391,20530.438969
SAGA-EUR,1737417600000,1.2437,1.3058,1.1848,1.2849,39009.97534846
SAGA-EUR,1737331200000,1.2856,1.3814,1.2172,1.2609,112929.12949123
SAGA-EUR,1737244800000,1.4495,1.5047,1.2925,1.2981,141443.99793581
SAGA-EUR,1737158400000,1.6406,1.6462,1.4224,1.4727,48993.14658495
SAGA-EUR,1737072000000,1.3936,1.6713,1.3936,1.6398,345558.87198037
SAGA-EUR,1736985600000,1.3885,1.4131,1.302,1.3662,194356.43339772
SAGA-EUR,1736899200000,1.1966,1.5134,1.1743,1.3809,529527.93921733
SAGA-EUR,1736812800000,1.1812,1.2111,1.1812,1.2111,6002.60763692
SAGA-EUR,1736726400000,1.2017,1.2017,1.0748,1.1609,6872.32653433
SAGA-EUR,1736640000000,1.2388,1.2441,1.1999,1.2084,3206.99761753
SAGA-EUR,1736553600000,1.2401,1.2527,1.232,1.2501,959.06352439
SAGA-EUR,1736467200000,1.2515,1.2719,1.216,1.2554,3879.86132073
SAGA-EUR,1736380800000,1.2613,1.2613,1.1915,1.2212,6589.1738725
SAGA-EUR,1736294400000,1.3562,1.3613,1.1667,1.2515,16587.97591996
SAGA-EUR,1736208000000,1.5413,1.5441,1.3542,1.3561,14289.82740868
SAGA-EUR,1736121600000,1.5696,1.6149,1.5407,1.5563,5383.84540093
SAGA-EUR,1736035200000,1.5525,1.5717,1.5218,1.5709,3093.34600812
SAGA-EUR,1735948800000,1.5655,1.5915,1.5528,1.5812,2629.67529618
SAGA-EUR,1735862400000,1.4747,1.6013,1.4464,1.5748,10545.30160584
SAGA-EUR,1735776000000,1.4291,1.5057,1.4291,1.4696,16113.23550053
SAGA-EUR,1735689600000,1.3872,1.4268,1.3399,1.4078,30679.93365975
SAGA-EUR,1735603200000,1.3197,1.4113,1.3124,1.4113,4091.47525651
SAGA-EUR,1735516800000,1.3888,1.4179,1.3304,1.3698,13036.41415577
SAGA-EUR,1735430400000,1.4233,1.4262,1.3378,1.3378,3795.18674596
SAGA-EUR,1735344000000,1.3707,1.4322,1.3707,1.4262,5080.03823636
SAGA-EUR,1735257600000,1.3537,1.4703,1.3537,1.3886,12720.48074631
SAGA-EUR,1735171200000,1.4658,1.4658,1.3317,1.3511,40348.32238166
SAGA-EUR,1735084800000,1.5126,1.5249,1.4401,1.4469,2608.85076208
