market,time,open,high,low,close,volume
SCR-EUR,1741132800000,0.4254,0.4422,0.42283,0.43184,36251.83907923
SCR-EUR,1741046400000,0.44625,0.45841,0.40154,0.43834,31473.20365359
SCR-EUR,1740960000000,0.5098,0.54498,0.47,0.51448,6750.92479685
SCR-EUR,1740873600000,0.53249,0.57928,0.52133,0.5775,12589.03826443
SCR-EUR,1740787200000,0.52469,0.54334,0.51696,0.52176,2849.08827513
SCR-EUR,1740700800000,0.55566,0.55566,0.51156,0.54718,3252.41869633
SCR-EUR,1740614400000,0.55747,0.57156,0.552,0.552,2661.21476972
SCR-EUR,1740528000000,0.55375,0.57178,0.53583,0.56725,3701.43332378
SCR-EUR,1740441600000,0.52699,0.5614,0.5,0.55365,12713.8372287
SCR-EUR,1740355200000,0.61302,0.61479,0.52907,0.52907,11206.81360578
SCR-EUR,1740268800000,0.63262,0.63262,0.60107,0.60876,1782.34338053
SCR-EUR,1740182400000,0.6018,0.6346,0.6018,0.63191,503.50695664
SCR-EUR,1740096000000,0.60571,0.63241,0.58862,0.60251,48585.60541707
SCR-EUR,1740009600000,0.59094,0.61299,0.58557,0.59702,48454.47651447
SCR-EUR,1739923200000,0.58227,0.59154,0.57535,0.57578,5042.24107803
SCR-EUR,1739836800000,0.59065,0.59337,0.56263,0.58577,2412.80964029
SCR-EUR,1739750400000,0.60672,0.64911,0.60005,0.60998,5822.18819965
SCR-EUR,1739664000000,0.61273,0.63161,0.59841,0.61192,24557.21805427
SCR-EUR,1739577600000,0.62677,0.63271,0.59894,0.61749,102493.43653688
SCR-EUR,1739491200000,0.58757,0.65537,0.58679,0.6261,22338.20716522
SCR-EUR,1739404800000,0.62037,0.62416,0.58474,0.59,37783.49273464
SCR-EUR,1739318400000,0.60879,0.64816,0.59713,0.61802,74584.67463386
SCR-EUR,1739232000000,0.59107,0.663,0.58562,0.60862,85569.78330472
SCR-EUR,1739145600000,0.56025,0.59116,0.5479,0.58158,36006.2380342
SCR-EUR,1739059200000,0.5473,0.56366,0.52087,0.54869,70941.53668864
SCR-EUR,1738972800000,0.53903,0.55335,0.51083,0.54261,142414.69673249
SCR-EUR,1738886400000,0.47992,0.55473,0.47033,0.5208,469977.61497482
SCR-EUR,1738800000000,0.55968,0.83599,0.47227,0.47597,1294274.89103999
SCR-EUR,1738713600000,0.54988,0.59212,0.54891,0.55,157086.35077544
SCR-EUR,1738627200000,0.58331,0.58791,0.50306,0.55268,39705.11523094
SCR-EUR,1738540800000,0.60235,0.60235,0.45,0.57976,300908.20238158
SCR-EUR,1738454400000,0.61769,0.67163,0.59617,0.61184,273862.43814968
SCR-EUR,1738368000000,0.65154,0.65154,0.59906,0.60406,7900.17178833
SCR-EUR,1738281600000,0.63925,0.69366,0.63925,0.65236,6729.62810895
SCR-EUR,1738195200000,0.64418,0.65826,0.64307,0.65064,25870.98444957
SCR-EUR,1738108800000,0.59177,0.6495,0.59177,0.63208,23586.79665183
SCR-EUR,1738022400000,0.65171,0.65171,0.58653,0.59565,1999.74719805
SCR-EUR,1737936000000,0.64737,0.64737,0.575,0.64103,15557.05278356
SCR-EUR,1737849600000,0.67829,0.68231,0.64847,0.64847,11482.40867881
SCR-EUR,1737763200000,0.67027,0.67779,0.6583,0.66975,5068.01372085
