market,time,open,high,low,close,volume
SFP-EUR,1741132800000,0.56188,0.56188,0.55533,0.55533,166.57221819
SFP-EUR,1741046400000,0.55439,0.56044,0.53727,0.55702,2899.57403279
SFP-EUR,1740960000000,0.59635,0.61506,0.56186,0.56186,163.67124582
SFP-EUR,1740873600000,0.61099,0.61569,0.58891,0.58891,2324.06939909
SFP-EUR,1740787200000,0.59157,0.59216,0.58779,0.59216,920.74663092
SFP-EUR,1740700800000,0.57276,0.59822,0.57258,0.59822,1062.10001806
SFP-EUR,1740614400000,0.60849,0.60863,0.59949,0.59949,793.04527101
SFP-EUR,1740528000000,0.60202,0.60202,0.5791,0.5791,507.6301821
SFP-EUR,1740441600000,0.58414,0.58414,0.57275,0.58151,628.68362938
SFP-EUR,1740355200000,0.61177,0.61177,0.58474,0.58474,1515.83264768
SFP-EUR,1740268800000,0.63299,0.63299,0.62248,0.62609,675.18668051
SFP-EUR,1740182400000,0.61452,0.62855,0.61452,0.62855,1096.21709519
SFP-EUR,1740096000000,0.62632,0.62632,0.61231,0.61807,329.98948655
SFP-EUR,1740009600000,0.62108,0.62108,0.60606,0.61178,1179.56761149
SFP-EUR,1739923200000,0.6189,0.6189,0.61376,0.61622,1577.09340009
SFP-EUR,1739836800000,0.61405,0.61708,0.60148,0.60751,113.4676039
SFP-EUR,1739750400000,0.63531,0.63551,0.62175,0.62761,732.83946955
SFP-EUR,1739664000000,0.62975,0.63488,0.62692,0.63488,438.73462914
SFP-EUR,1739577600000,0.63954,0.63975,0.62799,0.62799,2287.93606715
SFP-EUR,1739491200000,0.63891,0.65385,0.63336,0.64445,5874.71998026
SFP-EUR,1739404800000,0.6582,0.66609,0.63822,0.63835,17730.10056873
SFP-EUR,1739318400000,0.62466,0.64511,0.62136,0.64372,568.05581544
SFP-EUR,1739232000000,0.62886,0.64807,0.61313,0.62229,7779.72231743
SFP-EUR,1739145600000,0.60824,0.6324,0.60824,0.6324,1847.09625375
SFP-EUR,1739059200000,0.61109,0.6344,0.6008,0.61005,2708.57271479
SFP-EUR,1738972800000,0.59933,0.61407,0.59725,0.61295,285.47871424
SFP-EUR,1738886400000,0.60667,0.62606,0.5697,0.60118,18588.99804578
SFP-EUR,1738800000000,0.61139,0.62243,0.59191,0.59191,12228.06787298
SFP-EUR,1738713600000,0.62578,0.6361,0.59561,0.60826,6390.31156517
SFP-EUR,1738627200000,0.667,0.69199,0.61999,0.61999,54795.75270222
SFP-EUR,1738540800000,0.6289,0.63198,0.55492,0.63198,13035.42695085
SFP-EUR,1738454400000,0.64121,0.64492,0.61238,0.62227,14851.93132093
SFP-EUR,1738368000000,0.66861,0.67595,0.6474,0.6474,14538.89297982
SFP-EUR,1738281600000,0.67329,0.67946,0.66396,0.66396,24557.20948884
SFP-EUR,1738195200000,0.65699,0.66655,0.65699,0.66041,1659.18381046
SFP-EUR,1738108800000,0.6517,0.66435,0.64888,0.64888,3998.13931287
SFP-EUR,1738022400000,0.65027,0.68069,0.64287,0.64287,5410.31367733
SFP-EUR,1737936000000,0.6582,0.6582,0.62599,0.64769,3040.55143763
SFP-EUR,1737849600000,0.65437,0.6669,0.65437,0.66056,1587.35441345
SFP-EUR,1737763200000,0.63987,0.65375,0.63557,0.65375,354.41041323
SFP-EUR,1737676800000,0.65263,0.65715,0.64175,0.64175,1976.9418159
SFP-EUR,1737590400000,0.657,0.657,0.64225,0.65666,5615.6257055
SFP-EUR,1737504000000,0.66862,0.66862,0.65763,0.65763,1264.07766861
