market,time,open,high,low,close,volume
SLP-EUR,1741132800000,0.0017801,0.001842,0.0017738,0.0018213,3230470.24416999
SLP-EUR,1741046400000,0.0017713,0.0018095,0.0016529,0.0017855,19056935.96065604
SLP-EUR,1740960000000,0.001944,0.0021255,0.00179,0.001803,24705870.57632395
SLP-EUR,1740873600000,0.00196,0.0021482,0.0019565,0.0019845,16643793.78828897
SLP-EUR,1740787200000,0.0019766,0.0019818,0.0019142,0.0019462,3655812.83526849
SLP-EUR,1740700800000,0.0020335,0.0020335,0.0018523,0.0019666,15422930.40271265
SLP-EUR,1740614400000,0.0020027,0.0020755,0.0019893,0.0020258,32036445.39945294
SLP-EUR,1740528000000,0.00202,0.0020628,0.001944,0.0019903,14724056.53131928
SLP-EUR,1740441600000,0.0020352,0.0020598,0.00188,0.0020427,10397667.28264558
SLP-EUR,1740355200000,0.0022977,0.0022977,0.0020166,0.0020531,11070322.19357853
SLP-EUR,1740268800000,0.0023152,0.0024582,0.0022631,0.0022977,14886629.14435726
SLP-EUR,1740182400000,0.0022,0.0023708,0.0022,0.0023016,1898420.23499257
SLP-EUR,1740096000000,0.0022993,0.0023649,0.0021921,0.0022047,3168670.15942252
SLP-EUR,1740009600000,0.0022787,0.0023051,0.0022415,0.0023051,12748884.89100369
SLP-EUR,1739923200000,0.0022841,0.0023339,0.0022307,0.002232,1923289.94631091
SLP-EUR,1739836800000,0.0023824,0.0023824,0.0021835,0.002278,3505771.16942685
SLP-EUR,1739750400000,0.0023788,0.0024795,0.0023397,0.0023983,11065128.14308318
SLP-EUR,1739664000000,0.002446,0.0025005,0.002354,0.0023936,28999369.64852347
SLP-EUR,1739577600000,0.0023734,0.0024959,0.002364,0.0024106,33011695.4421921
SLP-EUR,1739491200000,0.0023369,0.0024171,0.00233,0.0023952,6411759.34663189
SLP-EUR,1739404800000,0.0024402,0.0024566,0.0022985,0.0023356,9185926.18861855
SLP-EUR,1739318400000,0.002297,0.0025176,0.0022691,0.0024592,12316388.56656228
SLP-EUR,1739232000000,0.0023232,0.0023993,0.0022472,0.0022927,12013800.42499977
SLP-EUR,1739145600000,0.0021822,0.0026321,0.0021822,0.0022918,97372469.4698513
SLP-EUR,1739059200000,0.0021769,0.0022445,0.0020622,0.0021302,7753959.25537614
SLP-EUR,1738972800000,0.0020517,0.0021825,0.0020355,0.0021825,6996035.31037708
SLP-EUR,1738886400000,0.0020706,0.0021703,0.0020048,0.0020048,8110332.52901643
SLP-EUR,1738800000000,0.0021278,0.002178,0.0020133,0.0020363,33882927.82429183
SLP-EUR,1738713600000,0.0021207,0.002241,0.002099,0.0021176,26639777.84412157
SLP-EUR,1738627200000,0.0024084,0.0024084,0.0020937,0.0021428,16213203.20667513
SLP-EUR,1738540800000,0.002214,0.0024069,0.0018,0.0023889,31175897.69410351
SLP-EUR,1738454400000,0.0025755,0.0025943,0.0021875,0.0022259,13305228.50737402
SLP-EUR,1738368000000,0.0028195,0.0028229,0.002577,0.002577,10399664.04004414
SLP-EUR,1738281600000,0.0027542,0.0029256,0.0027542,0.0027976,20152323.64106435
SLP-EUR,1738195200000,0.0026342,0.0027976,0.0026141,0.0027722,6693119.94336916
SLP-EUR,1738108800000,0.00261,0.0027273,0.0025949,0.0026499,4377801.68007329
SLP-EUR,1738022400000,0.0028034,0.0028185,0.0025732,0.0025792,9023462.92604361
SLP-EUR,1737936000000,0.0029,0.0029134,0.0025288,0.0027836,63722589.76617819
SLP-EUR,1737849600000,0.0029847,0.0030524,0.0029146,0.0029187,23890801.04471533
SLP-EUR,1737763200000,0.0029534,0.0030376,0.0029402,0.0029624,4212337.03935068
SLP-EUR,1737676800000,0.0031002,0.0031371,0.0029517,0.0029862,5352104.57144326
SLP-EUR,1737590400000,0.0030824,0.0031575,0.0030143,0.0030859,4856468.28817444
SLP-EUR,1737504000000,0.0031777,0.0032015,0.0030817,0.0031098,13987287.29321054
SLP-EUR,1737417600000,0.0029778,0.0034713,0.002936,0.003199,133394299.47278921
SLP-EUR,1737331200000,0.0030621,0.0032769,0.0029176,0.0029862,22229781.83362283
SLP-EUR,1737244800000,0.0035111,0.0035111,0.0030375,0.0031342,22197775.57630885
SLP-EUR,1737158400000,0.0037933,0.0038262,0.0034131,0.0035213,9878142.0770369
SLP-EUR,1737072000000,0.0034926,0.0038666,0.0034926,0.0038054,26713364.54922999
SLP-EUR,1736985600000,0.0035152,0.0035655,0.0034041,0.0034887,13895071.33267017
SLP-EUR,1736899200000,0.0033224,0.0035405,0.0032421,0.0035405,12415927.87565257
SLP-EUR,1736812800000,0.0032679,0.0033522,0.0032243,0.0033332,12791593.8134899
SLP-EUR,1736726400000,0.00331,0.00331,0.003,0.0032629,16093041.79920705
SLP-EUR,1736640000000,0.0034026,0.0034516,0.00332,0.0033592,11283122.01119282
SLP-EUR,1736553600000,0.0034499,0.003473,0.0033693,0.0034003,6777839.01080454
SLP-EUR,1736467200000,0.003382,0.0035253,0.003382,0.0034425,16008569.9011529
SLP-EUR,1736380800000,0.0034793,0.0035011,0.0032733,0.0033546,6703892.49286545
SLP-EUR,1736294400000,0.0036061,0.0036144,0.003321,0.0034797,9832784.67633694
SLP-EUR,1736208000000,0.0041178,0.0041178,0.0035886,0.0035886,20318375.69825268
SLP-EUR,1736121600000,0.0040815,0.0042149,0.0040264,0.0040809,20687869.98985863
SLP-EUR,1736035200000,0.0042785,0.0043653,0.0040352,0.00412,41282305.14981765
SLP-EUR,1735948800000,0.0039808,0.0043541,0.0039185,0.0042896,63721295.74541007
SLP-EUR,1735862400000,0.0038412,0.004018,0.0037332,0.0039631,13655604.84640789
SLP-EUR,1735776000000,0.0036743,0.0039017,0.0036743,0.003821,9700813.1662874
SLP-EUR,1735689600000,0.0036836,0.0037441,0.0035886,0.0036922,4805476.64957565
SLP-EUR,1735603200000,0.003508,0.0037969,0.0034583,0.0036593,11191709.35182534
SLP-EUR,1735516800000,0.0035897,0.0037185,0.0034257,0.0035103,17739496.3243675
SLP-EUR,1735430400000,0.0037731,0.0038132,0.0035598,0.0035967,21170130.95566434
SLP-EUR,1735344000000,0.0036577,0.0038135,0.0036038,0.0037911,20602011.20972763
SLP-EUR,1735257600000,0.0037377,0.0038894,0.0036363,0.0036619,15465527.88023548
SLP-EUR,1735171200000,0.0040274,0.0040274,0.0037046,0.0037482,11052207.58373866
SLP-EUR,1735084800000,0.0040739,0.0042279,0.003924,0.0039916,29280754.31080386
SLP-EUR,1734998400000,0.0038786,0.0040921,0.0038226,0.0040674,18393663.12579789
SLP-EUR,1734912000000,0.0035953,0.0039916,0.0035262,0.0039038,31377134.8134181
SLP-EUR,1734825600000,0.0037574,0.0038259,0.00351,0.0035929,37583712.58671524
SLP-EUR,1734739200000,0.0039873,0.0041428,0.0036818,0.0037613,13134439.13625678
SLP-EUR,1734652800000,0.0038437,0.0040729,0.0033111,0.004043,51197007.27870026
SLP-EUR,1734566400000,0.0042694,0.0043408,0.0036722,0.0038461,53296240.88223822
SLP-EUR,1734480000000,0.004537,0.0048191,0.0042956,0.0042959,33242922.47954992
SLP-EUR,1734393600000,0.0046482,0.0048009,0.0044826,0.0045138,20599481.53910341
SLP-EUR,1734307200000,0.0049629,0.0050529,0.004554,0.0047065,21916937.86204855
SLP-EUR,1734220800000,0.004674,0.0051344,0.0045124,0.0049363,52541489.34320419
SLP-EUR,1734134400000,0.0047477,0.0048,0.004413,0.0046981,54325669.39363428
SLP-EUR,1734048000000,0.0049377,0.0049524,0.0046552,0.0047475,34652920.00697998
SLP-EUR,1733961600000,0.0049386,0.0051149,0.0047956,0.0048715,46779564.1866208
SLP-EUR,1733875200000,0.0044294,0.0051012,0.0042925,0.0049103,137982926.14847386
SLP-EUR,1733788800000,0.0044396,0.0046983,0.0039141,0.0044443,94914218.13112898
SLP-EUR,1733702400000,0.0051748,0.0062326,0.0037023,0.0044665,462474278.5967687
SLP-EUR,1733616000000,0.005014,0.005241,0.00485,0.0052093,27796440.67186211
SLP-EUR,1733529600000,0.005129,0.0052226,0.0049663,0.0050078,36894510.88087019
SLP-EUR,1733443200000,0.0049048,0.0054338,0.0049048,0.0051224,75547705.51766632
SLP-EUR,1733356800000,0.0053706,0.0053706,0.0048447,0.0049265,110191672.60023867
SLP-EUR,1733270400000,0.0044692,0.0058969,0.0044079,0.0053478,599532157.5441632
SLP-EUR,1733184000000,0.004161,0.0045371,0.0038429,0.0044672,89319132.9486646
SLP-EUR,1733097600000,0.0039281,0.0041999,0.0036487,0.004186,63165471.48688895
SLP-EUR,1733011200000,0.0038698,0.0039692,0.0037851,0.0039214,23949668.36629103
SLP-EUR,1732924800000,0.0037458,0.0040515,0.0037423,0.0038905,35002214.48525722
SLP-EUR,1732838400000,0.0036154,0.0038122,0.003469,0.0037836,47335247.68134813
SLP-EUR,1732752000000,0.0035232,0.0036386,0.0034185,0.0036265,21259471.81684093
SLP-EUR,1732665600000,0.0032969,0.00358,0.0032621,0.0035469,14478064.63018844
SLP-EUR,1732579200000,0.0034717,0.0035352,0.0031211,0.0033131,43957095.55485186
SLP-EUR,1732492800000,0.0036529,0.0036771,0.0033698,0.0034574,67489132.08352855
SLP-EUR,1732406400000,0.0034097,0.0038242,0.0032746,0.0036529,126779232.34826404
SLP-EUR,1732320000000,0.0032403,0.0035387,0.0032259,0.0034303,80423007.57995047
SLP-EUR,1732233600000,0.0032133,0.0032923,0.0031087,0.0032523,93545883.1313735
SLP-EUR,1732147200000,0.0029736,0.0034296,0.0028644,0.0032073,221229148.16884547
SLP-EUR,1732060800000,0.0030724,0.0032,0.0028831,0.0029651,114446216.92255124
SLP-EUR,1731974400000,0.003074,0.0037521,0.0030203,0.0030834,660750063.6799347
SLP-EUR,1731888000000,0.0026956,0.0035934,0.0026956,0.0030897,498522457.2661445
SLP-EUR,1731801600000,0.0028056,0.003154,0.0026313,0.0026964,151582980.3232565
SLP-EUR,1731715200000,0.0025542,0.0028613,0.002535,0.0028037,72550386.70900004
SLP-EUR,1731628800000,0.0024515,0.0026348,0.00238,0.0025565,44486200.06361528
SLP-EUR,1731542400000,0.0025893,0.0026902,0.0024,0.0024297,19369959.53943319
SLP-EUR,1731456000000,0.0027346,0.0027511,0.0025,0.0025876,40156621.28506006
SLP-EUR,1731369600000,0.002948,0.0031287,0.002562,0.0027315,90457585.95831855
