market,time,open,high,low,close,volume
SNT-EUR,1741219200000,0.025848,0.025848,0.025848,0.025848,129.73159505
SNT-EUR,1741132800000,0.025818,0.027061,0.025128,0.02602,170823.4400411
SNT-EUR,1741046400000,0.027079,0.029055,0.025198,0.027163,373806.89230647
SNT-EUR,1740960000000,0.031,0.040996,0.027702,0.028756,10924167.67861
SNT-EUR,1740873600000,0.026224,0.030049,0.026224,0.029403,422013.72930858
SNT-EUR,1740787200000,0.025411,0.026091,0.02506,0.025695,67789.0717787
SNT-EUR,1740700800000,0.025828,0.02674,0.023527,0.025189,137064.80291981
SNT-EUR,1740614400000,0.025961,0.026077,0.025361,0.025575,9746.51904471
SNT-EUR,1740528000000,0.025418,0.02586,0.024939,0.025624,24680.65830044
SNT-EUR,1740441600000,0.025345,0.025744,0.023633,0.025476,181379.32515084
SNT-EUR,1740355200000,0.0282,0.028203,0.02628,0.02628,57338.98764393
SNT-EUR,1740268800000,0.029267,0.02949,0.028784,0.028919,90937.93561369
SNT-EUR,1740182400000,0.029081,0.02959,0.029081,0.02959,67417.62148618
SNT-EUR,1740096000000,0.029045,0.029734,0.028122,0.028283,28878.71217033
SNT-EUR,1740009600000,0.029426,0.029426,0.028749,0.029197,36512.0622071
SNT-EUR,1739923200000,0.029244,0.029244,0.02872,0.02886,26682.33109605
SNT-EUR,1739836800000,0.029604,0.029604,0.028037,0.028992,19938.38162181
SNT-EUR,1739750400000,0.029499,0.030129,0.029499,0.029702,16475.31890852
SNT-EUR,1739664000000,0.029859,0.030427,0.029392,0.02982,31433.66656044
SNT-EUR,1739577600000,0.030207,0.030291,0.029705,0.029705,11987.94661371
SNT-EUR,1739491200000,0.030627,0.031134,0.029959,0.030169,61587.24529996
SNT-EUR,1739404800000,0.030944,0.030944,0.029642,0.029827,36230.96236744
SNT-EUR,1739318400000,0.029643,0.031077,0.028666,0.031077,145428.13394517
SNT-EUR,1739232000000,0.031044,0.031618,0.029829,0.030361,79836.10399648
SNT-EUR,1739145600000,0.02877,0.031289,0.02877,0.03103,1039249.30868685
SNT-EUR,1739059200000,0.028905,0.030517,0.028905,0.029416,72111.98323266
SNT-EUR,1738972800000,0.028113,0.028864,0.028113,0.028411,2941.2909181
SNT-EUR,1738886400000,0.028645,0.029859,0.028005,0.028005,36731.63674569
SNT-EUR,1738800000000,0.029932,0.030297,0.028,0.028,187218.29295951
SNT-EUR,1738713600000,0.030244,0.030384,0.02939,0.029471,68279.02857314
SNT-EUR,1738627200000,0.032318,0.032318,0.029205,0.029361,417919.56366104
