market,time,open,high,low,close,volume
SNX-EUR,1741132800000,0.88062,0.91035,0.85418,0.8673,44686.95706318
SNX-EUR,1741046400000,0.85294,0.88945,0.78038,0.83148,47953.70302387
SNX-EUR,1740960000000,0.96558,0.96845,0.8539,0.90318,96095.2868372
SNX-EUR,1740873600000,0.8901,0.98126,0.856,0.9691,64834.06747338
SNX-EUR,1740787200000,0.8722,0.8778,0.8342,0.84125,11653.7422646
SNX-EUR,1740700800000,0.81833,0.87626,0.78617,0.86857,36792.93514227
SNX-EUR,1740614400000,0.8481,0.89039,0.83574,0.86494,11325.17568667
SNX-EUR,1740528000000,0.85124,0.87272,0.79254,0.82889,22600.9508859
SNX-EUR,1740441600000,0.84955,0.86376,0.78378,0.85462,202616.90301829
SNX-EUR,1740355200000,0.9352,0.93611,0.83,0.84444,106603.69761359
SNX-EUR,1740268800000,0.98005,0.98487,0.94539,0.94597,7427.11549257
SNX-EUR,1740182400000,0.91576,0.98952,0.91576,0.97992,4711.41646287
SNX-EUR,1740096000000,0.93701,1.022,0.9047,0.91504,89127.46348124
SNX-EUR,1740009600000,0.9227,0.95801,0.9124,0.95345,37789.49883809
SNX-EUR,1739923200000,0.92065,0.9429,0.89401,0.9147,18129.54377656
SNX-EUR,1739836800000,0.95598,0.95938,0.87132,0.91748,13044.28268744
SNX-EUR,1739750400000,0.94936,0.99563,0.93497,0.96773,10204.08229997
SNX-EUR,1739664000000,0.9461,0.98452,0.92135,0.93262,21786.78783475
SNX-EUR,1739577600000,0.97757,0.9813,0.93497,0.94418,8862.05531344
SNX-EUR,1739491200000,0.9883,0.99864,0.9395,0.98355,77331.03880869
SNX-EUR,1739404800000,0.99791,1.0136,0.95025,1.0014,23112.21111913
SNX-EUR,1739318400000,0.93399,1.0124,0.89,0.99121,40448.4128342
SNX-EUR,1739232000000,0.99399,1.0343,0.92108,0.92108,24156.48586746
SNX-EUR,1739145600000,0.94073,1,0.9127,0.98194,69311.55704057
SNX-EUR,1739059200000,0.94853,0.965,0.8919,0.93813,37021.53591388
SNX-EUR,1738972800000,0.93975,0.9597,0.922,0.93893,20126.29730295
SNX-EUR,1738886400000,0.94489,1.0098,0.9,0.93719,47503.5235366
SNX-EUR,1738800000000,1.0143,1.0334,0.93123,0.93311,54683.60944413
SNX-EUR,1738713600000,1.0667,1.0869,1,1.0235,127115.00494323
SNX-EUR,1738627200000,1.2371,1.2371,1.0089,1.0683,206389.52057351
SNX-EUR,1738540800000,1.2161,1.2427,0.95,1.2286,188703.68038189
SNX-EUR,1738454400000,1.4281,1.4287,1.15,1.2302,49944.93359714
SNX-EUR,1738368000000,1.5516,1.5554,1.3907,1.4057,13602.70031001
SNX-EUR,1738281600000,1.518,1.6193,1.5168,1.5516,15235.56744989
SNX-EUR,1738195200000,1.4409,1.5557,1.4388,1.5227,20527.79772608
SNX-EUR,1738108800000,1.3633,1.5052,1.3633,1.4853,27014.32790634
SNX-EUR,1738022400000,1.4311,1.4849,1.3466,1.3652,9173.9011321
SNX-EUR,1737936000000,1.48,1.4826,1.3197,1.4264,65385.36702365
SNX-EUR,1737849600000,1.5072,1.5702,1.49,1.49,4517.47944944
SNX-EUR,1737763200000,1.4951,1.5435,1.4758,1.5211,9021.73732141
SNX-EUR,1737676800000,1.538,1.597,1.493,1.4953,68402.85915578
SNX-EUR,1737590400000,1.5813,1.5855,1.5032,1.5472,40254.71532331
SNX-EUR,1737504000000,1.6617,1.6682,1.5779,1.5844,36875.44990131
SNX-EUR,1737417600000,1.5395,1.7,1.493,1.6584,56788.85633668
SNX-EUR,1737331200000,1.5621,1.6923,1.493,1.5583,79889.72585045
SNX-EUR,1737244800000,1.7552,1.7686,1.55,1.5689,64978.0471265
SNX-EUR,1737158400000,1.9286,1.9314,1.7051,1.7604,22712.44634907
SNX-EUR,1737072000000,1.8051,1.9337,1.8051,1.9274,22133.2909451
SNX-EUR,1736985600000,1.8408,1.8586,1.7767,1.7888,17593.17810758
SNX-EUR,1736899200000,1.7414,1.8434,1.6795,1.8381,17687.41018159
SNX-EUR,1736812800000,1.6495,1.7373,1.6495,1.7254,17302.08107442
SNX-EUR,1736726400000,1.7458,1.7898,1.5414,1.6379,18373.40750054
SNX-EUR,1736640000000,1.7801,1.7914,1.7093,1.7367,7579.65346697
SNX-EUR,1736553600000,1.7871,1.8027,1.7432,1.7791,9495.10009182
SNX-EUR,1736467200000,1.7529,1.8253,1.7194,1.771,13871.07628589
SNX-EUR,1736380800000,1.8035,1.8035,1.6948,1.7309,14743.57774456
SNX-EUR,1736294400000,1.8829,1.8948,1.6948,1.8091,20552.45091813
SNX-EUR,1736208000000,2.1105,2.1125,1.87,1.8809,26787.53650123
SNX-EUR,1736121600000,2.1074,2.1844,2.0897,2.1117,28666.5395558
SNX-EUR,1736035200000,2.1173,2.1258,2.073,2.1258,8098.09886952
SNX-EUR,1735948800000,2.11,2.1961,2.0789,2.155,14985.90110332
SNX-EUR,1735862400000,2.0222,2.1645,1.9779,2.1332,15611.73237758
SNX-EUR,1735776000000,1.9633,2.0746,1.9633,2.0123,7929.60264585
SNX-EUR,1735689600000,1.8687,1.9528,1.8363,1.9378,11710.77957265
SNX-EUR,1735603200000,1.8968,1.925,1.8327,1.8431,11829.47586868
SNX-EUR,1735516800000,1.9335,2.0008,1.8624,1.9048,19679.56479702
SNX-EUR,1735430400000,2.0311,2.0328,1.9063,1.9256,10449.70143017
SNX-EUR,1735344000000,1.9775,2.0502,1.947,2.0353,5894.55576698
SNX-EUR,1735257600000,1.9528,2.0798,1.9462,1.9647,25856.20767564
SNX-EUR,1735171200000,2.1382,2.1444,1.9137,1.947,14013.16494914
SNX-EUR,1735084800000,2.1496,2.2166,2.0828,2.1267,3381.38946417
SNX-EUR,1734998400000,2.0261,2.2392,1.9756,2.1559,41033.24279427
SNX-EUR,1734912000000,1.8948,2.0633,1.8466,2.021,19024.53451244
SNX-EUR,1734825600000,1.8826,1.9567,1.8403,1.8945,10010.24127861
SNX-EUR,1734739200000,2.1143,2.1458,1.8696,1.8722,31898.92263605
SNX-EUR,1734652800000,2.0543,2.1583,1.7763,2.1148,64415.84505074
SNX-EUR,1734566400000,2.3004,2.3295,1.9906,2.0805,63849.59648642
SNX-EUR,1734480000000,2.5376,2.5519,2.278,2.3249,32625.88216593
SNX-EUR,1734393600000,2.6974,2.7312,2.5127,2.5427,27939.03601933
SNX-EUR,1734307200000,2.8233,2.9291,2.6575,2.7162,36024.06442683
SNX-EUR,1734220800000,2.7447,2.8518,2.6669,2.8116,19174.47417615
SNX-EUR,1734134400000,2.9839,3.05,2.6907,2.7454,30434.74215415
SNX-EUR,1734048000000,3.0314,3.1059,2.8797,2.967,29822.38571241
SNX-EUR,1733961600000,2.7625,3.1987,2.7625,2.9658,56849.90487035
SNX-EUR,1733875200000,2.5363,2.8828,2.4826,2.8126,34014.5691838
SNX-EUR,1733788800000,2.5542,2.8037,2.3145,2.5731,76340.33693055
SNX-EUR,1733702400000,3.1921,3.213,2.2234,2.6267,127530.5636405
SNX-EUR,1733616000000,3.0258,3.4861,2.9099,3.185,183100.98238316
SNX-EUR,1733529600000,3.1147,3.18,2.9241,3.0011,42574.04368652
SNX-EUR,1733443200000,2.7764,3.1805,2.7764,3.0706,61612.21047386
SNX-EUR,1733356800000,2.8632,2.9253,2.6743,2.7594,66104.89183068
SNX-EUR,1733270400000,2.7954,3.056,2.6869,2.8727,114237.88891474
SNX-EUR,1733184000000,2.5815,2.8351,2.5286,2.8158,94254.67694776
SNX-EUR,1733097600000,2.4014,2.61,2.2677,2.61,77873.83112537
SNX-EUR,1733011200000,2.4642,2.4692,2.325,2.396,51087.82909781
SNX-EUR,1732924800000,2.2385,2.5233,2.2385,2.4824,54768.59838909
SNX-EUR,1732838400000,2.248,2.2712,2.1695,2.2556,29512.42550936
SNX-EUR,1732752000000,2.2831,2.2863,2.1377,2.2586,77363.86007744
SNX-EUR,1732665600000,2.1047,2.4194,2.0831,2.283,85124.31132263
SNX-EUR,1732579200000,2.1306,2.2205,1.9837,2.1095,71047.25222287
