market,time,open,high,low,close,volume
SOL-EUR,1741132800000,136.44,140.17,130.35,135.55,131611.45772571
SOL-EUR,1741046400000,137.04,138.51,124.31,134.26,255771.19782606
SOL-EUR,1740960000000,169.09,172.57,132.78,136.85,299157.56781811
SOL-EUR,1740873600000,140.12,174.73,135.05,164.6,315461.50337808
SOL-EUR,1740787200000,141.96,145.64,133.65,135.94,89716.15854841
SOL-EUR,1740700800000,132.39,143.29,120.79,142.78,256563.43968618
SOL-EUR,1740614400000,128.98,136.31,128.67,132.34,126573.06385037
SOL-EUR,1740528000000,137.2,138.16,124.38,128.87,187142.73938523
SOL-EUR,1740441600000,135.49,139.93,125.84,137.15,373736.62372999
SOL-EUR,1740355200000,160.56,161.87,131.44,135.6,247075.68396525
SOL-EUR,1740268800000,164.58,165.54,159.13,160.4,33236.56709566
SOL-EUR,1740182400000,161.6,167.07,160.83,164.59,35771.75245738
SOL-EUR,1740096000000,167.71,172.5,159.82,161.56,128423.68066153
SOL-EUR,1740009600000,162.06,169,160.85,167.67,100804.51386005
SOL-EUR,1739923200000,161.96,167.2,156.61,162.01,132973.81607713
SOL-EUR,1739836800000,169.33,171.11,154,161.99,235679.1551629
SOL-EUR,1739750400000,179.64,180.78,166.8,169.37,150096.71169724
SOL-EUR,1739664000000,185.56,187.09,177.84,179.68,51442.92428638
SOL-EUR,1739577600000,190.01,191,183.77,185.57,46745.67644364
SOL-EUR,1739491200000,185.76,195.49,185.68,190.27,99021.50875358
SOL-EUR,1739404800000,189.39,190.41,181.91,185.75,90129.85931502
SOL-EUR,1739318400000,191.11,191.68,182.3,189.34,141528.37178419
SOL-EUR,1739232000000,194.43,200.09,188.31,191.16,97943.17047853
SOL-EUR,1739145600000,194.58,202.6,190.26,194.69,93241.99624219
SOL-EUR,1739059200000,193.4,201,188.05,194.53,85155.07774245
SOL-EUR,1738972800000,186.19,194.85,183.99,193.4,46686.61769096
SOL-EUR,1738886400000,182.61,196,182.28,186.24,122091.78443459
SOL-EUR,1738800000000,188.7,196.36,180.58,182.71,96940.47602601
SOL-EUR,1738713600000,199.52,201.85,187.74,188.73,95333.68065481
