market,time,open,high,low,close,volume
SPX-EUR,1741132800000,0.4299,0.4554,0.41747,0.43287,440158.29359591
SPX-EUR,1741046400000,0.45672,0.49337,0.38722,0.41594,1185767.30614015
SPX-EUR,1740960000000,0.56889,0.63054,0.48504,0.49504,1056344.57524948
SPX-EUR,1740873600000,0.501,0.64452,0.4752,0.596,1640780.20435331
SPX-EUR,1740787200000,0.50497,0.51788,0.48232,0.50881,726937.85137411
SPX-EUR,1740700800000,0.50622,0.53187,0.43532,0.51394,1888228.65638581
SPX-EUR,1740614400000,0.59435,0.61086,0.5,0.50527,1077425.53389037
SPX-EUR,1740528000000,0.59547,0.61061,0.53381,0.58317,1509493.53708227
SPX-EUR,1740441600000,0.57184,0.65,0.52293,0.59657,1775792.45246468
SPX-EUR,1740355200000,0.70489,0.7242,0.56,0.57619,666234.22977164
SPX-EUR,1740268800000,0.70382,0.72093,0.64916,0.70416,589225.07972566
SPX-EUR,1740182400000,0.65808,0.74313,0.64,0.70155,1209919.94799763
SPX-EUR,1740096000000,0.68634,0.77575,0.64524,0.66076,1577484.81721558
SPX-EUR,1740009600000,0.60453,0.7189,0.60294,0.67922,973819.63107172
SPX-EUR,1739923200000,0.59215,0.6153,0.57439,0.6058,317200.21059882
SPX-EUR,1739836800000,0.65378,0.65588,0.54261,0.587,974905.54426395
SPX-EUR,1739750400000,0.6652,0.70478,0.62821,0.65115,822245.19831464
SPX-EUR,1739664000000,0.7246,0.73285,0.65388,0.65787,515390.41605217
SPX-EUR,1739577600000,0.76659,0.7747,0.71,0.72402,369107.88869571
SPX-EUR,1739491200000,0.70466,0.82983,0.6999,0.76982,1041627.85675523
SPX-EUR,1739404800000,0.73552,0.75611,0.66376,0.70453,1016520.91658645
SPX-EUR,1739318400000,0.69664,0.77147,0.62792,0.74338,1845719.29357121
SPX-EUR,1739232000000,0.64895,0.78741,0.64895,0.69481,2965464.62630599
SPX-EUR,1739145600000,0.6053,0.67902,0.58832,0.64357,1214919.59106683
SPX-EUR,1739059200000,0.63246,0.67,0.55767,0.60302,2024336.76010026
SPX-EUR,1738972800000,0.57651,0.65857,0.57418,0.63654,1165465.51155556
SPX-EUR,1738886400000,0.60303,0.67991,0.54752,0.57625,1932771.42360314
SPX-EUR,1738800000000,0.64839,0.707,0.52881,0.60383,2488065.83168252
SPX-EUR,1738713600000,0.78708,0.80014,0.63565,0.63766,1780816.81055659
SPX-EUR,1738627200000,0.86239,0.87064,0.73593,0.78955,1743910.65065821
SPX-EUR,1738540800000,0.84037,0.92239,0.62,0.866,4203792.02854065
SPX-EUR,1738454400000,1.0227,1.0617,0.77191,0.84532,2926797.4111725
SPX-EUR,1738368000000,1.1576,1.1662,1.0046,1.0245,991769.3246762
SPX-EUR,1738281600000,1.233,1.3021,1.1525,1.1569,1548582.49376676
SPX-EUR,1738195200000,1.1006,1.33,1.0845,1.233,2057823.89206034
SPX-EUR,1738108800000,0.99013,1.1743,0.99013,1.1002,1097782.02474595
SPX-EUR,1738022400000,1.098,1.1202,0.96357,0.99549,705444.97945389
SPX-EUR,1737936000000,1.0987,1.1201,0.93,1.0941,1453043.76350389
SPX-EUR,1737849600000,1.1526,1.1921,1.0941,1.0989,646016.05697522
SPX-EUR,1737763200000,1.1471,1.2141,1.115,1.1477,824965.09388258
SPX-EUR,1737676800000,1.3296,1.3537,1.142,1.1515,1560149.36790165
SPX-EUR,1737590400000,1.2981,1.3576,1.1946,1.3023,2221149.19816709
SPX-EUR,1737504000000,1.3546,1.494,1.287,1.2989,2168068.06230608
SPX-EUR,1737417600000,1.4009,1.5393,1.1875,1.3578,3385270.03505779
SPX-EUR,1737331200000,1.4102,1.5957,1.3055,1.3964,3256461.39532574
SPX-EUR,1737244800000,1.4097,1.7564,1.2224,1.4082,3357953.45674657
SPX-EUR,1737158400000,1.4827,1.4981,1.2717,1.407,2286040.66065646
SPX-EUR,1737072000000,0.98414,1.5235,0.97468,1.4822,5559745.28224789
SPX-EUR,1736985600000,1.0832,1.0832,0.95381,0.98724,1486758.46731495
SPX-EUR,1736899200000,1.052,1.1244,0.91156,1.0827,2798585.89215291
SPX-EUR,1736812800000,0.97127,1.29,0.96716,1.0622,2067822.07318073
SPX-EUR,1736726400000,0.97754,1.0066,0.85292,0.97438,1644709.01098059
SPX-EUR,1736640000000,1.0684,1.0784,0.9694,0.97146,356079.86648491
SPX-EUR,1736553600000,1.0784,1.1152,1.0277,1.0673,718614.13571434
SPX-EUR,1736467200000,1.0594,1.3,1.0584,1.0795,1440343.65899246
SPX-EUR,1736380800000,1.2806,1.323,1.0018,1.0613,2351669.55415171
SPX-EUR,1736294400000,1.3596,1.6396,1.2602,1.2789,2560692.55189762
SPX-EUR,1736208000000,1.494,1.5068,1.2853,1.3728,1824440.67718775
SPX-EUR,1736121600000,1.4777,2.068,1.406,1.4932,2560440.10173782
SPX-EUR,1736035200000,1.2883,1.5269,1.2244,1.468,1439660.62752553
SPX-EUR,1735948800000,1.2849,1.3792,1.2011,1.2832,1314701.62136429
SPX-EUR,1735862400000,1.1562,1.3,1.1197,1.2875,2486539.02245354
SPX-EUR,1735776000000,0.91346,1.2479,0.89841,1.1595,1442491.91807735
SPX-EUR,1735689600000,0.85087,0.9296,0.85,0.91336,220302.11580378
SPX-EUR,1735603200000,0.84981,0.86941,0.8114,0.84494,139974.27695541
SPX-EUR,1735516800000,0.88233,0.88999,0.81425,0.83811,281476.75344756
SPX-EUR,1735430400000,0.85154,0.89962,0.82607,0.88188,383414.1432529
SPX-EUR,1735344000000,0.76206,0.86505,0.74654,0.84852,577747.32265839
SPX-EUR,1735257600000,0.74301,0.77853,0.7,0.75217,183108.83994105
SPX-EUR,1735171200000,0.78999,0.80811,0.73295,0.73801,241286.96916757
SPX-EUR,1735084800000,0.78779,0.83478,0.76931,0.782,274084.3640135
SPX-EUR,1734998400000,0.75008,0.8199,0.72154,0.78302,603001.71478987
SPX-EUR,1734912000000,0.6053,0.76837,0.5928,0.75227,513648.51381377
SPX-EUR,1734825600000,0.71726,0.71854,0.60488,0.6053,260697.55462463
SPX-EUR,1734739200000,0.66224,0.78,0.66012,0.72193,672433.08928669
SPX-EUR,1734652800000,0.59291,0.66434,0.51408,0.66,353965.9345456
SPX-EUR,1734566400000,0.64002,0.65077,0.55788,0.60415,229240.74382454
SPX-EUR,1734480000000,0.68494,0.69268,0.64,0.64,262235.05771078
SPX-EUR,1734393600000,0.756,0.78392,0.67054,0.68262,650187.68356929
SPX-EUR,1734307200000,0.7231,0.81505,0.71486,0.756,834101.0006033
SPX-EUR,1734220800000,0.65132,0.7425,0.62565,0.71795,457770.11116165
