market,time,open,high,low,close,volume
STG-EUR,1741132800000,0.20962,0.21144,0.20621,0.21136,13270.15981097
STG-EUR,1741046400000,0.21345,0.21423,0.20575,0.21051,5179.42699146
STG-EUR,1740960000000,0.2437,0.24505,0.22107,0.22107,16748.27757
STG-EUR,1740873600000,0.2419,0.25489,0.2419,0.25489,28687.83111614
STG-EUR,1740787200000,0.24445,0.24445,0.23909,0.24362,843.24042938
STG-EUR,1740700800000,0.24211,0.24656,0.23171,0.24428,7323.47046172
STG-EUR,1740614400000,0.23752,0.24662,0.23752,0.23977,13733.25551284
STG-EUR,1740528000000,0.23609,0.23851,0.22749,0.23414,10012.3871157
STG-EUR,1740441600000,0.23805,0.23805,0.22686,0.23183,5492.01873822
STG-EUR,1740355200000,0.25285,0.25285,0.23672,0.23672,10131.37556733
STG-EUR,1740268800000,0.26351,0.26351,0.25948,0.26004,1736.55018127
STG-EUR,1740182400000,0.25671,0.26391,0.25671,0.26139,1450.07546054
STG-EUR,1740096000000,0.26567,0.26938,0.25352,0.25509,9487.19652497
STG-EUR,1740009600000,0.25814,0.2611,0.25814,0.25971,5116.2388707
STG-EUR,1739923200000,0.25526,0.25796,0.25526,0.25709,5217.68853974
STG-EUR,1739836800000,0.2557,0.25768,0.24813,0.25481,909.13362882
STG-EUR,1739750400000,0.27551,0.28606,0.26791,0.26877,123897.06205719
STG-EUR,1739664000000,0.26205,0.2794,0.26205,0.26632,50765.60240334
STG-EUR,1739577600000,0.26322,0.27068,0.25953,0.25953,8678.92478879
STG-EUR,1739491200000,0.25913,0.2673,0.25913,0.26446,19909.68460432
STG-EUR,1739404800000,0.26852,0.2701,0.25904,0.25961,175212.48704355
STG-EUR,1739318400000,0.26147,0.27136,0.25323,0.27136,57370.17871314
STG-EUR,1739232000000,0.26187,0.26913,0.25619,0.25951,27672.38791022
STG-EUR,1739145600000,0.26234,0.263,0.257,0.26048,33023.62726294
STG-EUR,1739059200000,0.26257,0.27133,0.25623,0.26129,40669.28039958
STG-EUR,1738972800000,0.25442,0.25964,0.25114,0.25813,11046.53175331
STG-EUR,1738886400000,0.24095,0.25737,0.24095,0.2461,34179.1890558
STG-EUR,1738800000000,0.25888,0.25888,0.24078,0.24254,47071.69073476
STG-EUR,1738713600000,0.26248,0.2672,0.25587,0.25625,20060.56586105
STG-EUR,1738627200000,0.27721,0.2784,0.26003,0.26079,41082.41728778
STG-EUR,1738540800000,0.25822,0.28207,0.22312,0.28089,229719.23957941
STG-EUR,1738454400000,0.29971,0.29971,0.25708,0.265,134442.53759974
STG-EUR,1738368000000,0.32455,0.32463,0.2974,0.2974,12016.59984632
