market,time,open,high,low,close,volume
STORJ-EUR,1741132800000,0.28131,0.29067,0.2775,0.28113,87077.70992186
STORJ-EUR,1741046400000,0.26825,0.28568,0.26825,0.28357,122646.17410289
STORJ-EUR,1740960000000,0.32838,0.33833,0.28335,0.28335,140455.33818165
STORJ-EUR,1740873600000,0.3142,0.33958,0.31284,0.33737,221586.86620568
STORJ-EUR,1740787200000,0.31083,0.31951,0.31,0.31177,8060.46681442
STORJ-EUR,1740700800000,0.32775,0.32775,0.29716,0.31808,268994.47379429
STORJ-EUR,1740614400000,0.31602,0.32933,0.31602,0.32911,747725.94758758
STORJ-EUR,1740528000000,0.31868,0.32579,0.308,0.31556,225012.23240583
STORJ-EUR,1740441600000,0.31974,0.32252,0.29975,0.32252,165174.56209851
STORJ-EUR,1740355200000,0.37026,0.37898,0.31542,0.32125,138314.68563476
STORJ-EUR,1740268800000,0.35646,0.39204,0.35646,0.36862,526492.73738039
STORJ-EUR,1740182400000,0.36111,0.36296,0.34898,0.35697,138518.01429804
STORJ-EUR,1740096000000,0.3675,0.38181,0.34683,0.3509,333662.40187679
STORJ-EUR,1740009600000,0.37403,0.38928,0.36399,0.37133,251929.95371671
STORJ-EUR,1739923200000,0.35774,0.379,0.34,0.3589,114429.12114339
STORJ-EUR,1739836800000,0.36251,0.40253,0.34121,0.36736,461236.17692209
STORJ-EUR,1739750400000,0.34,0.44619,0.34,0.36389,2091412.20857625
STORJ-EUR,1739664000000,0.32504,0.40699,0.32407,0.34462,1254134.99951446
STORJ-EUR,1739577600000,0.33509,0.33509,0.32334,0.32368,5596.33235951
STORJ-EUR,1739491200000,0.333,0.3404,0.33,0.33,12195.54023803
STORJ-EUR,1739404800000,0.33969,0.3475,0.33155,0.33245,38926.01627415
STORJ-EUR,1739318400000,0.31903,0.34053,0.3131,0.33694,61044.04830429
STORJ-EUR,1739232000000,0.33689,0.35082,0.31767,0.32073,98461.07643872
STORJ-EUR,1739145600000,0.3219,0.33528,0.31995,0.33494,14815.50773566
STORJ-EUR,1739059200000,0.3204,0.32767,0.3075,0.31623,33225.74777712
STORJ-EUR,1738972800000,0.3068,0.31915,0.30287,0.31783,6339.64266962
STORJ-EUR,1738886400000,0.30454,0.32508,0.30068,0.30069,21462.58665072
STORJ-EUR,1738800000000,0.31758,0.32089,0.29818,0.29818,22313.27611046
STORJ-EUR,1738713600000,0.32459,0.32523,0.31045,0.31555,31905.16411817
STORJ-EUR,1738627200000,0.34486,0.348,0.31166,0.32477,8567.8907506
STORJ-EUR,1738540800000,0.31633,0.34703,0.26921,0.34384,594622.03103783
STORJ-EUR,1738454400000,0.3842,0.387,0.315,0.32984,196878.9084924
STORJ-EUR,1738368000000,0.4194,0.4194,0.37856,0.38062,27071.34317885
STORJ-EUR,1738281600000,0.41009,0.42595,0.40969,0.41166,45265.29305779
STORJ-EUR,1738195200000,0.40501,0.41804,0.40363,0.41523,90172.70695453
STORJ-EUR,1738108800000,0.38751,0.40456,0.385,0.40215,25437.24511806
STORJ-EUR,1738022400000,0.40784,0.412,0.38614,0.38614,10842.96753005
STORJ-EUR,1737936000000,0.419,0.419,0.38505,0.41237,90500.73950004
STORJ-EUR,1737849600000,0.43043,0.44142,0.42745,0.42745,46142.83650555
STORJ-EUR,1737763200000,0.41527,0.43044,0.41464,0.42609,19411.54759435
STORJ-EUR,1737676800000,0.4226,0.4397,0.41732,0.41732,23895.27178994
STORJ-EUR,1737590400000,0.43534,0.4367,0.41969,0.43458,70164.59999479
STORJ-EUR,1737504000000,0.44813,0.45153,0.44067,0.44182,5166.02987796
STORJ-EUR,1737417600000,0.42848,0.45647,0.42451,0.44633,77859.93783537
STORJ-EUR,1737331200000,0.43997,0.48,0.43,0.44224,184424.95863351
STORJ-EUR,1737244800000,0.47957,0.48542,0.43786,0.44083,325292.47508581
STORJ-EUR,1737158400000,0.51651,0.51848,0.47155,0.48125,40599.92506199
STORJ-EUR,1737072000000,0.49768,0.52117,0.49529,0.52117,127458.24251719
STORJ-EUR,1736985600000,0.51262,0.51288,0.49,0.49338,49659.62132058
STORJ-EUR,1736899200000,0.49704,0.52,0.47722,0.517,103576.21884081
STORJ-EUR,1736812800000,0.4838,0.50324,0.48123,0.50037,57283.66716226
STORJ-EUR,1736726400000,0.51462,0.53561,0.45,0.48948,207841.93181795
STORJ-EUR,1736640000000,0.53291,0.54515,0.51022,0.5136,81238.82837725
STORJ-EUR,1736553600000,0.53694,0.56309,0.53272,0.53841,241144.86393825
STORJ-EUR,1736467200000,0.53078,0.54147,0.50772,0.53626,127274.46654644
STORJ-EUR,1736380800000,0.5094,0.53604,0.5067,0.53253,165776.25110982
STORJ-EUR,1736294400000,0.4941,0.50764,0.47107,0.50696,155967.09026877
STORJ-EUR,1736208000000,0.54597,0.55962,0.48607,0.4941,693249.30242152
STORJ-EUR,1736121600000,0.52324,0.6,0.51948,0.55414,1232715.50520075
STORJ-EUR,1736035200000,0.50002,0.54384,0.49798,0.52339,760823.2042807
STORJ-EUR,1735948800000,0.50202,0.511,0.49661,0.50334,165409.68440284
STORJ-EUR,1735862400000,0.48877,0.5065,0.47892,0.50501,73124.3120719
STORJ-EUR,1735776000000,0.47798,0.49277,0.47637,0.48711,48759.99567968
STORJ-EUR,1735689600000,0.45888,0.47802,0.45888,0.47602,27501.33820286
STORJ-EUR,1735603200000,0.46032,0.4684,0.4483,0.457,433527.08504665
STORJ-EUR,1735516800000,0.47102,0.49303,0.44907,0.46123,160227.24207769
STORJ-EUR,1735430400000,0.53286,0.53286,0.46857,0.4743,214535.27131086
STORJ-EUR,1735344000000,0.44742,0.54442,0.44742,0.53144,1976692.75843299
STORJ-EUR,1735257600000,0.44298,0.46473,0.44135,0.44531,28411.86549685
STORJ-EUR,1735171200000,0.47745,0.47745,0.43777,0.44302,15523.6999348
STORJ-EUR,1735084800000,0.49197,0.49333,0.47717,0.48037,13057.2978614
STORJ-EUR,1734998400000,0.47094,0.50263,0.46305,0.49566,52530.6410105
STORJ-EUR,1734912000000,0.42933,0.47567,0.42933,0.4718,28815.42574342
STORJ-EUR,1734825600000,0.43762,0.45525,0.42753,0.43953,76347.99197738
STORJ-EUR,1734739200000,0.45,0.46994,0.421,0.42103,19424.0364409
STORJ-EUR,1734652800000,0.42958,0.45079,0.38512,0.44953,162143.56404516
STORJ-EUR,1734566400000,0.4599,0.47161,0.41712,0.43963,230336.80090113
STORJ-EUR,1734480000000,0.50561,0.50561,0.46,0.47049,78818.02465306
STORJ-EUR,1734393600000,0.52374,0.53459,0.504,0.5055,95402.69432097
STORJ-EUR,1734307200000,0.55442,0.56265,0.52263,0.53459,98151.41706047
STORJ-EUR,1734220800000,0.51859,0.55628,0.51859,0.55342,26803.41969373
STORJ-EUR,1734134400000,0.56305,0.56879,0.52396,0.53446,37094.77916462
STORJ-EUR,1734048000000,0.57367,0.57367,0.55235,0.56269,20918.38917338
STORJ-EUR,1733961600000,0.56103,0.59059,0.5589,0.56643,41317.47219933
STORJ-EUR,1733875200000,0.51841,0.56588,0.50869,0.56369,104860.46692965
STORJ-EUR,1733788800000,0.53793,0.54574,0.47621,0.528,201817.15187158
STORJ-EUR,1733702400000,0.67028,0.67389,0.45325,0.54688,647889.32943774
STORJ-EUR,1733616000000,0.66474,0.67444,0.64133,0.67369,68149.65381187
STORJ-EUR,1733529600000,0.69164,0.69472,0.66169,0.66367,83675.53344966
STORJ-EUR,1733443200000,0.64448,0.68945,0.63579,0.68722,158757.66661187
STORJ-EUR,1733356800000,0.678,0.678,0.62633,0.64957,266362.76221647
STORJ-EUR,1733270400000,0.66374,0.69733,0.65147,0.66956,353325.01904693
STORJ-EUR,1733184000000,0.642,0.678,0.58565,0.67746,620135.0362617
STORJ-EUR,1733097600000,0.61758,0.64144,0.56578,0.6414,312238.21117062
STORJ-EUR,1733011200000,0.61092,0.63,0.59029,0.62065,120304.77825105
STORJ-EUR,1732924800000,0.59334,0.61498,0.58533,0.61301,46899.65212293
STORJ-EUR,1732838400000,0.57007,0.60283,0.55609,0.59985,76394.33839124
STORJ-EUR,1732752000000,0.59507,0.59507,0.56145,0.57461,136661.3077561
STORJ-EUR,1732665600000,0.58464,0.59421,0.56131,0.58778,199149.32913049
STORJ-EUR,1732579200000,0.55247,0.6063,0.53598,0.591,437975.93938037
STORJ-EUR,1732492800000,0.55046,0.59261,0.52244,0.53763,278525.26993159
STORJ-EUR,1732406400000,0.52855,0.57986,0.49872,0.55474,117878.32382928
STORJ-EUR,1732320000000,0.5034,0.53687,0.49938,0.53083,172135.16972808
STORJ-EUR,1732233600000,0.47668,0.505,0.46863,0.50456,165847.47860579
STORJ-EUR,1732147200000,0.45606,0.48104,0.44359,0.47896,188927.03428673
STORJ-EUR,1732060800000,0.47732,0.47822,0.44826,0.45926,105494.5648458
STORJ-EUR,1731974400000,0.4871,0.50961,0.4679,0.48454,92237.09101775
STORJ-EUR,1731888000000,0.45233,0.49114,0.45233,0.48222,105216.78697581
STORJ-EUR,1731801600000,0.47847,0.48209,0.44227,0.45023,79600.77602407
STORJ-EUR,1731715200000,0.45314,0.48526,0.45314,0.48376,149601.03245176
STORJ-EUR,1731628800000,0.42156,0.45186,0.4081,0.45115,198751.57317045
