market,time,open,high,low,close,volume
STX-USDC,1741046400000,0.66354,0.68288,0.66354,0.68288,74.06746409
STX-USDC,1740960000000,0.797,0.797,0.797,0.797,99.711995
STX-USDC,1740787200000,0.81597,0.81599,0.81597,0.81599,22.579
STX-USDC,1740614400000,0.85725,0.85725,0.83209,0.83209,398.43647732
STX-USDC,1740528000000,0.79952,0.80146,0.77821,0.77821,4757.32425928
STX-USDC,1740441600000,0.76135,0.76135,0.76135,0.76135,51.83331251
STX-USDC,1740355200000,0.8668,0.8668,0.8668,0.8668,143.88
STX-USDC,1740096000000,0.95159,0.96786,0.95159,0.96785,40.6069
STX-USDC,1739923200000,0.8894,0.8894,0.8894,0.8894,1201.8
STX-USDC,1739664000000,0.94356,0.96272,0.93866,0.94281,87.4006
STX-USDC,1739577600000,0.93779,0.94953,0.93779,0.94953,17.234
STX-USDC,1739491200000,0.96434,1.0086,0.96434,1.0086,197.3057
STX-USDC,1739404800000,0.95672,0.96696,0.95672,0.96696,34.2222
STX-USDC,1739318400000,0.93437,0.93437,0.93437,0.93437,897.9
STX-USDC,1739145600000,0.94252,0.98198,0.94037,0.98198,11345.12
STX-USDC,1739059200000,0.9022,0.91097,0.88762,0.91097,4019.38911994
STX-USDC,1738972800000,0.85594,0.92403,0.85594,0.92403,6480.67913
STX-USDC,1738800000000,0.89823,0.89823,0.89823,0.89823,23.04890979
STX-USDC,1738713600000,0.98354,0.98354,0.98354,0.98354,45
STX-USDC,1738540800000,0.81899,0.86866,0.81899,0.86866,7306.76039992
STX-USDC,1738454400000,1.2177,1.2177,0.97038,1.0288,13818.97608384
STX-USDC,1738281600000,1.3541,1.3801,1.3359,1.3743,3469.87042716
STX-USDC,1738195200000,1.3229,1.355,1.3229,1.355,6878.50701927
STX-USDC,1737849600000,1.3651,1.3651,1.3651,1.3651,361.29
STX-USDC,1737417600000,1.3907,1.4495,1.3907,1.4495,14989.29529374
STX-USDC,1737331200000,1.4016,1.5564,1.3902,1.3907,5228.6225081
STX-USDC,1737244800000,1.4467,1.5451,1.4366,1.4366,6341.48905031
STX-USDC,1737158400000,1.5967,1.5976,1.5967,1.5976,1026.13
STX-USDC,1737072000000,1.643,1.6755,1.643,1.6755,2918.75069698
STX-USDC,1736985600000,1.5824,1.5874,1.5374,1.5874,2804.24
STX-USDC,1736812800000,1.4785,1.4785,1.4735,1.4735,1009.21
STX-USDC,1736726400000,1.4131,1.4613,1.3595,1.4613,3102.67
STX-USDC,1736467200000,1.5091,1.5091,1.5091,1.5091,612.48
STX-USDC,1736380800000,1.5099,1.5099,1.4793,1.4827,1357.86
STX-USDC,1736294400000,1.4985,1.4985,1.4688,1.4693,2347.26
STX-USDC,1736208000000,1.8161,1.8161,1.6462,1.6612,7918.2713
STX-USDC,1736121600000,1.7556,1.8715,1.7397,1.8202,2908.22754804
STX-USDC,1736035200000,1.7291,1.784,1.7206,1.784,2738.2233
STX-USDC,1735948800000,1.7364,1.7481,1.7129,1.7318,1374.8502
STX-USDC,1735862400000,1.6415,1.7458,1.614,1.7304,3016.0393
STX-USDC,1735776000000,1.6107,1.6717,1.6107,1.6555,5152.2075
STX-USDC,1735689600000,1.5072,1.6274,1.495,1.6198,1764.4984
STX-USDC,1735603200000,1.5241,1.5987,1.5241,1.5354,6084.963
STX-USDC,1735516800000,1.5879,1.5883,1.4833,1.4853,5744.8
STX-USDC,1735430400000,1.63,1.63,1.569,1.569,813.7306
STX-USDC,1735344000000,1.6421,1.6421,1.6421,1.6421,3.0575
STX-USDC,1735257600000,1.587,1.6418,1.5788,1.5832,20412.0227
STX-USDC,1735171200000,1.6214,1.6214,1.5644,1.5867,1087.0503
STX-USDC,1735084800000,1.6771,1.6811,1.6771,1.6811,1398.15
STX-USDC,1734998400000,1.677,1.7821,1.677,1.7821,1772.33
STX-USDC,1734912000000,1.5912,1.5912,1.5821,1.5821,1264.84
STX-USDC,1734825600000,1.6012,1.6931,1.5931,1.6148,4878.88
STX-USDC,1734739200000,1.7816,1.8508,1.6501,1.6501,3384.21
STX-USDC,1734652800000,1.7561,1.7854,1.573,1.6636,10419.88503086
STX-USDC,1734566400000,2.0008,2.0008,1.7445,1.8133,18652.40645933
STX-USDC,1734480000000,2.1594,2.2055,1.9909,2.025,22260.59302622
