market,time,open,high,low,close,volume
SUI-EUR,1741132800000,2.3677,2.4938,2.2759,2.3032,2182947.33916807
SUI-EUR,1741046400000,2.3764,2.5277,2.1438,2.3957,4896678.17949352
SUI-EUR,1740960000000,2.9795,3.0801,2.4621,2.4954,2285219.42994218
SUI-EUR,1740873600000,2.7691,3.1417,2.6946,3.085,3297659.97214981
SUI-EUR,1740787200000,2.7819,2.8184,2.6864,2.768,1064750.65749725
SUI-EUR,1740700800000,2.6793,2.7535,2.4238,2.7275,2548808.1692614
SUI-EUR,1740614400000,2.7459,2.8459,2.65,2.6821,1019995.28545447
SUI-EUR,1740528000000,2.8074,2.9444,2.6133,2.7447,3690486.44806728
SUI-EUR,1740441600000,2.7072,2.8672,2.5135,2.8109,6107360.08482956
SUI-EUR,1740355200000,3.2271,3.2861,2.6849,2.7064,4669781.18772875
SUI-EUR,1740268800000,3.2668,3.3388,3.1425,3.2234,555031.96285411
SUI-EUR,1740182400000,3.1188,3.303,3.1094,3.2778,727728.5390094
SUI-EUR,1740096000000,3.2904,3.4089,3.0823,3.1261,2291408.67190416
SUI-EUR,1740009600000,3.0905,3.3135,3.0629,3.2874,2400035.88477266
SUI-EUR,1739923200000,2.9269,3.1319,2.8766,3.0885,1563443.46717761
SUI-EUR,1739836800000,3.072,3.086,2.7963,2.9291,1744829.89263666
SUI-EUR,1739750400000,3.1204,3.2063,3.0019,3.0697,1374066.00996068
SUI-EUR,1739664000000,3.2616,3.3159,3.11,3.1137,924987.426654
SUI-EUR,1739577600000,3.39,3.4332,3.22,3.2633,614113.47047563
SUI-EUR,1739491200000,3.3229,3.56,3.2758,3.3944,1569880.93562208
SUI-EUR,1739404800000,3.4505,3.5146,3.2864,3.31,1743534.77495434
SUI-EUR,1739318400000,3.2128,3.5309,2.9874,3.4474,3275792.41012107
SUI-EUR,1739232000000,3.1264,3.4768,3.1109,3.2118,3863933.46317294
SUI-EUR,1739145600000,2.9065,3.2043,2.818,3.1232,3201621.04795618
SUI-EUR,1739059200000,2.97,3.0842,2.789,2.9087,1666475.49841133
SUI-EUR,1738972800000,2.9146,2.996,2.7983,2.972,1287759.26013996
SUI-EUR,1738886400000,3.0221,3.2683,2.816,2.9229,3211807.69427393
SUI-EUR,1738800000000,3.2352,3.3861,2.992,3.0193,1979213.19150826
SUI-EUR,1738713600000,3.4673,3.5817,3.1769,3.2039,1896218.61240757
SUI-EUR,1738627200000,3.5463,3.7622,3.176,3.4748,3652482.4356295
SUI-EUR,1738540800000,3.2305,3.7163,2.3501,3.5425,6617459.92316066
SUI-EUR,1738454400000,3.6105,3.7344,3.0123,3.232,3102595.67515781
SUI-EUR,1738368000000,3.9495,3.9732,3.6,3.6192,924581.78053785
SUI-EUR,1738281600000,3.9649,4.0885,3.8673,3.9471,1832202.74048736
SUI-EUR,1738195200000,3.5494,4.0525,3.5186,3.9596,2261893.39583542
SUI-EUR,1738108800000,3.5014,3.7364,3.4664,3.5465,1579912.58729707
SUI-EUR,1738022400000,3.798,3.8433,3.4624,3.5059,1772696.49058596
SUI-EUR,1737936000000,3.6996,3.8301,3.3322,3.7995,4785738.59735603
SUI-EUR,1737849600000,3.9464,4.025,3.6905,3.7028,817232.49453504
SUI-EUR,1737763200000,4.0041,4.0549,3.91,3.9358,1226295.02479502
SUI-EUR,1737676800000,4.1422,4.2776,3.9687,4.0072,1291110.41674657
SUI-EUR,1737590400000,4.2929,4.3096,3.9941,4.1398,1437905.80285992
SUI-EUR,1737504000000,4.4863,4.5159,4.28,4.2965,1129777.80538757
SUI-EUR,1737417600000,4.2401,4.6,4.08,4.4817,1910149.39798816
SUI-EUR,1737331200000,4.3879,4.6898,4.1353,4.2298,2917363.68951556
SUI-EUR,1737244800000,4.8577,4.8994,4.2937,4.3996,2839031.02933019
SUI-EUR,1737158400000,4.6997,4.99,4.4761,4.8549,2428673.45054393
SUI-EUR,1737072000000,4.6186,4.8203,4.5702,4.6978,1741801.15238675
SUI-EUR,1736985600000,4.6885,4.905,4.4484,4.6054,2341444.53754845
SUI-EUR,1736899200000,4.4571,4.7482,4.297,4.6966,2281302.33785484
SUI-EUR,1736812800000,4.6221,4.6453,4.4256,4.4493,1592428.56727966
SUI-EUR,1736726400000,4.6184,4.7372,4.1794,4.635,2739098.44059711
SUI-EUR,1736640000000,4.8417,4.8558,4.5766,4.62,754413.19459587
SUI-EUR,1736553600000,5.0039,5.0178,4.6009,4.8422,1229992.33933814
SUI-EUR,1736467200000,4.6203,5.1275,4.6058,5.0033,3747902.57211361
SUI-EUR,1736380800000,4.7506,4.7526,4.3616,4.6127,1901902.40341676
SUI-EUR,1736294400000,4.639,4.9,4.1079,4.7574,2736583.43472799
SUI-EUR,1736208000000,4.9054,4.9692,4.5987,4.6325,2173990.01977956
SUI-EUR,1736121600000,5.0952,5.1651,4.8381,4.9061,1567516.51767206
SUI-EUR,1736035200000,5.1255,5.1667,4.9673,5.0834,1155355.74085932
SUI-EUR,1735948800000,4.8354,5.1975,4.6932,5.1354,3019844.28430459
SUI-EUR,1735862400000,4.2429,4.8429,4.1566,4.8339,2775823.7798983
SUI-EUR,1735776000000,4.1356,4.4423,4.0975,4.2337,1093250.53750573
SUI-EUR,1735689600000,3.9777,4.1664,3.9051,4.1297,787781.17961183
SUI-EUR,1735603200000,4.0099,4.17,3.8875,3.9731,1397628.05460207
SUI-EUR,1735516800000,3.9143,4.204,3.7895,4.02,2095369.96698443
SUI-EUR,1735430400000,4.0253,4.095,3.877,3.9171,917404.95776074
SUI-EUR,1735344000000,3.9185,4.0783,3.8142,4.0281,1338584.19713866
SUI-EUR,1735257600000,4.0323,4.2401,3.8865,3.9152,1760086.16545664
SUI-EUR,1735171200000,4.3259,4.3569,3.9821,4.0297,1375701.97098213
SUI-EUR,1735084800000,4.4344,4.4626,4.2775,4.3255,927140.793213
SUI-EUR,1734998400000,4.524,4.5657,4.2915,4.4273,2070916.45143551
SUI-EUR,1734912000000,4.1353,4.5572,3.9505,4.5196,2942490.35433782
