market,time,open,high,low,close,volume
SXP-EUR,1741132800000,0.19368,0.19584,0.18812,0.18821,42994.97470617
SXP-EUR,1741046400000,0.19097,0.19537,0.18158,0.19489,19480.20387981
SXP-EUR,1740960000000,0.21142,0.22756,0.19368,0.20074,72927.14335915
SXP-EUR,1740873600000,0.22611,0.22857,0.20667,0.2248,151907.89845396
SXP-EUR,1740787200000,0.21427,0.21445,0.20815,0.20882,6132.07676268
SXP-EUR,1740700800000,0.21431,0.21655,0.19616,0.21523,52730.93384898
SXP-EUR,1740614400000,0.21203,0.21955,0.21143,0.21529,179225.21459829
SXP-EUR,1740528000000,0.21108,0.21455,0.20545,0.21255,23572.97315118
SXP-EUR,1740441600000,0.20337,0.21452,0.19691,0.21452,138942.13361504
SXP-EUR,1740355200000,0.22994,0.22994,0.20408,0.20654,198265.4715058
SXP-EUR,1740268800000,0.23768,0.24559,0.23488,0.23577,55864.38684885
SXP-EUR,1740182400000,0.23309,0.23901,0.23309,0.23715,24240.17988681
SXP-EUR,1740096000000,0.24334,0.24792,0.23222,0.23241,376486.98090653
SXP-EUR,1740009600000,0.23786,0.24217,0.23487,0.24206,74579.25802998
SXP-EUR,1739923200000,0.2385,0.24152,0.22946,0.23574,152793.67588836
SXP-EUR,1739836800000,0.2415,0.26494,0.22857,0.23707,2644701.92840087
SXP-EUR,1739750400000,0.23386,0.28013,0.23386,0.24049,2276595.9905593
SXP-EUR,1739664000000,0.2283,0.25225,0.2283,0.23283,905026.6906009
SXP-EUR,1739577600000,0.23384,0.23516,0.22824,0.22824,9040.32594439
SXP-EUR,1739491200000,0.23144,0.2369,0.23049,0.23357,22279.86975187
SXP-EUR,1739404800000,0.24441,0.24441,0.23009,0.23128,30714.67758869
SXP-EUR,1739318400000,0.2269,0.24863,0.22,0.24559,187368.95354847
SXP-EUR,1739232000000,0.23029,0.24008,0.22295,0.22526,25777.79213206
SXP-EUR,1739145600000,0.2119,0.22962,0.2119,0.22899,329016.01733902
SXP-EUR,1739059200000,0.2162,0.222,0.21218,0.21884,42830.07908151
SXP-EUR,1738972800000,0.20775,0.21738,0.20368,0.2152,386912.64281384
SXP-EUR,1738886400000,0.20484,0.21716,0.20012,0.20531,92808.8188626
SXP-EUR,1738800000000,0.21428,0.21665,0.20194,0.20194,53713.08728603
SXP-EUR,1738713600000,0.21843,0.22423,0.21246,0.2135,87221.05007425
SXP-EUR,1738627200000,0.23116,0.23116,0.21064,0.2197,77793.73923772
SXP-EUR,1738540800000,0.22877,0.23411,0.17501,0.23084,1078521.14536817
SXP-EUR,1738454400000,0.26,0.26093,0.21735,0.22625,294432.32192283
SXP-EUR,1738368000000,0.27989,0.28679,0.25969,0.2609,37211.59962391
SXP-EUR,1738281600000,0.27858,0.2917,0.275,0.28148,46265.25525621
SXP-EUR,1738195200000,0.2688,0.28135,0.2688,0.27985,5156.2512817
SXP-EUR,1738108800000,0.27076,0.27715,0.26324,0.27129,12548.23893707
SXP-EUR,1738022400000,0.27722,0.2782,0.26037,0.26262,21445.04185574
SXP-EUR,1737936000000,0.28689,0.28689,0.25625,0.27376,85574.42008621
SXP-EUR,1737849600000,0.2908,0.30148,0.29069,0.29332,112379.78183784
