market,time,open,high,low,close,volume
T-EUR,1741132800000,0.016663,0.016769,0.016207,0.016259,449959.4332375
T-EUR,1741046400000,0.01652,0.017162,0.015672,0.01649,2715851.31165335
T-EUR,1740960000000,0.018989,0.019028,0.017041,0.017394,913173.94698132
T-EUR,1740873600000,0.019964,0.020239,0.018786,0.019992,1850370.38998362
T-EUR,1740787200000,0.018909,0.018959,0.018357,0.018959,88102.13501118
T-EUR,1740700800000,0.019109,0.019109,0.01756,0.018829,3538396.94887734
T-EUR,1740614400000,0.018073,0.019296,0.018073,0.019092,15210028.1659256
T-EUR,1740528000000,0.018444,0.018444,0.017813,0.018187,102289.83587011
T-EUR,1740441600000,0.018252,0.018697,0.017341,0.018379,553704.81447304
T-EUR,1740355200000,0.020694,0.020694,0.0184,0.018596,193695.42576892
T-EUR,1740268800000,0.020838,0.020895,0.020754,0.020754,86849.05546425
T-EUR,1740182400000,0.020395,0.021098,0.020395,0.021035,177887.99186327
T-EUR,1740096000000,0.020686,0.021216,0.020186,0.020381,184245.24689834
T-EUR,1740009600000,0.020751,0.020765,0.020299,0.020504,18710.60086118
T-EUR,1739923200000,0.019969,0.020629,0.019916,0.020608,269498.74010973
T-EUR,1739836800000,0.019941,0.020053,0.018981,0.019542,109478.21550473
T-EUR,1739750400000,0.01974,0.021193,0.019632,0.02007,2805207.52613305
T-EUR,1739664000000,0.019535,0.020301,0.019535,0.01972,135932.7216493
T-EUR,1739577600000,0.020471,0.020471,0.019559,0.019628,64746.6270655
T-EUR,1739491200000,0.020305,0.020644,0.020305,0.020352,163753.20590788
T-EUR,1739404800000,0.020877,0.020877,0.020025,0.02016,343762.80017069
T-EUR,1739318400000,0.020152,0.020647,0.01967,0.020613,1905652.87048353
T-EUR,1739232000000,0.020906,0.02152,0.020047,0.020259,79828.04360711
T-EUR,1739145600000,0.020067,0.020753,0.020067,0.020615,827593.40284378
T-EUR,1739059200000,0.020968,0.021073,0.019661,0.020285,589504.17823505
T-EUR,1738972800000,0.019793,0.020458,0.01974,0.020458,11656.40461966
T-EUR,1738886400000,0.019857,0.020613,0.019407,0.019407,323658.38668469
T-EUR,1738800000000,0.020817,0.021166,0.019856,0.019869,303061.70610391
T-EUR,1738713600000,0.021387,0.02159,0.02058,0.020933,1209136.78239674
T-EUR,1738627200000,0.02321,0.02321,0.021005,0.021152,748925.97735424
T-EUR,1738540800000,0.022322,0.023242,0.018958,0.023051,5413280.59691948
T-EUR,1738454400000,0.023523,0.023789,0.021886,0.023092,4385939.51173266
T-EUR,1738368000000,0.023462,0.023849,0.022992,0.023214,1134369.08846041
T-EUR,1738281600000,0.02392,0.024761,0.023652,0.023652,112776.04360572
T-EUR,1738195200000,0.023489,0.024636,0.023489,0.024292,71629.27003741
T-EUR,1738108800000,0.023213,0.02402,0.023092,0.023704,1910419.81941703
T-EUR,1738022400000,0.023668,0.023668,0.022292,0.022292,31976.05454092
T-EUR,1737936000000,0.024,0.024,0.02209,0.023539,148060.36241264
T-EUR,1737849600000,0.025013,0.025522,0.024844,0.024844,144107.98482158
T-EUR,1737763200000,0.024284,0.02545,0.023939,0.0247,2945153.5348215
T-EUR,1737676800000,0.024162,0.02488,0.023728,0.02395,63320.63250036
T-EUR,1737590400000,0.024635,0.024909,0.023972,0.023984,82770.15135735
T-EUR,1737504000000,0.025755,0.025755,0.024798,0.024911,136613.14918537
T-EUR,1737417600000,0.024811,0.025845,0.024,0.025333,158763.62100856
T-EUR,1737331200000,0.025232,0.02745,0.024519,0.025208,1906193.33666408
T-EUR,1737244800000,0.027072,0.027792,0.025298,0.025495,2457814.42691482
T-EUR,1737158400000,0.02962,0.029631,0.027294,0.02774,309570.00776347
T-EUR,1737072000000,0.028975,0.029586,0.028834,0.02954,387821.98221269
T-EUR,1736985600000,0.029067,0.029523,0.028416,0.028458,790773.40100879
T-EUR,1736899200000,0.027979,0.029144,0.027345,0.029136,619717.13470088
T-EUR,1736812800000,0.027352,0.02845,0.027238,0.02811,228663.23353474
T-EUR,1736726400000,0.029971,0.029976,0.025955,0.027447,1254840.47824324
T-EUR,1736640000000,0.029499,0.030171,0.028914,0.028995,915821.68173101
T-EUR,1736553600000,0.029496,0.031244,0.029496,0.029943,8155426.50155571
T-EUR,1736467200000,0.028563,0.031996,0.027999,0.029941,7794462.70060089
T-EUR,1736380800000,0.027179,0.028879,0.027137,0.028238,3946197.25008146
T-EUR,1736294400000,0.0264,0.027406,0.025582,0.027406,1601124.4096694
T-EUR,1736208000000,0.029957,0.030594,0.026735,0.026735,1718816.80543627
T-EUR,1736121600000,0.02885,0.030042,0.02885,0.029674,223620.48009627
T-EUR,1736035200000,0.028671,0.029126,0.028448,0.028896,337418.65574385
T-EUR,1735948800000,0.028205,0.030224,0.028158,0.02882,2314058.59247231
T-EUR,1735862400000,0.026721,0.028229,0.026595,0.028156,178077.19049208
T-EUR,1735776000000,0.026665,0.027487,0.026664,0.02701,64900.26038543
T-EUR,1735689600000,0.025941,0.026492,0.025327,0.026474,68815.82107254
T-EUR,1735603200000,0.025991,0.026828,0.025759,0.025787,844756.42660056
T-EUR,1735516800000,0.026355,0.027656,0.025927,0.026546,748235.71069208
T-EUR,1735430400000,0.027115,0.027185,0.02572,0.02572,320071.70631769
T-EUR,1735344000000,0.025687,0.027278,0.025687,0.026916,971076.14645518
T-EUR,1735257600000,0.025686,0.026623,0.025456,0.025499,210203.62756935
T-EUR,1735171200000,0.028191,0.028191,0.025302,0.025546,347542.46817322
T-EUR,1735084800000,0.029039,0.02912,0.027818,0.028087,130113.19897013
T-EUR,1734998400000,0.027998,0.029297,0.027615,0.028891,553765.06268582
T-EUR,1734912000000,0.026144,0.02845,0.025933,0.028321,1141116.31998048
T-EUR,1734825600000,0.026153,0.027336,0.025566,0.026302,1916619.77382566
T-EUR,1734739200000,0.027549,0.028937,0.02562,0.02562,310342.76002171
T-EUR,1734652800000,0.026204,0.027477,0.02389,0.027452,3487278.96690028
T-EUR,1734566400000,0.027372,0.02845,0.025,0.026464,3511579.56569139
T-EUR,1734480000000,0.031083,0.031166,0.027446,0.02813,2181377.86764528
T-EUR,1734393600000,0.030979,0.031727,0.030872,0.031201,4467326.39839596
T-EUR,1734307200000,0.030966,0.032,0.030204,0.031175,5184590.93341663
T-EUR,1734220800000,0.030132,0.031034,0.029903,0.030985,1514374.14236904
T-EUR,1734134400000,0.032,0.032,0.02938,0.030022,1185850.21746132
T-EUR,1734048000000,0.031,0.0325,0.0305,0.030902,1842454.21310385
T-EUR,1733961600000,0.030544,0.032411,0.030544,0.031774,481785.31207885
T-EUR,1733875200000,0.02839,0.030984,0.028371,0.030866,1396760.63548321
T-EUR,1733788800000,0.029899,0.030661,0.026401,0.028799,6690715.38850935
T-EUR,1733702400000,0.036765,0.036765,0.026457,0.030311,5603034.52123764
T-EUR,1733616000000,0.037558,0.037558,0.036,0.037076,705867.30745453
T-EUR,1733529600000,0.035286,0.040785,0.035143,0.038016,16851449.38296359
T-EUR,1733443200000,0.034176,0.036115,0.033354,0.035311,3495572.86984111
T-EUR,1733356800000,0.036123,0.036131,0.033811,0.034436,3177721.79832358
T-EUR,1733270400000,0.034695,0.037895,0.033706,0.036315,3859913.61116758
T-EUR,1733184000000,0.032019,0.035166,0.030365,0.035166,13078858.95125954
T-EUR,1733097600000,0.03259,0.03259,0.029657,0.032356,2977831.5955588
T-EUR,1733011200000,0.03233,0.033,0.031142,0.032641,1535630.95313426
T-EUR,1732924800000,0.031272,0.032609,0.030908,0.03242,968966.59240564
T-EUR,1732838400000,0.030843,0.031745,0.030104,0.031729,1475490.50054885
T-EUR,1732752000000,0.0318,0.0318,0.0302,0.030978,753045.66239195
T-EUR,1732665600000,0.031599,0.032953,0.030683,0.032003,6852138.96568172
T-EUR,1732579200000,0.028885,0.031614,0.028142,0.030938,8111693.88829763
T-EUR,1732492800000,0.029708,0.030876,0.028381,0.028883,5886703.98998088
T-EUR,1732406400000,0.027935,0.034651,0.027819,0.029902,44694764.97947215
T-EUR,1732320000000,0.026463,0.028,0.026155,0.027276,2394481.18913377
T-EUR,1732233600000,0.026464,0.026482,0.025223,0.026482,3414571.65803191
T-EUR,1732147200000,0.025663,0.026476,0.0245,0.026476,4855994.63009524
T-EUR,1732060800000,0.027577,0.02885,0.025252,0.025804,17890766.10055894
T-EUR,1731974400000,0.0255,0.035695,0.024996,0.027602,72684937.42821746
T-EUR,1731888000000,0.023941,0.025366,0.023572,0.025114,644079.12362839
T-EUR,1731801600000,0.025005,0.025152,0.023109,0.02326,2054600.80312391
T-EUR,1731715200000,0.0235,0.02511,0.0235,0.02511,2233871.4528554
T-EUR,1731628800000,0.022,0.023482,0.021697,0.023416,2238013.46806982
T-EUR,1731542400000,0.02384,0.024097,0.022058,0.022397,430057.57556477
T-EUR,1731456000000,0.023591,0.0245,0.022,0.024187,4213004.36087851
T-EUR,1731369600000,0.0235,0.02595,0.021766,0.023588,13161882.36289365
T-EUR,1731283200000,0.022255,0.02348,0.021601,0.023461,2876140.11089131
T-EUR,1731196800000,0.020985,0.022517,0.020985,0.02161,1549459.25801748
T-EUR,1731110400000,0.020216,0.021155,0.020036,0.020917,1903230.84553367
T-EUR,1731024000000,0.020022,0.020082,0.019581,0.020022,308329.36793295
T-EUR,1730937600000,0.020163,0.020163,0.019581,0.019869,223129.47325902
T-EUR,1730851200000,0.019006,0.020015,0.019006,0.020015,265846.44148026
T-EUR,1730764800000,0.017822,0.018567,0.017822,0.01845,84254.5739092
T-EUR,1730678400000,0.018051,0.018192,0.017365,0.017365,2998383.14056112
T-EUR,1730592000000,0.018502,0.018503,0.017718,0.018185,234537.30984293
T-EUR,1730505600000,0.019288,0.019288,0.01858,0.018611,33959.97001346
T-EUR,1730419200000,0.019726,0.019779,0.019,0.019,35567.70490789
T-EUR,1730332800000,0.020736,0.020736,0.019546,0.019779,77159.42860712
T-EUR,1730246400000,0.021561,0.021561,0.020975,0.020975,101389.80016204
T-EUR,1730160000000,0.020624,0.021577,0.020624,0.021418,184485.5432894
T-EUR,1730073600000,0.020812,0.020812,0.01998,0.020559,84382.36807413
T-EUR,1729987200000,0.020557,0.020822,0.020481,0.020822,118933.92022623
T-EUR,1729900800000,0.021099,0.021114,0.02057,0.02084,46108.26327414
T-EUR,1729814400000,0.021496,0.02151,0.02,0.020547,786888.99087068
T-EUR,1729728000000,0.021721,0.021773,0.021217,0.021584,149744.68262906
T-EUR,1729641600000,0.02196,0.022001,0.020913,0.021335,121308.28881678
T-EUR,1729555200000,0.022585,0.022608,0.021995,0.022438,267733.82065641
T-EUR,1729468800000,0.023048,0.024274,0.022798,0.023113,1496271.02843065
T-EUR,1729382400000,0.022216,0.023191,0.022216,0.02303,478286.70977329
T-EUR,1729296000000,0.022185,0.022356,0.021786,0.02204,88550.8177683
T-EUR,1729209600000,0.021431,0.022014,0.021431,0.021884,305579.17623006
T-EUR,1729123200000,0.021876,0.021896,0.021172,0.021312,37324.59936834
T-EUR,1729036800000,0.022095,0.022133,0.021667,0.022014,494147.84765557
T-EUR,1728950400000,0.022082,0.022663,0.021234,0.021998,128216.32435233
T-EUR,1728864000000,0.021211,0.022205,0.021211,0.022036,398657.51477504
T-EUR,1728777600000,0.021956,0.021956,0.020973,0.021254,189473.23748382
T-EUR,1728691200000,0.022033,0.022407,0.021831,0.022234,448097.86434056
T-EUR,1728604800000,0.020805,0.022056,0.02076,0.022056,456158.975529
T-EUR,1728518400000,0.020828,0.020913,0.020297,0.020407,155530.23858685
T-EUR,1728432000000,0.021641,0.021641,0.020685,0.020846,13276.53885531
T-EUR,1728345600000,0.021858,0.021858,0.021478,0.021552,86077.63054969
T-EUR,1728259200000,0.022452,0.022728,0.021874,0.021874,140114.73368181
T-EUR,1728172800000,0.021941,0.022432,0.021722,0.022404,208767.4553166
T-EUR,1728086400000,0.021477,0.022413,0.021477,0.021978,730540.9153017
T-EUR,1728000000000,0.020342,0.021148,0.020342,0.020987,81092.91983463
T-EUR,1727913600000,0.020391,0.020391,0.0196,0.019848,254844.54443571
T-EUR,1727827200000,0.020865,0.021032,0.019758,0.019931,307080.34735571
T-EUR,1727740800000,0.022792,0.022959,0.02033,0.020402,329937.21280544
T-EUR,1727654400000,0.023558,0.023558,0.021974,0.021974,232869.24603869
T-EUR,1727568000000,0.023027,0.023777,0.022834,0.023551,173076.30251004
T-EUR,1727481600000,0.023995,0.023995,0.022935,0.023198,856436.8340017
T-EUR,1727395200000,0.023635,0.024343,0.023584,0.023715,269580.01827361
T-EUR,1727308800000,0.023339,0.023683,0.022959,0.023436,367844.279607
T-EUR,1727222400000,0.022499,0.0237,0.022499,0.023507,405238.18608824
T-EUR,1727136000000,0.021874,0.022638,0.021874,0.022638,236654.50226522
T-EUR,1727049600000,0.021745,0.022412,0.021441,0.022313,1005740.001188
T-EUR,1726963200000,0.022,0.022,0.021302,0.021469,88330.83560149
T-EUR,1726876800000,0.021964,0.023252,0.021758,0.022556,1376570.47230479
T-EUR,1726790400000,0.021,0.022599,0.021,0.021586,827537.52128144
T-EUR,1726704000000,0.02,0.020788,0.019959,0.02074,735793.11625871
T-EUR,1726617600000,0.019585,0.019585,0.018742,0.019479,478162.60021157
T-EUR,1726531200000,0.018923,0.019774,0.018923,0.019616,128639.00498833
T-EUR,1726444800000,0.019098,0.019199,0.018709,0.018709,886415.9190571
T-EUR,1726358400000,0.019752,0.020086,0.019186,0.019186,188808.93261245
T-EUR,1726272000000,0.02,0.02,0.019368,0.019556,14225.26330106
T-EUR,1726185600000,0.019393,0.019846,0.019277,0.019835,317753.8202252
T-EUR,1726099200000,0.018987,0.019432,0.018987,0.019402,356149.14182457
T-EUR,1726012800000,0.018863,0.019119,0.018639,0.018995,1025829.32296241
T-EUR,1725926400000,0.0191,0.019424,0.019002,0.019414,164619.65771881
