market,time,open,high,low,close,volume
TAI-EUR,1741132800000,0.094666,0.104,0.092726,0.095256,2839465.36514495
TAI-EUR,1741046400000,0.10402,0.10702,0.086799,0.096276,3707086.85194792
TAI-EUR,1740960000000,0.12738,0.13264,0.10258,0.10411,7301669.75025157
TAI-EUR,1740873600000,0.11558,0.14801,0.11236,0.13301,6805284.271903
TAI-EUR,1740787200000,0.12185,0.1488,0.11724,0.12033,8570789.11964565
TAI-EUR,1740700800000,0.11209,0.12802,0.10101,0.12169,4216812.45375338
TAI-EUR,1740614400000,0.11818,0.122,0.10612,0.11207,2878492.06307017
TAI-EUR,1740528000000,0.12583,0.1277,0.1113,0.11751,5330041.80339545
TAI-EUR,1740441600000,0.14041,0.14106,0.111,0.12551,4867580.2771896
TAI-EUR,1740355200000,0.16385,0.16489,0.13377,0.13935,1595324.16255019
TAI-EUR,1740268800000,0.1708,0.17422,0.1575,0.16311,596218.23945497
TAI-EUR,1740182400000,0.16143,0.18272,0.16026,0.17128,1535257.19446746
TAI-EUR,1740096000000,0.1718,0.19454,0.15106,0.16258,3420005.36075593
TAI-EUR,1740009600000,0.15109,0.17589,0.15037,0.17116,2222212.5578466
TAI-EUR,1739923200000,0.15316,0.1577,0.14305,0.15089,1285263.17712529
TAI-EUR,1739836800000,0.16986,0.17155,0.14556,0.15439,2033983.28643135
TAI-EUR,1739750400000,0.1789,0.18856,0.1627,0.16944,1588091.54567684
TAI-EUR,1739664000000,0.18303,0.18727,0.17584,0.17983,306753.87995758
TAI-EUR,1739577600000,0.1911,0.19516,0.17823,0.18262,1004222.2143549
TAI-EUR,1739491200000,0.19035,0.20364,0.18839,0.19123,1336483.40170416
TAI-EUR,1739404800000,0.206,0.20986,0.186,0.1901,593379.51924765
TAI-EUR,1739318400000,0.19294,0.20981,0.1806,0.2034,1134722.76399329
TAI-EUR,1739232000000,0.19274,0.22373,0.19,0.19249,1163387.79380621
TAI-EUR,1739145600000,0.19514,0.20488,0.18242,0.19344,1366847.02108883
TAI-EUR,1739059200000,0.19538,0.20344,0.176,0.19137,1051396.81237301
TAI-EUR,1738972800000,0.18698,0.19782,0.18354,0.19567,1249281.33689045
TAI-EUR,1738886400000,0.19292,0.21114,0.18172,0.1886,1725673.31544138
TAI-EUR,1738800000000,0.21484,0.22898,0.19,0.19178,1700812.36920617
TAI-EUR,1738713600000,0.21956,0.2287,0.20605,0.21107,1387698.08763917
TAI-EUR,1738627200000,0.25384,0.2544,0.20733,0.22194,1762137.76421969
TAI-EUR,1738540800000,0.22044,0.2566,0.16744,0.2486,2958039.59989369
TAI-EUR,1738454400000,0.2366,0.24788,0.19569,0.2186,2422974.86093907
TAI-EUR,1738368000000,0.26724,0.274,0.23168,0.23812,1586574.1603554
TAI-EUR,1738281600000,0.29552,0.29832,0.26558,0.26789,2551396.42606485
TAI-EUR,1738195200000,0.26298,0.31749,0.25487,0.295,7687732.85634216
TAI-EUR,1738108800000,0.19419,0.29243,0.18946,0.26365,12006172.32036014
TAI-EUR,1738022400000,0.24217,0.24425,0.19176,0.19539,2970978.70119049
TAI-EUR,1737936000000,0.25921,0.2649,0.21633,0.23975,3079852.97451517
TAI-EUR,1737849600000,0.26186,0.2777,0.25764,0.26019,1929961.37914095
TAI-EUR,1737763200000,0.25772,0.29412,0.25268,0.26103,3481373.27877022
TAI-EUR,1737676800000,0.2718,0.2766,0.2541,0.25862,1336098.29004645
TAI-EUR,1737590400000,0.28811,0.29198,0.26125,0.2707,1895238.6003502
TAI-EUR,1737504000000,0.29052,0.31469,0.28498,0.28822,1791975.03698185
TAI-EUR,1737417600000,0.26796,0.30925,0.261,0.29145,1856904.8605108
TAI-EUR,1737331200000,0.26909,0.29354,0.2475,0.2687,2253904.36634727
TAI-EUR,1737244800000,0.33288,0.33829,0.264,0.26942,2663792.71174598
TAI-EUR,1737158400000,0.35147,0.36094,0.30684,0.33289,2244684.56894925
TAI-EUR,1737072000000,0.32165,0.36111,0.31392,0.35396,1886796.23247147
TAI-EUR,1736985600000,0.31478,0.333,0.29618,0.3197,1992818.85803986
TAI-EUR,1736899200000,0.30293,0.32332,0.28,0.31137,2215183.78569173
TAI-EUR,1736812800000,0.29811,0.30647,0.28572,0.30289,1854580.18638942
TAI-EUR,1736726400000,0.28111,0.29997,0.25122,0.29802,2105063.60751487
TAI-EUR,1736640000000,0.29749,0.3001,0.27591,0.28252,1031746.23129617
TAI-EUR,1736553600000,0.31832,0.32641,0.2815,0.29871,2216517.09278275
TAI-EUR,1736467200000,0.25454,0.32843,0.25255,0.31753,5883947.36746699
TAI-EUR,1736380800000,0.27887,0.28099,0.23926,0.25424,1173504.92764384
TAI-EUR,1736294400000,0.29075,0.29858,0.24745,0.27903,1309356.41263463
