market,time,open,high,low,close,volume
TAO-EUR,1741132800000,270.35,294.29,269.69,284.64,6754.75502439
TAO-EUR,1741046400000,280.86,285.07,245.58,253.14,8569.45098498
TAO-EUR,1740960000000,329.21,341.37,279.01,281.84,6964.50306447
TAO-EUR,1740873600000,329.49,348.61,310,339.41,5878.39538895
TAO-EUR,1740787200000,317.54,328,305.28,326.42,2477.15361264
TAO-EUR,1740700800000,318.73,321.51,285.49,314.78,8031.78221056
TAO-EUR,1740614400000,335.35,353.47,310.28,317.9,6213.53712177
TAO-EUR,1740528000000,361.18,369.28,322.98,334.41,6193.68348484
TAO-EUR,1740441600000,379.75,389.43,335.91,361.04,13538.8756694
TAO-EUR,1740355200000,414.82,428.47,378.44,379.6,8329.68747975
TAO-EUR,1740268800000,414.15,423.04,398.4,412.66,2373.64371714
TAO-EUR,1740182400000,424.58,442.58,405.03,413.31,3872.38877
TAO-EUR,1740096000000,443.51,471.9,409.84,423.96,8936.38701291
TAO-EUR,1740009600000,403.71,450.75,401.39,442.38,8025.79808726
TAO-EUR,1739923200000,359.54,413.3,352.29,401.77,5489.23087803
TAO-EUR,1739836800000,346.02,370.81,332.89,359.92,3772.37447421
TAO-EUR,1739750400000,345.12,360.99,331.1,344.35,2620.66511524
TAO-EUR,1739664000000,357.55,359.25,339.86,344.03,953.13453437
TAO-EUR,1739577600000,372.31,382.34,354.07,358.17,1079.76067011
TAO-EUR,1739491200000,366.92,387.4,360.98,373.32,2900.15894104
TAO-EUR,1739404800000,387.67,398.76,355.69,365.64,3043.18266276
TAO-EUR,1739318400000,398.39,403.68,359.7,387.5,6514.02210925
TAO-EUR,1739232000000,377.2,424.03,375.19,398.12,9831.51874548
TAO-EUR,1739145600000,355.52,387.78,340.97,375.47,6365.86263899
TAO-EUR,1739059200000,339.13,358.34,333.34,354.03,3883.11369521
TAO-EUR,1738972800000,309.16,341.44,308.1,339.97,2627.09934638
TAO-EUR,1738886400000,315.68,339.55,298.08,309.62,4367.63530597
TAO-EUR,1738800000000,336.65,363.79,312,314.17,5593.92934531
TAO-EUR,1738713600000,347.41,355.7,328.3,336.7,4418.54732146
TAO-EUR,1738627200000,387.62,387.62,336.49,347.11,5190.53135294
TAO-EUR,1738540800000,342.48,400.59,234,388.2,15355.63170213
TAO-EUR,1738454400000,381.49,391.96,329.92,343.63,7324.7358699
TAO-EUR,1738368000000,432.18,454.11,377.77,380.91,3511.21719376
TAO-EUR,1738281600000,435.76,456.81,429.1,434,2402.39597502
TAO-EUR,1738195200000,431.73,458.94,427.49,435.31,3385.72440303
TAO-EUR,1738108800000,434.65,482.98,424.48,430.77,9435.14803366
TAO-EUR,1738022400000,429.52,445.79,411.83,432.7,5127.67884331
TAO-EUR,1737936000000,412.99,459.34,367.56,427.11,10291.17578359
TAO-EUR,1737849600000,389.99,441.79,384.5,414.48,4554.84904659
TAO-EUR,1737763200000,354.62,407.94,347.5,390.46,2285.31702473
TAO-EUR,1737676800000,366.72,375.34,348,354.52,1817.77307842
TAO-EUR,1737590400000,382.57,385.92,356.65,364.66,3031.67602873
TAO-EUR,1737504000000,416.6,417.61,382.65,384.18,1843.7753181
TAO-EUR,1737417600000,389.87,422.12,372.1,410.63,3840.3044893
TAO-EUR,1737331200000,414.2,455.25,389.16,390.82,5370.08269936
TAO-EUR,1737244800000,442.96,473.68,399.07,415.33,4327.12555623
TAO-EUR,1737158400000,472.09,480.53,426.71,444.29,2102.17649106
TAO-EUR,1737072000000,434.51,479.58,434.05,471.52,2411.27818892
TAO-EUR,1736985600000,443.69,456.76,426.41,430.86,1949.15162461
TAO-EUR,1736899200000,405.34,458.23,390.66,445.68,3426.8888346
TAO-EUR,1736812800000,412.1,423.13,399.76,405.28,3697.84580974
TAO-EUR,1736726400000,433.57,445.2,377.82,410.22,3712.93040953
TAO-EUR,1736640000000,437.07,440.69,424.48,433.5,889.43463924
TAO-EUR,1736553600000,429.54,447.32,418.5,435.95,820.31497938
TAO-EUR,1736467200000,420.52,443.35,412.09,428.92,2034.62331123
TAO-EUR,1736380800000,453.34,461.55,416.13,420.8,1809.98009336
TAO-EUR,1736294400000,483.29,486.02,425.8,454.27,2733.91407139
TAO-EUR,1736208000000,534.35,538.46,481.88,482.6,1980.99117778
TAO-EUR,1736121600000,546,565.85,518.7,536.39,2457.37981921
TAO-EUR,1736035200000,543.28,555.67,531.49,545.88,937.62054094
TAO-EUR,1735948800000,535.82,569,529.74,543.6,1204.11157703
TAO-EUR,1735862400000,507.52,556.29,503.39,534.67,2803.47564301
TAO-EUR,1735776000000,471.89,525.32,469.2,508.06,3229.22395641
TAO-EUR,1735689600000,425,472.41,420.48,470.76,1245.37899401
TAO-EUR,1735603200000,432.2,440.55,419.64,425.87,1345.41739042
TAO-EUR,1735516800000,437.31,455,425.85,433.45,1502.09024541
TAO-EUR,1735430400000,450.62,451.94,434.16,440.46,636.4972548
TAO-EUR,1735344000000,450.26,455.99,441,451.77,745.52745779
TAO-EUR,1735257600000,455,476.03,444.14,448.76,1034.12095874
TAO-EUR,1735171200000,480.89,485.71,445.58,453.39,1047.16794207
TAO-EUR,1735084800000,483.62,501.44,472.23,481.57,1765.31966024
TAO-EUR,1734998400000,465,487.9,459.11,484.41,1782.78218562
TAO-EUR,1734912000000,431.2,486.19,422.36,465.88,2270.15841217
TAO-EUR,1734825600000,437,452.45,421.99,431.75,946.50066269
TAO-EUR,1734739200000,459.1,489.26,432.79,439.02,1758.6908409
TAO-EUR,1734652800000,433.41,461.25,383.95,453.98,6427.64393918
TAO-EUR,1734566400000,483.75,487.56,418.22,431.16,4028.9758771
TAO-EUR,1734480000000,496.53,512.65,468.43,483.02,2571.63307571
TAO-EUR,1734393600000,512.75,518.03,485.97,494.45,1565.4448429
TAO-EUR,1734307200000,546.7,553.7,509.9,514.2,2551.03959849
TAO-EUR,1734220800000,532.8,546.58,515.65,543.07,1360.60509652
TAO-EUR,1734134400000,549.53,558.68,512.53,534.29,1220.34295011
TAO-EUR,1734048000000,552.5,561.24,538.03,548.7,1773.87665927
TAO-EUR,1733961600000,572.55,613.5,546.67,551.45,2048.46376703
TAO-EUR,1733875200000,546.28,590.6,525,571.69,1860.27186545
TAO-EUR,1733788800000,567.05,580.89,503.64,547.32,3469.07407113
TAO-EUR,1733702400000,674.69,674.69,510,570,4636.43319538
TAO-EUR,1733616000000,659.77,677.02,640,677.02,1383.45973086
TAO-EUR,1733529600000,669.68,680.37,650,660.17,1395.73536711
TAO-EUR,1733443200000,644.23,704.78,636.84,668.91,2971.51190842
TAO-EUR,1733356800000,621.85,685.14,595.93,643.82,4709.01146223
TAO-EUR,1733270400000,589.56,691.15,589.56,622.92,6123.38769055
TAO-EUR,1733184000000,577.12,598.5,540.9,591.04,3505.67613825
TAO-EUR,1733097600000,603.89,611.32,540,578.59,5001.63562233
TAO-EUR,1733011200000,638.34,641.63,591.36,603.48,1831.22829088
TAO-EUR,1732924800000,582.98,642.64,576.11,640.42,3392.97911866
TAO-EUR,1732838400000,565.13,605.6,551.94,584.17,2564.48594772
TAO-EUR,1732752000000,531.16,577.29,523.09,564.06,2836.44927501
TAO-EUR,1732665600000,531.25,562.75,519.44,531.95,3702.81291945
TAO-EUR,1732579200000,520.45,548,478.78,533.56,4869.25838846
TAO-EUR,1732492800000,503.9,538.83,469,521.88,4501.61172622
TAO-EUR,1732406400000,503.93,522.71,463.42,501.02,4449.22595574
TAO-EUR,1732320000000,490.75,532.11,476.69,498.55,7339.00748744
TAO-EUR,1732233600000,494.7,495.29,464.26,490.41,4038.8227096
TAO-EUR,1732147200000,455.15,503.87,437.75,495.3,7594.77137228
TAO-EUR,1732060800000,456.13,470,426.89,455.77,3819.72481287
TAO-EUR,1731974400000,483.17,483.17,448.08,456.23,2885.98933851
