market,time,open,high,low,close,volume
THETA-EUR,1741219200000,1.0079,1.0082,1.0079,1.0082,9.89540455
THETA-EUR,1741132800000,1.0134,1.0196,0.972,1.0009,74841.7140642
THETA-EUR,1741046400000,0.95126,1.0326,0.90656,0.9799,416236.1831191
THETA-EUR,1740960000000,1.2076,1.2514,1.0205,1.1361,145819.67869122
THETA-EUR,1740873600000,1.129,1.2519,1.1023,1.2385,153710.57914981
THETA-EUR,1740787200000,1.1225,1.1313,1.0743,1.0973,66848.96060211
THETA-EUR,1740700800000,1.1281,1.1286,1.0204,1.1264,143183.81002638
THETA-EUR,1740614400000,1.1286,1.1724,1.0995,1.128,366135.00941466
THETA-EUR,1740528000000,1.11,1.1409,1.0809,1.1222,161019.55029889
THETA-EUR,1740441600000,1.0965,1.1272,1.0177,1.1111,580681.74997478
THETA-EUR,1740355200000,1.2582,1.2799,1.074,1.0907,343535.95760401
THETA-EUR,1740268800000,1.292,1.2951,1.2338,1.2562,114877.940552
THETA-EUR,1740182400000,1.257,1.3023,1.2559,1.2955,66392.4563941
THETA-EUR,1740096000000,1.2806,1.3617,1.2379,1.2627,172326.17572307
THETA-EUR,1740009600000,1.2216,1.2784,1.2197,1.2784,83269.82910322
THETA-EUR,1739923200000,1.2036,1.2308,1.1759,1.2194,108373.66952549
THETA-EUR,1739836800000,1.2681,1.2691,1.1665,1.2027,100749.04492922
THETA-EUR,1739750400000,1.2785,1.3234,1.2369,1.2671,77091.60245712
THETA-EUR,1739664000000,1.2986,1.3156,1.2639,1.2787,16541.57727695
THETA-EUR,1739577600000,1.3501,1.3604,1.286,1.3006,42068.88811912
THETA-EUR,1739491200000,1.318,1.3941,1.3159,1.3427,44678.17117465
THETA-EUR,1739404800000,1.3837,1.3869,1.3048,1.3078,55888.03622101
THETA-EUR,1739318400000,1.3159,1.3983,1.2482,1.3815,101435.67217842
THETA-EUR,1739232000000,1.339,1.4203,1.3,1.3189,129304.68143208
THETA-EUR,1739145600000,1.249,1.3601,1.2036,1.328,151722.27230125
THETA-EUR,1739059200000,1.2922,1.3203,1.183,1.2371,81043.18045988
THETA-EUR,1738972800000,1.2741,1.3007,1.2392,1.2992,73852.73415153
THETA-EUR,1738886400000,1.2689,1.3585,1.2312,1.267,108928.28034383
THETA-EUR,1738800000000,1.3219,1.3627,1.2428,1.2428,151576.06330026
THETA-EUR,1738713600000,1.3869,1.4137,1.3024,1.3176,112194.65045376
THETA-EUR,1738627200000,1.5237,1.5346,1.336,1.392,178538.59090856
THETA-EUR,1738540800000,1.5078,1.5282,1.1299,1.519,690895.33804563
THETA-EUR,1738454400000,1.7124,1.7355,1.4345,1.5098,341534.10824644
THETA-EUR,1738368000000,1.8822,1.9934,1.6953,1.7164,50832.3642003
THETA-EUR,1738281600000,1.8784,2.1122,1.8316,1.8677,247950.49780014
THETA-EUR,1738195200000,1.8227,1.9445,1.8212,1.8813,42770.1509784
THETA-EUR,1738108800000,1.7289,1.8856,1.7268,1.8268,61075.52279567
THETA-EUR,1738022400000,1.825,1.8627,1.7047,1.7161,63391.15433069
THETA-EUR,1737936000000,1.85,1.85,1.6674,1.815,106331.73331692
THETA-EUR,1737849600000,1.9092,1.9462,1.8549,1.8598,24827.65656998
THETA-EUR,1737763200000,1.8794,1.9248,1.8673,1.9109,34127.71586665
THETA-EUR,1737676800000,1.9654,1.9919,1.877,1.877,110562.66797718
THETA-EUR,1737590400000,1.9646,2.0039,1.9021,1.9637,132674.02898371
THETA-EUR,1737504000000,2.0446,2.0749,1.9521,1.9681,78203.49198841
THETA-EUR,1737417600000,1.9304,2.0878,1.86,2.0346,125803.78696464
THETA-EUR,1737331200000,1.9427,2.1354,1.8754,1.9318,258515.69854501
THETA-EUR,1737244800000,2.2188,2.2877,1.8999,1.9495,245316.06407883
THETA-EUR,1737158400000,2.4413,2.4534,2.1621,2.2269,85371.83314521
THETA-EUR,1737072000000,2.3389,2.4481,2.3389,2.4426,137841.07114484
THETA-EUR,1736985600000,2.3292,2.4185,2.2604,2.3279,126520.54421525
THETA-EUR,1736899200000,2.1104,2.33,2.0738,2.3241,124689.21895826
THETA-EUR,1736812800000,2.0095,2.1314,1.9937,2.1068,70749.17303012
THETA-EUR,1736726400000,2.053,2.1154,1.86,2.0092,121494.77794952
THETA-EUR,1736640000000,2.13,2.1836,2.0388,2.0594,116638.89378601
THETA-EUR,1736553600000,2.1252,2.144,2.056,2.1015,59867.656781
THETA-EUR,1736467200000,2.066,2.149,2.0359,2.1299,70157.21159189
THETA-EUR,1736380800000,2.08,2.1237,2.0055,2.0538,59278.37471909
THETA-EUR,1736294400000,2.2143,2.2405,1.9948,2.0967,113771.39195717
THETA-EUR,1736208000000,2.4641,2.4651,2.2017,2.2256,193583.62871047
THETA-EUR,1736121600000,2.3814,2.5217,2.335,2.4681,58783.69822362
THETA-EUR,1736035200000,2.3862,2.4251,2.3323,2.3689,22862.8227528
THETA-EUR,1735948800000,2.4325,2.4539,2.3674,2.3897,30630.57824783
THETA-EUR,1735862400000,2.3465,2.4502,2.3147,2.4197,82333.60220616
THETA-EUR,1735776000000,2.2796,2.3924,2.2684,2.3404,147449.18159045
THETA-EUR,1735689600000,2.1415,2.2899,2.0735,2.2669,262967.39903608
THETA-EUR,1735603200000,2.2299,2.31,2.107,2.1416,73661.05785357
THETA-EUR,1735516800000,2.1969,2.3271,2.1404,2.229,124984.86752383
THETA-EUR,1735430400000,2.3057,2.346,2.1977,2.2124,116571.16792796
THETA-EUR,1735344000000,2.087,2.3245,2.0001,2.2895,256111.8693222
THETA-EUR,1735257600000,2.0595,2.2412,2.0394,2.0834,81420.17344213
THETA-EUR,1735171200000,2.2764,2.2932,2.0355,2.0612,229585.85896205
THETA-EUR,1735084800000,2.2713,2.3514,2.2384,2.2751,203731.13670017
THETA-EUR,1734998400000,2.2266,2.3542,2.154,2.2784,305941.65366865
THETA-EUR,1734912000000,2.0556,2.2835,1.9904,2.2261,230382.96606367
THETA-EUR,1734825600000,2.0718,2.2,1.9864,2.0333,119313.63151266
THETA-EUR,1734739200000,2.0242,2.3012,2.0043,2.0652,176663.67445483
THETA-EUR,1734652800000,1.9652,2.0657,1.6783,2.0299,494567.47277476
THETA-EUR,1734566400000,2.2471,2.2684,1.9288,1.9564,435931.31564564
THETA-EUR,1734480000000,2.5655,2.5989,2.2203,2.2493,192823.27477679
THETA-EUR,1734393600000,2.5869,2.6521,2.4928,2.5647,302843.16525074
THETA-EUR,1734307200000,2.6098,2.65,2.4638,2.5816,304258.60486146
THETA-EUR,1734220800000,2.4812,2.62,2.4092,2.5925,111689.89033009
THETA-EUR,1734134400000,2.6055,2.702,2.4293,2.4825,96283.98505531
THETA-EUR,1734048000000,2.5585,2.6349,2.4811,2.6168,145822.29656636
THETA-EUR,1733961600000,2.455,2.6801,2.4398,2.5417,388129.4870955
THETA-EUR,1733875200000,2.26,2.5493,2.1899,2.4673,183324.85790155
THETA-EUR,1733788800000,2.35,2.4092,2.0449,2.2712,299325.04390807
THETA-EUR,1733702400000,2.8804,2.8804,2.1,2.3618,442592.32689773
THETA-EUR,1733616000000,2.8837,2.9174,2.7961,2.8909,103402.35638732
