market,time,open,high,low,close,volume
TLM-EUR,1741132800000,0.0056386,0.005768,0.0055718,0.0056606,598339.4615
TLM-EUR,1741046400000,0.00543,0.0057973,0.0053383,0.0056668,819636.8029
TLM-EUR,1740960000000,0.0068266,0.0070361,0.0058956,0.0058975,868878.4784
TLM-EUR,1740873600000,0.0064471,0.0070641,0.0063729,0.0069822,2046747.4995
TLM-EUR,1740787200000,0.0063404,0.006547,0.0063273,0.00637,3594923.6915
TLM-EUR,1740700800000,0.0060382,0.0064883,0.0059259,0.0064511,2352797.8185
TLM-EUR,1740614400000,0.0064845,0.006561,0.0063299,0.0063644,311988.5804
TLM-EUR,1740528000000,0.0063261,0.006495,0.006153,0.0063679,211497.1328
TLM-EUR,1740441600000,0.0061223,0.0063913,0.005722,0.0063196,1833331.8788
TLM-EUR,1740355200000,0.0068335,0.0068335,0.0060846,0.0060846,923579.1322
TLM-EUR,1740268800000,0.0072579,0.0072731,0.0070095,0.00707,1612258.507
TLM-EUR,1740182400000,0.0068209,0.0072874,0.0068209,0.0072874,36901.5345
TLM-EUR,1740096000000,0.00707,0.0074446,0.0067811,0.0067876,813862.8434
TLM-EUR,1740009600000,0.0069763,0.0070426,0.0068956,0.0069989,121072.8714
TLM-EUR,1739923200000,0.0068372,0.0069758,0.0068372,0.0068993,1459338.0103
TLM-EUR,1739836800000,0.0071136,0.0071136,0.0065993,0.0067724,276026.3926
TLM-EUR,1739750400000,0.0072567,0.0074321,0.0070922,0.0072782,1858537.1942
TLM-EUR,1739664000000,0.0071032,0.0075767,0.0070569,0.0071091,3679398.0861
TLM-EUR,1739577600000,0.0073367,0.0073367,0.0070084,0.0071041,483774.3017
TLM-EUR,1739491200000,0.007386,0.007551,0.0073084,0.0073352,947652.8111
TLM-EUR,1739404800000,0.0077461,0.0077725,0.007178,0.0074476,2400514.7803
TLM-EUR,1739318400000,0.0069972,0.0079627,0.0067833,0.0076935,15570459.0753
TLM-EUR,1739232000000,0.0071552,0.0075628,0.0068663,0.0069753,5044740.8317
TLM-EUR,1739145600000,0.006595,0.0081277,0.006551,0.0072197,57605495.3465
TLM-EUR,1739059200000,0.0066693,0.0069342,0.0063531,0.0065511,3135238.16
TLM-EUR,1738972800000,0.0062662,0.007258,0.0061411,0.0066712,19428178.6634
TLM-EUR,1738886400000,0.0061804,0.0065397,0.0059977,0.0060164,1479865.2258
TLM-EUR,1738800000000,0.0064439,0.0064944,0.0059886,0.0060453,3518375.6677
TLM-EUR,1738713600000,0.0065362,0.0066846,0.0063649,0.0063875,2976149.9961
TLM-EUR,1738627200000,0.007037,0.007037,0.0063719,0.0063998,3394741.9008
TLM-EUR,1738540800000,0.0069643,0.0072548,0.0056349,0.0072175,26775517.0266
TLM-EUR,1738454400000,0.0081971,0.0083993,0.0068375,0.0070608,11837178.8363
TLM-EUR,1738368000000,0.0090537,0.0092128,0.0081602,0.0081864,1357457.8036
TLM-EUR,1738281600000,0.0090396,0.0093888,0.0088954,0.0089892,707002.7989
TLM-EUR,1738195200000,0.0085843,0.0091575,0.0085679,0.008997,1864449.7788
TLM-EUR,1738108800000,0.0083134,0.0089768,0.0083134,0.0088028,2302822.6497
TLM-EUR,1738022400000,0.0090701,0.0091326,0.0082591,0.0083736,2946631.5134
TLM-EUR,1737936000000,0.0091867,0.0092307,0.0081157,0.0089928,5762104.4455
TLM-EUR,1737849600000,0.0092212,0.0096478,0.0092,0.0092563,6759445.6248
TLM-EUR,1737763200000,0.0091808,0.0093608,0.008752,0.0092515,4726064.8497
TLM-EUR,1737676800000,0.0099778,0.010002,0.0092043,0.0092043,1564021.9267
TLM-EUR,1737590400000,0.009692,0.010059,0.0094192,0.0099177,4089731.7523
TLM-EUR,1737504000000,0.010041,0.010255,0.009732,0.009732,402180.0608
TLM-EUR,1737417600000,0.009974,0.010398,0.0094437,0.010143,5587104.6731
TLM-EUR,1737331200000,0.010122,0.010964,0.00975,0.01,3893713.4229
TLM-EUR,1737244800000,0.011128,0.011505,0.01015,0.010231,7368453.8513
TLM-EUR,1737158400000,0.01259,0.01259,0.011189,0.011453,347461.2663
TLM-EUR,1737072000000,0.011778,0.012638,0.011778,0.012638,939189.6786
TLM-EUR,1736985600000,0.012163,0.012163,0.0116,0.011805,1196637.8661
TLM-EUR,1736899200000,0.011647,0.012173,0.011247,0.012108,841316.0907
TLM-EUR,1736812800000,0.011345,0.011647,0.011304,0.011611,4423668.5766
TLM-EUR,1736726400000,0.01159,0.01159,0.010646,0.011334,690228.8293
TLM-EUR,1736640000000,0.012209,0.012257,0.011924,0.011924,11585851.392
TLM-EUR,1736553600000,0.012076,0.012197,0.011958,0.012197,8875168.0668
