market,time,open,high,low,close,volume
TNSR-EUR,1741219200000,0.40119,0.40382,0.40054,0.40382,36614.60831787
TNSR-EUR,1741132800000,0.40324,0.4208,0.38582,0.41785,1049132.62398432
TNSR-EUR,1741046400000,0.40211,0.4125,0.37439,0.40523,1081184.57724844
TNSR-EUR,1740960000000,0.49602,0.50412,0.38761,0.39833,1263684.71011638
TNSR-EUR,1740873600000,0.49864,0.52561,0.47891,0.51098,960504.41684344
TNSR-EUR,1740787200000,0.47916,0.50677,0.4722,0.48223,732790.19814471
TNSR-EUR,1740700800000,0.47721,0.4969,0.42974,0.49015,894013.44774329
TNSR-EUR,1740614400000,0.4697,0.49407,0.45188,0.47804,1526894.8421035
TNSR-EUR,1740528000000,0.45208,0.49297,0.43912,0.46726,1251736.01975234
TNSR-EUR,1740441600000,0.43396,0.46748,0.42814,0.45436,2694830.11285858
TNSR-EUR,1740355200000,0.46845,0.47626,0.42941,0.42997,2126291.24731555
TNSR-EUR,1740268800000,0.4638,0.47608,0.45756,0.46948,913506.20599176
TNSR-EUR,1740182400000,0.43924,0.47625,0.43824,0.46617,1339893.5015768
TNSR-EUR,1740096000000,0.43876,0.47966,0.42702,0.43983,2671854.60943347
TNSR-EUR,1740009600000,0.38723,0.45566,0.38723,0.43679,1567504.37155956
TNSR-EUR,1739923200000,0.37582,0.38815,0.36826,0.38622,975452.58138078
TNSR-EUR,1739836800000,0.37527,0.382,0.35057,0.37451,2197262.78664031
TNSR-EUR,1739750400000,0.3769,0.39529,0.36085,0.37413,658362.79870845
TNSR-EUR,1739664000000,0.36544,0.38606,0.36179,0.37719,551914.37404167
TNSR-EUR,1739577600000,0.36777,0.38698,0.35888,0.36458,966846.64118702
TNSR-EUR,1739491200000,0.3416,0.38215,0.33907,0.37093,2880416.54792512
TNSR-EUR,1739404800000,0.34726,0.34803,0.32456,0.3407,1605426.91762386
TNSR-EUR,1739318400000,0.32688,0.35355,0.31529,0.34703,2369527.66511952
TNSR-EUR,1739232000000,0.35159,0.35603,0.32306,0.32717,1008294.04940418
TNSR-EUR,1739145600000,0.3356,0.35321,0.31447,0.3516,1267799.05371225
