market,time,open,high,low,close,volume
TOKEN-EUR,1741132800000,0.015193,0.016006,0.0148,0.014964,4552465.87633996
TOKEN-EUR,1741046400000,0.016799,0.017689,0.014502,0.015215,10615765.497031
TOKEN-EUR,1740960000000,0.020873,0.021257,0.017341,0.01793,1722467.59086007
TOKEN-EUR,1740873600000,0.019445,0.021919,0.018901,0.021275,3083412.33052756
TOKEN-EUR,1740787200000,0.02059,0.020593,0.019427,0.019823,1059278.06998286
TOKEN-EUR,1740700800000,0.020677,0.021037,0.018709,0.020645,2996012.01277153
TOKEN-EUR,1740614400000,0.020333,0.021137,0.01989,0.020554,736206.08233251
TOKEN-EUR,1740528000000,0.019739,0.020769,0.019434,0.020229,1010398.37063903
TOKEN-EUR,1740441600000,0.019741,0.020241,0.018086,0.019975,2589272.27965919
TOKEN-EUR,1740355200000,0.023192,0.023192,0.019529,0.019633,2631458.587917
TOKEN-EUR,1740268800000,0.023544,0.023746,0.022542,0.023054,1193697.35536796
TOKEN-EUR,1740182400000,0.023029,0.024198,0.022503,0.024189,1107920.62362173
TOKEN-EUR,1740096000000,0.023559,0.025716,0.022849,0.023297,6278953.2691758
TOKEN-EUR,1740009600000,0.025,0.025,0.022788,0.023475,5229351.99122396
TOKEN-EUR,1739923200000,0.02425,0.026536,0.023875,0.026222,2364613.78058454
TOKEN-EUR,1739836800000,0.025171,0.025269,0.023396,0.024108,2103771.34463258
TOKEN-EUR,1739750400000,0.025395,0.026099,0.024335,0.025246,1508230.58316808
TOKEN-EUR,1739664000000,0.025274,0.025951,0.025143,0.025507,1422795.5639943
TOKEN-EUR,1739577600000,0.026269,0.026555,0.0249,0.025186,1827044.1301785
TOKEN-EUR,1739491200000,0.026366,0.027794,0.0259,0.026378,1378052.28030869
TOKEN-EUR,1739404800000,0.02765,0.028018,0.0257,0.026064,3917674.96833129
TOKEN-EUR,1739318400000,0.026196,0.028125,0.024743,0.027714,3088526.06621312
TOKEN-EUR,1739232000000,0.027179,0.02879,0.025733,0.026271,1716277.45176751
TOKEN-EUR,1739145600000,0.026362,0.027233,0.02493,0.026992,1708856.55058129
