market,time,open,high,low,close,volume
TOMO-EUR,1741132800000,0.23395,0.23801,0.2332,0.23583,695.47518007
TOMO-EUR,1741046400000,0.23525,0.25168,0.225,0.23568,18598.71372002
TOMO-EUR,1740960000000,0.2735,0.2844,0.25054,0.25519,10617.72478925
TOMO-EUR,1740873600000,0.27192,0.29,0.26672,0.28673,18429.74581787
TOMO-EUR,1740787200000,0.26184,0.27463,0.26099,0.26231,15955.04610491
TOMO-EUR,1740700800000,0.26473,0.27472,0.25778,0.27168,4098.02799379
TOMO-EUR,1740614400000,0.26476,0.27787,0.26476,0.27324,35372.10477633
TOMO-EUR,1740528000000,0.26241,0.26857,0.25508,0.26536,93893.82410491
TOMO-EUR,1740441600000,0.25,0.268,0.23701,0.26165,53567.39291905
TOMO-EUR,1740355200000,0.28223,0.28223,0.25,0.25001,111762.28087463
TOMO-EUR,1740268800000,0.28876,0.32036,0.28156,0.2832,260530.352192
TOMO-EUR,1740182400000,0.28492,0.29401,0.28492,0.29336,4223.00185492
TOMO-EUR,1740096000000,0.28745,0.30296,0.2795,0.28666,7872.77042015
TOMO-EUR,1740009600000,0.28516,0.2917,0.27984,0.2917,4825.09317847
TOMO-EUR,1739923200000,0.27773,0.289,0.27773,0.28127,19129.68523325
TOMO-EUR,1739836800000,0.27794,0.27932,0.26956,0.27932,9623.34173828
TOMO-EUR,1739750400000,0.28206,0.29604,0.27944,0.28166,5186.71559703
TOMO-EUR,1739664000000,0.28277,0.29275,0.28247,0.28259,6264.20944109
TOMO-EUR,1739577600000,0.29521,0.297,0.28473,0.2855,19515.67185303
TOMO-EUR,1739491200000,0.29109,0.31,0.28352,0.29194,210745.90036138
TOMO-EUR,1739404800000,0.29681,0.30144,0.2819,0.28805,33066.07115906
TOMO-EUR,1739318400000,0.29819,0.301,0.27369,0.2972,232217.6100081
TOMO-EUR,1739232000000,0.28937,0.30516,0.28435,0.29813,123443.44357839
TOMO-EUR,1739145600000,0.27052,0.30225,0.27052,0.28761,132739.15987618
TOMO-EUR,1739059200000,0.28115,0.28534,0.26522,0.27247,97234.43223112
TOMO-EUR,1738972800000,0.26804,0.30375,0.26331,0.2787,308325.95706595
TOMO-EUR,1738886400000,0.259,0.27904,0.25492,0.26088,123422.94621153
TOMO-EUR,1738800000000,0.28504,0.30084,0.25509,0.25934,605019.41229458
TOMO-EUR,1738713600000,0.2601,0.33262,0.25899,0.28911,3294669.74448353
TOMO-EUR,1738627200000,0.2723,0.2723,0.25316,0.26515,49799.30884249
TOMO-EUR,1738540800000,0.26623,0.28074,0.21,0.27163,501803.42422678
TOMO-EUR,1738454400000,0.30795,0.41,0.26065,0.2716,2079543.09993149
TOMO-EUR,1738368000000,0.33862,0.34511,0.30389,0.30791,103397.38881211
