market,time,open,high,low,close,volume
TON-EUR,1741219200000,2.8109,2.8131,2.8109,2.8131,6.5145477
TON-EUR,1741132800000,2.8285,2.9716,2.7255,2.8243,309389.69247968
TON-EUR,1741046400000,2.8958,3.0118,2.69,2.9733,162047.00443412
TON-EUR,1740960000000,3.3293,3.378,2.9,2.9861,142188.65563057
TON-EUR,1740873600000,3.1856,3.4534,3.1692,3.379,94442.03225398
TON-EUR,1740787200000,3.2009,3.2335,3.1023,3.1894,80692.34802004
TON-EUR,1740700800000,3.2918,3.3028,3.0042,3.2073,123799.75010929
TON-EUR,1740614400000,3.3388,3.3517,3.2,3.2871,87483.1560851
TON-EUR,1740528000000,3.3738,3.4426,3.2319,3.3377,127485.77623067
TON-EUR,1740441600000,3.2804,3.4164,3.1794,3.398,187925.59383651
TON-EUR,1740355200000,3.6026,3.6099,3.2386,3.2605,98965.49697166
TON-EUR,1740268800000,3.5898,3.6477,3.5827,3.5908,42697.14147452
TON-EUR,1740182400000,3.4037,3.5913,3.4004,3.5793,31365.58233712
TON-EUR,1740096000000,3.4178,3.55,3.3695,3.4025,77552.17678513
TON-EUR,1740009600000,3.3968,3.4726,3.3912,3.4521,104001.70817945
TON-EUR,1739923200000,3.521,3.526,3.3628,3.3988,114209.14679045
TON-EUR,1739836800000,3.59,3.5928,3.4125,3.5136,59386.75237136
TON-EUR,1739750400000,3.6181,3.6802,3.56,3.6026,24968.88243138
TON-EUR,1739664000000,3.6302,3.6648,3.5803,3.6046,57140.35317539
TON-EUR,1739577600000,3.6698,3.6912,3.5593,3.6236,18754.74240268
TON-EUR,1739491200000,3.5469,3.6974,3.5469,3.6684,40007.71084205
TON-EUR,1739404800000,3.6895,3.7254,3.5034,3.5517,95257.39778657
TON-EUR,1739318400000,3.6065,3.6825,3.4921,3.6823,115935.78641631
TON-EUR,1739232000000,3.7042,3.7845,3.5713,3.6198,55114.11210944
TON-EUR,1739145600000,3.6909,3.7356,3.6437,3.7027,53027.0543455
TON-EUR,1739059200000,3.6228,3.8157,3.6,3.722,59597.92326374
TON-EUR,1738972800000,3.5925,3.6875,3.5558,3.629,42865.59116842
TON-EUR,1738886400000,3.615,3.7222,3.5267,3.5997,65582.46421376
TON-EUR,1738800000000,3.6565,3.7788,3.5625,3.5625,37413.70159001
TON-EUR,1738713600000,3.6406,3.7489,3.6144,3.6351,50817.16023663
TON-EUR,1738627200000,3.9548,3.9758,3.5499,3.6356,126412.95052384
TON-EUR,1738540800000,3.9449,4.0874,2.998,3.9474,411984.93892474
TON-EUR,1738454400000,4.4512,4.5255,3.8246,3.9217,140612.5480756
TON-EUR,1738368000000,4.6558,4.7296,4.4107,4.4631,37803.29838465
TON-EUR,1738281600000,4.6456,4.7655,4.6053,4.6587,62540.81023308
TON-EUR,1738195200000,4.6203,4.7275,4.5936,4.641,71513.05542333
TON-EUR,1738108800000,4.5844,4.6921,4.573,4.6329,16217.36316164
TON-EUR,1738022400000,4.8101,4.8245,4.5651,4.5893,29269.88046339
TON-EUR,1737936000000,4.7,4.8016,4.4741,4.8016,105280.52857514
TON-EUR,1737849600000,4.8381,4.8748,4.7121,4.7128,7479.9898107
TON-EUR,1737763200000,4.8311,4.877,4.7856,4.8531,10893.69068633
TON-EUR,1737676800000,4.9245,4.9442,4.8052,4.8195,29276.95629321
TON-EUR,1737590400000,5.0933,5.1057,4.8436,4.9308,75093.94656613
TON-EUR,1737504000000,4.9961,5.1479,4.9503,5.0832,50610.75084359
TON-EUR,1737417600000,4.8327,5.0611,4.7458,4.9906,89990.14051315
TON-EUR,1737331200000,4.721,5.1183,4.59,4.8293,178656.43650672
TON-EUR,1737244800000,5.1316,5.17,4.66,4.7314,53581.99119676
TON-EUR,1737158400000,5.4341,5.4912,5.0219,5.1414,92649.19986203
TON-EUR,1737072000000,5.3198,5.63,5.3198,5.4273,94780.96108047
TON-EUR,1736985600000,5.3633,5.431,5.2538,5.3141,31109.59378691
TON-EUR,1736899200000,5.1954,5.3562,5.1517,5.3562,51496.54619146
TON-EUR,1736812800000,5.1618,5.278,5.1044,5.1919,34965.87047338
TON-EUR,1736726400000,5.1825,5.2133,4.9059,5.1453,82400.67968193
TON-EUR,1736640000000,5.2645,5.2941,5.1554,5.1571,28837.52441421
TON-EUR,1736553600000,5.2623,5.341,5.2067,5.2631,15621.02462779
TON-EUR,1736467200000,5.0814,5.257,5.0069,5.257,17237.27523985
TON-EUR,1736380800000,5.1561,5.1866,4.9552,5.0343,20693.69399063
TON-EUR,1736294400000,5.1548,5.1987,4.9378,5.1529,53289.02158966
