market,time,open,high,low,close,volume
TRAC-EUR,1741132800000,0.36892,0.38545,0.31603,0.33599,795894.61577547
TRAC-EUR,1741046400000,0.34537,0.43314,0.29794,0.30885,1543260.40853259
TRAC-EUR,1740960000000,0.40128,0.40687,0.33958,0.34465,92128.83276694
TRAC-EUR,1740873600000,0.385,0.42357,0.36231,0.39477,221534.12811137
TRAC-EUR,1740787200000,0.3895,0.39121,0.36288,0.36288,58727.03216244
TRAC-EUR,1740700800000,0.37737,0.39927,0.35188,0.38708,101860.83607523
TRAC-EUR,1740614400000,0.37427,0.38498,0.37261,0.384,158268.31806244
TRAC-EUR,1740528000000,0.38996,0.40772,0.35273,0.37069,164370.15251167
TRAC-EUR,1740441600000,0.40416,0.40501,0.35753,0.39178,156910.53048048
TRAC-EUR,1740355200000,0.44828,0.44828,0.40561,0.40561,81366.60669877
TRAC-EUR,1740268800000,0.46431,0.47184,0.45104,0.45104,20257.59874645
TRAC-EUR,1740182400000,0.45419,0.46775,0.45419,0.46238,18457.66385251
TRAC-EUR,1740096000000,0.47374,0.495,0.43687,0.44743,114731.8237152
TRAC-EUR,1740009600000,0.46624,0.48123,0.45823,0.47458,122533.64384337
TRAC-EUR,1739923200000,0.44956,0.47653,0.44749,0.46624,36568.64580553
TRAC-EUR,1739836800000,0.45717,0.49304,0.42798,0.45879,144611.91646746
TRAC-EUR,1739750400000,0.43988,0.49745,0.43723,0.45511,180514.95977668
TRAC-EUR,1739664000000,0.44506,0.47778,0.43088,0.43088,127763.18847079
TRAC-EUR,1739577600000,0.45458,0.45502,0.43751,0.441,25002.74603962
TRAC-EUR,1739491200000,0.44825,0.46586,0.43531,0.45521,56453.60129556
TRAC-EUR,1739404800000,0.47349,0.47623,0.43203,0.45527,70437.78930125
TRAC-EUR,1739318400000,0.46035,0.47265,0.425,0.47119,108896.72006724
TRAC-EUR,1739232000000,0.49718,0.50266,0.45054,0.46279,40203.39883473
TRAC-EUR,1739145600000,0.46542,0.50992,0.45456,0.48461,80803.92864736
TRAC-EUR,1739059200000,0.42919,0.47885,0.42777,0.46299,75089.0801473
TRAC-EUR,1738972800000,0.45067,0.45999,0.41824,0.43481,95975.16470533
TRAC-EUR,1738886400000,0.45157,0.47912,0.42983,0.44896,84503.55643975
TRAC-EUR,1738800000000,0.4703,0.50148,0.45773,0.45773,53518.63222185
TRAC-EUR,1738713600000,0.47467,0.51932,0.46728,0.46806,85788.01329986
TRAC-EUR,1738627200000,0.53677,0.55326,0.45393,0.47323,305177.92493588
TRAC-EUR,1738540800000,0.44068,0.64138,0.41227,0.53729,558475.65145241
TRAC-EUR,1738454400000,0.5418,0.56917,0.425,0.44126,166594.20809303
TRAC-EUR,1738368000000,0.59764,0.60777,0.54702,0.54702,84046.0526887
TRAC-EUR,1738281600000,0.59271,0.61465,0.59011,0.59988,202781.60136009
TRAC-EUR,1738195200000,0.62304,0.66122,0.59001,0.59595,324288.05047235
TRAC-EUR,1738108800000,0.60879,0.66944,0.6039,0.62713,94703.81808787
TRAC-EUR,1738022400000,0.64391,0.6908,0.607,0.61273,67204.77215434
TRAC-EUR,1737936000000,0.67626,0.67626,0.59,0.65034,138971.70268819
TRAC-EUR,1737849600000,0.74221,0.74771,0.66517,0.68104,85352.46292425
TRAC-EUR,1737763200000,0.67685,0.75427,0.67277,0.74629,86075.96985482
TRAC-EUR,1737676800000,0.65436,0.73689,0.65423,0.68988,112983.43085038
TRAC-EUR,1737590400000,0.65359,0.706,0.63439,0.65808,152249.08384227
TRAC-EUR,1737504000000,0.69107,0.70129,0.64381,0.6539,78850.49523206
TRAC-EUR,1737417600000,0.62468,0.71913,0.58494,0.69089,95653.24286664
TRAC-EUR,1737331200000,0.63415,0.67315,0.61111,0.62356,56405.38290099
TRAC-EUR,1737244800000,0.69393,0.70742,0.6258,0.63845,115410.01054955
TRAC-EUR,1737158400000,0.71121,0.76062,0.655,0.69394,226240.29697567
TRAC-EUR,1737072000000,0.6857,0.71971,0.67102,0.71249,131307.88587292
TRAC-EUR,1736985600000,0.72827,0.72882,0.65558,0.68553,384748.05539705
TRAC-EUR,1736899200000,0.73758,0.74973,0.71116,0.73005,151117.17114522
TRAC-EUR,1736812800000,0.74523,0.76709,0.73417,0.74595,43937.29301384
TRAC-EUR,1736726400000,0.80884,0.81106,0.66669,0.74847,143384.11998011
TRAC-EUR,1736640000000,0.76642,0.86216,0.74073,0.80888,311888.43567989
TRAC-EUR,1736553600000,0.7553,0.76886,0.75086,0.76512,30694.8733755
TRAC-EUR,1736467200000,0.73326,0.7653,0.72585,0.75811,48140.19956711
TRAC-EUR,1736380800000,0.75936,0.76268,0.71063,0.73192,62354.56295642
TRAC-EUR,1736294400000,0.78645,0.78645,0.72252,0.76071,63033.91389617
TRAC-EUR,1736208000000,0.84789,0.84789,0.78187,0.78766,88347.17710248
TRAC-EUR,1736121600000,0.86749,0.88706,0.83377,0.84643,66934.04673472
TRAC-EUR,1736035200000,0.89089,0.89412,0.8561,0.86974,56438.81744665
TRAC-EUR,1735948800000,0.89761,0.91015,0.88,0.88851,53711.02981386
TRAC-EUR,1735862400000,0.84975,0.93141,0.83928,0.89715,127259.05478054
TRAC-EUR,1735776000000,0.83093,0.86014,0.79231,0.84637,119713.77021174
TRAC-EUR,1735689600000,0.8,0.83989,0.79678,0.82498,55919.68878874
TRAC-EUR,1735603200000,0.866,0.89167,0.77535,0.8083,42929.44951808
TRAC-EUR,1735516800000,0.89558,0.92601,0.82001,0.85701,151670.47631242
TRAC-EUR,1735430400000,0.84636,1.0093,0.84537,0.89208,455557.80427377
TRAC-EUR,1735344000000,0.8612,0.88628,0.82161,0.85111,182525.29877512
TRAC-EUR,1735257600000,0.77927,0.86414,0.7716,0.85646,102974.42054249
TRAC-EUR,1735171200000,0.82299,0.82299,0.75678,0.77894,37037.80782774
