market,time,open,high,low,close,volume
TRB-EUR,1741132800000,29.38,30.042,28.574,29.75,33263.67999651
TRB-EUR,1741046400000,28.986,32.093,27.286,28.93,45395.51799249
TRB-EUR,1740960000000,35.221,36.782,31.925,32.311,21842.59684861
TRB-EUR,1740873600000,34.12,37,33.699,36.718,15127.73245526
TRB-EUR,1740787200000,34.692,35.025,33.36,33.981,15280.08993038
TRB-EUR,1740700800000,34.217,35.48,31.156,35.094,28494.31055697
TRB-EUR,1740614400000,33.121,34.739,32.757,34.243,27298.96011103
TRB-EUR,1740528000000,32.162,33.483,31.467,33.13,31332.98765195
TRB-EUR,1740441600000,30.888,32.762,29.195,32.146,71730.13978141
TRB-EUR,1740355200000,35.698,36.223,29.368,30.873,70777.56503655
TRB-EUR,1740268800000,36.059,41.309,35.271,35.821,312729.88607821
TRB-EUR,1740182400000,33.991,36.424,33.529,35.994,10165.14281334
TRB-EUR,1740096000000,35.319,37,32.74,33.806,25083.79739004
TRB-EUR,1740009600000,34.431,35.664,34.431,35.203,26125.57712882
TRB-EUR,1739923200000,32.413,35.868,32.203,34.516,12888.71388963
TRB-EUR,1739836800000,35.213,35.61,30.152,32.444,11230.14132208
TRB-EUR,1739750400000,35.348,36.385,33.597,35.075,14765.95520575
TRB-EUR,1739664000000,34.815,36.048,34.157,35.157,6186.35096416
TRB-EUR,1739577600000,35.946,36.143,34.179,34.616,12841.76404157
TRB-EUR,1739491200000,35.053,36.927,34.82,36.172,9213.80600656
TRB-EUR,1739404800000,36.36,37.099,34.612,35.041,22563.30017233
TRB-EUR,1739318400000,33.255,36.853,33.128,36.364,54889.41342709
TRB-EUR,1739232000000,34.049,35.704,32.5,33.162,31297.38730144
TRB-EUR,1739145600000,32.987,34.359,31.902,33.945,13042.53695061
TRB-EUR,1739059200000,33.726,34.317,31.426,33.07,13599.57860165
TRB-EUR,1738972800000,31.58,33.954,31.401,33.699,9737.51120618
TRB-EUR,1738886400000,32.159,33.5,30.6,31.662,11944.87805357
TRB-EUR,1738800000000,33.127,33.927,31,31.582,10095.60063187
TRB-EUR,1738713600000,32.365,37.098,31.878,32.989,45423.47097689
TRB-EUR,1738627200000,35.521,35.783,30.803,32.366,107641.87860757
TRB-EUR,1738540800000,36.758,36.768,26.152,35.528,64216.65108602
TRB-EUR,1738454400000,43.213,44.896,33.719,37.122,35596.94437426
TRB-EUR,1738368000000,47.417,48.684,42.709,43.101,7790.96242445
TRB-EUR,1738281600000,45.966,49.433,45.396,47.29,4354.60752666
TRB-EUR,1738195200000,43.95,46.496,43.662,46.197,3926.1586393
TRB-EUR,1738108800000,42.72,45.241,42.5,43.9,3023.28557449
TRB-EUR,1738022400000,45.624,46.163,42.222,42.359,4111.84472091
TRB-EUR,1737936000000,46.332,46.412,40.664,45.568,34782.56231911
TRB-EUR,1737849600000,47.564,48.531,46.34,46.34,2714.09947928
TRB-EUR,1737763200000,46.802,47.963,46.055,47.519,3827.16281699
TRB-EUR,1737676800000,48.59,49.121,45.958,47.021,7543.23494241
TRB-EUR,1737590400000,50.644,50.904,47.649,48.406,9242.07243411
TRB-EUR,1737504000000,51.632,52.075,50.331,50.55,6725.14300738
TRB-EUR,1737417600000,49.77,52.228,47.733,51.63,15459.37085278
TRB-EUR,1737331200000,50.853,54.893,48,49.817,32330.4095023
TRB-EUR,1737244800000,56.235,56.702,50,50.891,21854.88790051
TRB-EUR,1737158400000,60.928,61.188,55,56.317,14543.28908083
TRB-EUR,1737072000000,57.637,61.248,57.609,60.853,12848.82548199
TRB-EUR,1736985600000,58.949,59.09,56.117,57.431,8968.54513493
TRB-EUR,1736899200000,56.13,58.842,54.226,58.715,7278.73288134
TRB-EUR,1736812800000,54.103,56.163,53.961,56.094,3813.03492771
TRB-EUR,1736726400000,56.236,57.438,50.714,54.018,15029.83583884
TRB-EUR,1736640000000,57.187,57.36,55.53,56.073,2311.90289382
TRB-EUR,1736553600000,58.309,58.309,56.665,57.123,4102.03669854
TRB-EUR,1736467200000,56.505,58.363,56,58.095,8100.86199161
TRB-EUR,1736380800000,57.291,57.791,54.656,55.89,5849.55199656
TRB-EUR,1736294400000,57.267,57.975,53.748,56.971,14594.32830609
TRB-EUR,1736208000000,64.823,65.273,56.894,57.305,18067.86673227
TRB-EUR,1736121600000,64.376,66.089,63.333,64.898,11145.6493035
TRB-EUR,1736035200000,65.134,65.134,62.699,64.552,5792.62632895
TRB-EUR,1735948800000,65.772,66.798,64.107,65.117,7951.29819263
TRB-EUR,1735862400000,62.747,65.735,61.178,65.39,12355.37238794
TRB-EUR,1735776000000,61.767,63.802,61.472,62.71,31934.63812186
TRB-EUR,1735689600000,61.077,62.037,59.418,61.624,5376.4336224
TRB-EUR,1735603200000,61.336,63.447,58.817,61.193,16121.73217434
TRB-EUR,1735516800000,59.546,63.157,59.369,61.609,13034.25182234
TRB-EUR,1735430400000,61.726,61.758,58.991,59.67,7175.01178507
TRB-EUR,1735344000000,60.552,62.523,59.868,61.959,6330.71202399
TRB-EUR,1735257600000,59.8,64.621,59.064,60.274,5904.46570252
TRB-EUR,1735171200000,63.623,63.623,58.581,59.332,5557.23578535
TRB-EUR,1735084800000,63.596,64.758,62.037,63.392,4951.72858909
TRB-EUR,1734998400000,60.97,64.394,59.836,63.585,7768.21397221
TRB-EUR,1734912000000,56.619,62.35,55.767,60.993,4679.93054364
TRB-EUR,1734825600000,57.055,58.927,55.414,56.993,3483.10483917
TRB-EUR,1734739200000,58.929,62.992,55.864,57.442,6209.05318642
TRB-EUR,1734652800000,57.62,60.055,50.539,58.731,35613.19472859
TRB-EUR,1734566400000,61.238,62.185,55,57.6,18463.71061863
TRB-EUR,1734480000000,66.914,67.446,58.681,61.002,19453.31972608
TRB-EUR,1734393600000,70.764,72.461,66.285,67.14,14443.29603883
TRB-EUR,1734307200000,72.094,73.432,67.947,70.596,10466.24258667
TRB-EUR,1734220800000,70.053,72.119,67.67,71.577,15028.6786367
TRB-EUR,1734134400000,74.224,75.088,68,70.185,9568.28562803
TRB-EUR,1734048000000,74.587,75.232,71.5,74.318,9237.33271466
TRB-EUR,1733961600000,72.147,77.3,71.838,74.659,66347.95883292
TRB-EUR,1733875200000,64.949,73.622,62.662,72.114,30222.16558842
TRB-EUR,1733788800000,68.8,70.024,60.15,64.509,32682.52830101
TRB-EUR,1733702400000,88.401,89.41,53.863,69.336,33008.13812324
TRB-EUR,1733616000000,88.087,88.82,84.346,88.748,6445.00740117
TRB-EUR,1733529600000,89.479,91.014,86,88.501,8656.41835976
TRB-EUR,1733443200000,84.014,92.397,83.106,89.554,19248.75563917
TRB-EUR,1733356800000,85.953,89,79.741,84.212,35367.44873203
TRB-EUR,1733270400000,80.464,90.693,78.458,86.172,30029.57806938
TRB-EUR,1733184000000,75.539,82.35,72.33,80.4,52522.4115268
TRB-EUR,1733097600000,75.895,76.978,69.115,75.392,25962.85648383
TRB-EUR,1733011200000,73.906,78.118,71.667,75.682,15649.93910574
TRB-EUR,1732924800000,69.696,78.38,68.736,74.05,37801.09454168
TRB-EUR,1732838400000,68.337,70.949,67.342,69.862,18176.41185693
TRB-EUR,1732752000000,68.163,69.533,65.865,68.584,8697.58682197
TRB-EUR,1732665600000,65.222,68.957,64.331,68.585,13963.51196973
TRB-EUR,1732579200000,67.905,70.946,62.344,65.4,34713.35612449
TRB-EUR,1732492800000,69.751,70.543,65.597,67.814,26791.65157318
TRB-EUR,1732406400000,69.38,72.395,63.354,69.566,17092.68322132
TRB-EUR,1732320000000,65.684,72.807,65.12,69.83,33749.03661524
TRB-EUR,1732233600000,65.331,66.761,62.102,65.854,23554.95102013
TRB-EUR,1732147200000,59.829,66.081,57.503,65.334,18022.9881714
TRB-EUR,1732060800000,63.961,64.068,59.331,60.059,12633.84309446
TRB-EUR,1731974400000,66.04,66.712,62.526,63.995,12999.544443
TRB-EUR,1731888000000,63.666,67.069,63.474,66.361,14087.05293633
TRB-EUR,1731801600000,67.751,68.524,62.772,63.848,17847.17754695
TRB-EUR,1731715200000,65.072,68.647,63.732,68.123,29741.70138938
TRB-EUR,1731628800000,63.736,66.421,60.862,65.49,14355.68801834
