market,time,open,high,low,close,volume
TRUMP-EUR,1741132800000,12.358,12.843,11.794,12.25,126722.58291494
TRUMP-EUR,1741046400000,11.967,12.4,11.127,12.185,174800.59082543
TRUMP-EUR,1740960000000,15.823,16.313,11.806,12.267,371067.11184271
TRUMP-EUR,1740873600000,12.678,17.119,12.678,15.928,659192.32304769
TRUMP-EUR,1740787200000,13.701,13.971,12.213,12.784,195954.30922974
TRUMP-EUR,1740700800000,12.114,13.086,10.627,12.5,262665.29681443
TRUMP-EUR,1740614400000,12.656,12.976,11.854,12.121,92519.87989383
TRUMP-EUR,1740528000000,12.597,12.687,11.827,12.673,117878.39821861
TRUMP-EUR,1740441600000,12.415,13.025,11.807,12.589,180662.55292246
TRUMP-EUR,1740355200000,15.393,15.54,11.605,12.382,180321.64120152
TRUMP-EUR,1740268800000,15.785,15.851,15.132,15.398,32503.93221088
TRUMP-EUR,1740182400000,15.146,16.028,15.067,15.786,55893.76050782
TRUMP-EUR,1740096000000,16.275,16.59,14.99,15.209,122805.18482894
TRUMP-EUR,1740009600000,16.364,16.7,15.837,16.243,127390.02257518
TRUMP-EUR,1739923200000,15.665,16.736,15.416,16.33,195124.44614559
TRUMP-EUR,1739836800000,16.369,16.617,14.975,15.663,146377.54283917
TRUMP-EUR,1739750400000,17.911,18.407,16.1,16.393,209171.60466066
TRUMP-EUR,1739664000000,17.861,18.659,17.408,17.921,228297.72730415
TRUMP-EUR,1739577600000,20.572,21.341,17.287,17.798,503867.0227049
TRUMP-EUR,1739491200000,15.523,23.435,15.148,20.503,891616.50120823
TRUMP-EUR,1739404800000,14.887,17.573,14.715,15.592,431593.46739779
TRUMP-EUR,1739318400000,14.75,14.996,14,14.875,95867.63818086
TRUMP-EUR,1739232000000,15.469,16.286,14.712,14.825,138663.32820363
TRUMP-EUR,1739145600000,15.457,16.048,13.913,15.448,190229.47602217
TRUMP-EUR,1739059200000,16.764,17.345,14.871,15.415,115979.05687441
TRUMP-EUR,1738972800000,16.017,16.925,15.733,16.712,77018.27964515
TRUMP-EUR,1738886400000,16.53,17.6,15.661,16.056,111581.29558359
TRUMP-EUR,1738800000000,17.437,18.8,16.22,16.472,170696.20078182
TRUMP-EUR,1738713600000,16.596,19.869,16.596,17.447,272594.28459548
TRUMP-EUR,1738627200000,19.118,19.178,15.801,16.584,252168.15248215
TRUMP-EUR,1738540800000,20.501,20.678,15.531,19.08,763153.88532406
TRUMP-EUR,1738454400000,19.047,21.87,18.778,20.531,600901.7072955
TRUMP-EUR,1738368000000,23.23,24.146,17.943,19.053,442434.84592744
TRUMP-EUR,1738281600000,25.039,25.61,22.832,23.278,191137.89323773
TRUMP-EUR,1738195200000,26.149,27.12,24.702,25.052,198342.44437657
TRUMP-EUR,1738108800000,26.216,27.534,25.274,26.141,227422.00865963
TRUMP-EUR,1738022400000,26.827,29.24,25.2,26.24,360213.34833835
TRUMP-EUR,1737936000000,26.181,27.05,23.515,26.843,412743.57869018
TRUMP-EUR,1737849600000,27.596,30.81,25.873,26.204,385711.9062298
TRUMP-EUR,1737763200000,28.775,29.231,24.535,27.543,653432.16772232
TRUMP-EUR,1737676800000,33.355,33.798,27.756,28.761,417760.63444176
TRUMP-EUR,1737590400000,35.405,38.13,32.759,33.324,658902.19906534
TRUMP-EUR,1737504000000,42.033,42.743,34.7,35.461,890911.51551432
TRUMP-EUR,1737417600000,35.056,47,29.34,42,2872094.00611524
TRUMP-EUR,1737331200000,45.206,62.197,33.158,35.053,3047031.29256285
TRUMP-EUR,1737244800000,61.556,74.169,36.558,45.186,2040095.57205871
