market,time,open,high,low,close,volume
TRX-EUR,1741219200000,0.22581,0.22581,0.22581,0.22581,447.285058
TRX-EUR,1741132800000,0.22604,0.231,0.22495,0.22749,1890766.944373
TRX-EUR,1741046400000,0.21725,0.22897,0.21626,0.22839,7001834.845138
TRX-EUR,1740960000000,0.23229,0.23482,0.21716,0.22902,4882884.600039
TRX-EUR,1740873600000,0.22578,0.2388,0.22413,0.23456,3221827.145633
TRX-EUR,1740787200000,0.22546,0.229,0.22177,0.22406,1141572.838329
TRX-EUR,1740700800000,0.2199,0.22491,0.20875,0.22483,4451556.235556
TRX-EUR,1740614400000,0.21639,0.21975,0.21494,0.21971,1509514.01593
TRX-EUR,1740528000000,0.2193,0.22054,0.21242,0.21624,3982647.66058
TRX-EUR,1740441600000,0.22923,0.23287,0.21428,0.21936,6018168.755924
TRX-EUR,1740355200000,0.23497,0.23807,0.22903,0.22942,2381253.527196
TRX-EUR,1740268800000,0.2289,0.23497,0.22765,0.23497,1008517.046459
TRX-EUR,1740182400000,0.2273,0.22923,0.22431,0.22875,1345635.419091
TRX-EUR,1740096000000,0.23494,0.23891,0.22174,0.22732,2566118.469333
TRX-EUR,1740009600000,0.23208,0.23605,0.22784,0.2346,1094938.203961
TRX-EUR,1739923200000,0.2299,0.23378,0.2299,0.23231,1047164.934603
TRX-EUR,1739836800000,0.22764,0.23051,0.22235,0.22865,1424953.485303
TRX-EUR,1739750400000,0.23185,0.23645,0.2276,0.22788,2143742.572817
TRX-EUR,1739664000000,0.22681,0.2328,0.22494,0.23123,1443217.189948
TRX-EUR,1739577600000,0.22066,0.22709,0.21992,0.22664,1017078.046568
TRX-EUR,1739491200000,0.2236,0.22618,0.21932,0.22087,2063167.534384
TRX-EUR,1739404800000,0.23383,0.23478,0.2235,0.22367,1520821.108898
TRX-EUR,1739318400000,0.23286,0.2365,0.22806,0.23407,2360290.145541
TRX-EUR,1739232000000,0.23919,0.24143,0.23198,0.23277,1455073.08031
TRX-EUR,1739145600000,0.22654,0.23972,0.22149,0.23911,2284390.015702
TRX-EUR,1739059200000,0.22452,0.23054,0.22401,0.22535,962503.365717
TRX-EUR,1738972800000,0.22289,0.22705,0.22173,0.22429,1369385.668108
TRX-EUR,1738886400000,0.22332,0.22723,0.21911,0.22293,2491403.088764
TRX-EUR,1738800000000,0.2142,0.22485,0.21326,0.22316,2020750.287004
TRX-EUR,1738713600000,0.21651,0.2185,0.21284,0.21421,1258074.539462
TRX-EUR,1738627200000,0.22198,0.22281,0.20947,0.21665,3746025.50308
TRX-EUR,1738540800000,0.21999,0.22341,0.1958,0.22177,7419026.764476
TRX-EUR,1738454400000,0.23613,0.23834,0.21718,0.22007,6010900.051136
TRX-EUR,1738368000000,0.24493,0.24761,0.23595,0.23643,1542172.171032
TRX-EUR,1738281600000,0.24217,0.24867,0.2416,0.24485,1940557.671107
TRX-EUR,1738195200000,0.23029,0.24304,0.22973,0.24213,1931379.320802
TRX-EUR,1738108800000,0.22998,0.23378,0.22695,0.23035,1609588.211348
TRX-EUR,1738022400000,0.23615,0.23813,0.22862,0.23023,1484746.239341
TRX-EUR,1737936000000,0.23508,0.23629,0.22183,0.23593,4134542.850923
TRX-EUR,1737849600000,0.24174,0.24238,0.23543,0.23543,1264665.493579
TRX-EUR,1737763200000,0.24227,0.24588,0.24138,0.24175,1379424.911908
TRX-EUR,1737676800000,0.24284,0.24977,0.2401,0.24246,3127096.936669
TRX-EUR,1737590400000,0.2437,0.24467,0.23467,0.24278,5053794.91831
TRX-EUR,1737504000000,0.2353,0.24823,0.23518,0.24378,3209766.034693
TRX-EUR,1737417600000,0.22864,0.2363,0.22686,0.2352,3677075.331604
TRX-EUR,1737331200000,0.22222,0.248,0.21769,0.22863,11227049.736027
TRX-EUR,1737244800000,0.23485,0.23856,0.22012,0.22254,5456432.985423
TRX-EUR,1737158400000,0.2416,0.25975,0.23105,0.23511,4991486.381566
TRX-EUR,1737072000000,0.23008,0.24243,0.23008,0.24172,2167101.549595
TRX-EUR,1736985600000,0.23109,0.23455,0.22585,0.22999,2252265.780887
TRX-EUR,1736899200000,0.21433,0.231,0.21413,0.231,3251149.352248
TRX-EUR,1736812800000,0.21718,0.22112,0.21389,0.21449,1319569.556948
TRX-EUR,1736726400000,0.22766,0.23121,0.2126,0.21714,2537086.426795
TRX-EUR,1736640000000,0.23477,0.23516,0.226,0.22809,760893.574103
TRX-EUR,1736553600000,0.23894,0.23894,0.23455,0.23492,721718.694863
TRX-EUR,1736467200000,0.23361,0.23907,0.23167,0.23872,1355194.781569
TRX-EUR,1736380800000,0.24338,0.24401,0.23009,0.2336,1767662.525088
TRX-EUR,1736294400000,0.24458,0.24666,0.23746,0.2432,1716460.975844
TRX-EUR,1736208000000,0.25853,0.26112,0.2442,0.24455,2759113.910387
TRX-EUR,1736121600000,0.2549,0.2594,0.252,0.25848,1500331.637902
TRX-EUR,1736035200000,0.26156,0.26161,0.25342,0.25487,1302742.506052
TRX-EUR,1735948800000,0.26188,0.2658,0.25852,0.2618,1357667.146764
TRX-EUR,1735862400000,0.2582,0.26315,0.25375,0.26211,1796200.413726
TRX-EUR,1735776000000,0.24703,0.25996,0.24669,0.25797,2300254.166568
TRX-EUR,1735689600000,0.24524,0.2473,0.24396,0.2467,1456131.577137
TRX-EUR,1735603200000,0.24307,0.24806,0.24105,0.24526,1479054.462709
TRX-EUR,1735516800000,0.24656,0.24862,0.2408,0.24324,1958520.727738
TRX-EUR,1735430400000,0.24736,0.25222,0.24552,0.24681,1786539.447326
TRX-EUR,1735344000000,0.2486,0.25245,0.24569,0.24731,1307436.826771
TRX-EUR,1735257600000,0.24353,0.25428,0.24272,0.24866,1810220.788293
TRX-EUR,1735171200000,0.24806,0.2489,0.24004,0.2435,1048389.283249
TRX-EUR,1735084800000,0.24658,0.24886,0.24557,0.24799,952909.540117
TRX-EUR,1734998400000,0.24246,0.24948,0.2404,0.24665,1743345.289397
TRX-EUR,1734912000000,0.2341,0.24364,0.23164,0.24242,2361864.157508
TRX-EUR,1734825600000,0.23546,0.24059,0.23177,0.23413,2785847.878531
TRX-EUR,1734739200000,0.23876,0.24629,0.23264,0.23536,1683906.909532
TRX-EUR,1734652800000,0.24287,0.24543,0.21535,0.23872,7363129.43208999
TRX-EUR,1734566400000,0.24976,0.2559,0.23491,0.24221,4624442.956535
TRX-EUR,1734480000000,0.26642,0.26788,0.24932,0.24957,3739505.01116
TRX-EUR,1734393600000,0.28261,0.28305,0.26461,0.26627,4732113.29716499
TRX-EUR,1734307200000,0.27116,0.28965,0.26337,0.28208,7130913.54319001
TRX-EUR,1734220800000,0.26847,0.27273,0.26214,0.27066,1878338.836415
TRX-EUR,1734134400000,0.27666,0.28311,0.26449,0.26882,2893799.826912
TRX-EUR,1734048000000,0.28364,0.28842,0.27085,0.2768,3464719.858576
TRX-EUR,1733961600000,0.26848,0.29515,0.267,0.28327,7431980.758423
TRX-EUR,1733875200000,0.25634,0.27412,0.24897,0.26888,3666881.15544101
TRX-EUR,1733788800000,0.24944,0.26576,0.23169,0.25631,10805644.81905901
TRX-EUR,1733702400000,0.30123,0.3034,0.23001,0.24961,12320273.92865801
TRX-EUR,1733616000000,0.30135,0.30519,0.29155,0.30108,4494870.56642901
TRX-EUR,1733529600000,0.30817,0.31786,0.30022,0.30146,4845517.764388
