market,time,open,high,low,close,volume
TWT-EUR,1741132800000,0.93673,0.9963,0.93673,0.97089,27179.39078222
TWT-EUR,1741046400000,0.92115,0.97931,0.90627,0.93913,81288.20684822
TWT-EUR,1740960000000,1.0314,1.035,0.93308,0.94421,14559.3437561
TWT-EUR,1740873600000,0.98813,1.0365,0.98078,1.0235,9133.99763562
TWT-EUR,1740787200000,0.97562,1.0043,0.97048,0.99101,20983.83190663
TWT-EUR,1740700800000,0.90723,0.97796,0.88138,0.97796,31913.12847081
TWT-EUR,1740614400000,0.96726,0.98833,0.95592,0.97291,3712.32705301
TWT-EUR,1740528000000,0.93766,0.99901,0.93766,0.97103,25388.0083212
TWT-EUR,1740441600000,0.91288,0.94653,0.89135,0.94378,10987.47858811
TWT-EUR,1740355200000,0.98554,0.98853,0.92081,0.92081,10140.23850593
TWT-EUR,1740268800000,0.9873,0.99938,0.98609,0.98609,3426.63358583
TWT-EUR,1740182400000,0.97669,1.0063,0.96713,1,7144.01826732
TWT-EUR,1740096000000,0.99609,1.0273,0.97498,0.98239,23770.22253207
TWT-EUR,1740009600000,0.99025,0.99558,0.97853,0.99558,6935.76517806
TWT-EUR,1739923200000,0.96096,0.9963,0.96085,0.99396,11314.39553627
TWT-EUR,1739836800000,1.0075,1.0075,0.9212,0.98319,49848.97851414
TWT-EUR,1739750400000,0.96049,1.0069,0.9584,0.97407,107114.95127862
TWT-EUR,1739664000000,0.96438,0.98604,0.94022,0.96073,71292.30923155
TWT-EUR,1739577600000,0.94591,0.98758,0.93923,0.95952,70026.78248654
TWT-EUR,1739491200000,0.91759,0.96317,0.89672,0.9358,77061.15086563
TWT-EUR,1739404800000,0.94507,0.955,0.89011,0.9189,28021.12097082
TWT-EUR,1739318400000,0.87607,0.95166,0.85847,0.94075,68596.4622866
TWT-EUR,1739232000000,0.8974,0.91674,0.87016,0.88775,6659.56172956
TWT-EUR,1739145600000,0.86675,0.90019,0.86675,0.8838,9313.89636672
TWT-EUR,1739059200000,0.89238,0.90769,0.84759,0.86327,30980.20739022
TWT-EUR,1738972800000,0.83387,0.91034,0.82788,0.89439,62900.60384223
TWT-EUR,1738886400000,0.81268,0.84669,0.81268,0.82425,28089.60291478
TWT-EUR,1738800000000,0.82683,0.8397,0.80052,0.80503,34148.31160166
TWT-EUR,1738713600000,0.8264,0.86828,0.81684,0.82736,106875.61648484
TWT-EUR,1738627200000,0.84928,0.85615,0.77123,0.81885,39112.02522728
TWT-EUR,1738540800000,0.8001,0.84785,0.64056,0.84785,95626.75418985
TWT-EUR,1738454400000,0.99306,0.99306,0.82544,0.84519,21258.9982733
TWT-EUR,1738368000000,0.98528,0.9977,0.959,0.95963,27465.84987216
TWT-EUR,1738281600000,0.97998,1.0123,0.97998,0.99201,12313.92525419
TWT-EUR,1738195200000,0.976,0.99766,0.97,0.9934,7477.30615997
