market,time,open,high,low,close,volume
UMA-EUR,1741132800000,1.246,1.2694,1.2181,1.2181,52749.57719233
UMA-EUR,1741046400000,1.2767,1.2878,1.1648,1.2517,76044.2190314
UMA-EUR,1740960000000,1.4292,1.5181,1.25,1.2722,30621.01372263
UMA-EUR,1740873600000,1.4103,1.5405,1.3886,1.5325,60495.67916489
UMA-EUR,1740787200000,1.4324,1.4519,1.395,1.4169,35488.06110438
UMA-EUR,1740700800000,1.4165,1.4737,1.3352,1.4509,77908.46090706
UMA-EUR,1740614400000,1.4255,1.4665,1.3777,1.4197,211045.30456236
UMA-EUR,1740528000000,1.4329,1.4577,1.35,1.4201,38458.03622352
UMA-EUR,1740441600000,1.4003,1.4476,1.3118,1.44,64706.00283986
UMA-EUR,1740355200000,1.5749,1.5795,1.4053,1.4386,102724.40216975
UMA-EUR,1740268800000,1.6559,1.6759,1.572,1.5782,96449.51669668
UMA-EUR,1740182400000,1.465,1.7907,1.465,1.6664,226699.02385698
UMA-EUR,1740096000000,1.574,1.6549,1.4676,1.4696,49068.25726279
UMA-EUR,1740009600000,1.6059,1.687,1.5218,1.5766,140574.20293907
UMA-EUR,1739923200000,1.4955,1.6131,1.4707,1.607,45629.37963038
UMA-EUR,1739836800000,1.5922,1.5922,1.4612,1.4961,10447.73750276
UMA-EUR,1739750400000,1.6064,1.6968,1.55,1.5857,42414.58616455
UMA-EUR,1739664000000,1.596,1.6383,1.5779,1.5828,29608.64359043
UMA-EUR,1739577600000,1.6697,1.6845,1.5839,1.5944,3073.90681142
UMA-EUR,1739491200000,1.6936,1.7022,1.6432,1.671,29991.59809049
UMA-EUR,1739404800000,1.7621,1.7621,1.6352,1.6704,82375.09495579
UMA-EUR,1739318400000,1.6249,1.7527,1.5976,1.7471,40203.90087718
UMA-EUR,1739232000000,1.6683,1.749,1.6111,1.6392,16349.32035463
UMA-EUR,1739145600000,1.6426,1.6732,1.5636,1.6515,46531.32349279
UMA-EUR,1739059200000,1.6468,1.86,1.5318,1.5831,224214.20949875
UMA-EUR,1738972800000,1.5315,1.717,1.515,1.6051,196626.96157487
UMA-EUR,1738886400000,1.5061,1.5953,1.4752,1.4871,25091.3689882
UMA-EUR,1738800000000,1.5815,1.6077,1.4625,1.4737,29706.76534884
UMA-EUR,1738713600000,1.5741,1.6152,1.5512,1.5786,16900.16725751
UMA-EUR,1738627200000,1.7358,1.7358,1.5022,1.5774,29785.34268393
UMA-EUR,1738540800000,1.67,1.7661,1.309,1.7529,115285.60361125
UMA-EUR,1738454400000,2.0667,2.0667,1.6625,1.7532,78339.19076712
UMA-EUR,1738368000000,2.1947,2.2312,2.0379,2.052,6806.28508098
UMA-EUR,1738281600000,2.1308,2.204,2.1122,2.1607,518.39429784
UMA-EUR,1738195200000,2.1003,2.1696,2.0721,2.1425,7032.72570635
UMA-EUR,1738108800000,1.9733,2.1118,1.9733,2.08,20636.28611026
UMA-EUR,1738022400000,2.1188,2.141,1.9382,1.9449,6442.28152432
UMA-EUR,1737936000000,2.1347,2.1432,1.965,2.1319,17044.46596538
UMA-EUR,1737849600000,2.2411,2.2786,2.1726,2.1726,9517.12470509
UMA-EUR,1737763200000,2.2058,2.2339,2.1726,2.2106,9221.84037168
UMA-EUR,1737676800000,2.328,2.3685,2.2,2.2,13237.95417179
UMA-EUR,1737590400000,2.3922,2.3944,2.2924,2.3128,26287.93873603
UMA-EUR,1737504000000,2.4205,2.4281,2.375,2.3757,17353.52177832
UMA-EUR,1737417600000,2.3944,2.4866,2.2936,2.4451,16400.23564507
UMA-EUR,1737331200000,2.4725,2.7,2.3785,2.3785,51178.62270972
