market,time,open,high,low,close,volume
USDC-EUR,1741132800000,0.9425,0.94393,0.92656,0.92786,4882680.103369
USDC-EUR,1741046400000,0.95388,0.9556,0.94139,0.94528,3071364.760459
USDC-EUR,1740960000000,0.96038,0.96216,0.95201,0.95434,2975209.284547
USDC-EUR,1740873600000,0.96485,0.96703,0.96016,0.96228,3173943.875922
USDC-EUR,1740787200000,0.96439,0.96589,0.96399,0.9654,2024309.693325
USDC-EUR,1740700800000,0.96194,0.96544,0.96029,0.96429,5424816.689518
USDC-EUR,1740614400000,0.95391,0.96228,0.95359,0.96219,1234012.801652
USDC-EUR,1740528000000,0.95144,0.95965,0.95094,0.95319,6087644.257058
USDC-EUR,1740441600000,0.95628,0.95666,0.95059,0.95143,5352677.925344
USDC-EUR,1740355200000,0.95487,0.95758,0.95045,0.95637,2257459.202709
USDC-EUR,1740268800000,0.95638,0.95669,0.954,0.95489,2856443.234439
USDC-EUR,1740182400000,0.95692,0.95696,0.95593,0.95632,723077.989375
USDC-EUR,1740096000000,0.95198,0.95699,0.95197,0.95669,3827012.104396
USDC-EUR,1740009600000,0.95919,0.95919,0.95163,0.95198,2604693.206233
USDC-EUR,1739923200000,0.95699,0.96081,0.95627,0.95919,3150383.024997
USDC-EUR,1739836800000,0.95426,0.95839,0.95424,0.95693,3093748.642854
USDC-EUR,1739750400000,0.95412,0.95557,0.95265,0.95433,2435595.291247
USDC-EUR,1739664000000,0.95399,0.95457,0.95377,0.95411,867431.864795
USDC-EUR,1739577600000,0.9534,0.95434,0.95338,0.95399,928502.443173
USDC-EUR,1739491200000,0.95609,0.95707,0.95162,0.95341,4481930.993256
USDC-EUR,1739404800000,0.96235,0.96407,0.95545,0.9561,5847528.663134
USDC-EUR,1739318400000,0.96563,0.96922,0.9595,0.96235,4850191.136609
USDC-EUR,1739232000000,0.97094,0.97143,0.96412,0.96563,4732240.68386
USDC-EUR,1739145600000,0.97026,0.97133,0.9678,0.97094,4343179.283675
USDC-EUR,1739059200000,0.96977,0.97339,0.96909,0.97026,3584476.242879
USDC-EUR,1738972800000,0.9692,0.97054,0.96919,0.96977,2188115.682796
