market,time,open,high,low,close,volume
UXLINK-EUR,1741132800000,0.49561,0.51092,0.48506,0.50079,64697.89091584
UXLINK-EUR,1741046400000,0.51039,0.53026,0.4725,0.50307,1164371.11434212
UXLINK-EUR,1740960000000,0.59774,0.59774,0.47765,0.49352,142647.49705203
UXLINK-EUR,1740873600000,0.56764,0.61433,0.55556,0.5678,69783.11198103
UXLINK-EUR,1740787200000,0.57909,0.59172,0.54358,0.55932,56875.57961493
UXLINK-EUR,1740700800000,0.58588,0.58868,0.52541,0.57826,71640.6654653
UXLINK-EUR,1740614400000,0.57187,0.59926,0.5619,0.58259,152469.77311337
UXLINK-EUR,1740528000000,0.58828,0.59463,0.5571,0.57609,78324.02971137
UXLINK-EUR,1740441600000,0.58649,0.59526,0.53182,0.58702,57124.63937222
UXLINK-EUR,1740355200000,0.65,0.67774,0.55814,0.56487,120008.27617653
UXLINK-EUR,1740268800000,0.6538,0.66329,0.61715,0.64029,21001.44143173
UXLINK-EUR,1740182400000,0.60241,0.64463,0.60241,0.63569,13901.29846756
UXLINK-EUR,1740096000000,0.64617,0.65796,0.60458,0.60959,40909.08156702
UXLINK-EUR,1740009600000,0.59857,0.63424,0.59857,0.63424,21851.28342977
UXLINK-EUR,1739923200000,0.57276,0.60426,0.57041,0.60116,6759.75177157
UXLINK-EUR,1739836800000,0.62618,0.62681,0.56525,0.58848,40614.53069299
UXLINK-EUR,1739750400000,0.63635,0.65774,0.61201,0.63207,56763.83632201
UXLINK-EUR,1739664000000,0.63722,0.64405,0.62369,0.63218,10666.86388657
UXLINK-EUR,1739577600000,0.6666,0.67274,0.63,0.63907,43387.34430748
UXLINK-EUR,1739491200000,0.674,0.69318,0.6552,0.6722,68756.71343947
UXLINK-EUR,1739404800000,0.6995,0.74078,0.66886,0.67633,178195.30950798
UXLINK-EUR,1739318400000,0.66592,0.7468,0.63155,0.70652,420710.66793908
UXLINK-EUR,1739232000000,0.71019,0.71946,0.6645,0.67427,143470.47447692
UXLINK-EUR,1739145600000,0.72983,0.73437,0.66779,0.71062,151972.34183057
UXLINK-EUR,1739059200000,0.70624,0.796,0.67835,0.73341,986881.19002386
UXLINK-EUR,1738972800000,0.65977,0.81346,0.65538,0.72226,2130659.16254834
UXLINK-EUR,1738886400000,0.53907,0.71902,0.53907,0.66024,1634426.53488415
UXLINK-EUR,1738800000000,0.58017,0.58807,0.537,0.537,55492.87063163
UXLINK-EUR,1738713600000,0.58949,0.61648,0.56875,0.576,64694.46732165
UXLINK-EUR,1738627200000,0.64231,0.64231,0.57259,0.59147,302804.41116005
UXLINK-EUR,1738540800000,0.60657,0.65308,0.45,0.63766,164863.42673017
UXLINK-EUR,1738454400000,0.706,0.71525,0.57313,0.60444,197466.47814552
UXLINK-EUR,1738368000000,0.78388,0.79174,0.69725,0.71178,127263.81874489
UXLINK-EUR,1738281600000,0.80732,0.835,0.77574,0.7911,189940.59272474
UXLINK-EUR,1738195200000,0.77246,0.84599,0.77058,0.80608,586497.62381717
UXLINK-EUR,1738108800000,0.76762,0.80289,0.7465,0.76588,1227422.92566285
