market,time,open,high,low,close,volume
VANA-EUR,1741219200000,5.7766,5.7766,5.7766,5.7766,186.6
VANA-EUR,1741132800000,5.9139,6.124,5.5884,5.6144,19600.01920049
VANA-EUR,1741046400000,5.8378,6.2703,5.5896,5.9269,34374.59079188
VANA-EUR,1740960000000,7.6074,8.2656,6.0818,6.31,55046.87655994
VANA-EUR,1740873600000,8.241,8.6599,7.9544,8.5284,47387.32667487
VANA-EUR,1740787200000,8.3504,9.1118,8.2558,8.3843,25608.97666846
VANA-EUR,1740700800000,8.2101,9.1739,7.0326,8.7282,90059.6562345
VANA-EUR,1740614400000,8.6724,9.5716,8.0956,8.2117,57203.60216298
VANA-EUR,1740528000000,8.6234,9.4923,7.7908,8.7529,183188.82241767
VANA-EUR,1740441600000,7.652,9.3363,6.9575,8.6344,630484.73558582
VANA-EUR,1740355200000,5.8586,8.28,5.7347,7.7384,521756.17027306
VANA-EUR,1740268800000,6.1412,6.6293,5.876,6.055,22501.67494096
VANA-EUR,1740182400000,6.0706,6.4612,5.8733,6.0972,32950.55503532
VANA-EUR,1740096000000,5.8669,7.2365,5.7453,6.0571,146921.10041023
VANA-EUR,1740009600000,5.4412,5.7036,5.4103,5.7036,3128.00529944
VANA-EUR,1739923200000,5.3325,5.4595,5.3201,5.4152,7918.69501724
VANA-EUR,1739836800000,5.6366,5.6366,5.1363,5.3313,10318.61976607
VANA-EUR,1739750400000,5.6819,5.7957,5.5608,5.6827,13922.54315926
VANA-EUR,1739664000000,5.8001,5.8973,5.6229,5.675,6818.28229352
VANA-EUR,1739577600000,6.0135,6.0623,5.701,5.7693,3392.71936293
VANA-EUR,1739491200000,6.04,6.3585,5.9557,6.0167,7690.94447385
VANA-EUR,1739404800000,6.3763,6.7517,5.9924,6.0664,16486.68288862
VANA-EUR,1739318400000,5.8739,6.1981,5.8485,6.1947,8164.96817585
VANA-EUR,1739232000000,6.0777,6.41,5.808,5.9305,12337.70254024
VANA-EUR,1739145600000,6.0822,6.1292,5.7958,6.01,6478.20194733
VANA-EUR,1739059200000,6.5576,6.5576,5.8979,6.0316,22907.91649929
VANA-EUR,1738972800000,5.4723,7.7924,5.4544,6.55,59218.38081288
VANA-EUR,1738886400000,5.5156,5.963,5.272,5.272,6468.38003055
VANA-EUR,1738800000000,5.8134,6.0096,5.4449,5.4847,9582.25675579
VANA-EUR,1738713600000,6.1738,6.4083,5.8358,5.8358,14634.33945693
VANA-EUR,1738627200000,6.7566,6.7566,5.8983,6.2059,11682.81505957
VANA-EUR,1738540800000,6.1992,6.8464,5.029,6.742,23080.04312311
VANA-EUR,1738454400000,7.8086,7.837,6.451,6.451,12219.66075585
VANA-EUR,1738368000000,8.9883,8.9883,7.654,7.7358,4741.46256212
VANA-EUR,1738281600000,8.997,9.4916,8.8323,8.9253,11954.25911481
VANA-EUR,1738195200000,8.5916,9.1743,8.4671,8.9345,5879.47758199
VANA-EUR,1738108800000,8.2326,8.689,8.2158,8.5418,3042.92609187
VANA-EUR,1738022400000,9.3295,9.4929,8.2027,8.2027,18377.31617014
VANA-EUR,1737936000000,8.95,9.7869,7.8807,8.813,25346.66024298
VANA-EUR,1737849600000,9.5162,9.6071,9.0037,9.0037,1619.9160273
VANA-EUR,1737763200000,9.4752,9.6365,9.2723,9.4924,8242.51555267
VANA-EUR,1737676800000,10.35,10.35,9.375,9.3777,4997.0600777
VANA-EUR,1737590400000,9.9675,12.019,9.773,10.543,68315.26692818
VANA-EUR,1737504000000,9.7004,11.571,9.4,10.012,39660.89574571
VANA-EUR,1737417600000,8.8495,11.37,8.6399,9.7612,41113.93551903
VANA-EUR,1737331200000,9.1612,9.9769,8.8587,9.3234,7877.6055132
VANA-EUR,1737244800000,10.887,10.921,9.2049,9.2186,8829.29178109
VANA-EUR,1737158400000,12.084,12.39,10.575,10.802,3575.82493338
VANA-EUR,1737072000000,11.919,12.5,11.67,12.129,2568.68320958
VANA-EUR,1736985600000,12.337,12.337,11.697,11.858,3923.06506029
VANA-EUR,1736899200000,12.276,12.649,11.681,12.504,2326.59449459
VANA-EUR,1736812800000,12.468,12.806,12.242,12.339,5592.41728984
VANA-EUR,1736726400000,13.38,13.412,11.448,12.05,6230.87843551
VANA-EUR,1736640000000,13.583,13.756,13.271,13.271,908.63762874
VANA-EUR,1736553600000,13.686,14.06,13.377,13.876,868.26074701
VANA-EUR,1736467200000,13.698,14.319,13.21,13.792,15220.61462338
VANA-EUR,1736380800000,14.377,14.377,13.088,13.597,4432.34915598
VANA-EUR,1736294400000,14.943,15.633,13.497,14.432,10514.90636195
VANA-EUR,1736208000000,16.501,16.501,14.814,14.957,7695.94257152
VANA-EUR,1736121600000,17.331,17.5,16.501,16.618,4672.31323545
VANA-EUR,1736035200000,16.675,18.022,16.431,17.306,7878.15324152
VANA-EUR,1735948800000,16.784,17.15,16.153,16.789,5083.72565666
VANA-EUR,1735862400000,16.013,17.014,15.89,16.733,10539.09121359
VANA-EUR,1735776000000,15.424,17.255,15.261,16.068,31210.13451205
VANA-EUR,1735689600000,15.3,15.749,14.862,15.5,4006.11459062
VANA-EUR,1735603200000,16.182,16.182,15.15,15.322,10951.46192467
VANA-EUR,1735516800000,17.98,18.069,16.05,16.222,15558.09876013
VANA-EUR,1735430400000,17,19.461,16.962,18.27,36246.28979095
VANA-EUR,1735344000000,18.038,18.038,16.711,17.093,10699.47977015
VANA-EUR,1735257600000,19.324,20.291,17.694,18.033,30218.02212382
VANA-EUR,1735171200000,18,22.407,17.954,19.281,98428.80651413
VANA-EUR,1735084800000,17.077,19.487,16.931,17.912,21571.1447654
VANA-EUR,1734998400000,16.322,17.576,16.092,17.105,10465.74295642
VANA-EUR,1734912000000,16.54,16.557,15.072,16.324,13708.41109071
VANA-EUR,1734825600000,17.726,18.486,16.28,16.625,15071.01514567
VANA-EUR,1734739200000,18.912,21.438,17.301,17.616,57278.74348533
