market,time,open,high,low,close,volume
VANRY-EUR,1741132800000,0.030347,0.032056,0.029757,0.031019,3766612.86560423
VANRY-EUR,1741046400000,0.032563,0.032851,0.027714,0.030238,7292191.91369262
VANRY-EUR,1740960000000,0.039808,0.040387,0.032407,0.033225,3071771.466571
VANRY-EUR,1740873600000,0.03755,0.040775,0.036358,0.040502,3958232.97060504
VANRY-EUR,1740787200000,0.03911,0.039904,0.036179,0.037439,1153675.24327357
VANRY-EUR,1740700800000,0.039305,0.040858,0.036638,0.039989,2750687.95413426
VANRY-EUR,1740614400000,0.03825,0.039644,0.037743,0.039307,9601884.63472725
VANRY-EUR,1740528000000,0.037035,0.038688,0.035812,0.038242,2105481.53386172
VANRY-EUR,1740441600000,0.035242,0.037511,0.0323,0.037098,5655782.20103092
VANRY-EUR,1740355200000,0.041691,0.041691,0.034541,0.035114,3811000.71284554
VANRY-EUR,1740268800000,0.043702,0.043861,0.041278,0.04222,1630443.63989116
VANRY-EUR,1740182400000,0.040893,0.044278,0.04076,0.043787,1141285.78537086
VANRY-EUR,1740096000000,0.044496,0.045549,0.040383,0.040988,4465733.67543619
VANRY-EUR,1740009600000,0.040139,0.045286,0.039947,0.044137,12062291.24875281
VANRY-EUR,1739923200000,0.039188,0.040778,0.038586,0.039974,2192915.27572483
VANRY-EUR,1739836800000,0.042066,0.042146,0.037425,0.038946,4307742.49919074
VANRY-EUR,1739750400000,0.043648,0.044729,0.040968,0.042235,809831.07951695
VANRY-EUR,1739664000000,0.044074,0.045069,0.042941,0.043565,738623.83434112
VANRY-EUR,1739577600000,0.046164,0.04657,0.043717,0.043907,474832.29939379
VANRY-EUR,1739491200000,0.045547,0.047839,0.045175,0.046648,3047506.35260257
VANRY-EUR,1739404800000,0.047371,0.047732,0.044657,0.045699,2534661.29356388
VANRY-EUR,1739318400000,0.044469,0.047914,0.043144,0.047304,3515805.83731403
VANRY-EUR,1739232000000,0.045031,0.048521,0.043067,0.044404,2485180.65932924
VANRY-EUR,1739145600000,0.043167,0.045874,0.042083,0.045088,1950741.64855617
VANRY-EUR,1739059200000,0.043175,0.044779,0.040473,0.042712,1060792.08665025
VANRY-EUR,1738972800000,0.041383,0.044492,0.041185,0.043562,2415295.68451951
VANRY-EUR,1738886400000,0.0416,0.045101,0.039523,0.041317,4143966.90515861
VANRY-EUR,1738800000000,0.044882,0.045399,0.0407,0.040926,3224288.42681273
VANRY-EUR,1738713600000,0.04608,0.047187,0.043775,0.044943,3950510.83648622
VANRY-EUR,1738627200000,0.051127,0.051127,0.044249,0.046236,4296529.34084517
VANRY-EUR,1738540800000,0.050764,0.052332,0.036,0.05064,12808999.06227864
VANRY-EUR,1738454400000,0.0611,0.061927,0.048479,0.05129,8318727.91454832
VANRY-EUR,1738368000000,0.069657,0.070656,0.060654,0.060993,2216428.0097142
VANRY-EUR,1738281600000,0.068606,0.074011,0.067307,0.070188,2856661.17256573
VANRY-EUR,1738195200000,0.065401,0.07078,0.065229,0.068494,2176030.34950465
VANRY-EUR,1738108800000,0.062644,0.069,0.062309,0.066016,1793702.16902274
VANRY-EUR,1738022400000,0.071488,0.071836,0.061707,0.062569,1774851.08615867
VANRY-EUR,1737936000000,0.074,0.074,0.065,0.071145,2287141.20881921
VANRY-EUR,1737849600000,0.073869,0.078982,0.073869,0.074007,1449844.55654479
VANRY-EUR,1737763200000,0.074402,0.076407,0.07225,0.0742,1367540.83393419
VANRY-EUR,1737676800000,0.080206,0.081354,0.0745,0.074928,1210763.71110344
VANRY-EUR,1737590400000,0.081406,0.082528,0.07725,0.080408,1588965.51843776
VANRY-EUR,1737504000000,0.086331,0.087161,0.081246,0.081246,837189.0373798
VANRY-EUR,1737417600000,0.082113,0.087328,0.077216,0.08557,2406896.48993248
VANRY-EUR,1737331200000,0.086508,0.094684,0.080284,0.082581,7282331.35503112
VANRY-EUR,1737244800000,0.096507,0.099717,0.08625,0.087673,4623631.10924118
VANRY-EUR,1737158400000,0.10742,0.10827,0.094,0.096981,1422849.70831829
VANRY-EUR,1737072000000,0.0983,0.10833,0.098045,0.10717,1526490.95842998
VANRY-EUR,1736985600000,0.10283,0.10376,0.097341,0.097654,4004763.71917501
VANRY-EUR,1736899200000,0.09594,0.10343,0.092269,0.10336,963616.5652257
VANRY-EUR,1736812800000,0.092633,0.096631,0.092487,0.096229,812546.47824847
VANRY-EUR,1736726400000,0.09494,0.098089,0.084753,0.092381,3521415.38356281
VANRY-EUR,1736640000000,0.09796,0.097995,0.09391,0.094881,617859.72467739
VANRY-EUR,1736553600000,0.10004,0.10139,0.09589,0.09841,353915.27997194
VANRY-EUR,1736467200000,0.094369,0.10196,0.094195,0.10123,1193662.42504488
VANRY-EUR,1736380800000,0.099091,0.10032,0.091171,0.0943,2402454.60943268
VANRY-EUR,1736294400000,0.11028,0.11054,0.093837,0.098901,2807315.56313627
VANRY-EUR,1736208000000,0.12506,0.12506,0.10962,0.11003,2593874.08223898
VANRY-EUR,1736121600000,0.127,0.12986,0.12229,0.12546,1073237.82268551
VANRY-EUR,1736035200000,0.12902,0.12958,0.12348,0.12716,1320658.33312254
VANRY-EUR,1735948800000,0.12717,0.13091,0.12494,0.12957,1183667.5891531
VANRY-EUR,1735862400000,0.12181,0.129,0.11657,0.12636,1229137.85687583
VANRY-EUR,1735776000000,0.10719,0.12299,0.10719,0.1206,3379088.88376432
VANRY-EUR,1735689600000,0.10359,0.10729,0.10073,0.10681,1089972.90341503
VANRY-EUR,1735603200000,0.10164,0.10716,0.10044,0.10305,1348510.70926963
VANRY-EUR,1735516800000,0.10295,0.10799,0.10016,0.10393,1904607.05809178
VANRY-EUR,1735430400000,0.11053,0.11053,0.1025,0.1039,531459.19741854
VANRY-EUR,1735344000000,0.10776,0.1111,0.10431,0.11067,893171.22837203
VANRY-EUR,1735257600000,0.10736,0.115,0.10631,0.10724,1458526.08198576
VANRY-EUR,1735171200000,0.11482,0.11606,0.1058,0.10744,993728.27764705
VANRY-EUR,1735084800000,0.11601,0.11935,0.11287,0.11455,938303.61924675
VANRY-EUR,1734998400000,0.1125,0.11794,0.11,0.11607,1280136.49055043
VANRY-EUR,1734912000000,0.1032,0.11537,0.10195,0.11278,1700255.41247898
VANRY-EUR,1734825600000,0.10649,0.10803,0.10059,0.1037,2819946.37607668
VANRY-EUR,1734739200000,0.11155,0.11901,0.1038,0.10435,2451437.41368174
VANRY-EUR,1734652800000,0.10723,0.11419,0.090234,0.1115,5780567.76842505
VANRY-EUR,1734566400000,0.11916,0.12176,0.10235,0.10692,5763084.10782965
VANRY-EUR,1734480000000,0.13082,0.13246,0.11741,0.11995,2346900.96197713
VANRY-EUR,1734393600000,0.14,0.1405,0.12932,0.13074,2121922.79311212
VANRY-EUR,1734307200000,0.1509,0.15664,0.13851,0.13975,2033163.65020741
VANRY-EUR,1734220800000,0.13654,0.1512,0.133,0.14931,3606924.13035944
VANRY-EUR,1734134400000,0.14294,0.14776,0.13374,0.13693,1505357.71113049
VANRY-EUR,1734048000000,0.14762,0.1497,0.14083,0.14344,2169244.74086937
VANRY-EUR,1733961600000,0.14294,0.15676,0.1411,0.14678,3407453.01020625
VANRY-EUR,1733875200000,0.1325,0.14586,0.12633,0.14283,4673169.44296356
VANRY-EUR,1733788800000,0.13347,0.14499,0.11884,0.1317,6806848.26291927
VANRY-EUR,1733702400000,0.16025,0.16053,0.11379,0.13411,7015400.49080139
VANRY-EUR,1733616000000,0.15275,0.163,0.15162,0.16113,5000728.93051342
VANRY-EUR,1733529600000,0.16034,0.1622,0.15131,0.15281,5582437.32913644
VANRY-EUR,1733443200000,0.15761,0.16767,0.15598,0.16068,4099572.71949656
VANRY-EUR,1733356800000,0.16462,0.17544,0.15226,0.15786,6162204.83936934
VANRY-EUR,1733270400000,0.15858,0.17314,0.15626,0.16447,5411519.83218041
VANRY-EUR,1733184000000,0.14757,0.16,0.1425,0.15957,8182043.36289257
VANRY-EUR,1733097600000,0.13888,0.15251,0.13072,0.14746,14015071.84604637
VANRY-EUR,1733011200000,0.13711,0.14492,0.13376,0.13897,6561391.29440036
VANRY-EUR,1732924800000,0.12519,0.13898,0.124,0.13798,5962106.7098168
VANRY-EUR,1732838400000,0.1247,0.1283,0.12076,0.12595,3305662.86251125
VANRY-EUR,1732752000000,0.13286,0.13539,0.12199,0.1247,11945483.18002861
VANRY-EUR,1732665600000,0.12576,0.13577,0.12171,0.13297,2806545.47659475
VANRY-EUR,1732579200000,0.12089,0.14188,0.10948,0.12545,13585128.99590192
VANRY-EUR,1732492800000,0.12465,0.12587,0.11367,0.12115,4360297.45117679
VANRY-EUR,1732406400000,0.11368,0.12603,0.10584,0.12578,5558123.45549281
VANRY-EUR,1732320000000,0.10554,0.128,0.10293,0.11391,17420833.22990819
VANRY-EUR,1732233600000,0.09775,0.10805,0.092358,0.10655,6388832.15760642
VANRY-EUR,1732147200000,0.083354,0.10522,0.079578,0.097155,9819710.00235924
