market,time,open,high,low,close,volume
VELO-EUR,1741132800000,0.012915,0.014534,0.0129,0.014533,24449735.0480061
VELO-EUR,1741046400000,0.01416,0.014411,0.012647,0.013145,19142223.31579481
VELO-EUR,1740960000000,0.017335,0.017626,0.014195,0.014663,17411177.96376854
VELO-EUR,1740873600000,0.015701,0.0179,0.015123,0.017314,18861130.56839071
VELO-EUR,1740787200000,0.015693,0.0162,0.015173,0.015626,8229835.85107821
VELO-EUR,1740700800000,0.016503,0.016503,0.0139,0.0156,18841130.90625938
VELO-EUR,1740614400000,0.016785,0.01744,0.016097,0.01639,6811374.50120369
VELO-EUR,1740528000000,0.01708,0.017296,0.016,0.016705,11434561.67044009
VELO-EUR,1740441600000,0.01598,0.017462,0.01569,0.017191,23090214.42685493
VELO-EUR,1740355200000,0.018139,0.01815,0.015886,0.015951,16863281.47856866
VELO-EUR,1740268800000,0.018104,0.018326,0.017596,0.018153,19724662.91330433
VELO-EUR,1740182400000,0.017984,0.018868,0.017883,0.018016,15188132.48044421
VELO-EUR,1740096000000,0.018525,0.019252,0.016947,0.018038,27443619.16423158
VELO-EUR,1740009600000,0.017775,0.018513,0.016982,0.018506,11381383.0137394
VELO-EUR,1739923200000,0.017033,0.018085,0.016793,0.017792,11377761.97242419
VELO-EUR,1739836800000,0.018004,0.01932,0.016185,0.016982,33020493.50998305
VELO-EUR,1739750400000,0.017896,0.019114,0.017589,0.018184,14582106.73665025
VELO-EUR,1739664000000,0.019623,0.020071,0.017822,0.017896,14027421.39931367
VELO-EUR,1739577600000,0.018731,0.019915,0.018339,0.019523,8615732.9896308
VELO-EUR,1739491200000,0.01868,0.019859,0.018249,0.018708,16663086.0418886
VELO-EUR,1739404800000,0.01995,0.020254,0.018426,0.018719,10710421.50391231
VELO-EUR,1739318400000,0.019183,0.020139,0.017578,0.020049,16909153.96086073
VELO-EUR,1739232000000,0.0202,0.020819,0.018573,0.019068,21618648.05910728
VELO-EUR,1739145600000,0.0191,0.02082,0.018289,0.020075,17146597.05431681
VELO-EUR,1739059200000,0.02038,0.021384,0.018232,0.018982,34089675.90882034
VELO-EUR,1738972800000,0.017404,0.020711,0.017397,0.020417,28039106.87584672
VELO-EUR,1738886400000,0.016502,0.018941,0.016285,0.017545,30280126.39116609
VELO-EUR,1738800000000,0.016455,0.017583,0.016173,0.016418,16537510.1236538
VELO-EUR,1738713600000,0.017385,0.017744,0.015959,0.016261,9954662.46041573
VELO-EUR,1738627200000,0.018828,0.018948,0.016623,0.017258,19640132.32490569
VELO-EUR,1738540800000,0.017041,0.019325,0.0135,0.018925,40135954.83761056
VELO-EUR,1738454400000,0.01855,0.019137,0.01593,0.017033,27083657.23433767
VELO-EUR,1738368000000,0.020402,0.021181,0.018368,0.018626,13896295.81216308
VELO-EUR,1738281600000,0.022241,0.022594,0.019952,0.020525,17631281.29654701
VELO-EUR,1738195200000,0.020441,0.022724,0.02044,0.022043,17277522.24132643
VELO-EUR,1738108800000,0.019866,0.022221,0.019539,0.020536,30063028.22366682
VELO-EUR,1738022400000,0.021499,0.021995,0.019425,0.019994,31218092.70487649
VELO-EUR,1737936000000,0.021755,0.022076,0.018458,0.021333,57465729.3811793
VELO-EUR,1737849600000,0.023235,0.024265,0.021458,0.021746,13848865.76533906
VELO-EUR,1737763200000,0.022765,0.023646,0.022402,0.023281,13049599.02124388
VELO-EUR,1737676800000,0.023938,0.024501,0.0222,0.022818,17405291.96263569
VELO-EUR,1737590400000,0.023765,0.024951,0.022851,0.023747,23202443.30935805
VELO-EUR,1737504000000,0.025904,0.026915,0.023414,0.023768,31400179.13669119
VELO-EUR,1737417600000,0.025148,0.027861,0.023935,0.025823,34589886.41469634
VELO-EUR,1737331200000,0.023313,0.027285,0.023222,0.025129,61199652.87205794
VELO-EUR,1737244800000,0.026389,0.027016,0.02087,0.02362,107390419.79778877
VELO-EUR,1737158400000,0.031414,0.031705,0.024589,0.026233,115231765.1378245
VELO-EUR,1737072000000,0.03588,0.036067,0.0305,0.031414,49944466.53411074
VELO-EUR,1736985600000,0.035369,0.037829,0.034445,0.035896,34541379.99925401
VELO-EUR,1736899200000,0.033222,0.037722,0.032185,0.035136,43056694.89803702
VELO-EUR,1736812800000,0.0301,0.033982,0.029858,0.033064,30802147.98295505
VELO-EUR,1736726400000,0.030203,0.031399,0.027808,0.030143,36540289.08256438
VELO-EUR,1736640000000,0.030575,0.031734,0.029278,0.030216,21632495.74086569
VELO-EUR,1736553600000,0.029256,0.031587,0.028367,0.03048,27745376.70293177
VELO-EUR,1736467200000,0.027898,0.031,0.027681,0.029265,19229497.99427182
VELO-EUR,1736380800000,0.0304,0.031256,0.027795,0.027967,34048408.05466999
VELO-EUR,1736294400000,0.029816,0.030999,0.027064,0.030743,42883251.33259212
VELO-EUR,1736208000000,0.029935,0.032235,0.028401,0.029911,56800259.14008343
VELO-EUR,1736121600000,0.027819,0.031,0.02754,0.029991,23806648.3335665
VELO-EUR,1736035200000,0.029448,0.029889,0.027408,0.027741,15346164.9208343
VELO-EUR,1735948800000,0.030333,0.030385,0.027635,0.029302,23193801.85150874
VELO-EUR,1735862400000,0.029367,0.030866,0.028089,0.030538,27757841.05781771
VELO-EUR,1735776000000,0.026826,0.029742,0.02669,0.029367,24902279.77391858
VELO-EUR,1735689600000,0.02425,0.027699,0.023735,0.026823,25200153.43769928
VELO-EUR,1735603200000,0.024308,0.026056,0.023719,0.023998,15451618.20144194
VELO-EUR,1735516800000,0.025095,0.025651,0.022832,0.024147,20626088.97433208
VELO-EUR,1735430400000,0.026824,0.026824,0.02325,0.025387,25091387.44207855
VELO-EUR,1735344000000,0.024214,0.02778,0.023963,0.026387,44482269.99162189
VELO-EUR,1735257600000,0.028446,0.0291,0.023298,0.024271,50070557.57421602
VELO-EUR,1735171200000,0.031667,0.031739,0.028212,0.028497,25354163.42799474
VELO-EUR,1735084800000,0.028293,0.031657,0.028292,0.031577,34941939.03373896
VELO-EUR,1734998400000,0.026366,0.029499,0.025262,0.028428,27765581.90232845
VELO-EUR,1734912000000,0.022758,0.026791,0.02187,0.026415,40751670.80332966
VELO-EUR,1734825600000,0.022444,0.023767,0.021556,0.022612,15497897.30266284
VELO-EUR,1734739200000,0.023975,0.025734,0.021831,0.022525,25958586.72312197
VELO-EUR,1734652800000,0.024169,0.025636,0.019321,0.024035,53525725.89341697
VELO-EUR,1734566400000,0.027346,0.028307,0.023068,0.024125,42611527.68412531
VELO-EUR,1734480000000,0.030786,0.032226,0.026668,0.027406,51281588.93600288
VELO-EUR,1734393600000,0.027605,0.031957,0.027195,0.030714,67298848.22500733
VELO-EUR,1734307200000,0.031654,0.034207,0.026528,0.027659,120544933.23950744
VELO-EUR,1734220800000,0.025966,0.032312,0.025149,0.031536,75650935.1554831
VELO-EUR,1734134400000,0.0255,0.027395,0.024897,0.026218,27683041.05031499
VELO-EUR,1734048000000,0.023873,0.030499,0.02372,0.0255,60353881.95300168
VELO-EUR,1733961600000,0.024961,0.026946,0.02372,0.023721,39445422.33163511
VELO-EUR,1733875200000,0.023566,0.026257,0.022269,0.02493,27403396.33017616
VELO-EUR,1733788800000,0.025257,0.025602,0.021228,0.023496,39098864.1522849
VELO-EUR,1733702400000,0.027639,0.027763,0.021473,0.025352,76130723.8318664
VELO-EUR,1733616000000,0.027781,0.031381,0.026872,0.027523,68196376.07117009
VELO-EUR,1733529600000,0.029951,0.031286,0.026259,0.027579,66275504.66531243
VELO-EUR,1733443200000,0.021704,0.031,0.021569,0.030002,135782415.14729324
VELO-EUR,1733356800000,0.024389,0.025291,0.021569,0.021758,75606029.34387358
VELO-EUR,1733270400000,0.022154,0.02728,0.021596,0.02434,94444505.1767735
VELO-EUR,1733184000000,0.019511,0.024655,0.019016,0.022263,93477534.82461077
VELO-EUR,1733097600000,0.018604,0.021285,0.017082,0.01971,60554575.55580173
VELO-EUR,1733011200000,0.018149,0.019499,0.017392,0.018539,32913617.85384741
VELO-EUR,1732924800000,0.018157,0.01903,0.017501,0.018268,21829618.83355692
VELO-EUR,1732838400000,0.01687,0.018387,0.016253,0.018285,27494603.60341504
VELO-EUR,1732752000000,0.017056,0.0175,0.015797,0.016887,15052930.09982912
