market,time,open,high,low,close,volume
WLD-EUR,1741132800000,0.90612,0.9509,0.87592,0.89361,1135018.51837124
WLD-EUR,1741046400000,1.002,1.0063,0.82934,0.89467,1326162.93013347
WLD-EUR,1740960000000,1.1433,1.2038,0.9805,1.007,897382.01590316
WLD-EUR,1740873600000,1.0557,1.1752,1.03,1.1575,462925.82197127
WLD-EUR,1740787200000,1.0723,1.0839,1.03,1.0669,497841.1950859
WLD-EUR,1740700800000,1.1043,1.1063,0.97224,1.0718,998759.62777035
WLD-EUR,1740614400000,1.0616,1.1347,1.0501,1.1055,579871.9929533
WLD-EUR,1740528000000,1.0403,1.0805,0.99796,1.0584,459004.95292797
WLD-EUR,1740441600000,1.011,1.0577,0.92642,1.0371,1484259.77630373
WLD-EUR,1740355200000,1.1899,1.2008,0.97405,1.0069,1112655.91211905
WLD-EUR,1740268800000,1.2,1.2163,1.1553,1.1803,176119.02996631
WLD-EUR,1740182400000,1.1237,1.2323,1.1227,1.2014,535218.40634428
WLD-EUR,1740096000000,1.1487,1.263,1.1133,1.1285,1309510.07605431
WLD-EUR,1740009600000,1.0849,1.15,1.0814,1.1482,379665.39523852
WLD-EUR,1739923200000,1.0943,1.1122,1.066,1.0834,199399.08219896
WLD-EUR,1739836800000,1.1392,1.1489,1.031,1.087,538790.57670781
WLD-EUR,1739750400000,1.1619,1.2144,1.1182,1.1479,220051.35065001
WLD-EUR,1739664000000,1.1757,1.1973,1.1438,1.1597,85525.28513528
WLD-EUR,1739577600000,1.2355,1.2402,1.1631,1.1763,122498.25986395
WLD-EUR,1739491200000,1.1711,1.2771,1.1615,1.2363,375224.53130996
WLD-EUR,1739404800000,1.2361,1.2418,1.1605,1.1729,372578.78520631
WLD-EUR,1739318400000,1.2009,1.2524,1.1315,1.2332,697648.2297746
WLD-EUR,1739232000000,1.2251,1.3066,1.1816,1.2025,818032.82070058
WLD-EUR,1739145600000,1.1865,1.3366,1.1392,1.221,1114220.53155675
WLD-EUR,1739059200000,1.2062,1.2418,1.1184,1.1844,263297.4232476
WLD-EUR,1738972800000,1.1628,1.2224,1.1616,1.2098,164704.37890394
WLD-EUR,1738886400000,1.1714,1.2626,1.1164,1.1644,571067.72338837
WLD-EUR,1738800000000,1.2421,1.2798,1.1426,1.1586,351814.54489099
WLD-EUR,1738713600000,1.2742,1.31,1.2119,1.2393,404496.30131036
WLD-EUR,1738627200000,1.3843,1.3845,1.2117,1.2713,672223.06711826
WLD-EUR,1738540800000,1.3587,1.4035,0.95,1.3743,2069139.31832502
WLD-EUR,1738454400000,1.5554,1.5842,1.256,1.3588,809159.18099028
WLD-EUR,1738368000000,1.7102,1.7451,1.5428,1.5618,299057.21275547
WLD-EUR,1738281600000,1.7101,1.8092,1.6726,1.7093,349925.25806164
WLD-EUR,1738195200000,1.664,1.7941,1.64,1.6976,396825.38295882
WLD-EUR,1738108800000,1.5645,1.7542,1.5458,1.6552,530462.17114936
WLD-EUR,1738022400000,1.8283,1.8476,1.5575,1.5687,555246.66280846
WLD-EUR,1737936000000,1.896,1.9029,1.73,1.8196,1147454.79860147
WLD-EUR,1737849600000,1.9995,2.0177,1.8985,1.9048,340404.67613021
WLD-EUR,1737763200000,2.02,2.0795,1.9827,2,212893.8112637
WLD-EUR,1737676800000,2.1817,2.2197,2.0218,2.0289,749556.72828199
WLD-EUR,1737590400000,2.2117,2.25,2.0226,2.1777,1733706.56763083
WLD-EUR,1737504000000,2.0454,2.3678,1.9731,2.23,2960036.35636707
WLD-EUR,1737417600000,1.8236,2.2361,1.7281,2.0461,2005270.06644528
WLD-EUR,1737331200000,1.8541,2.0911,1.7777,1.8149,981807.04394749
WLD-EUR,1737244800000,2.0748,2.1442,1.8191,1.8571,759892.55111092
WLD-EUR,1737158400000,2.2372,2.3084,2.0305,2.0841,508750.30379156
WLD-EUR,1737072000000,2.091,2.2557,2.0906,2.2293,373792.24484104
WLD-EUR,1736985600000,2.147,2.182,2.0654,2.0846,314004.64033248
WLD-EUR,1736899200000,1.98,2.1507,1.9045,2.1474,359905.45903969
WLD-EUR,1736812800000,1.9232,1.9998,1.9003,1.986,360104.0431035
WLD-EUR,1736726400000,2.0894,2.1471,1.8032,1.9065,1480325.52580145
WLD-EUR,1736640000000,2.1261,2.1424,2.05,2.0911,203912.93618835
WLD-EUR,1736553600000,2.1206,2.1749,2.0724,2.1333,338130.17687214
WLD-EUR,1736467200000,2.0725,2.1376,2.0124,2.1154,377235.64918916
WLD-EUR,1736380800000,2.1309,2.1641,2.0177,2.0681,230031.31135435
WLD-EUR,1736294400000,2.2636,2.2833,2.015,2.1348,559086.93179659
WLD-EUR,1736208000000,2.5106,2.5778,2.2325,2.2517,987538.56910519
WLD-EUR,1736121600000,2.3397,2.6959,2.275,2.5247,1383174.2434771
WLD-EUR,1736035200000,2.3015,2.3503,2.2448,2.3387,302220.65015653
WLD-EUR,1735948800000,2.3465,2.3712,2.2729,2.3097,637964.20011876
WLD-EUR,1735862400000,2.2376,2.3548,2.1472,2.3365,331867.9312126
WLD-EUR,1735776000000,2.1345,2.2747,2.1345,2.2303,307903.22867605
WLD-EUR,1735689600000,2.0296,2.1639,2.0088,2.1496,187961.09250897
WLD-EUR,1735603200000,1.9841,2.0932,1.9387,2.0153,175644.12833256
WLD-EUR,1735516800000,2.015,2.1,1.9446,1.9922,207473.05147268
WLD-EUR,1735430400000,2.1359,2.1419,1.9977,2.0166,179086.43181481
WLD-EUR,1735344000000,2.1015,2.1535,2.046,2.1328,172033.06010713
WLD-EUR,1735257600000,2.106,2.2161,2.0756,2.0924,142113.1308552
WLD-EUR,1735171200000,2.208,2.2246,2.0646,2.0951,158351.86859045
WLD-EUR,1735084800000,2.2656,2.2946,2.1788,2.2102,235549.56078466
WLD-EUR,1734998400000,2.2344,2.3243,2.1614,2.2738,870923.42874872
WLD-EUR,1734912000000,2.1256,2.2702,2.0332,2.2273,1034886.69073501
WLD-EUR,1734825600000,2.0891,2.2151,2.0544,2.1291,485916.77912427
WLD-EUR,1734739200000,2.2661,2.4081,2.0671,2.0945,856874.53717151
WLD-EUR,1734652800000,2.1225,2.3026,1.8624,2.2743,1415571.42320885
WLD-EUR,1734566400000,2.3379,2.3663,2.0348,2.1135,758409.84254063
WLD-EUR,1734480000000,2.5876,2.6059,2.2865,2.3313,460855.9007239
WLD-EUR,1734393600000,2.7216,2.7713,2.5618,2.5795,554433.62812999
WLD-EUR,1734307200000,2.9014,2.9853,2.705,2.7211,819175.8364764
WLD-EUR,1734220800000,2.7723,2.9461,2.7338,2.8828,239934.76193321
WLD-EUR,1734134400000,2.925,2.9613,2.705,2.7781,561285.27767028
WLD-EUR,1734048000000,2.9406,2.982,2.85,2.9437,527100.74958406
WLD-EUR,1733961600000,2.9737,3.1946,2.85,2.9335,987814.61936264
WLD-EUR,1733875200000,2.7021,3.0077,2.5796,2.981,1234158.66237311
WLD-EUR,1733788800000,2.7738,2.887,2.4588,2.6925,1389753.98798987
WLD-EUR,1733702400000,3.5802,3.5828,2.3585,2.7829,1120362.15448893
WLD-EUR,1733616000000,3.5645,3.6143,3.451,3.6063,251366.19533342
WLD-EUR,1733529600000,3.705,3.7298,3.5455,3.5617,295782.02723054
WLD-EUR,1733443200000,3.5077,3.9557,3.45,3.71,1149155.96468836
WLD-EUR,1733356800000,3.1151,3.8687,2.98,3.521,2358348.81753619
WLD-EUR,1733270400000,3.1455,3.3177,3,3.1333,895350.15131353
WLD-EUR,1733184000000,3.1164,3.3111,2.814,3.141,1944850.43878497
WLD-EUR,1733097600000,3.2253,3.2253,2.9245,3.1291,858349.63669618
WLD-EUR,1733011200000,3.4286,3.4543,3.0841,3.2243,2075060.72881473
