market,time,open,high,low,close,volume
XAI-EUR,1741132800000,0.071901,0.073553,0.06999,0.071091,500479.638
XAI-EUR,1741046400000,0.074676,0.075451,0.066115,0.071541,765669.717
XAI-EUR,1740960000000,0.089763,0.091748,0.073,0.075265,942261.896
XAI-EUR,1740873600000,0.081639,0.09287,0.080378,0.090436,833730.574
XAI-EUR,1740787200000,0.084953,0.084953,0.080256,0.082208,559789.065
XAI-EUR,1740700800000,0.085033,0.0866,0.077935,0.085998,899412.635
XAI-EUR,1740614400000,0.0847,0.087624,0.082432,0.084607,3498394.297
XAI-EUR,1740528000000,0.081752,0.0861,0.07963,0.085032,559929.769
XAI-EUR,1740441600000,0.079342,0.083169,0.072,0.082275,811572.073
XAI-EUR,1740355200000,0.096117,0.096117,0.0765,0.079119,650065.066
XAI-EUR,1740268800000,0.098721,0.098939,0.094139,0.096151,147584.091
XAI-EUR,1740182400000,0.092223,0.099011,0.092223,0.098412,98969.681
XAI-EUR,1740096000000,0.096002,0.10229,0.091157,0.091288,305404.78
XAI-EUR,1740009600000,0.09448,0.09674,0.093002,0.096365,411548.727
XAI-EUR,1739923200000,0.091199,0.0952,0.090266,0.09327,259347.239
XAI-EUR,1739836800000,0.097995,0.099657,0.08713,0.091707,737462.958
XAI-EUR,1739750400000,0.09954,0.10378,0.095001,0.09831,142176.655
XAI-EUR,1739664000000,0.10038,0.10217,0.09777,0.099151,401718.058
XAI-EUR,1739577600000,0.10239,0.10313,0.0985,0.10049,407913.232
XAI-EUR,1739491200000,0.10392,0.10793,0.1022,0.10487,472224.397
XAI-EUR,1739404800000,0.10791,0.10953,0.10205,0.10346,323988.841
XAI-EUR,1739318400000,0.10104,0.11031,0.095647,0.10728,905571.273
XAI-EUR,1739232000000,0.10293,0.10938,0.098508,0.099489,858781.392
XAI-EUR,1739145600000,0.09894,0.10394,0.095361,0.10256,279142.851
XAI-EUR,1739059200000,0.10176,0.10379,0.093552,0.09902,945586.777
XAI-EUR,1738972800000,0.097139,0.1026,0.094262,0.10217,685993.266
XAI-EUR,1738886400000,0.096616,0.10443,0.091354,0.095316,589082.444
XAI-EUR,1738800000000,0.10371,0.10473,0.094494,0.096559,419864.671
XAI-EUR,1738713600000,0.10478,0.10804,0.10095,0.102,1104003.042
XAI-EUR,1738627200000,0.11254,0.11254,0.099545,0.10378,1121127.63
XAI-EUR,1738540800000,0.1112,0.11796,0.084246,0.11423,2794891.361
XAI-EUR,1738454400000,0.13674,0.14015,0.10624,0.11417,1101871.895
XAI-EUR,1738368000000,0.15517,0.15799,0.13552,0.13755,585284.934
XAI-EUR,1738281600000,0.15569,0.16536,0.15337,0.15589,830033.689
XAI-EUR,1738195200000,0.14949,0.15996,0.14949,0.156,226681.779
XAI-EUR,1738108800000,0.14343,0.15689,0.14343,0.15107,750610.739
XAI-EUR,1738022400000,0.16257,0.1645,0.14187,0.14405,695886.885
XAI-EUR,1737936000000,0.168,0.16836,0.14578,0.16285,525458.442
XAI-EUR,1737849600000,0.176,0.17867,0.16922,0.16933,234218.469
XAI-EUR,1737763200000,0.17186,0.17573,0.16591,0.1744,381147.599
XAI-EUR,1737676800000,0.18058,0.184,0.17133,0.17252,225386.403
XAI-EUR,1737590400000,0.18264,0.18486,0.17406,0.18215,497730.044
XAI-EUR,1737504000000,0.18829,0.19058,0.18208,0.18293,300746.663
XAI-EUR,1737417600000,0.18163,0.19184,0.17352,0.18874,596530.995
XAI-EUR,1737331200000,0.18469,0.20663,0.175,0.18429,1447385.832
XAI-EUR,1737244800000,0.20433,0.21306,0.18467,0.18769,1209111.801
XAI-EUR,1737158400000,0.22822,0.23014,0.2,0.20514,256176.307
XAI-EUR,1737072000000,0.2073,0.23257,0.20671,0.2284,268566.774
XAI-EUR,1736985600000,0.21709,0.21709,0.20223,0.20621,894256.049
XAI-EUR,1736899200000,0.20109,0.2159,0.19221,0.21547,845732.704
XAI-EUR,1736812800000,0.19109,0.20215,0.18948,0.20022,762276.059
XAI-EUR,1736726400000,0.20171,0.20686,0.17638,0.18957,1798963.66
XAI-EUR,1736640000000,0.20665,0.20665,0.19906,0.20259,398296.073
XAI-EUR,1736553600000,0.21065,0.21095,0.20224,0.20871,558560.651
XAI-EUR,1736467200000,0.20204,0.21395,0.20099,0.2091,334279.031
XAI-EUR,1736380800000,0.20982,0.21253,0.19444,0.20016,342320.789
XAI-EUR,1736294400000,0.22325,0.22608,0.19784,0.20992,496106.041
XAI-EUR,1736208000000,0.25591,0.25736,0.22297,0.22297,445153.417
XAI-EUR,1736121600000,0.25686,0.26347,0.2494,0.25749,315877.474
XAI-EUR,1736035200000,0.25734,0.25753,0.24804,0.25671,233825.27
XAI-EUR,1735948800000,0.25985,0.264,0.25294,0.25705,215342.498
XAI-EUR,1735862400000,0.24625,0.26296,0.23832,0.25912,404552.572
XAI-EUR,1735776000000,0.22268,0.25977,0.22268,0.24491,1166669.255
XAI-EUR,1735689600000,0.21809,0.22512,0.21,0.2235,214058.831
XAI-EUR,1735603200000,0.21935,0.22824,0.21266,0.21691,203562.928
XAI-EUR,1735516800000,0.2214,0.22741,0.21351,0.22056,217307.217
XAI-EUR,1735430400000,0.23267,0.23267,0.21813,0.2203,195949.269
XAI-EUR,1735344000000,0.22613,0.2366,0.22137,0.23515,185088.583
XAI-EUR,1735257600000,0.22283,0.24292,0.22099,0.22611,244388.712
XAI-EUR,1735171200000,0.2407,0.2407,0.21894,0.22124,279465.637
XAI-EUR,1735084800000,0.24574,0.25069,0.23624,0.24091,236387.496
XAI-EUR,1734998400000,0.23859,0.2506,0.23217,0.24711,249377.976
XAI-EUR,1734912000000,0.21674,0.24236,0.21178,0.23746,339959.557
XAI-EUR,1734825600000,0.22317,0.22835,0.21214,0.21785,147637.921
XAI-EUR,1734739200000,0.23372,0.25629,0.2196,0.2234,219740.016
XAI-EUR,1734652800000,0.22561,0.23763,0.19425,0.23435,1059472.567
XAI-EUR,1734566400000,0.25145,0.25791,0.21942,0.22821,955947.635
XAI-EUR,1734480000000,0.28289,0.28293,0.24528,0.25517,439032.774
XAI-EUR,1734393600000,0.30776,0.30776,0.27884,0.28236,473110.792
XAI-EUR,1734307200000,0.31428,0.32243,0.29445,0.30825,235516.643
XAI-EUR,1734220800000,0.30244,0.31802,0.2926,0.31596,302034.619
XAI-EUR,1734134400000,0.31776,0.32393,0.29462,0.30429,239021.433
XAI-EUR,1734048000000,0.3213,0.3236,0.31,0.31678,440114.558
XAI-EUR,1733961600000,0.32286,0.3427,0.31649,0.32187,515199.209
XAI-EUR,1733875200000,0.29,0.32718,0.28431,0.32297,771473.136
XAI-EUR,1733788800000,0.3,0.31437,0.26693,0.29724,1034586.772
XAI-EUR,1733702400000,0.38403,0.38403,0.25,0.30527,1515341.681
XAI-EUR,1733616000000,0.384,0.3883,0.36891,0.38563,378245.41
XAI-EUR,1733529600000,0.39584,0.40016,0.3823,0.38562,338786.849
