market,time,open,high,low,close,volume
XDC-EUR,1741132800000,0.070447,0.072132,0.068592,0.070322,6022834.01536749
XDC-EUR,1741046400000,0.072672,0.072924,0.067458,0.070666,7539853.2631065
XDC-EUR,1740960000000,0.078204,0.080707,0.070901,0.072674,5636423.36690748
XDC-EUR,1740873600000,0.0784,0.085725,0.077117,0.080317,7915068.59286809
XDC-EUR,1740787200000,0.07767,0.079498,0.076528,0.077334,4325502.02077232
XDC-EUR,1740700800000,0.078337,0.079282,0.072,0.077321,8784521.11168947
XDC-EUR,1740614400000,0.077866,0.079803,0.075903,0.078205,6937384.81270028
XDC-EUR,1740528000000,0.075327,0.089424,0.075279,0.077664,23363848.87456405
XDC-EUR,1740441600000,0.075217,0.075327,0.069471,0.075252,7552083.67108931
XDC-EUR,1740355200000,0.081051,0.081394,0.075241,0.075372,3868150.8948115
XDC-EUR,1740268800000,0.082785,0.083571,0.07937,0.081248,1832026.57651621
XDC-EUR,1740182400000,0.081656,0.083463,0.081504,0.083207,1788367.28217431
XDC-EUR,1740096000000,0.085499,0.085829,0.080341,0.081656,4338874.58382299
XDC-EUR,1740009600000,0.086123,0.08646,0.083937,0.085077,2017443.26880772
XDC-EUR,1739923200000,0.086527,0.087404,0.083803,0.086295,1283376.67801407
XDC-EUR,1739836800000,0.089857,0.091231,0.083747,0.086444,4144630.98661242
XDC-EUR,1739750400000,0.093923,0.094714,0.0895,0.089852,3355711.67373779
XDC-EUR,1739664000000,0.095049,0.096071,0.092511,0.09373,2053165.89718697
XDC-EUR,1739577600000,0.09441,0.099047,0.092901,0.094985,4277862.97259169
XDC-EUR,1739491200000,0.090461,0.095402,0.088397,0.094485,9588819.32206457
XDC-EUR,1739404800000,0.090197,0.092788,0.088317,0.090319,4776810.95242234
XDC-EUR,1739318400000,0.087521,0.091171,0.086371,0.090024,2530111.81188935
XDC-EUR,1739232000000,0.086635,0.09536,0.085515,0.087291,23674215.54892879
XDC-EUR,1739145600000,0.086698,0.090886,0.08205,0.086104,18180530.20795948
XDC-EUR,1739059200000,0.085858,0.091172,0.085858,0.086522,6436314.90471992
XDC-EUR,1738972800000,0.089533,0.091636,0.084353,0.085858,3046049.34943736
XDC-EUR,1738886400000,0.0846,0.090646,0.083712,0.089277,3167271.05611958
XDC-EUR,1738800000000,0.086396,0.090063,0.081685,0.084525,3648752.27485505
XDC-EUR,1738713600000,0.090648,0.0975,0.08216,0.086341,17796863.98407905
XDC-EUR,1738627200000,0.098134,0.10064,0.087317,0.090609,15568189.30807282
XDC-EUR,1738540800000,0.092805,0.099247,0.060017,0.097145,23671397.19230906
XDC-EUR,1738454400000,0.09808,0.10564,0.085,0.09246,14085445.70574166
XDC-EUR,1738368000000,0.10348,0.10408,0.096423,0.098096,3779438.95611699
XDC-EUR,1738281600000,0.10656,0.1101,0.10181,0.10414,3429509.73687561
