market,time,open,high,low,close,volume
XLM-USDC,1741132800000,0.29392,0.30859,0.29237,0.30134,34628.7870203
XLM-USDC,1741046400000,0.28331,0.30112,0.27968,0.29519,68601.2640337
XLM-USDC,1740960000000,0.33389,0.36045,0.2916,0.2916,155233.2851655
XLM-USDC,1740873600000,0.31169,0.37031,0.31169,0.35123,161476.4040916
XLM-USDC,1740787200000,0.3045,0.31751,0.28392,0.30461,84876.7133625
XLM-USDC,1740700800000,0.26862,0.28646,0.25364,0.28646,37629.303433
XLM-USDC,1740614400000,0.28333,0.29164,0.27838,0.28224,81145.115556
XLM-USDC,1740528000000,0.29452,0.29871,0.28076,0.28993,46847.9259046
XLM-USDC,1740441600000,0.29721,0.30321,0.27166,0.29668,93350.0591063
XLM-USDC,1740355200000,0.3342,0.33466,0.2968,0.2968,87258.7405562
XLM-USDC,1740268800000,0.33412,0.33539,0.3272,0.33257,15701.5652126
XLM-USDC,1740182400000,0.32761,0.33913,0.32686,0.33425,37673.025
XLM-USDC,1740096000000,0.33875,0.34573,0.32158,0.32624,25162.5631276
XLM-USDC,1740009600000,0.34045,0.34932,0.33731,0.34562,39818.3791292
XLM-USDC,1739923200000,0.32862,0.33951,0.32617,0.33951,41909.8034394
XLM-USDC,1739836800000,0.32554,0.32944,0.31863,0.32177,11673.1949128
XLM-USDC,1739750400000,0.34568,0.34568,0.33568,0.33806,5222.710545
XLM-USDC,1739664000000,0.34772,0.35119,0.34233,0.34233,9853.0116112
XLM-USDC,1739577600000,0.35749,0.36315,0.34727,0.34727,28463.4998885
XLM-USDC,1739491200000,0.33934,0.35953,0.33934,0.35048,29404.4181177
XLM-USDC,1739404800000,0.33199,0.33861,0.32587,0.33861,9056.3988204
XLM-USDC,1739318400000,0.31703,0.33178,0.31164,0.33178,34524.475169
XLM-USDC,1739232000000,0.32025,0.33701,0.31739,0.31739,97317.5941323
XLM-USDC,1739145600000,0.31903,0.31903,0.31215,0.31564,7231.4853969
XLM-USDC,1739059200000,0.33536,0.33536,0.31633,0.31633,8539.4780025
XLM-USDC,1738972800000,0.32887,0.33379,0.32121,0.33379,16043.0637878
XLM-USDC,1738886400000,0.32441,0.34353,0.31963,0.32739,20431.4155592
XLM-USDC,1738800000000,0.33485,0.33725,0.31566,0.32132,33366.6189481
XLM-USDC,1738713600000,0.34377,0.34522,0.32526,0.32526,9784.7556792
XLM-USDC,1738627200000,0.36755,0.37091,0.3349,0.34062,37081.2317627
XLM-USDC,1738540800000,0.3274,0.37066,0.26975,0.3689,222914.2907771
XLM-USDC,1738454400000,0.39715,0.40038,0.33978,0.34171,13575.4186293
