market,time,open,high,low,close,volume
XRP-EUR,1741219200000,2.3162,2.3208,2.3142,2.3207,31722.641171
XRP-EUR,1741132800000,2.2604,2.397,2.251,2.3216,23163500.21529
XRP-EUR,1741046400000,2.2973,2.45,2.1114,2.3724,56071917.79250999
XRP-EUR,1740960000000,2.7598,2.8515,2.19,2.2897,64822774.597869
XRP-EUR,1740873600000,2.1153,2.9,2.0987,2.8216,70662924.42773798
XRP-EUR,1740787200000,2.1098,2.1414,2.0445,2.0951,13644694.852939
XRP-EUR,1740700800000,2.1139,2.1155,1.872,2.0675,46534606.51278001
XRP-EUR,1740614400000,2.0952,2.1534,2.06,2.1132,22410582.650245
XRP-EUR,1740528000000,2.208,2.2179,2.0484,2.0938,34650562.71767899
XRP-EUR,1740441600000,2.1785,2.251,1.9269,2.2071,77710677.20456502
XRP-EUR,1740355200000,2.4605,2.4938,2.1294,2.1782,33924097.47123901
XRP-EUR,1740268800000,2.4624,2.4884,2.4101,2.4594,7897338.508795
XRP-EUR,1740182400000,2.4607,2.4957,2.4412,2.4621,6226772.268061
XRP-EUR,1740096000000,2.56,2.5942,2.3968,2.4595,24363195.914354
XRP-EUR,1740009600000,2.6278,2.6368,2.5,2.5599,15510259.764344
XRP-EUR,1739923200000,2.4508,2.6341,2.4033,2.6264,19739843.818031
XRP-EUR,1739836800000,2.5383,2.5514,2.3634,2.4518,23919013.919755
XRP-EUR,1739750400000,2.6045,2.6341,2.485,2.5387,21436975.820208
XRP-EUR,1739664000000,2.6376,2.6762,2.5664,2.6035,10358266.332566
XRP-EUR,1739577600000,2.6106,2.7013,2.5894,2.6357,13817929.601431
XRP-EUR,1739491200000,2.4478,2.7,2.42,2.6122,37893771.60548701
XRP-EUR,1739404800000,2.3805,2.491,2.3222,2.4473,18943718.471713
XRP-EUR,1739318400000,2.3255,2.4029,2.2593,2.3799,21059847.549269
XRP-EUR,1739232000000,2.353,2.454,2.2859,2.3299,22702798.13201801
XRP-EUR,1739145600000,2.3222,2.3972,2.2564,2.3525,14637912.233293
XRP-EUR,1739059200000,2.3474,2.4324,2.2456,2.3221,19296070.00693601
XRP-EUR,1738972800000,2.3242,2.3633,2.2793,2.3462,9799262.229697
XRP-EUR,1738886400000,2.2414,2.4537,2.1807,2.324,34939691.096505
XRP-EUR,1738800000000,2.2911,2.3865,2.195,2.242,28902607.834844
XRP-EUR,1738713600000,2.4387,2.472,2.2484,2.2911,32265066.796792
XRP-EUR,1738627200000,2.6207,2.7077,2.312,2.4387,44894324.466832
XRP-EUR,1738540800000,2.5196,2.73,1.7127,2.6206,116905421.008846
XRP-EUR,1738454400000,2.7839,2.86,2.4124,2.5192,62940158.09213305
XRP-EUR,1738368000000,2.9297,2.9664,2.7343,2.7839,14281845.786314
XRP-EUR,1738281600000,3.0066,3.0114,2.8929,2.9308,11957830.18101
XRP-EUR,1738195200000,2.945,3.0336,2.9225,3.006,12995064.345969
XRP-EUR,1738108800000,2.9316,3.0095,2.8535,2.9437,21367143.515008
XRP-EUR,1738022400000,2.9288,3.0797,2.8766,2.9326,25670603.101675
XRP-EUR,1737936000000,2.8889,2.9292,2.5025,2.9292,61019734.08082405
XRP-EUR,1737849600000,2.9655,3.005,2.8777,2.8907,8088627.462893
XRP-EUR,1737763200000,2.955,3.0011,2.9368,2.9648,6955585.035883
XRP-EUR,1737676800000,2.9974,3.0575,2.9262,2.9576,13628545.977316
XRP-EUR,1737590400000,3.0569,3.0635,2.92,2.9964,20877667.21722799
XRP-EUR,1737504000000,3.0501,3.15,3.0043,3.0556,20166925.988309
XRP-EUR,1737417600000,2.9786,3.1115,2.905,3.0503,20403862.036854
XRP-EUR,1737331200000,2.8799,3.2442,2.8328,2.9807,50693983.6284501
XRP-EUR,1737244800000,3.1726,3.1791,2.775,2.8783,44782453.12909801
XRP-EUR,1737158400000,3.1985,3.2029,2.967,3.172,35662532.147834
XRP-EUR,1737072000000,3.1486,3.2548,3.0809,3.1969,37790863.132751
XRP-EUR,1736985600000,3.0495,3.3,2.8292,3.1447,86858669.3813761
XRP-EUR,1736899200000,2.5889,3.1057,2.5727,3.0494,82671189.197832
XRP-EUR,1736812800000,2.4585,2.6226,2.4509,2.5895,30949135.58671701
XRP-EUR,1736726400000,2.444,2.5,2.283,2.4591,34885037.226733
XRP-EUR,1736640000000,2.5109,2.5174,2.4054,2.4438,18293437.55695299
XRP-EUR,1736553600000,2.2874,2.5395,2.2678,2.5116,35343676.46898399
XRP-EUR,1736467200000,2.2092,2.315,2.1948,2.2869,18588937.979343
XRP-EUR,1736380800000,2.3044,2.324,2.1686,2.2097,23222914.25117001
XRP-EUR,1736294400000,2.1988,2.3292,2.1373,2.3046,35921364.47251
XRP-EUR,1736208000000,2.3316,2.3659,2.1807,2.1989,31417335.25846601
XRP-EUR,1736121600000,2.3287,2.3667,2.2823,2.3316,15093990.273231
XRP-EUR,1736035200000,2.3483,2.356,2.2556,2.3282,18245398.470638
XRP-EUR,1735948800000,2.3808,2.4323,2.3282,2.3485,15412180.146105
XRP-EUR,1735862400000,2.3388,2.41,2.331,2.3804,24433547.34995005
XRP-EUR,1735776000000,2.2487,2.3749,2.2461,2.3376,29424310.91531903
XRP-EUR,1735689600000,2.0068,2.2694,2.0061,2.2487,33685495.75727555
XRP-EUR,1735603200000,1.9751,2.0694,1.9317,2.0077,18002561.12398913
XRP-EUR,1735516800000,2.0046,2.06,1.9179,1.975,29412672.70425416
XRP-EUR,1735430400000,2.0908,2.105,1.982,2.0044,14763709.29150013
XRP-EUR,1735344000000,2.0576,2.113,2.0464,2.091,8940892.28426998
XRP-EUR,1735257600000,2.0688,2.15,2.0266,2.058,16995317.75710006
XRP-EUR,1735171200000,2.2086,2.2267,2.0436,2.0686,18984701.99678375
XRP-EUR,1735084800000,2.2339,2.2431,2.175,2.208,10289014.56885201
XRP-EUR,1734998400000,2.1726,2.2612,2.1259,2.2346,22809885.02582294
XRP-EUR,1734912000000,2.1108,2.1894,2.04,2.1729,20918569.76973787
XRP-EUR,1734825600000,2.1507,2.21,2.0706,2.1107,20976575.260296
XRP-EUR,1734739200000,2.1883,2.3069,2.1035,2.1507,27339468.48212392
XRP-EUR,1734652800000,2.1603,2.2725,1.8764,2.1882,79745708.39374818
XRP-EUR,1734566400000,2.2339,2.3357,2.0629,2.1605,50460338.39263745
XRP-EUR,1734480000000,2.4472,2.47,2.1532,2.2348,41631233.88677339
XRP-EUR,1734393600000,2.361,2.5987,2.32,2.447,54834372.4292225
XRP-EUR,1734307200000,2.322,2.46,2.2253,2.3606,43686476.28015918
XRP-EUR,1734220800000,2.2855,2.3451,2.2507,2.3213,17125300.56235518
XRP-EUR,1734134400000,2.3061,2.4078,2.2419,2.2839,21117366.65523007
XRP-EUR,1734048000000,2.2318,2.3608,2.1827,2.3081,29135470.97023505
XRP-EUR,1733961600000,2.2785,2.3632,2.2025,2.231,28750096.5652958
XRP-EUR,1733875200000,2.2516,2.3563,2.1207,2.278,42254296.93621277
XRP-EUR,1733788800000,2.0984,2.304,1.8,2.2551,122120109.73812264
XRP-EUR,1733702400000,2.4622,2.4671,1.812,2.1,76852436.0884333
XRP-EUR,1733616000000,2.4675,2.5,2.3521,2.4622,28495346.88819541
XRP-EUR,1733529600000,2.2973,2.4788,2.2596,2.4669,34600497.35631214
XRP-EUR,1733443200000,2.1229,2.3483,2.1053,2.2965,43547414.18599374
XRP-EUR,1733356800000,2.2424,2.3839,2.0683,2.124,68578674.48126839
XRP-EUR,1733270400000,2.3906,2.5564,2.1332,2.2426,76677034.95877163
XRP-EUR,1733184000000,2.5943,2.775,2.1285,2.3884,120458217.78138824
XRP-EUR,1733097600000,2.1782,2.7422,2.0501,2.5953,183916532.34577805
XRP-EUR,1733011200000,1.8447,2.247,1.7469,2.1766,101593531.2960263
XRP-EUR,1732924800000,1.7024,1.85,1.6666,1.8451,74501212.81685159
XRP-EUR,1732838400000,1.4604,1.7163,1.428,1.7029,92260325.24942198
XRP-EUR,1732752000000,1.3927,1.4642,1.35,1.4601,34223437.00392732
XRP-EUR,1732665600000,1.3312,1.4428,1.2903,1.3937,41464763.2390895
XRP-EUR,1732579200000,1.3521,1.3944,1.17,1.3336,61719782.88740373
XRP-EUR,1732492800000,1.3677,1.4739,1.275,1.3528,61852270.36319192
XRP-EUR,1732406400000,1.4012,1.4441,1.2,1.3659,76382597.75816669
XRP-EUR,1732320000000,1.4105,1.56,1.355,1.4015,88529667.86410935
XRP-EUR,1732233600000,1.186,1.45,1.185,1.4109,140312570.182273
XRP-EUR,1732147200000,1.0451,1.2,1.0221,1.186,82995634.5897827
XRP-EUR,1732060800000,1.0389,1.0908,1,1.0453,41621631.94247505
XRP-EUR,1731974400000,1.0521,1.0843,1.01,1.0385,41003446.12923468
XRP-EUR,1731888000000,0.9981,1.14,0.99806,1.0522,63992085.26429739
XRP-EUR,1731801600000,1.0593,1.0957,0.9456,0.9981,82186992.96677148
XRP-EUR,1731715200000,0.84453,1.2,0.83103,1.0591,185658107.8334698
XRP-EUR,1731628800000,0.73471,0.88,0.73218,0.84452,119832095.58374737
XRP-EUR,1731542400000,0.65127,0.80498,0.64435,0.73471,121241423.17371227
XRP-EUR,1731456000000,0.66005,0.70449,0.602,0.65164,72460021.26608452
XRP-EUR,1731369600000,0.57716,0.6953,0.55,0.66006,118160011.56091453
