market,time,open,high,low,close,volume
XTZ-EUR,1741132800000,0.696,0.72,0.69308,0.703,10247.881723
XTZ-EUR,1741046400000,0.70534,0.71049,0.65,0.66636,46893.150405
XTZ-EUR,1740960000000,0.705,0.83109,0.7,0.7135,26389.076476
XTZ-EUR,1740873600000,0.73366,0.82818,0.72899,0.73134,37984.197755
XTZ-EUR,1740787200000,0.73858,0.74389,0.71632,0.72395,42037.544449
XTZ-EUR,1740700800000,0.73388,0.745,0.67,0.74063,76110.347347
XTZ-EUR,1740614400000,0.72736,0.7493,0.71232,0.72959,24209.25693
XTZ-EUR,1740528000000,0.7403,0.75099,0.71097,0.73438,31992.078023
XTZ-EUR,1740441600000,0.74077,0.75319,0.69253,0.73809,77960.310422
XTZ-EUR,1740355200000,0.82816,0.82816,0.73629,0.73842,65979.952899
XTZ-EUR,1740268800000,0.85632,0.85691,0.82209,0.82468,15882.964196
XTZ-EUR,1740182400000,0.83213,0.85854,0.83213,0.85235,12098.547448
XTZ-EUR,1740096000000,0.85419,0.87725,0.8222,0.83014,11601.471355
XTZ-EUR,1740009600000,0.8372,0.85412,0.82898,0.84977,16535.398207
XTZ-EUR,1739923200000,0.818,0.84101,0.80779,0.83386,12471.474903
XTZ-EUR,1739836800000,0.85118,0.85118,0.79126,0.81439,13889.226197
XTZ-EUR,1739750400000,0.85781,0.87699,0.83623,0.85527,28587.606954
XTZ-EUR,1739664000000,0.84704,0.86599,0.83875,0.85428,48018.27598
XTZ-EUR,1739577600000,0.87269,0.87954,0.83967,0.84353,54069.239367
XTZ-EUR,1739491200000,0.86191,0.8831,0.85391,0.87216,41068.66085
XTZ-EUR,1739404800000,0.88267,0.88365,0.84245,0.86186,22302.649862
XTZ-EUR,1739318400000,0.83478,0.88865,0.82,0.88201,39675.579914
XTZ-EUR,1739232000000,0.86698,0.90047,0.82741,0.83602,50782.692698
XTZ-EUR,1739145600000,0.8519,0.86837,0.82884,0.86307,14279.823122
XTZ-EUR,1739059200000,0.85226,0.89378,0.82456,0.84464,10562.331842
XTZ-EUR,1738972800000,0.81209,0.85306,0.8048,0.84905,10163.037537
XTZ-EUR,1738886400000,0.8075,0.84839,0.78712,0.81459,40909.536528
XTZ-EUR,1738800000000,0.83674,0.85105,0.79399,0.7958,24458.799391
XTZ-EUR,1738713600000,0.8468,0.87367,0.82226,0.83047,9341.315038
XTZ-EUR,1738627200000,0.91574,0.91614,0.81906,0.84896,16462.789779
XTZ-EUR,1738540800000,0.86556,0.91765,0.71,0.90921,239559.517268
XTZ-EUR,1738454400000,0.97411,0.9807,0.83,0.86617,71448.235964
XTZ-EUR,1738368000000,1.056,1.0606,0.96822,0.9807,14008.009261
XTZ-EUR,1738281600000,1.054,1.0902,1.0343,1.0561,13397.412209
XTZ-EUR,1738195200000,1.0205,1.0721,1.0129,1.0508,23882.352359
XTZ-EUR,1738108800000,1.0039,1.0481,0.99412,1.0183,11124.284961
XTZ-EUR,1738022400000,1.0537,1.0641,0.99775,0.99775,17393.475555
XTZ-EUR,1737936000000,1.0634,1.0754,0.96817,1.0482,37690.563207
XTZ-EUR,1737849600000,1.1016,1.1215,1.07,1.0717,11829.29997
XTZ-EUR,1737763200000,1.0903,1.1184,1.08,1.106,13935.148858
XTZ-EUR,1737676800000,1.1286,1.1424,1.0874,1.0903,11096.933071
XTZ-EUR,1737590400000,1.1341,1.147,1.0916,1.1266,39399.199155
XTZ-EUR,1737504000000,1.1784,1.1795,1.1319,1.1319,51819.69745
XTZ-EUR,1737417600000,1.1942,1.1971,1.1431,1.1753,38772.592575
XTZ-EUR,1737331200000,1.1812,1.2885,1.1548,1.1927,107493.563556
XTZ-EUR,1737244800000,1.2852,1.2998,1.1672,1.1907,109190.361647
XTZ-EUR,1737158400000,1.3787,1.3839,1.2649,1.29,53533.719425
XTZ-EUR,1737072000000,1.3156,1.3843,1.3132,1.3787,35293.883062
XTZ-EUR,1736985600000,1.3029,1.364,1.2897,1.3121,69518.707132
XTZ-EUR,1736899200000,1.2333,1.3125,1.2224,1.3098,43189.715342
XTZ-EUR,1736812800000,1.2065,1.2386,1.2008,1.2339,15016.800092
XTZ-EUR,1736726400000,1.221,1.2512,1.1464,1.2048,62057.288489
XTZ-EUR,1736640000000,1.2491,1.2679,1.2144,1.2218,43244.796691
XTZ-EUR,1736553600000,1.2579,1.276,1.227,1.2561,23994.974647
XTZ-EUR,1736467200000,1.2292,1.2596,1.198,1.2503,25673.768475
XTZ-EUR,1736380800000,1.2905,1.51,1.2076,1.2254,365053.788306
XTZ-EUR,1736294400000,1.2758,1.3023,1.2188,1.2921,47393.439508
XTZ-EUR,1736208000000,1.3858,1.4093,1.2655,1.2706,50982.296688
XTZ-EUR,1736121600000,1.4064,1.4303,1.3825,1.3917,27912.700596
XTZ-EUR,1736035200000,1.3781,1.4073,1.3584,1.4015,63933.924354
XTZ-EUR,1735948800000,1.3979,1.4215,1.3627,1.3732,41235.46407
XTZ-EUR,1735862400000,1.3328,1.401,1.3132,1.3883,60655.67165
XTZ-EUR,1735776000000,1.3219,1.3799,1.3101,1.3322,127767.290455
XTZ-EUR,1735689600000,1.2394,1.3293,1.219,1.3197,22941.519171
XTZ-EUR,1735603200000,1.2905,1.3131,1.2325,1.2359,67431.471034
XTZ-EUR,1735516800000,1.2761,1.3551,1.2279,1.2988,45808.920959
XTZ-EUR,1735430400000,1.3676,1.3775,1.2767,1.2919,32954.840808
XTZ-EUR,1735344000000,1.2912,1.4082,1.2645,1.3714,79335.311408
XTZ-EUR,1735257600000,1.2883,1.3384,1.2586,1.2835,30119.783832
XTZ-EUR,1735171200000,1.38,1.3982,1.2818,1.2921,30518.905774
XTZ-EUR,1735084800000,1.3717,1.3914,1.3403,1.388,13008.111565
XTZ-EUR,1734998400000,1.2937,1.4028,1.2802,1.3766,64612.643862
XTZ-EUR,1734912000000,1.2039,1.3106,1.1739,1.3004,46408.046561
XTZ-EUR,1734825600000,1.2391,1.2426,1.1551,1.1978,42015.844967
XTZ-EUR,1734739200000,1.1936,1.3972,1.1931,1.244,164749.088588
XTZ-EUR,1734652800000,1.1668,1.2308,1.0369,1.2016,217034.265022
XTZ-EUR,1734566400000,1.2844,1.3005,1.1077,1.1595,173551.979928
XTZ-EUR,1734480000000,1.3841,1.431,1.2648,1.2853,170961.717522
XTZ-EUR,1734393600000,1.3847,1.475,1.3603,1.3775,110799.216425
XTZ-EUR,1734307200000,1.4198,1.4571,1.3381,1.3827,174036.566634
XTZ-EUR,1734220800000,1.3395,1.4758,1.3086,1.4218,167695.744928
XTZ-EUR,1734134400000,1.3981,1.4193,1.3137,1.3399,85572.369685
XTZ-EUR,1734048000000,1.4121,1.4236,1.3649,1.3989,52886.036679
XTZ-EUR,1733961600000,1.3973,1.4773,1.3838,1.4083,68086.894123
XTZ-EUR,1733875200000,1.3452,1.4461,1.3024,1.4074,129202.015409
XTZ-EUR,1733788800000,1.3575,1.3978,1.2093,1.3463,169519.190021
XTZ-EUR,1733702400000,1.6569,1.6569,1.1902,1.3672,554568.732635
XTZ-EUR,1733616000000,1.6851,1.7433,1.6266,1.6626,134810.612927
XTZ-EUR,1733529600000,1.6561,1.8071,1.635,1.6957,272892.39814
XTZ-EUR,1733443200000,1.5596,1.6882,1.5286,1.6624,121193.232922
XTZ-EUR,1733356800000,1.6253,1.6591,1.54,1.5539,203600.680733
XTZ-EUR,1733270400000,1.6348,1.7593,1.5456,1.6373,487405.283305
XTZ-EUR,1733184000000,1.5584,1.66,1.4289,1.6322,494786.891785
XTZ-EUR,1733097600000,1.5844,1.6557,1.4654,1.5612,471389.473188
XTZ-EUR,1733011200000,1.5772,1.7038,1.4511,1.5801,907615.958144
XTZ-EUR,1732924800000,1.2906,1.7709,1.2379,1.5845,1340449.380835
XTZ-EUR,1732838400000,1.2081,1.3178,1.1701,1.2898,183843.162571
XTZ-EUR,1732752000000,1.1955,1.2223,1.1629,1.2101,92854.817298
XTZ-EUR,1732665600000,1.1391,1.2433,1.121,1.2035,161589.696653
XTZ-EUR,1732579200000,1.1815,1.2102,1.0849,1.1498,263693.173417
XTZ-EUR,1732492800000,1.3307,1.3454,1.1645,1.1892,641359.157415
XTZ-EUR,1732406400000,1.0904,1.55,1.0904,1.3536,2535857.723216
XTZ-EUR,1732320000000,1.0788,1.1654,1.0576,1.087,491413.502602
XTZ-EUR,1732233600000,1.007,1.096,0.97772,1.0786,461559.919798
XTZ-EUR,1732147200000,0.98762,1.0546,0.95338,1.0052,382408.411323
XTZ-EUR,1732060800000,0.9919,1.1078,0.94411,0.9989,625429.144362
XTZ-EUR,1731974400000,1.1087,1.1783,0.96702,0.99238,2550911.63304199
XTZ-EUR,1731888000000,0.75313,1.3463,0.74028,1.1083,6422894.058408
XTZ-EUR,1731801600000,0.81805,0.83277,0.733,0.74905,211699.205412
XTZ-EUR,1731715200000,0.70668,0.84054,0.70667,0.82471,353554.791722
XTZ-EUR,1731628800000,0.67222,0.71252,0.65563,0.70924,67265.281567
XTZ-EUR,1731542400000,0.68932,0.71476,0.66234,0.67311,61688.915124
XTZ-EUR,1731456000000,0.69451,0.704,0.65,0.68829,119889.686595
XTZ-EUR,1731369600000,0.69369,0.72145,0.625,0.69443,323670.891236
XTZ-EUR,1731283200000,0.66692,0.70115,0.65499,0.70091,188603.640106
XTZ-EUR,1731196800000,0.63706,0.69129,0.62956,0.66452,90941.099442
XTZ-EUR,1731110400000,0.62435,0.64078,0.61604,0.64078,36486.819682
XTZ-EUR,1731024000000,0.60853,0.62715,0.59674,0.62715,142580.742176
XTZ-EUR,1730937600000,0.60658,0.61625,0.5941,0.608,58327.680005
XTZ-EUR,1730851200000,0.5674,0.61435,0.5674,0.60768,43989.138674
XTZ-EUR,1730764800000,0.54721,0.56486,0.54721,0.56396,10037.162115
XTZ-EUR,1730678400000,0.55247,0.55336,0.53446,0.54284,12053.56105
XTZ-EUR,1730592000000,0.57584,0.57584,0.55028,0.55119,29375.551174
XTZ-EUR,1730505600000,0.58474,0.58662,0.57078,0.57489,3930.600853
XTZ-EUR,1730419200000,0.58028,0.5898,0.57184,0.58112,10980.502822
XTZ-EUR,1730332800000,0.60962,0.61109,0.57538,0.58024,102315.965184
XTZ-EUR,1730246400000,0.62444,0.62699,0.61033,0.61128,7553.809692
XTZ-EUR,1730160000000,0.60179,0.62895,0.60179,0.62474,139762.599728
