market,time,open,high,low,close,volume
XVG-EUR,1741132800000,0.0049083,0.0051235,0.0048368,0.0050729,16913824.427866
XVG-EUR,1741046400000,0.0049564,0.0052632,0.0045645,0.004989,61544549.991349
XVG-EUR,1740960000000,0.0061899,0.006278,0.0051089,0.0052563,46782895.558103
XVG-EUR,1740873600000,0.005334,0.0068,0.0052298,0.0062134,88889307.49271299
XVG-EUR,1740787200000,0.0054647,0.0055265,0.0051731,0.0052429,8594206.258249
XVG-EUR,1740700800000,0.0054199,0.005462,0.0048884,0.0053977,30223581.329424
XVG-EUR,1740614400000,0.0054636,0.0056009,0.0052796,0.0053843,21179974.81407801
XVG-EUR,1740528000000,0.0054077,0.0055629,0.0051733,0.0054352,17281820.545529
XVG-EUR,1740441600000,0.0051832,0.005533,0.0048934,0.0053983,44622753.28382399
XVG-EUR,1740355200000,0.0061055,0.006141,0.0052036,0.0052146,26926828.408176
XVG-EUR,1740268800000,0.006259,0.0063285,0.0060027,0.0061373,11127081.718698
XVG-EUR,1740182400000,0.0060307,0.0063268,0.0059755,0.0062356,15817872.86424
XVG-EUR,1740096000000,0.0065751,0.0068302,0.0060297,0.0060642,26312097.38723999
XVG-EUR,1740009600000,0.0062975,0.0065786,0.006245,0.0065202,20573008.49048501
XVG-EUR,1739923200000,0.005913,0.0069,0.0058904,0.0063271,81964306.34198198
XVG-EUR,1739836800000,0.0060849,0.0061186,0.0056141,0.0058754,16236900.270009
XVG-EUR,1739750400000,0.0062151,0.006517,0.0059694,0.0061261,15788110.120095
XVG-EUR,1739664000000,0.0063627,0.0064131,0.0060424,0.0061826,10949975.710684
XVG-EUR,1739577600000,0.0064764,0.0065848,0.006288,0.0063787,11716862.994128
XVG-EUR,1739491200000,0.0063898,0.0068324,0.0063633,0.0065702,18429869.781622
XVG-EUR,1739404800000,0.0067243,0.0070236,0.0063,0.0064401,20708031.054729
XVG-EUR,1739318400000,0.006219,0.0068107,0.0060518,0.00668,58803662.51198001
XVG-EUR,1739232000000,0.0063886,0.006833,0.0060869,0.006276,43617043.317891
XVG-EUR,1739145600000,0.0064259,0.0065706,0.0060595,0.006344,20196543.55032001
XVG-EUR,1739059200000,0.0064299,0.0066993,0.0060948,0.0063736,38680090.67074
XVG-EUR,1738972800000,0.0059802,0.0065264,0.0058767,0.006381,35386549.865478
XVG-EUR,1738886400000,0.0059017,0.0065737,0.0057638,0.0059999,47122903.11203499
XVG-EUR,1738800000000,0.0062953,0.0064262,0.00578,0.0057956,28629041.00562101
XVG-EUR,1738713600000,0.006461,0.0066707,0.0061708,0.006289,28283093.406274
XVG-EUR,1738627200000,0.0070302,0.0070302,0.0062052,0.0065021,41618995.61053801
XVG-EUR,1738540800000,0.0065866,0.0072385,0.0048298,0.0070284,152176547.29481396
XVG-EUR,1738454400000,0.0073,0.007437,0.0064,0.0067234,92890844.99626099
XVG-EUR,1738368000000,0.0083438,0.0085065,0.0072293,0.0073165,42641096.24802399
XVG-EUR,1738281600000,0.0084373,0.0088342,0.0082803,0.0084016,53104511.591869
XVG-EUR,1738195200000,0.0079033,0.0089222,0.0077983,0.0084124,103025596.02098002
XVG-EUR,1738108800000,0.007356,0.008226,0.0073261,0.0078582,48696083.10623
XVG-EUR,1738022400000,0.0082371,0.0083747,0.0072693,0.0073751,59391028.97871
XVG-EUR,1737936000000,0.0086916,0.0086916,0.007511,0.008192,121982271.67397499
XVG-EUR,1737849600000,0.0091868,0.0093824,0.0087,0.0087,21755852.242322
XVG-EUR,1737763200000,0.0092693,0.0095176,0.009,0.0092192,28353674.30047201
XVG-EUR,1737676800000,0.010046,0.010093,0.0092176,0.0092844,51723025.072687
XVG-EUR,1737590400000,0.010259,0.010467,0.0096837,0.010001,74237892.85003398
XVG-EUR,1737504000000,0.010652,0.010788,0.01028,0.010307,47245154.69736999
XVG-EUR,1737417600000,0.010354,0.01102,0.009872,0.010631,90506324.38277699
XVG-EUR,1737331200000,0.010628,0.011606,0.010137,0.010358,85163923.07610598
XVG-EUR,1737244800000,0.011918,0.01209,0.010436,0.010617,122262754.426011
XVG-EUR,1737158400000,0.013629,0.013662,0.011615,0.011908,77689964.47291498
XVG-EUR,1737072000000,0.013131,0.01381,0.01296,0.013539,84485219.94780499
XVG-EUR,1736985600000,0.013893,0.013898,0.012793,0.01314,121985561.12096298
XVG-EUR,1736899200000,0.011834,0.0141,0.011367,0.013909,204628543.51700503
XVG-EUR,1736812800000,0.011184,0.012339,0.0111,0.011815,85785215.69258499
XVG-EUR,1736726400000,0.011177,0.0115,0.010163,0.011197,91067695.76075602
XVG-EUR,1736640000000,0.011678,0.011858,0.011077,0.011184,33509836.058664
XVG-EUR,1736553600000,0.011602,0.01211,0.011294,0.011744,54392039.334243
XVG-EUR,1736467200000,0.011338,0.01198,0.011213,0.011611,62973780.23103399
XVG-EUR,1736380800000,0.012207,0.012313,0.010932,0.011267,93895610.05246702
XVG-EUR,1736294400000,0.012583,0.012787,0.011441,0.012182,84872430.53601797
XVG-EUR,1736208000000,0.014752,0.015059,0.012536,0.012549,155681330.020708
XVG-EUR,1736121600000,0.01476,0.015453,0.014417,0.014764,67265190.40513101
XVG-EUR,1736035200000,0.014878,0.015412,0.014294,0.014748,67137398.88761002
XVG-EUR,1735948800000,0.014768,0.016133,0.014514,0.014867,163953666.96133602
XVG-EUR,1735862400000,0.014888,0.0154,0.013991,0.014685,208387974.26003712
XVG-EUR,1735776000000,0.013761,0.015301,0.013491,0.014896,222993646.0734656
XVG-EUR,1735689600000,0.012656,0.0145,0.012232,0.013725,151562525.21440828
XVG-EUR,1735603200000,0.012685,0.013238,0.012455,0.012668,91517286.26851796
XVG-EUR,1735516800000,0.013151,0.013903,0.012398,0.012731,105668077.3474018
XVG-EUR,1735430400000,0.013735,0.015664,0.01295,0.013093,296471760.01431644
XVG-EUR,1735344000000,0.011601,0.015712,0.011276,0.013818,510159517.3729086
XVG-EUR,1735257600000,0.01223,0.012409,0.01141,0.011619,95682292.06858888
XVG-EUR,1735171200000,0.013167,0.013471,0.0119,0.012213,110231802.83499785
XVG-EUR,1735084800000,0.013594,0.014531,0.013049,0.013142,199638045.03235775
XVG-EUR,1734998400000,0.012179,0.013811,0.011554,0.013579,233860059.6687724
XVG-EUR,1734912000000,0.012715,0.013489,0.011359,0.012189,272687648.31330085
XVG-EUR,1734825600000,0.0099471,0.014203,0.0098059,0.012761,487620090.078058
XVG-EUR,1734739200000,0.010983,0.012,0.0099085,0.010038,89391873.14846423
XVG-EUR,1734652800000,0.010831,0.01147,0.00895,0.010944,196196592.81570542
XVG-EUR,1734566400000,0.011879,0.012148,0.010499,0.0108,113243042.08994605
XVG-EUR,1734480000000,0.012785,0.012841,0.011301,0.011948,91782227.6769099
XVG-EUR,1734393600000,0.013161,0.0145,0.0124,0.01271,134938137.0703809
XVG-EUR,1734307200000,0.014233,0.014398,0.012664,0.013167,184617509.83908418
XVG-EUR,1734220800000,0.015029,0.015284,0.013609,0.014212,138052684.61357394
XVG-EUR,1734134400000,0.015581,0.0163,0.014665,0.015011,150809737.82174012
XVG-EUR,1734048000000,0.014919,0.016804,0.01463,0.015582,401223000.6778524
XVG-EUR,1733961600000,0.013013,0.017821,0.01227,0.014909,850868398.6930817
XVG-EUR,1733875200000,0.010699,0.014127,0.010274,0.013019,417251682.8412557
XVG-EUR,1733788800000,0.011399,0.011852,0.009492,0.010708,275093044.7732019
XVG-EUR,1733702400000,0.01445,0.014555,0.0089842,0.011422,372604773.5962123
XVG-EUR,1733616000000,0.01484,0.015035,0.014156,0.01445,110539298.59755504
XVG-EUR,1733529600000,0.015724,0.016707,0.014588,0.014821,175961061.29489887
XVG-EUR,1733443200000,0.016813,0.017021,0.01472,0.015734,255790717.64892858
XVG-EUR,1733356800000,0.019279,0.019447,0.01495,0.016716,505767503.68062174
XVG-EUR,1733270400000,0.016499,0.020147,0.013545,0.0193,1045321907.1004694
XVG-EUR,1733184000000,0.009184,0.018509,0.0089652,0.016486,1742842819.0898268
XVG-EUR,1733097600000,0.0069,0.011811,0.006848,0.0091839,2543330660.77134
XVG-EUR,1733011200000,0.0066106,0.00694,0.006477,0.0067912,87357109.44925894
XVG-EUR,1732924800000,0.0063874,0.00695,0.0063305,0.0066205,89609435.36375305
XVG-EUR,1732838400000,0.0062435,0.0065581,0.0061725,0.0064246,38362291.46019703
XVG-EUR,1732752000000,0.00655,0.0066256,0.0061226,0.0062249,67873959.75030798
XVG-EUR,1732665600000,0.0062547,0.0066499,0.0061968,0.0065923,47116437.07360604
XVG-EUR,1732579200000,0.0062695,0.0064791,0.0057543,0.0062747,73149857.34663409
XVG-EUR,1732492800000,0.0068963,0.0069715,0.0060812,0.0062464,71105973.74941793
XVG-EUR,1732406400000,0.006908,0.0072986,0.006389,0.0069251,159867557.83911964
XVG-EUR,1732320000000,0.0064636,0.0077829,0.0063451,0.0069439,433327064.06991005
XVG-EUR,1732233600000,0.0059464,0.0064933,0.0058869,0.0064751,109086091.17077088
XVG-EUR,1732147200000,0.0056726,0.0064808,0.0056053,0.0059581,159300241.197288
XVG-EUR,1732060800000,0.0058977,0.0059785,0.0055785,0.0056811,100332175.48053104
XVG-EUR,1731974400000,0.0063206,0.0064,0.0057721,0.0059011,100005851.96509202
XVG-EUR,1731888000000,0.005747,0.0074415,0.0056953,0.0063483,548912299.010642
XVG-EUR,1731801600000,0.0058383,0.0061038,0.0055373,0.0057559,199879152.48691466
XVG-EUR,1731715200000,0.0068249,0.0068249,0.005516,0.005848,739548514.9413332
XVG-EUR,1731628800000,0.0044767,0.0081721,0.0043768,0.0068462,1679786754.7393863
XVG-EUR,1731542400000,0.0048165,0.0048165,0.0043543,0.0044797,96560650.75842994
