market,time,open,high,low,close,volume
XYO-EUR,1741219200000,0.011236,0.011236,0.011236,0.011236,32027
XYO-EUR,1741132800000,0.011,0.011644,0.010774,0.010942,8388727.39333177
XYO-EUR,1741046400000,0.011489,0.0119,0.010983,0.011768,10333295.54669883
XYO-EUR,1740960000000,0.013533,0.013797,0.011533,0.012113,16882626.0390964
XYO-EUR,1740873600000,0.012526,0.01454,0.012362,0.0144,20805366.53362757
XYO-EUR,1740787200000,0.012363,0.013034,0.012181,0.012471,5260923.97185119
XYO-EUR,1740700800000,0.012949,0.013046,0.011955,0.012247,14875731.9309553
XYO-EUR,1740614400000,0.013005,0.013494,0.012452,0.012759,10134319.52938205
XYO-EUR,1740528000000,0.013058,0.014262,0.01246,0.013009,22043927.93943071
XYO-EUR,1740441600000,0.01291,0.013465,0.01204,0.013141,21012568.49657131
XYO-EUR,1740355200000,0.014741,0.01489,0.012826,0.013058,12863240.50698144
XYO-EUR,1740268800000,0.014634,0.015219,0.014355,0.014665,8311757.73242116
XYO-EUR,1740182400000,0.01433,0.015209,0.014083,0.0146,7814893.16728803
XYO-EUR,1740096000000,0.014921,0.015596,0.014109,0.014431,22188380.81822437
XYO-EUR,1740009600000,0.015315,0.0162,0.014713,0.014897,13107656.4183727
XYO-EUR,1739923200000,0.015239,0.01585,0.015001,0.015309,9858634.62398548
XYO-EUR,1739836800000,0.015484,0.016785,0.014376,0.015305,55370231.293557
XYO-EUR,1739750400000,0.015325,0.015926,0.014799,0.015399,13965475.35877147
XYO-EUR,1739664000000,0.016399,0.01661,0.015026,0.015312,15687791.5158663
XYO-EUR,1739577600000,0.016234,0.016728,0.015936,0.016336,13362580.21986689
XYO-EUR,1739491200000,0.016574,0.016734,0.016092,0.016367,17340076.46104488
XYO-EUR,1739404800000,0.017313,0.0177,0.016129,0.016427,21431193.87104463
XYO-EUR,1739318400000,0.016718,0.018,0.016007,0.017271,25602056.46860436
XYO-EUR,1739232000000,0.017729,0.018503,0.01641,0.016695,28322031.54550893
XYO-EUR,1739145600000,0.018524,0.019243,0.0176,0.017625,39897136.5482962
XYO-EUR,1739059200000,0.018024,0.021,0.017564,0.0184,63980335.51823276
XYO-EUR,1738972800000,0.018872,0.019747,0.017867,0.018062,39887364.89643912
XYO-EUR,1738886400000,0.0202,0.02343,0.018375,0.018995,173503567.4793014
XYO-EUR,1738800000000,0.016094,0.023,0.016094,0.0202,174099934.0425789
