market,time,open,high,low,close,volume
ZEN-EUR,1741132800000,10.496,10.889,10.204,10.475,3781.50234455
ZEN-EUR,1741046400000,10.579,10.853,9.7084,10.723,26108.03057533
ZEN-EUR,1740960000000,12.6,13.745,10.734,11.181,6624.69333108
ZEN-EUR,1740873600000,12.483,14.102,12.194,12.792,4690.63683104
ZEN-EUR,1740787200000,12.88,13.202,12.055,12.112,3112.59416951
ZEN-EUR,1740700800000,13.039,13.107,11.576,13.044,4965.16213583
ZEN-EUR,1740614400000,12.543,13.015,12.294,13.015,1950.1292091
ZEN-EUR,1740528000000,11.531,12.678,11.531,12.484,5295.42682624
ZEN-EUR,1740441600000,11.373,11.691,10.251,11.511,20324.36776939
ZEN-EUR,1740355200000,12.704,13.007,11.132,11.239,14980.54189945
ZEN-EUR,1740268800000,13.017,13.126,12.621,12.825,1574.48749732
ZEN-EUR,1740182400000,12.173,13.038,12.17,13.028,1875.7791643
ZEN-EUR,1740096000000,12.875,13.438,11.962,12.096,4823.3228011
ZEN-EUR,1740009600000,12.819,13.041,12.588,13.041,1271.39415475
ZEN-EUR,1739923200000,12.696,13.198,12.691,12.691,1835.58296889
ZEN-EUR,1739836800000,13.535,13.535,12.402,12.798,2177.97050674
ZEN-EUR,1739750400000,13.933,14.069,13.221,13.388,6215.64578644
ZEN-EUR,1739664000000,15.044,16.087,13.941,13.941,22910.52768734
ZEN-EUR,1739577600000,14.33,15.154,13.693,14.869,13956.12976808
ZEN-EUR,1739491200000,14.233,15.06,13.698,14.23,14171.0302804
ZEN-EUR,1739404800000,13.273,15.826,13.098,14.271,52860.29977818
ZEN-EUR,1739318400000,11.691,13.167,11.356,13.167,23304.62127072
ZEN-EUR,1739232000000,11.594,12.571,11.389,11.525,31626.66948872
ZEN-EUR,1739145600000,11.198,11.71,10.466,11.566,4669.2317158
ZEN-EUR,1739059200000,11.45,11.79,10.445,10.863,760.3904988
ZEN-EUR,1738972800000,10.98,11.67,10.896,11.61,1230.91066969
ZEN-EUR,1738886400000,10.64,11.91,10.575,10.965,1782.08466815
ZEN-EUR,1738800000000,11.759,11.895,10.5,10.5,2878.72630008
ZEN-EUR,1738713600000,12.17,12.71,11.562,11.562,2642.63187153
ZEN-EUR,1738627200000,13.48,13.609,11.726,12.25,4636.69457087
ZEN-EUR,1738540800000,13.565,13.565,10,13.255,28018.8740544
ZEN-EUR,1738454400000,16.55,16.85,12.76,13.89,13198.71138614
ZEN-EUR,1738368000000,18.64,18.85,16.37,16.492,2474.33046122
ZEN-EUR,1738281600000,18.553,19.77,18.07,18.406,2212.5976226
ZEN-EUR,1738195200000,17.29,19.61,17.09,18.77,8146.13785555
ZEN-EUR,1738108800000,16.5,18.27,16.39,17.44,4624.10384396
ZEN-EUR,1738022400000,18.13,18.43,16.534,16.661,10351.36291796
ZEN-EUR,1737936000000,17.607,18.25,16.433,18.11,2664.95474178
ZEN-EUR,1737849600000,19,19.47,17.59,17.68,2387.56589389
ZEN-EUR,1737763200000,19.352,19.657,18.945,19.15,963.55293554
ZEN-EUR,1737676800000,21.426,21.5,19.366,19.366,1659.63395427
ZEN-EUR,1737590400000,21.47,22.397,20.985,22.02,3175.63763477
ZEN-EUR,1737504000000,21.484,22.15,21.1,21.7,4660.56134472
ZEN-EUR,1737417600000,21.6,22.275,20.122,21.514,11519.85229009
ZEN-EUR,1737331200000,21.953,23.657,20.443,21.406,10151.11104728
ZEN-EUR,1737244800000,23.598,25.144,21.635,22.074,17836.44100142
ZEN-EUR,1737158400000,28.799,28.799,23.196,23.65,8810.90705109
ZEN-EUR,1737072000000,29.55,30.65,28.556,28.847,6885.23778129
ZEN-EUR,1736985600000,30.6,30.755,28.238,29.4,20510.89550804
ZEN-EUR,1736899200000,23.459,31.749,23.288,30.742,74535.44525048
ZEN-EUR,1736812800000,20.2,23.769,20.138,23.526,8088.61076481
ZEN-EUR,1736726400000,22.44,22.99,18.682,19.879,4688.09314368
ZEN-EUR,1736640000000,23.354,23.354,22.087,22.47,3004.26044754
ZEN-EUR,1736553600000,23.862,24.23,22.848,23.593,2481.8687627
ZEN-EUR,1736467200000,23.07,24.91,22.758,23.983,17733.17834237
ZEN-EUR,1736380800000,22.409,23.639,21.531,23.036,6328.63281304
ZEN-EUR,1736294400000,23.23,23.27,21.204,22.551,9337.68421367
ZEN-EUR,1736208000000,27.406,28.341,23.014,23.267,5273.44781806
ZEN-EUR,1736121600000,26.7,28.37,26.251,27.95,4382.43235169
ZEN-EUR,1736035200000,27.51,28.536,26.483,26.868,4975.47980613
ZEN-EUR,1735948800000,28.646,29.504,27.09,27.611,3955.05344822
ZEN-EUR,1735862400000,30.233,30.318,26.1,28.765,11519.32664592
ZEN-EUR,1735776000000,28.173,31.277,27.919,30.132,10761.52380806
ZEN-EUR,1735689600000,27.815,29.568,26.707,28.249,4525.66772494
