market,time,open,high,low,close,volume
ZETA-EUR,1741132800000,0.22894,0.24685,0.22823,0.23267,959783.6586
ZETA-EUR,1741046400000,0.2429,0.24426,0.21441,0.22948,708697.3219
ZETA-EUR,1740960000000,0.27331,0.30197,0.24178,0.24916,717630.2436
ZETA-EUR,1740873600000,0.27978,0.30131,0.27549,0.30066,271068.9507
ZETA-EUR,1740787200000,0.28824,0.29316,0.27598,0.27889,185230.2377
ZETA-EUR,1740700800000,0.28614,0.29805,0.26413,0.28617,694313.652
ZETA-EUR,1740614400000,0.27531,0.30277,0.27497,0.28249,1056546.3306
ZETA-EUR,1740528000000,0.2749,0.27848,0.26376,0.27483,153310.3146
ZETA-EUR,1740441600000,0.26433,0.27508,0.24928,0.27315,126288.8089
ZETA-EUR,1740355200000,0.31605,0.31605,0.26518,0.26792,104568.3591
ZETA-EUR,1740268800000,0.31127,0.34084,0.30936,0.317,260875.2442
ZETA-EUR,1740182400000,0.29112,0.30529,0.29056,0.30028,12125.4281
ZETA-EUR,1740096000000,0.29792,0.32296,0.2905,0.29514,39109.2409
ZETA-EUR,1740009600000,0.29295,0.30256,0.29042,0.30137,24788.4631
ZETA-EUR,1739923200000,0.28316,0.29506,0.28316,0.29175,7921.6183
ZETA-EUR,1739836800000,0.2971,0.2971,0.27397,0.28572,12937.1599
ZETA-EUR,1739750400000,0.30922,0.31042,0.29587,0.30155,65432.1129
ZETA-EUR,1739664000000,0.30427,0.31588,0.30232,0.30528,4557.4162
ZETA-EUR,1739577600000,0.30988,0.31216,0.30073,0.3013,8885.3939
ZETA-EUR,1739491200000,0.30098,0.31772,0.30098,0.3114,20729.3905
ZETA-EUR,1739404800000,0.3099,0.3099,0.29567,0.30364,53189.2347
ZETA-EUR,1739318400000,0.29301,0.31099,0.28591,0.31099,85655.7763
ZETA-EUR,1739232000000,0.30329,0.3164,0.29052,0.29514,74850.1728
ZETA-EUR,1739145600000,0.29982,0.30414,0.28716,0.30008,116782.1999
ZETA-EUR,1739059200000,0.3038,0.30803,0.28516,0.28637,75562.3569
ZETA-EUR,1738972800000,0.27977,0.29997,0.27977,0.29942,15553.2539
ZETA-EUR,1738886400000,0.27429,0.29741,0.27349,0.27349,68531.3925
ZETA-EUR,1738800000000,0.28973,0.2968,0.27159,0.2751,99777.6833
ZETA-EUR,1738713600000,0.30152,0.30611,0.28793,0.28937,150101.9766
ZETA-EUR,1738627200000,0.33039,0.33039,0.29712,0.30346,124250.9409
ZETA-EUR,1738540800000,0.31601,0.33645,0.26458,0.33337,1246994.8326
ZETA-EUR,1738454400000,0.38745,0.39259,0.32085,0.33341,311939.5328
ZETA-EUR,1738368000000,0.42984,0.42984,0.38303,0.38303,42103.1257
ZETA-EUR,1738281600000,0.42355,0.44155,0.41872,0.42676,15322.8468
ZETA-EUR,1738195200000,0.40109,0.427,0.40109,0.42083,21411.1259
ZETA-EUR,1738108800000,0.38613,0.41686,0.38613,0.41165,50717.2851
ZETA-EUR,1738022400000,0.41727,0.4208,0.38962,0.38964,12438.0829
ZETA-EUR,1737936000000,0.43416,0.43416,0.38779,0.41248,98056.8551
ZETA-EUR,1737849600000,0.45191,0.45779,0.43265,0.43265,27163.5659
ZETA-EUR,1737763200000,0.42947,0.44807,0.42321,0.44383,56155.5281
ZETA-EUR,1737676800000,0.45186,0.45764,0.43,0.43461,51316.5614
ZETA-EUR,1737590400000,0.44743,0.46213,0.43643,0.44801,102908.8167
ZETA-EUR,1737504000000,0.46311,0.46599,0.454,0.4554,17335.2178
ZETA-EUR,1737417600000,0.45463,0.48299,0.43633,0.46628,149758.2921
ZETA-EUR,1737331200000,0.4852,0.52185,0.45492,0.4628,438245.2055
ZETA-EUR,1737244800000,0.505,0.55503,0.483,0.48718,585362.2991
ZETA-EUR,1737158400000,0.54008,0.54579,0.494,0.50017,230207.7803
ZETA-EUR,1737072000000,0.51638,0.54089,0.51638,0.53947,31588.5517
ZETA-EUR,1736985600000,0.5281,0.5281,0.50565,0.51531,39222.5502
ZETA-EUR,1736899200000,0.50334,0.52979,0.48804,0.52979,21927.5319
ZETA-EUR,1736812800000,0.49318,0.5045,0.49318,0.50313,27211.4889
ZETA-EUR,1736726400000,0.5145,0.5145,0.45846,0.48923,59448.9927
ZETA-EUR,1736640000000,0.52235,0.52294,0.51268,0.51268,4450.3914
ZETA-EUR,1736553600000,0.52519,0.52694,0.51797,0.52331,7806.1298
ZETA-EUR,1736467200000,0.51525,0.53244,0.51115,0.52972,128741.6738
ZETA-EUR,1736380800000,0.51547,0.52559,0.49714,0.51426,73714.3062
ZETA-EUR,1736294400000,0.54359,0.54517,0.49528,0.52657,63257.7144
ZETA-EUR,1736208000000,0.59267,0.61291,0.54354,0.54646,144162.3787
ZETA-EUR,1736121600000,0.58304,0.60159,0.57849,0.59058,15044.4877
ZETA-EUR,1736035200000,0.58242,0.5881,0.57048,0.58308,52986.1736
ZETA-EUR,1735948800000,0.57978,0.59208,0.57303,0.58204,64638.3932
ZETA-EUR,1735862400000,0.55943,0.588,0.55018,0.58523,78897.0483
ZETA-EUR,1735776000000,0.54812,0.57016,0.54576,0.56084,37103.1619
ZETA-EUR,1735689600000,0.5272,0.54531,0.51667,0.5427,55035.3322
ZETA-EUR,1735603200000,0.53929,0.5478,0.52104,0.52262,77329.5695
ZETA-EUR,1735516800000,0.55497,0.56537,0.53344,0.54145,44844.5731
ZETA-EUR,1735430400000,0.5699,0.57525,0.54319,0.54804,23137.5325
ZETA-EUR,1735344000000,0.54856,0.57741,0.54201,0.57261,43619.6125
ZETA-EUR,1735257600000,0.54695,0.57346,0.54438,0.54685,22622.8812
ZETA-EUR,1735171200000,0.59032,0.59032,0.54096,0.54789,112128.476
ZETA-EUR,1735084800000,0.58759,0.62,0.58525,0.59281,86380.5481
