market,time,open,high,low,close,volume
ZRO-EUR,1741132800000,2.0431,2.153,2.0203,2.1203,15018.24660476
ZRO-EUR,1741046400000,2.1564,2.1715,1.9449,2.046,43601.547988
ZRO-EUR,1740960000000,2.4748,2.6917,2.1964,2.2189,60833.29507544
ZRO-EUR,1740873600000,2.4375,2.7421,2.4109,2.7421,66730.78764581
ZRO-EUR,1740787200000,2.5077,2.5639,2.3988,2.4754,21341.79967665
ZRO-EUR,1740700800000,2.5432,2.5884,2.299,2.5838,40013.12728928
ZRO-EUR,1740614400000,2.4672,2.5935,2.4424,2.5108,146312.23072949
ZRO-EUR,1740528000000,2.4741,2.5182,2.3611,2.4681,21646.94163019
ZRO-EUR,1740441600000,2.3978,2.4869,2.1935,2.4629,72802.98199769
ZRO-EUR,1740355200000,2.8296,2.8439,2.3775,2.3795,67711.45955963
ZRO-EUR,1740268800000,2.8035,2.8833,2.7701,2.8013,20981.02818791
ZRO-EUR,1740182400000,2.7576,2.8522,2.7157,2.8354,23294.69305492
ZRO-EUR,1740096000000,2.9118,3.0415,2.7064,2.7576,41391.31046845
ZRO-EUR,1740009600000,2.8041,2.918,2.8041,2.894,11275.61299426
ZRO-EUR,1739923200000,2.7734,2.8382,2.7203,2.8201,13422.76584087
ZRO-EUR,1739836800000,2.8114,2.8323,2.6393,2.7578,46795.3631704
ZRO-EUR,1739750400000,2.7757,2.9464,2.7132,2.8229,39622.92341754
ZRO-EUR,1739664000000,2.8185,2.9001,2.7486,2.7486,20420.7959557
ZRO-EUR,1739577600000,2.958,2.9981,2.8125,2.8534,7903.16382929
ZRO-EUR,1739491200000,2.8156,3.0794,2.8156,2.993,12793.9642007
ZRO-EUR,1739404800000,2.9383,2.985,2.7854,2.8001,14562.98543608
ZRO-EUR,1739318400000,2.8162,3.0127,2.6275,2.9502,47925.4892243
ZRO-EUR,1739232000000,2.822,2.9682,2.7315,2.7898,27214.13373216
ZRO-EUR,1739145600000,2.6823,2.84,2.5852,2.8108,27191.40976135
ZRO-EUR,1739059200000,2.6623,2.7616,2.5112,2.6361,19777.13890156
ZRO-EUR,1738972800000,2.6308,2.6991,2.5513,2.6774,42479.71887871
ZRO-EUR,1738886400000,2.5108,2.7765,2.4883,2.5594,59386.51901862
ZRO-EUR,1738800000000,2.6268,2.7054,2.4755,2.4957,39909.9617274
ZRO-EUR,1738713600000,2.7084,2.7662,2.5645,2.6182,34551.87676873
ZRO-EUR,1738627200000,2.9031,2.9031,2.5707,2.6979,74158.91493112
ZRO-EUR,1738540800000,2.8718,2.912,2.1075,2.9101,176637.90463646
ZRO-EUR,1738454400000,3.2338,3.2989,2.7072,2.866,99682.11447623
ZRO-EUR,1738368000000,3.6253,3.6379,3.194,3.2026,14445.45627403
ZRO-EUR,1738281600000,3.5037,3.8383,3.4746,3.6324,50099.33400702
ZRO-EUR,1738195200000,3.3817,3.5798,3.3817,3.5063,15045.25563417
ZRO-EUR,1738108800000,3.2652,3.5042,3.2649,3.4002,20941.60855601
ZRO-EUR,1738022400000,3.6236,3.658,3.2328,3.2723,16388.81647841
ZRO-EUR,1737936000000,3.5535,3.6861,3.29,3.6363,192252.23559136
ZRO-EUR,1737849600000,3.7579,3.7775,3.58,3.58,8681.43518454
ZRO-EUR,1737763200000,3.6181,3.7803,3.573,3.7361,19396.56457454
ZRO-EUR,1737676800000,3.8314,3.9667,3.6106,3.6106,18674.7916177
ZRO-EUR,1737590400000,3.8,3.9916,3.7021,3.9092,23105.16748539
ZRO-EUR,1737504000000,4.1118,4.1118,3.8294,3.8456,14065.77003165
ZRO-EUR,1737417600000,3.9052,4.1612,3.78,4.0843,27697.81950829
ZRO-EUR,1737331200000,4.0215,4.456,3.9009,3.9846,113045.10755241
ZRO-EUR,1737244800000,4.4465,4.542,3.9284,4.0212,106563.03351245
ZRO-EUR,1737158400000,4.9333,5.0112,4.3681,4.4672,16319.82889323
ZRO-EUR,1737072000000,4.5146,4.9606,4.4807,4.9335,33555.5360782
ZRO-EUR,1736985600000,4.6444,4.6444,4.3432,4.4816,36275.03898496
ZRO-EUR,1736899200000,4.3053,4.6124,4.116,4.5977,15984.42677552
ZRO-EUR,1736812800000,4.1687,4.3734,4.1687,4.3155,11926.85150261
ZRO-EUR,1736726400000,4.4715,4.5616,3.8418,4.159,59621.34202477
ZRO-EUR,1736640000000,4.5639,4.5887,4.4111,4.4252,2852.51725846
ZRO-EUR,1736553600000,4.5087,4.6578,4.4796,4.5877,5173.4553148
ZRO-EUR,1736467200000,4.4842,4.7101,4.4271,4.5925,21049.80683508
ZRO-EUR,1736380800000,4.7321,4.7638,4.3874,4.4626,24511.1415335
ZRO-EUR,1736294400000,5.0585,5.0878,4.4717,4.7466,25556.55911177
ZRO-EUR,1736208000000,5.6587,5.7158,5.0028,5.0515,38601.90422896
ZRO-EUR,1736121600000,5.6267,5.8474,5.5286,5.642,15595.85041377
ZRO-EUR,1736035200000,5.575,5.669,5.4006,5.63,9652.07230987
ZRO-EUR,1735948800000,5.5996,5.719,5.4396,5.5848,10571.09685266
ZRO-EUR,1735862400000,5.282,5.6423,5.1599,5.6102,11732.29138601
ZRO-EUR,1735776000000,5.124,5.3079,5.1231,5.2642,21536.41325206
ZRO-EUR,1735689600000,4.8629,5.1043,4.7542,5.0671,9571.84448699
ZRO-EUR,1735603200000,4.8875,5.0571,4.7008,4.7924,20698.11618737
ZRO-EUR,1735516800000,5.0915,5.1891,4.8605,4.8789,24974.71480496
ZRO-EUR,1735430400000,5.3226,5.3226,4.9922,5.0472,12594.83486716
ZRO-EUR,1735344000000,5.2286,5.3725,5.018,5.276,15713.56638083
ZRO-EUR,1735257600000,5.5246,5.7068,5.1904,5.226,21488.61717492
ZRO-EUR,1735171200000,5.8215,5.8787,5.4057,5.5004,10150.2732869
ZRO-EUR,1735084800000,5.6562,6.0967,5.6295,5.8107,19609.94964235
ZRO-EUR,1734998400000,5.42,5.6817,5.3487,5.679,8959.9372235
ZRO-EUR,1734912000000,5.0465,5.5352,4.933,5.4813,37090.66162137
ZRO-EUR,1734825600000,5.2427,5.3679,4.9644,5.1036,29033.20612904
ZRO-EUR,1734739200000,5.4305,6.1117,5.2239,5.2564,44817.40758981
ZRO-EUR,1734652800000,5.2038,5.4833,4.6456,5.4311,157033.22535672
ZRO-EUR,1734566400000,5.8078,6.1678,5.032,5.2162,69580.68532816
ZRO-EUR,1734480000000,6.2614,6.3182,5.6135,5.7949,50048.72383996
ZRO-EUR,1734393600000,6.2287,6.9058,6.1054,6.2277,52489.73396016
ZRO-EUR,1734307200000,6.6275,6.8198,6.173,6.1926,37789.33086141
ZRO-EUR,1734220800000,6.0496,6.8,5.8871,6.6284,48356.18111093
ZRO-EUR,1734134400000,6.4,6.4,5.796,6.1011,12803.24167322
ZRO-EUR,1734048000000,6.431,6.5,6.0984,6.3,28520.60078358
ZRO-EUR,1733961600000,6.485,6.724,6.2717,6.4018,33711.6498023
ZRO-EUR,1733875200000,5.858,6.6069,5.5748,6.527,41804.61875471
ZRO-EUR,1733788800000,5.4469,6.13,5.245,5.8534,150208.95238566
ZRO-EUR,1733702400000,6.2282,6.2282,4.8892,5.5527,92739.20632766
ZRO-EUR,1733616000000,6.3605,6.415,6.1,6.25,31736.0173156
ZRO-EUR,1733529600000,6.7218,6.7218,6.2586,6.384,19024.58104031
ZRO-EUR,1733443200000,5.9497,7.1389,5.9153,6.7441,132744.22009556
ZRO-EUR,1733356800000,5.9345,6.283,5.65,5.982,98486.85846141
ZRO-EUR,1733270400000,5.8174,6.59,5.6596,5.9168,133440.82745425
ZRO-EUR,1733184000000,5.9874,6.1261,5.4696,5.8314,114271.36126761
ZRO-EUR,1733097600000,6.0116,6.55,5.7594,5.9989,238749.31371771
ZRO-EUR,1733011200000,4.687,6.4088,4.6381,5.9753,374121.46121352
ZRO-EUR,1732924800000,4.5809,4.9,4.5335,4.6573,40472.10649446
ZRO-EUR,1732838400000,4.4281,4.7183,4.3353,4.6075,30784.72006625
ZRO-EUR,1732752000000,4.68,4.7064,4.3613,4.4879,65997.53843993
ZRO-EUR,1732665600000,4.1565,4.68,4.0788,4.6447,91837.05257895
ZRO-EUR,1732579200000,4.1172,4.2354,3.9318,4.1529,107473.08527881
ZRO-EUR,1732492800000,4.2779,4.6,4.0245,4.1487,159061.10656466
ZRO-EUR,1732406400000,3.7555,4.34,3.4744,4.2944,55594.89340175
ZRO-EUR,1732320000000,3.5641,3.8699,3.5333,3.698,77227.90776507
ZRO-EUR,1732233600000,3.4255,3.5628,3.3586,3.5601,41912.88295354
ZRO-EUR,1732147200000,3.2093,3.5153,3.159,3.4367,35168.7436654
ZRO-EUR,1732060800000,3.3842,3.3842,3.1739,3.2352,27785.23747519
ZRO-EUR,1731974400000,3.62,3.6233,3.3171,3.382,19380.44964814
ZRO-EUR,1731888000000,3.3982,3.6333,3.3901,3.5921,19851.58415028
ZRO-EUR,1731801600000,3.5272,3.5495,3.3378,3.3459,17337.29571323
ZRO-EUR,1731715200000,3.3447,3.5523,3.3388,3.4831,15170.31700088
ZRO-EUR,1731628800000,3.2386,3.372,3.135,3.3713,41701.11498359
ZRO-EUR,1731542400000,3.4318,3.5098,3.183,3.183,29438.23858607
ZRO-EUR,1731456000000,3.485,3.7356,3.2094,3.442,124408.32216712
ZRO-EUR,1731369600000,3.7788,3.7808,3.2207,3.4933,271415.09391634
ZRO-EUR,1731283200000,3.5851,3.8114,3.5346,3.7797,152171.91078631
ZRO-EUR,1731196800000,3.5385,3.7153,3.3529,3.5893,169044.53497442
ZRO-EUR,1731110400000,3.4536,3.6331,3.4204,3.5354,18021.05148256
ZRO-EUR,1731024000000,3.4496,3.4496,3.2831,3.3877,17369.61319165
ZRO-EUR,1730937600000,3.2754,3.451,3.2754,3.3773,38986.69737772
ZRO-EUR,1730851200000,2.8499,3.3007,2.8499,3.2646,201247.86088669
ZRO-EUR,1730764800000,2.7807,2.895,2.7681,2.841,18406.41170024
ZRO-EUR,1730678400000,2.8486,2.8822,2.6937,2.7595,21504.55004422
ZRO-EUR,1730592000000,2.9221,2.9232,2.709,2.8506,91644.24943621
ZRO-EUR,1730505600000,3.0028,3.0123,2.9079,2.9123,8563.69116913
ZRO-EUR,1730419200000,3.0271,3.1282,2.96,3.0159,12900.398353
ZRO-EUR,1730332800000,3.3195,3.3195,3.021,3.0616,17236.34076583
ZRO-EUR,1730246400000,3.3365,3.349,3.2433,3.3135,14273.23468985
ZRO-EUR,1730160000000,3.2437,3.4136,3.2379,3.3417,98273.09272691
ZRO-EUR,1730073600000,3.1494,3.2527,3.0412,3.2188,12330.81347787
ZRO-EUR,1729987200000,3.1998,3.2018,3.1087,3.1597,15103.61673772
ZRO-EUR,1729900800000,3.0243,3.237,3.0108,3.2172,26532.16784022
ZRO-EUR,1729814400000,3.3759,3.4589,2.8799,3.065,58972.76944889
ZRO-EUR,1729728000000,3.4326,3.4801,3.3451,3.3931,7112.16564157
ZRO-EUR,1729641600000,3.4962,3.4962,3.295,3.4084,11102.95231242
ZRO-EUR,1729555200000,3.52,3.6081,3.4727,3.5024,25391.60269835
ZRO-EUR,1729468800000,3.7362,3.805,3.5192,3.6139,30381.04020343
ZRO-EUR,1729382400000,3.5258,3.7466,3.4854,3.7333,22641.16324254
ZRO-EUR,1729296000000,3.5825,3.6151,3.4707,3.5131,11291.33508916
ZRO-EUR,1729209600000,3.49,3.6142,3.47,3.5521,20917.32860021
ZRO-EUR,1729123200000,3.6611,3.6611,3.435,3.4981,17076.06498262
ZRO-EUR,1729036800000,3.7359,3.7736,3.558,3.6406,14511.37084474
ZRO-EUR,1728950400000,3.8721,3.9286,3.6387,3.7578,37002.09272702
ZRO-EUR,1728864000000,3.6328,3.9036,3.6005,3.8706,40348.35080068
ZRO-EUR,1728777600000,3.76,3.7797,3.5231,3.62,46720.38300571
ZRO-EUR,1728691200000,3.7481,3.8701,3.7263,3.7591,33295.93984954
ZRO-EUR,1728604800000,3.5312,3.7644,3.5157,3.7358,33498.65680949
ZRO-EUR,1728518400000,3.6104,3.6657,3.3806,3.4871,28354.57198744
ZRO-EUR,1728432000000,3.7275,3.8185,3.528,3.5845,22819.47508421
ZRO-EUR,1728345600000,3.8852,3.9777,3.7207,3.7207,28945.21685214
ZRO-EUR,1728259200000,3.8728,4.0591,3.8285,3.8836,58671.30480119
ZRO-EUR,1728172800000,3.7169,3.8712,3.7086,3.8591,18206.26484176
ZRO-EUR,1728086400000,3.8444,3.9128,3.6419,3.7305,28118.4062557
ZRO-EUR,1728000000000,3.5621,3.856,3.5535,3.8205,53401.86744218
ZRO-EUR,1727913600000,3.7567,3.826,3.5076,3.5537,39909.51795871
ZRO-EUR,1727827200000,3.9714,4.1282,3.7057,3.7395,48493.26407084
ZRO-EUR,1727740800000,4.1172,4.3278,3.7742,3.9474,121551.56689772
ZRO-EUR,1727654400000,4.4743,4.4743,4.0927,4.1055,61475.50972046
ZRO-EUR,1727568000000,4.4859,4.6524,4.2974,4.4953,28648.08716264
ZRO-EUR,1727481600000,4.4982,4.6806,4.365,4.4815,61604.73016774
ZRO-EUR,1727395200000,4.5274,4.57,4.3664,4.5165,102807.34459226
ZRO-EUR,1727308800000,4.0165,4.7637,3.9631,4.4821,332623.56251812
ZRO-EUR,1727222400000,3.8465,4.1519,3.6976,3.9719,145007.51687941
ZRO-EUR,1727136000000,3.7044,3.8759,3.6083,3.8584,49601.97981173
ZRO-EUR,1727049600000,3.7223,3.9167,3.6121,3.7018,78903.37163105
ZRO-EUR,1726963200000,3.9359,4.0703,3.667,3.7722,114817.07454123
ZRO-EUR,1726876800000,3.781,4.0062,3.6318,3.9367,117184.01620753
ZRO-EUR,1726790400000,3.8197,4.22,3.7179,3.7989,117516.78099928
ZRO-EUR,1726704000000,3.8105,4.1662,3.7392,3.8272,187746.663674
ZRO-EUR,1726617600000,3.5677,3.8193,3.3776,3.8047,50523.6826642
ZRO-EUR,1726531200000,3.5125,3.7623,3.4164,3.6488,90929.15738948
ZRO-EUR,1726444800000,3.3551,3.6186,3.3,3.5221,137868.09962948
ZRO-EUR,1726358400000,3.4742,3.5592,3.3317,3.3585,24337.39482158
ZRO-EUR,1726272000000,3.5468,3.6504,3.4302,3.5005,37964.51861239
ZRO-EUR,1726185600000,3.4212,3.6053,3.3684,3.5705,90188.77594093
ZRO-EUR,1726099200000,3.3112,3.4595,3.3082,3.4219,65845.33560762
ZRO-EUR,1726012800000,3.2327,3.3697,3.1217,3.3068,102115.29733911
ZRO-EUR,1725926400000,3.1815,3.26,3.159,3.2325,53070.71476186
