market,time,open,high,low,close,volume
ZRX-EUR,1741219200000,0.26408,0.26446,0.26408,0.26446,45.26220949
ZRX-EUR,1741132800000,0.2623,0.26374,0.25267,0.25831,195200.62746618
ZRX-EUR,1741046400000,0.2525,0.26026,0.238,0.25445,115726.12258302
ZRX-EUR,1740960000000,0.29457,0.30265,0.255,0.295,77426.10206493
ZRX-EUR,1740873600000,0.27869,0.31028,0.27629,0.27914,194124.4863393
ZRX-EUR,1740787200000,0.28805,0.29138,0.27444,0.28062,44321.11198513
ZRX-EUR,1740700800000,0.284,0.28784,0.25921,0.28558,347897.31631113
ZRX-EUR,1740614400000,0.27549,0.28726,0.275,0.28389,59741.81447125
ZRX-EUR,1740528000000,0.27773,0.283,0.26791,0.27704,120138.48701645
ZRX-EUR,1740441600000,0.27323,0.28175,0.25917,0.28123,194647.47789126
ZRX-EUR,1740355200000,0.3088,0.3088,0.27271,0.28078,200878.92808149
ZRX-EUR,1740268800000,0.3103,0.31919,0.30618,0.30747,23828.49402059
ZRX-EUR,1740182400000,0.297,0.31168,0.297,0.30919,70785.71563392
ZRX-EUR,1740096000000,0.313,0.32624,0.29572,0.29825,181468.27865852
ZRX-EUR,1740009600000,0.30497,0.31496,0.30334,0.31496,99555.45810243
ZRX-EUR,1739923200000,0.29955,0.305,0.29545,0.3028,93692.24203449
ZRX-EUR,1739836800000,0.31528,0.31554,0.2876,0.29939,157476.44896523
ZRX-EUR,1739750400000,0.31032,0.33208,0.30908,0.3158,452191.4710738
ZRX-EUR,1739664000000,0.305,0.32399,0.30126,0.31309,239360.87882726
ZRX-EUR,1739577600000,0.3115,0.31285,0.30501,0.30501,21888.59155656
ZRX-EUR,1739491200000,0.30879,0.31839,0.30779,0.31035,80427.31466832
ZRX-EUR,1739404800000,0.31973,0.31973,0.30233,0.30758,64910.14757546
ZRX-EUR,1739318400000,0.29911,0.32112,0.29265,0.32112,66581.74834852
ZRX-EUR,1739232000000,0.30671,0.321,0.2969,0.29882,84241.97146058
ZRX-EUR,1739145600000,0.30101,0.3077,0.29192,0.30551,61129.7330599
ZRX-EUR,1739059200000,0.30237,0.31308,0.28892,0.3,174729.88250439
ZRX-EUR,1738972800000,0.28547,0.30507,0.28476,0.30507,124616.82168001
ZRX-EUR,1738886400000,0.28172,0.30224,0.27642,0.28554,166429.89299556
ZRX-EUR,1738800000000,0.29572,0.305,0.27756,0.27756,121022.89207083
ZRX-EUR,1738713600000,0.31039,0.3137,0.295,0.29609,146961.58636366
ZRX-EUR,1738627200000,0.33347,0.33347,0.29745,0.3116,344365.3976405
ZRX-EUR,1738540800000,0.32383,0.33539,0.26,0.33262,632501.12672774
ZRX-EUR,1738454400000,0.36658,0.37218,0.31,0.32297,361774.61042808
