symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
1INCH,1inch,8,0,32,OK,3.5,3.5,OK,['ETH'],
AAVE,Aave,8,0,32,OK,0.0036,0.0036,OK,['ETH'],
ABT,Arcblock,8,0,32,OK,1.1,1.1,OK,['ETH'],
ACA,Acala Token,8,0,10,OK,0.01,0.01,OK,['ACA'],
ACE,Fusionist,8,0,35,OK,0.13,0.13,OK,['BSC'],
ACH,Alchemy Pay,8,0,32,OK,31,31,OK,['ETH'],
ACT,Act I : The AI Prophecy,6,0,100,OK,0.38,0.38,OK,['SOL'],
ACX,Across Protocol,8,0,32,OK,3.2,3.2,OK,['ETH'],
ADA,Cardano,6,0,500,OK,0.2,2,OK,['ADA'],
ADX,Ambire AdEx,8,0,32,OK,6.9,6.9,OK,['ETH'],
AERGO,Aergo,8,0,32,OK,11,11,OK,['ETH'],
AERO,Aerodrome Finance,8,0,64,OK,0.018,0.018,OK,['BASE'],
AEVO,AEVO,8,0,32,OK,5.9,5.9,OK,['ETH'],
AGLD,Adventure Gold,8,0,32,OK,0.63,0.63,OK,['ETH'],
AIOZ,AIOZ Network,8,0,32,OK,2.3,2.3,OK,['ETH'],
AIXBT,aixbt by Virtuals,8,0,64,OK,0.072,0.072,OK,['BASE'],
AKRO,Akropolis,8,0,32,DELISTED,5700,3600,DELISTED,['ETH'],
AKT,Akash Network,8,0,1,MAINTENANCE,0.01,0.01,MAINTENANCE,['AKT'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
ALGO,Algorand,6,0,8,OK,0.1,0.1,OK,['ALGO'],
ALICE,MyNeighborAlice,6,0,32,OK,1.4,1.4,OK,['ETH'],
ALPHA,Stella,8,0,32,OK,20,20,OK,['ETH'],
ALT,Altlayer,3,0,32,OK,21,21,OK,['ETH'],
AMP,Amp,8,0,32,OK,180,180,OK,['ETH'],
ANIME,Animecoin,8,0,64,OK,11,11,OK,['ARB'],
ANKR,Ankr,8,0,32,OK,41,41,OK,['ETH'],
APE,ApeCoin,8,0,32,OK,1.4,1.4,OK,['ETH'],
API3,API3,8,0,32,OK,1.2,1.2,OK,['ETH'],
APT,Aptos,8,0,1,MAINTENANCE,0.01,0.01,MAINTENANCE,['APT'],
AR,Arweave,8,0,10,MAINTENANCE,0.1,0.1,MAINTENANCE,['AR'],
ARB,Arbitrum,8,0,100,OK,0.54,0.54,OK,['ARB'],
ARK,Ark,8,0,51,OK,0.2,0.2,OK,['ARK'],
ARKM,Arkham,8,0,32,OK,1.4,1.4,OK,['ETH'],
ARPA,ARPA,8,0,32,OK,26,26,OK,['ETH'],
ASTR,Astar,8,0,25,OK,0.01,0.01,OK,['ASTR'],
ATA,Automata Network,8,0,32,OK,15,15,OK,['ETH'],
ATH,Aethir,8,0,32,OK,22,22,OK,['ETH'],
ATOM,Cosmos,6,0,1,OK,0.01,0.01,OK,['ATOM'],
AUCTION,Bounce Token,8,0,32,OK,0.069,0.069,OK,['ETH'],
AUDIO,Audius,8,0,32,OK,9.7,9.7,OK,['ETH'],
AVA,AVA (Travala),8,0,32,OK,1.3,1.3,OK,['ETH'],
AVAX,Avalanche,8,0,1,OK,0.01,0.01,OK,['AVAX-C'],
AXL,Axelar,8,0,32,OK,1.9,1.9,OK,['ETH'],
AXS,Axie Infinity,8,0,32,OK,0.23,0.23,OK,['ETH'],
BADGER,Badger DAO,8,0,32,OK,0.26,0.26,OK,['ETH'],
BAL,Balancer,8,0,32,OK,0.48,0.48,OK,['ETH'],
BANANA,Banana Gun,8,0,32,OK,0.055,0.055,OK,['ETH'],
BAND,Band Protocol,8,0,32,OK,0.88,0.88,OK,['ETH'],
BAT,Basic Attention Token,8,0,32,OK,5,5,OK,['ETH'],
BCH,Bitcoin Cash,8,0,6,OK,0.000006,0.00001,OK,['BCH'],
BEAM,Beam,8,0,32,OK,120,120,OK,['ETH'],
BEL,Bella Protocol,8,0,32,OK,0.93,0.93,OK,['ETH'],
BETA,Beta Finance,8,0,32,OK,38,38,OK,['ETH'],
BICO,Biconomy,8,0,32,OK,5.8,5.8,OK,['ETH'],
BIGTIME,Big Time,8,0,32,OK,15,15,OK,['ETH'],
BIO,Bio Protocol,8,0,32,OK,7.6,7.6,OK,['ETH'],
BLAST,Blast,8,0,10,OK,3.2,3.2,OK,['BLAST'],
BLUR,Blur,8,0,32,OK,6.7,6.7,OK,['ETH'],
BLZ,Bluzelle,3,0,32,OK,22,22,OK,['ETH'],
BNB,Binance Coin,8,0,35,OK,0.0004,0.0004,OK,['BSC'],
BNT,Bancor,8,0,32,OK,1.8,1.8,OK,['ETH'],
