market,time,open,high,low,close,volume
ACE-EUR,1741132800000,0.7404,0.75919,0.71055,0.72908,54659.49400741
ACE-EUR,1741046400000,0.76198,0.80431,0.7,0.73533,57111.35255765
ACE-EUR,1740960000000,0.82198,0.94962,0.79893,0.80617,13421.86191292
ACE-EUR,1740873600000,0.90718,1.0108,0.88238,1.0038,20732.24098346
ACE-EUR,1740787200000,0.91569,0.92259,0.87484,0.87785,1895.6136106
ACE-EUR,1740700800000,0.90696,0.93318,0.84841,0.9231,21747.08298029
ACE-EUR,1740614400000,0.92901,0.95781,0.89824,0.9095,91174.35577126
ACE-EUR,1740528000000,0.91268,0.95607,0.89179,0.93645,82984.34199068
ACE-EUR,1740441600000,0.86786,0.91066,0.80585,0.89528,35261.71673603
ACE-EUR,1740355200000,1.0133,1.0133,0.83967,0.86383,26323.51429678
ACE-EUR,1740268800000,1.0157,1.0191,1.0007,1.002,7639.2029365
ACE-EUR,1740182400000,0.97498,1.0531,0.97498,1.0449,4457.05678421
ACE-EUR,1740096000000,0.995,1.0626,0.96354,0.97303,25335.95017813
ACE-EUR,1740009600000,0.92979,1.0007,0.91761,0.98764,15549.76509669
ACE-EUR,1739923200000,0.87293,0.92074,0.87116,0.91037,12496.25321402
ACE-EUR,1739836800000,0.89305,0.90739,0.85045,0.87275,35962.79198403
ACE-EUR,1739750400000,0.94064,0.95517,0.88154,0.89616,26681.03397457
ACE-EUR,1739664000000,0.91518,0.94709,0.90584,0.92268,14583.36782462
ACE-EUR,1739577600000,0.96092,0.96092,0.91387,0.91845,5935.06475617
ACE-EUR,1739491200000,0.96062,0.99036,0.94572,0.94956,15951.21035183
ACE-EUR,1739404800000,1.0107,1.0394,0.93596,0.95418,56199.67878608
ACE-EUR,1739318400000,0.88217,1.03,0.86816,1.0098,159279.26019521
ACE-EUR,1739232000000,0.92681,0.95888,0.86693,0.88039,19387.17639916
ACE-EUR,1739145600000,0.86272,0.90732,0.85344,0.89547,1130.97123691
ACE-EUR,1739059200000,0.86918,0.94738,0.83879,0.88023,116789.70416859
ACE-EUR,1738972800000,0.81985,0.9003,0.80075,0.87801,27872.92028936
ACE-EUR,1738886400000,0.81543,0.86848,0.78704,0.78704,15397.81560607
ACE-EUR,1738800000000,0.88444,0.89163,0.79633,0.80163,10538.18329805
ACE-EUR,1738713600000,0.90915,0.91972,0.8634,0.87288,8300.04230207
ACE-EUR,1738627200000,0.97833,0.97833,0.88316,0.88316,31137.25728246
ACE-EUR,1738540800000,0.99137,1.0108,0.76456,0.99033,61264.36285043
ACE-EUR,1738454400000,1.2463,1.2463,0.96917,0.98393,26067.86450216
ACE-EUR,1738368000000,1.4399,1.4483,1.2477,1.2477,11370.9971032
ACE-EUR,1738281600000,1.3922,1.4734,1.3922,1.4165,437.08632527
ACE-EUR,1738195200000,1.3718,1.4136,1.3718,1.3985,195.58717733
ACE-EUR,1738108800000,1.2882,1.3825,1.2882,1.35,2558.46411606
ACE-EUR,1738022400000,1.4221,1.4221,1.2928,1.2928,3381.13743417
ACE-EUR,1737936000000,1.4702,1.4702,1.3103,1.4108,6806.39317488
ACE-EUR,1737849600000,1.5065,1.5603,1.5,1.5,407.78455634
ACE-EUR,1737763200000,1.456,1.5106,1.45,1.4954,265.56293367
